Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2013-01-02,ABBV,34.92,35.4,34.1,35.12,13767989,21.87,22.17,21.36,22.0,13767989,34.92,35.4,34.1,35.12,13767989,0.0,0.0,0.0,0.0
2013-01-03,ABBV,35.0,35.0,34.16,34.83,16739208,21.92,21.92,21.39,21.81,16739208,35.0,35.0,34.16,34.83,16739208,-0.008257403189066,-0.008257403189066,-0.2899999999999991,-0.0083
2013-01-04,ABBV,34.62,34.89,34.25,34.39,21372638,21.68,21.85,21.45,21.54,21372638,34.62,34.89,34.25,34.39,21372638,-0.0207858769931662,-0.0207858769931662,-0.4399999999999977,-0.0126
2013-01-07,ABBV,34.15,35.45,34.15,34.46,17897117,21.39,22.2,21.39,21.58,17897117,34.15,35.45,34.15,34.46,17897117,-0.0187927107061502,-0.0187927107061502,0.0700000000000002,0.002
2013-01-08,ABBV,34.29,34.64,33.36,33.71,17863398,21.48,21.7,20.89,21.11,17863398,34.29,34.64,33.36,33.71,17863398,-0.040148063781321,-0.040148063781321,-0.75,-0.0218
2013-01-09,ABBV,33.61,33.95,33.61,33.9,18800666,21.05,21.26,21.05,21.23,18800666,33.61,33.95,33.61,33.9,18800666,-0.0347380410022778,-0.0347380410022778,0.1899999999999977,0.0056
2013-01-10,ABBV,33.66,34.0,33.33,34.0,15660776,21.08,21.29,20.87,21.29,15660776,33.66,34.0,33.33,34.0,15660776,-0.031890660592255,-0.031890660592255,0.1000000000000014,0.0029
2013-01-11,ABBV,33.59,33.9,33.35,33.85,11191446,21.29,21.49,21.14,21.45,11191446,33.59,33.9,33.35,33.85,11191446,-0.0361617312072891,-0.0361617312072891,-0.1499999999999985,-0.0044
2013-01-14,ABBV,34.01,34.25,33.8,34.09,11584901,21.56,21.71,21.42,21.61,11584901,34.01,34.25,33.8,34.09,11584901,-0.0293280182232344,-0.0293280182232344,0.240000000000002,0.0071
2013-01-15,ABBV,33.71,34.72,33.71,34.6,13042596,21.37,22.01,21.37,21.93,13042596,33.71,34.72,33.71,34.6,13042596,-0.0148063781321183,-0.0148063781321183,0.509999999999998,0.015
2013-01-16,ABBV,34.47,35.54,34.45,35.54,16512683,21.85,22.53,21.83,22.53,16512683,34.47,35.54,34.45,35.54,16512683,0.0119589977220957,0.0119589977220957,0.9399999999999976,0.0272
