Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,ARE,100.54,101.25,99.5,100.4,113200,61.6974,62.1331,61.0592,61.6115,113200,100.54,101.25,99.5,100.4,113200,0.0,0.0,0.0,0.0
2007-01-03,ARE,101.11,102.07,99.46,100.86,172100,58.54,59.1,57.59,58.4,172100,101.11,102.07,99.46,100.86,172100,0.0045816733067728,0.0045816733067728,0.4599999999999937,0.0046
2007-01-04,ARE,100.26,101.36,100.0,100.69,283000,58.05,58.69,57.9,58.3,283000,100.26,101.36,100.0,100.69,283000,0.0028884462151393,0.0028884462151393,-0.1700000000000017,-0.0017
2007-01-05,ARE,100.0,100.34,98.48,98.71,240000,57.9,58.1,57.02,57.15,240000,100.0,100.34,98.48,98.71,240000,-0.0168326693227092,-0.0168326693227092,-1.980000000000004,-0.0197
2007-01-08,ARE,98.55,98.9,97.26,97.77,224900,57.06,57.26,56.31,56.61,224900,98.55,98.9,97.26,97.77,224900,-0.026195219123506,-0.026195219123506,-0.9399999999999976,-0.0095
2007-01-09,ARE,97.99,100.61,97.99,100.21,169000,56.74,58.25,56.74,58.02,169000,97.99,100.61,97.99,100.21,169000,-0.0018924302788845,-0.0018924302788845,2.4399999999999977,0.025
2007-01-10,ARE,99.03,99.1,97.5,98.3,1332800,57.34,57.38,56.45,56.92,1332800,99.03,99.1,97.5,98.3,1332800,-0.0209163346613546,-0.0209163346613546,-1.9099999999999968,-0.0191
2007-01-11,ARE,98.25,100.89,98.15,99.95,1197300,56.89,58.42,56.83,57.87,1197300,98.25,100.89,98.15,99.95,1197300,-0.0044820717131474,-0.0044820717131474,1.6500000000000057,0.0168
2007-01-12,ARE,100.2,101.42,100.0,101.42,250200,58.02,58.72,57.9,58.72,250200,100.2,101.42,100.0,101.42,250200,0.0101593625498007,0.0101593625498007,1.4699999999999989,0.0147
2007-01-16,ARE,102.28,102.78,101.65,102.7,257100,59.22,59.51,58.86,59.46,257100,102.28,102.78,101.65,102.7,257100,0.0229083665338645,0.0229083665338645,1.2800000000000011,0.0126
2007-01-17,ARE,102.45,103.75,101.54,102.24,184000,59.32,60.07,58.79,59.2,184000,102.45,103.75,101.54,102.24,184000,0.0183266932270915,0.0183266932270915,-0.4600000000000079,-0.0045
2007-01-18,ARE,101.98,102.82,101.27,102.0,248700,59.05,59.53,58.64,59.06,248700,101.98,102.82,101.27,102.0,248700,0.0159362549800796,0.0159362549800796,-0.2399999999999948,-0.0023
2007-01-19,ARE,101.51,103.78,101.21,103.36,208900,58.77,60.09,58.6,59.85,208900,101.51,103.78,101.21,103.36,208900,0.0294820717131473,0.0294820717131473,1.3599999999999994,0.0133
2007-01-22,ARE,103.1,103.68,101.79,101.99,223500,59.69,60.03,58.94,59.05,223500,103.1,103.68,101.79,101.99,223500,0.015836653386454,0.015836653386454,-1.3700000000000043,-0.0133
2007-01-23,ARE,101.7,102.7,101.61,102.07,192100,58.88,59.46,58.83,59.1,192100,101.7,102.7,101.61,102.07,192100,0.016633466135458,0.016633466135458,0.0799999999999983,0.0008
2007-01-24,ARE,102.03,103.02,102.03,102.47,313400,59.08,59.65,59.08,59.33,313400,102.03,103.02,102.03,102.47,313400,0.020617529880478,0.020617529880478,0.4000000000000057,0.0039
2007-01-25,ARE,102.97,105.32,102.51,102.97,549300,59.62,60.98,59.35,59.62,549300,102.97,105.32,102.51,102.97,549300,0.0255976095617529,0.0255976095617529,0.5,0.0049
2007-01-26,ARE,102.97,105.1,102.06,104.74,450500,59.62,60.85,59.09,60.64,450500,102.97,105.1,102.06,104.74,450500,0.043227091633466,0.043227091633466,1.769999999999996,0.0172
2007-01-29,ARE,104.54,105.94,104.31,105.94,303600,60.53,61.34,60.4,61.34,303600,104.54,105.94,104.31,105.94,303600,0.0551792828685258,0.0551792828685258,1.2000000000000028,0.0115
2007-01-30,ARE,106.1,107.24,105.25,106.79,297600,61.43,62.09,60.94,61.83,297600,106.1,107.24,105.25,106.79,297600,0.0636454183266932,0.0636454183266932,0.8500000000000085,0.008
2007-01-31,ARE,106.78,109.5,106.13,108.36,333900,61.83,63.4,61.45,62.74,333900,106.78,109.5,106.13,108.36,333900,0.0792828685258963,0.0792828685258963,1.5699999999999932,0.0147
