Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,ATO,32.3,32.3,31.9,31.91,236900,20.0354,20.0354,19.7873,19.7935,236900,32.3,32.3,31.9,31.91,236900,0.0,0.0,0.0,0.0
2007-01-03,ATO,31.81,32.3,31.06,32.24,484100,18.12,18.4,17.69,18.37,484100,31.81,32.3,31.06,32.24,484100,0.0103415857098088,0.0103415857098088,0.3300000000000018,0.0103
2007-01-04,ATO,32.26,32.26,31.97,32.06,236900,18.38,18.38,18.21,18.26,236900,32.26,32.26,31.97,32.06,236900,0.0047007207771859,0.0047007207771859,-0.1799999999999997,-0.0056
2007-01-05,ATO,31.95,31.97,31.37,31.6,359700,18.2,18.21,17.87,18.0,359700,31.95,31.97,31.37,31.6,359700,-0.0097148229395173,-0.0097148229395173,-0.4600000000000008,-0.0143
2007-01-08,ATO,31.62,31.66,31.32,31.45,309900,18.01,18.04,17.84,17.92,309900,31.62,31.66,31.32,31.45,309900,-0.0144155437167032,-0.0144155437167032,-0.1500000000000021,-0.0047
2007-01-09,ATO,31.45,31.55,31.2,31.47,293200,17.92,17.97,17.77,17.93,293200,31.45,31.55,31.2,31.47,293200,-0.0137887809464118,-0.0137887809464118,0.0199999999999995,0.0006
2007-01-10,ATO,31.36,31.43,31.02,31.1,309700,17.87,17.91,17.67,17.72,309700,31.36,31.43,31.02,31.1,309700,-0.0253838921968034,-0.0253838921968034,-0.3699999999999974,-0.0118
2007-01-11,ATO,31.04,31.48,31.04,31.36,431700,17.68,17.93,17.68,17.87,431700,31.04,31.48,31.04,31.36,431700,-0.0172359761830147,-0.0172359761830147,0.259999999999998,0.0084
2007-01-12,ATO,31.36,31.5,30.36,31.3,438000,17.87,17.95,17.3,17.83,438000,31.36,31.5,30.36,31.3,438000,-0.019116264493889,-0.019116264493889,-0.0599999999999987,-0.0019
2007-01-16,ATO,31.2,31.46,31.11,31.31,278200,17.77,17.92,17.72,17.84,278200,31.2,31.46,31.11,31.31,278200,-0.0188028831087433,-0.0188028831087433,0.009999999999998,0.0003
2007-01-17,ATO,31.31,31.44,31.18,31.44,219300,17.84,17.91,17.76,17.91,219300,31.31,31.44,31.18,31.44,219300,-0.0147289251018489,-0.0147289251018489,0.1300000000000025,0.0042
2007-01-18,ATO,31.47,31.53,31.2,31.23,250200,17.93,17.96,17.77,17.79,250200,31.47,31.53,31.2,31.23,250200,-0.0213099341899091,-0.0213099341899091,-0.2100000000000008,-0.0067
2007-01-19,ATO,31.5,31.5,31.14,31.42,252400,17.95,17.95,17.74,17.9,252400,31.5,31.5,31.14,31.42,252400,-0.0153556878721403,-0.0153556878721403,0.1900000000000012,0.0061
2007-01-22,ATO,31.41,31.42,31.27,31.31,220200,17.89,17.9,17.81,17.84,220200,31.41,31.42,31.27,31.31,220200,-0.0188028831087433,-0.0188028831087433,-0.1100000000000029,-0.0035
2007-01-23,ATO,31.25,31.69,31.25,31.49,281300,17.8,18.05,17.8,17.94,281300,31.25,31.69,31.25,31.49,281300,-0.0131620181761203,-0.0131620181761203,0.1799999999999997,0.0057
