Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,BF.B,17.6773,17.8053,17.5653,17.664,859874.9999999994,14.0562,14.158,13.9671,14.0456,859874.9999999994,66.29,66.77,65.87,66.24,229300,0.0,0.0,0.0,0.0
2007-01-03,BF.B,68.14,68.14,65.98,66.34,584400.0,67.49,67.49,65.35,65.7,584400.0,68.14,68.14,65.98,66.34,584400,2.7556612318840576,2.7556612318840576,48.676,2.7557
2007-01-04,BF.B,66.25,66.55,65.16,65.42,379700.0,65.61,65.91,64.53,64.79,379700.0,66.25,66.55,65.16,65.42,379700,2.7035778985507246,2.7035778985507246,-0.9200000000000016,-0.0139
2007-01-05,BF.B,65.31,65.44,64.2,64.58,399800.0,64.68,64.81,63.58,63.96,399800.0,65.31,65.44,64.2,64.58,399800,2.656023550724637,2.656023550724637,-0.8400000000000034,-0.0128
2007-01-08,BF.B,64.5,65.07,64.21,64.9,320800.0,63.88,64.45,63.59,64.28,320800.0,64.5,65.07,64.21,64.9,320800,2.674139492753623,2.674139492753623,0.3200000000000074,0.005
2007-01-09,BF.B,65.05,65.25,64.85,65.03,362200.0,64.43,64.62,64.23,64.41,362200.0,65.05,65.25,64.85,65.03,362200,2.6814990942028984,2.6814990942028984,0.1299999999999954,0.002
2007-01-10,BF.B,64.95,65.25,64.73,65.11,284700.0,64.33,64.62,64.11,64.48,284700.0,64.95,65.25,64.73,65.11,284700,2.686028079710145,2.686028079710145,0.0799999999999983,0.0012
2007-01-11,BF.B,65.12,65.49,65.07,65.16,293300.0,64.49,64.86,64.45,64.53,293300.0,65.12,65.49,65.07,65.16,293300,2.6888586956521734,2.6888586956521734,0.0499999999999971,0.0008
2007-01-12,BF.B,65.17,65.47,65.0,65.47,215000.0,64.54,64.84,64.38,64.84,215000.0,65.17,65.47,65.0,65.47,215000,2.706408514492753,2.706408514492753,0.3100000000000023,0.0048
2007-01-16,BF.B,65.34,65.87,64.8,65.53,336600.0,64.71,65.24,64.18,64.9,336600.0,65.34,65.87,64.8,65.53,336600,2.709805253623188,2.709805253623188,0.0600000000000022,0.0009
2007-01-17,BF.B,65.3,65.97,65.1,65.63,319000.0,64.67,65.34,64.48,65.0,319000.0,65.3,65.97,65.1,65.63,319000,2.7154664855072457,2.7154664855072457,0.0999999999999943,0.0015
2007-01-18,BF.B,66.12,66.26,65.66,66.15,314800.0,65.49,65.62,65.03,65.51,314800.0,66.12,66.26,65.66,66.15,314800,2.744904891304348,2.744904891304348,0.5200000000000102,0.0079
2007-01-19,BF.B,66.3,66.3,65.64,65.91,325200.0,65.66,65.66,65.01,65.28,325200.0,66.3,66.3,65.64,65.91,325200,2.731317934782608,2.731317934782608,-0.2400000000000091,-0.0036
