Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,BKNG,43.8,44.12,43.5,43.61,437304,43.8,44.12,43.5,43.61,437304,43.8,44.12,43.5,43.61,437304,0.0,0.0,0.0,0.0
2007-01-03,BKNG,43.98,44.92,43.35,43.97,1303013,43.87,44.8,43.24,43.86,1303013,43.98,44.92,43.35,43.97,1303013,0.0082549873882136,0.0082549873882136,0.3599999999999994,0.0083
2007-01-04,BKNG,44.04,44.62,43.59,44.44,976116,43.93,44.5,43.48,44.32,976116,44.04,44.62,43.59,44.44,976116,0.0190323320339371,0.0190323320339371,0.4699999999999988,0.0107
2007-01-05,BKNG,44.4,44.49,43.66,43.87,490640,44.28,44.37,43.55,43.76,490640,44.4,44.49,43.66,43.87,490640,0.005961935335932,0.005961935335932,-0.5700000000000003,-0.0128
2007-01-08,BKNG,43.97,44.0,43.46,43.76,614168,43.86,43.89,43.35,43.65,614168,43.97,44.0,43.46,43.76,614168,0.0034395780784223,0.0034395780784223,-0.1099999999999994,-0.0025
2007-01-09,BKNG,44.0,44.35,43.69,44.06,563130,43.89,44.23,43.58,43.95,563130,44.0,44.35,43.69,44.06,563130,0.0103187342352672,0.0103187342352672,0.3000000000000042,0.0069
2007-01-10,BKNG,43.86,44.92,43.65,44.84,1209121,43.75,44.8,43.54,44.72,1209121,43.86,44.92,43.65,44.84,1209121,0.0282045402430636,0.0282045402430636,0.7800000000000011,0.0177
2007-01-11,BKNG,44.93,44.93,44.26,44.65,638745,44.81,44.81,44.15,44.53,638745,44.93,44.93,44.26,44.65,638745,0.0238477413437284,0.0238477413437284,-0.1900000000000048,-0.0042
2007-01-12,BKNG,44.37,44.7,44.16,44.5,426076,44.25,44.58,44.05,44.38,426076,44.37,44.7,44.16,44.5,426076,0.0204081632653061,0.0204081632653061,-0.1499999999999985,-0.0034
2007-01-16,BKNG,44.63,44.78,44.21,44.55,482862,44.51,44.66,44.1,44.43,482862,44.63,44.78,44.21,44.55,482862,0.0215546892914468,0.0215546892914468,0.0499999999999971,0.0011
2007-01-17,BKNG,44.55,44.6,43.9,44.03,610636,44.43,44.48,43.79,43.92,610636,44.55,44.6,43.9,44.03,610636,0.0096308186195827,0.0096308186195827,-0.519999999999996,-0.0117
2007-01-18,BKNG,43.6,44.29,42.53,43.15,885647,43.49,44.17,42.42,43.04,885647,43.6,44.29,42.53,43.15,885647,-0.0105480394404953,-0.0105480394404953,-0.8800000000000026,-0.02
