Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2017-07-05,BKR,40.54,40.54,37.53,37.56,345692,38.03,38.03,35.2,35.24,345692,40.54,40.54,37.53,37.56,345692,0.0,0.0,0.0,0.0
2017-07-06,BKR,38.09,38.09,36.52,37.01,5133756,35.9643,35.9643,34.4819,34.9446,5133756,38.09,38.09,36.52,37.01,5133756,-0.014643237486688,-0.014643237486688,-0.5500000000000043,-0.0146
2017-07-07,BKR,37.79,38.46,36.13,37.87,303920,35.45,36.08,33.89,35.52,303920,37.79,38.46,36.13,37.87,303920,0.0082534611288603,0.0082534611288603,0.8599999999999994,0.0232
2017-07-10,BKR,37.63,38.16,36.81,37.25,389988,35.3,35.79,34.53,34.94,389988,37.63,38.16,36.81,37.25,389988,-0.0082534611288605,-0.0082534611288605,-0.6199999999999974,-0.0164
2017-07-11,BKR,37.38,37.77,36.93,37.34,252837,35.06,35.43,34.64,35.02,252837,37.38,37.77,36.93,37.34,252837,-0.0058572949946751,-0.0058572949946751,0.0900000000000034,0.0024
2017-07-12,BKR,37.77,37.99,37.25,37.36,264665,35.43,35.63,34.94,35.04,264665,37.77,37.99,37.25,37.36,264665,-0.0053248136315229,-0.0053248136315229,0.019999999999996,0.0005
2017-07-13,BKR,37.39,37.5,36.7,36.84,354015,35.07,35.17,34.42,34.56,354015,37.39,37.5,36.7,36.84,354015,-0.0191693290734823,-0.0191693290734823,-0.519999999999996,-0.0139
2017-07-14,BKR,37.0,37.49,36.94,37.33,268924,34.71,35.17,34.65,35.02,268924,37.0,37.49,36.94,37.33,268924,-0.0061235356762514,-0.0061235356762514,0.4899999999999949,0.0133
2017-07-17,BKR,37.71,38.37,37.64,37.65,266797,35.37,35.99,35.31,35.32,266797,37.71,38.37,37.64,37.65,266797,0.0023961661341852,0.0023961661341852,0.3200000000000003,0.0086
2017-07-18,BKR,37.52,37.77,36.73,36.73,162043,35.19,35.43,34.45,34.45,162043,37.52,37.77,36.73,36.73,162043,-0.0220979765708201,-0.0220979765708201,-0.9200000000000016,-0.0244
2017-07-19,BKR,36.59,37.09,36.38,36.56,408092,34.32,34.79,34.12,34.29,408092,36.59,37.09,36.38,36.56,408092,-0.0266240681576144,-0.0266240681576144,-0.1699999999999946,-0.0046
2017-07-20,BKR,36.6,36.85,34.86,34.97,595625,34.33,34.57,32.7,32.8,595625,36.6,36.85,34.86,34.97,595625,-0.0689563365282216,-0.0689563365282216,-1.5900000000000034,-0.0435
2017-07-21,BKR,34.73,34.81,33.45,34.09,744833,32.58,32.65,31.38,31.98,744833,34.73,34.81,33.45,34.09,744833,-0.0923855165069222,-0.0923855165069222,-0.8799999999999955,-0.0252
2017-07-24,BKR,34.28,34.39,33.88,34.39,169076,32.15,32.26,31.78,32.26,169076,34.28,34.39,33.88,34.39,169076,-0.0843982960596379,-0.0843982960596379,0.2999999999999971,0.0088
2017-07-25,BKR,34.87,35.27,34.78,35.26,265700,32.71,33.08,32.62,33.07,265700,34.87,35.27,34.78,35.26,265700,-0.0612353567625134,-0.0612353567625134,0.8699999999999974,0.0253
2017-07-26,BKR,35.45,36.18,35.24,36.05,343923,33.25,33.94,33.06,33.81,343923,35.45,36.18,35.24,36.05,343923,-0.040202342917998,-0.040202342917998,0.7899999999999991,0.0224
2017-07-27,BKR,35.94,37.03,35.71,36.12,636491,33.71,34.73,33.5,33.88,636491,35.94,37.03,35.71,36.12,636491,-0.0383386581469649,-0.0383386581469649,0.0700000000000002,0.0019
2017-07-28,BKR,34.85,37.5,34.39,37.12,418292,32.69,35.17,32.26,34.82,418292,34.85,37.5,34.39,37.12,418292,-0.0117145899893505,-0.0117145899893505,1.0,0.0277
2017-07-31,BKR,37.14,37.16,36.46,36.93,236657,34.84,34.86,34.2,34.64,236657,37.14,37.16,36.46,36.93,236657,-0.0167731629392971,-0.0167731629392971,-0.1899999999999977,-0.0051
2017-08-01,BKR,36.79,36.8,35.42,35.7,369474,34.51,34.52,33.22,33.49,369474,36.79,36.8,35.42,35.7,369474,-0.0495207667731629,-0.0495207667731629,-1.2299999999999969,-0.0333
2017-08-02,BKR,35.4,35.55,35.04,35.35,460611,33.21,33.35,32.87,33.16,460611,35.4,35.55,35.04,35.35,460611,-0.058839190628328,-0.058839190628328,-0.3500000000000014,-0.0098
2017-08-03,BKR,35.26,35.49,35.08,35.3,261409,33.07,33.29,32.91,33.11,261409,35.26,35.49,35.08,35.3,261409,-0.0601703940362088,-0.0601703940362088,-0.0500000000000042,-0.0014
2017-08-04,BKR,35.56,35.56,35.06,35.22,241063,33.36,33.36,32.89,33.04,241063,35.56,35.56,35.06,35.22,241063,-0.0623003194888179,-0.0623003194888179,-0.0799999999999983,-0.0023
2017-08-07,BKR,35.22,35.22,34.4,34.56,122486,33.04,33.04,32.27,32.42,122486,35.22,35.22,34.4,34.56,122486,-0.0798722044728434,-0.0798722044728434,-0.6599999999999966,-0.0187
2017-08-08,BKR,34.69,35.46,34.69,34.95,258717,32.54,33.26,32.54,32.79,258717,34.69,35.46,34.69,34.95,258717,-0.0694888178913737,-0.0694888178913737,0.3900000000000005,0.0113
2017-08-09,BKR,35.02,35.29,34.78,35.03,228627,32.85,33.1,32.62,32.86,228627,35.02,35.29,34.78,35.03,228627,-0.0673588924387646,-0.0673588924387646,0.0799999999999983,0.0023
2017-08-10,BKR,35.21,35.27,34.57,34.7,239311,33.03,33.08,32.43,32.55,239311,35.21,35.27,34.57,34.7,239311,-0.0761448349307774,-0.0761448349307774,-0.3299999999999983,-0.0094
2017-08-11,BKR,34.51,34.87,34.28,34.29,107511,32.37,32.71,32.15,32.16,107511,34.51,34.87,34.28,34.29,107511,-0.0870607028753994,-0.0870607028753994,-0.4100000000000037,-0.0118
2017-08-14,BKR,34.44,34.51,34.14,34.27,155741,32.3,32.37,32.02,32.15,155741,34.44,34.51,34.14,34.27,155741,-0.0875931842385516,-0.0875931842385516,-0.019999999999996,-0.0006
2017-08-15,BKR,34.24,34.41,34.04,34.31,205333,32.12,32.28,31.93,32.18,205333,34.24,34.41,34.04,34.31,205333,-0.086528221512247,-0.086528221512247,0.0399999999999991,0.0012
2017-08-16,BKR,34.38,34.49,33.77,33.84,153782,32.25,32.35,31.67,31.74,153782,34.38,34.49,33.77,33.84,153782,-0.0990415335463258,-0.0990415335463258,-0.4699999999999988,-0.0137
2017-08-17,BKR,33.77,34.04,32.75,32.84,303788,31.68,31.93,30.72,30.8,303788,33.77,34.04,32.75,32.84,303788,-0.1256656017039403,-0.1256656017039403,-1.0,-0.0296
2017-08-18,BKR,32.79,33.11,32.44,32.77,326456,30.76,31.06,30.43,30.74,326456,32.79,33.11,32.44,32.77,326456,-0.1275292864749733,-0.1275292864749733,-0.0700000000000002,-0.0021
2017-08-21,BKR,32.83,32.98,32.47,32.53,193946,30.79,30.94,30.46,30.51,193946,32.83,32.98,32.47,32.53,193946,-0.1339190628328008,-0.1339190628328008,-0.240000000000002,-0.0073
2017-08-22,BKR,32.67,32.94,32.5,32.69,209312,30.64,30.9,30.48,30.66,209312,32.67,32.94,32.5,32.69,209312,-0.1296592119275826,-0.1296592119275826,0.1599999999999966,0.0049
2017-08-23,BKR,32.6,33.24,32.57,33.04,239127,30.58,31.18,30.55,30.99,239127,32.6,33.24,32.57,33.04,239127,-0.1203407880724175,-0.1203407880724175,0.3500000000000014,0.0107
2017-08-24,BKR,33.06,33.06,32.54,32.82,166192,31.01,31.01,30.52,30.79,166192,33.06,33.06,32.54,32.82,166192,-0.1261980830670927,-0.1261980830670927,-0.2199999999999988,-0.0067
2017-08-25,BKR,32.91,33.41,32.88,33.26,169557,30.87,31.34,30.84,31.2,169557,32.91,33.41,32.88,33.26,169557,-0.1144834930777423,-0.1144834930777423,0.4399999999999977,0.0134
2017-08-28,BKR,33.37,33.37,32.82,33.25,181225,31.3,31.3,30.79,31.19,181225,33.37,33.37,32.82,33.25,181225,-0.1147497337593184,-0.1147497337593184,-0.009999999999998,-0.0003
2017-08-29,BKR,33.1,33.81,33.1,33.75,2252996,31.4056,32.0792,31.4056,32.0223,2252996,33.1,33.81,33.1,33.75,2252996,-0.1014376996805112,-0.1014376996805112,0.5,0.015
2017-08-30,BKR,33.62,33.72,33.26,33.52,199634,31.54,31.63,31.2,31.44,199634,33.62,33.72,33.26,33.52,199634,-0.1075612353567624,-0.1075612353567624,-0.2299999999999968,-0.0068
2017-08-31,BKR,33.76,34.34,33.54,33.89,385889,31.67,32.21,31.46,31.79,385889,33.76,34.34,33.54,33.89,385889,-0.0977103301384452,-0.0977103301384452,0.3699999999999974,0.011
2017-09-01,BKR,33.9,34.44,33.73,34.31,228051,31.8,32.3,31.64,32.18,228051,33.9,34.44,33.73,34.31,228051,-0.086528221512247,-0.086528221512247,0.4200000000000017,0.0124
2017-09-05,BKR,34.87,35.45,34.49,34.97,734569,32.71,33.25,32.35,32.8,734569,34.87,35.45,34.49,34.97,734569,-0.0689563365282216,-0.0689563365282216,0.6599999999999966,0.0192
2017-09-06,BKR,35.42,35.74,34.72,34.75,566312,33.22,33.52,32.57,32.6,566312,35.42,35.74,34.72,34.75,566312,-0.0748136315228967,-0.0748136315228967,-0.2199999999999988,-0.0063
2017-09-07,BKR,34.8,35.13,34.32,34.75,435796,32.64,32.95,32.19,32.6,435796,34.8,35.13,34.32,34.75,435796,-0.0748136315228967,-0.0748136315228967,0.0,0.0
2017-09-08,BKR,34.6,34.97,34.07,34.42,410136,32.45,32.8,31.96,32.29,410136,34.6,34.97,34.07,34.42,410136,-0.0835995740149094,-0.0835995740149094,-0.3299999999999983,-0.0095
2017-09-11,BKR,34.42,35.59,34.37,35.48,252199,32.29,33.39,32.24,33.28,252199,34.42,35.59,34.37,35.48,252199,-0.0553780617678382,-0.0553780617678382,1.0599999999999952,0.0308
2017-09-12,BKR,35.25,36.38,35.24,35.97,607637,33.06,34.12,33.06,33.74,607637,35.25,36.38,35.24,35.97,607637,-0.0423322683706071,-0.0423322683706071,0.490000000000002,0.0138
2017-09-13,BKR,35.94,36.73,35.9,36.09,4303419,34.1002,34.8498,34.0622,34.2425,4303419,35.94,36.73,35.9,36.09,4303419,-0.0391373801916932,-0.0391373801916932,0.1200000000000045,0.0033
2017-09-14,BKR,36.35,37.13,36.21,36.41,511027,34.1,34.83,33.96,34.15,511027,36.35,37.13,36.21,36.41,511027,-0.0306176783812568,-0.0306176783812568,0.3199999999999932,0.0089
2017-09-15,BKR,36.37,36.91,36.37,36.9,383752,34.12,34.62,34.12,34.61,383752,36.37,36.91,36.37,36.9,383752,-0.0175718849840256,-0.0175718849840256,0.490000000000002,0.0135
2017-09-18,BKR,36.9,37.48,36.84,37.35,248155,34.61,35.16,34.56,35.04,248155,36.9,37.48,36.84,37.35,248155,-0.005591054313099,-0.005591054313099,0.4500000000000028,0.0122
2017-09-19,BKR,37.3,37.45,37.07,37.36,250948,34.99,35.13,34.77,35.04,250948,37.3,37.45,37.07,37.36,250948,-0.0053248136315229,-0.0053248136315229,0.009999999999998,0.0003
2017-09-20,BKR,37.51,37.66,37.25,37.49,284961,35.18,35.33,34.94,35.17,284961,37.51,37.66,37.25,37.49,284961,-0.001863684771033,-0.001863684771033,0.1300000000000025,0.0035
2017-09-21,BKR,37.17,37.18,36.37,36.58,315189,34.87,34.87,34.12,34.31,315189,37.17,37.18,36.37,36.58,315189,-0.0260915867944622,-0.0260915867944622,-0.9100000000000036,-0.0243
2017-09-22,BKR,36.56,36.69,36.29,36.66,393065,34.29,34.42,34.04,34.39,393065,36.56,36.69,36.29,36.66,393065,-0.0239616613418531,-0.0239616613418531,0.0799999999999983,0.0022
2017-09-25,BKR,36.85,38.1,36.64,37.46,545141,34.57,35.74,34.37,35.14,545141,36.85,38.1,36.64,37.46,545141,-0.0026624068157614,-0.0026624068157614,0.8000000000000043,0.0218
2017-09-26,BKR,37.32,37.32,36.67,37.02,255647,35.01,35.01,34.4,34.72,255647,37.32,37.32,36.67,37.02,255647,-0.0143769968051117,-0.0143769968051117,-0.4399999999999977,-0.0117
2017-09-27,BKR,37.08,37.2,36.69,36.91,318710,34.78,34.89,34.42,34.62,318710,37.08,37.2,36.69,36.91,318710,-0.0173056443024495,-0.0173056443024495,-0.1100000000000065,-0.003
2017-09-28,BKR,37.12,37.24,36.56,37.03,2129601,35.2198,35.3336,34.6885,35.1344,2129601,37.12,37.24,36.56,37.03,2129601,-0.0141107561235357,-0.0141107561235357,0.1200000000000045,0.0033
2017-09-29,BKR,36.8,37.05,36.32,36.62,3251225,34.9162,35.1534,34.4607,34.7454,3251225,36.8,37.05,36.32,36.62,3251225,-0.0250266240681577,-0.0250266240681577,-0.4100000000000037,-0.0111
2017-10-02,BKR,35.96,36.9,35.92,36.86,231268,33.73,34.61,33.69,34.57,231268,35.96,36.9,35.92,36.86,231268,-0.0186368477103302,-0.0186368477103302,0.240000000000002,0.0066
2017-10-03,BKR,36.84,37.1,36.39,36.67,2466311,34.9541,35.2008,34.5272,34.7928,2466311,36.84,37.1,36.39,36.67,2466311,-0.0236954206602769,-0.0236954206602769,-0.1899999999999977,-0.0052
2017-10-04,BKR,36.77,37.08,36.54,36.7,242271,34.49,34.78,34.27,34.42,242271,36.77,37.08,36.54,36.7,242271,-0.0228966986155484,-0.0228966986155484,0.0300000000000011,0.0008
2017-10-05,BKR,36.73,36.86,36.46,36.47,193051,34.45,34.57,34.2,34.21,193051,36.73,36.86,36.46,36.47,193051,-0.0290202342917998,-0.0290202342917998,-0.2300000000000039,-0.0063
2017-10-06,BKR,36.2,36.7,36.04,36.51,208020,33.96,34.42,33.81,34.25,208020,36.2,36.7,36.04,36.51,208020,-0.0279552715654953,-0.0279552715654953,0.0399999999999991,0.0011
2017-10-09,BKR,36.6,36.66,35.81,35.83,158655,34.33,34.39,33.59,33.61,158655,36.6,36.66,35.81,35.83,158655,-0.0460596379126731,-0.0460596379126731,-0.6799999999999997,-0.0186
2017-10-10,BKR,36.09,36.19,34.93,34.94,392508,33.85,33.95,32.76,32.77,392508,36.09,36.19,34.93,34.94,392508,-0.06975505857295,-0.06975505857295,-0.8900000000000006,-0.0248
2017-10-11,BKR,34.8,34.87,34.24,34.39,436597,32.64,32.71,32.12,32.26,436597,34.8,34.87,34.24,34.39,436597,-0.0843982960596379,-0.0843982960596379,-0.5499999999999972,-0.0157
2017-10-12,BKR,34.1,34.19,33.79,33.92,337374,31.99,32.07,31.7,31.82,337374,34.1,34.19,33.79,33.92,337374,-0.0969116080937167,-0.0969116080937167,-0.4699999999999988,-0.0137
2017-10-13,BKR,34.26,34.59,33.71,33.74,359989,32.14,32.45,31.62,31.65,359989,34.26,34.59,33.71,33.74,359989,-0.1017039403620873,-0.1017039403620873,-0.1799999999999997,-0.0053
2017-10-16,BKR,33.97,34.22,33.65,33.7,236233,31.86,32.1,31.56,31.61,236233,33.97,34.22,33.65,33.7,236233,-0.1027689030883918,-0.1027689030883918,-0.0399999999999991,-0.0012
2017-10-17,BKR,33.7,34.03,33.31,33.85,383885,31.61,31.92,31.24,31.75,383885,33.7,34.03,33.31,33.85,383885,-0.0987752928647497,-0.0987752928647497,0.1499999999999985,0.0045
2017-10-18,BKR,33.89,34.26,33.78,33.79,316159,31.79,32.14,31.69,31.7,316159,33.89,34.26,33.78,33.79,316159,-0.1003727369542066,-0.1003727369542066,-0.0600000000000022,-0.0018
2017-10-19,BKR,33.63,33.88,33.06,33.16,504482,31.54,31.78,31.01,31.1,504482,33.63,33.88,33.06,33.16,504482,-0.1171458998935038,-0.1171458998935038,-0.6300000000000026,-0.0186
2017-10-20,BKR,32.05,33.43,31.51,33.26,742271,30.06,31.36,29.56,31.2,742271,32.05,33.43,31.51,33.26,742271,-0.1144834930777423,-0.1144834930777423,0.1000000000000014,0.003
2017-10-23,BKR,33.22,33.23,31.4,31.46,772135,31.16,31.17,29.45,29.51,772135,33.22,33.23,31.4,31.46,772135,-0.1624068157614484,-0.1624068157614484,-1.7999999999999972,-0.0541
2017-10-24,BKR,31.56,31.66,30.63,30.69,4213779,29.9444,30.0393,29.062,29.1189,4213779,31.56,31.66,30.63,30.69,4213779,-0.1829073482428115,-0.1829073482428115,-0.7699999999999996,-0.0245
2017-10-25,BKR,30.69,30.84,30.0,30.07,444504,28.79,28.93,28.14,28.21,444504,30.69,30.84,30.0,30.07,444504,-0.1994142705005325,-0.1994142705005325,-0.620000000000001,-0.0202
2017-10-26,BKR,30.24,30.32,29.75,29.93,298741,28.37,28.44,27.9,28.07,298741,30.24,30.32,29.75,29.93,298741,-0.2031416400425985,-0.2031416400425985,-0.1400000000000005,-0.0047
2017-10-27,BKR,29.79,31.31,29.65,31.31,435172,27.94,29.37,27.81,29.37,435172,29.79,31.31,29.65,31.31,435172,-0.1664004259850906,-0.1664004259850906,1.379999999999999,0.0461
2017-10-30,BKR,31.18,31.77,31.09,31.5,4545954,29.5839,30.1437,29.4985,29.8875,4545954,31.18,31.77,31.09,31.5,4545954,-0.1613418530351438,-0.1613418530351438,0.1900000000000012,0.0061
2017-10-31,BKR,31.3,31.53,31.07,31.42,499612,29.36,29.58,29.14,29.47,499612,31.3,31.53,31.07,31.42,499612,-0.1634717784877529,-0.1634717784877529,-0.0799999999999983,-0.0025
2017-11-01,BKR,31.82,32.33,31.56,31.85,487862,29.85,30.33,29.6,29.88,487862,31.82,32.33,31.56,31.85,487862,-0.1520234291799787,-0.1520234291799787,0.4299999999999997,0.0137
2017-11-02,BKR,31.74,32.17,31.1,31.29,501126,29.77,30.18,29.17,29.35,501126,31.74,32.17,31.1,31.29,501126,-0.1669329073482429,-0.1669329073482429,-0.5600000000000023,-0.0176
2017-11-03,BKR,30.95,31.46,30.89,31.17,524207,29.03,29.51,28.97,29.24,524207,30.95,31.46,30.89,31.17,524207,-0.1701277955271565,-0.1701277955271565,-0.1199999999999974,-0.0038
2017-11-06,BKR,32.13,33.98,31.9,33.94,859463,30.14,31.87,29.92,31.84,859463,32.13,33.98,31.9,33.94,859463,-0.0963791267305645,-0.0963791267305645,2.769999999999996,0.0889
2017-11-07,BKR,34.03,34.06,33.31,33.4,616189,31.92,31.95,31.24,31.33,616189,34.03,34.06,33.31,33.4,616189,-0.1107561235356763,-0.1107561235356763,-0.5399999999999991,-0.0159
2017-11-08,BKR,33.28,33.72,32.79,32.85,403376,31.22,31.63,30.76,30.81,403376,33.28,33.72,32.79,32.85,403376,-0.1253993610223642,-0.1253993610223642,-0.5499999999999972,-0.0165
2017-11-09,BKR,32.88,32.95,32.2,32.75,324576,30.84,30.91,30.2,30.72,324576,32.88,32.95,32.2,32.75,324576,-0.1280617678381257,-0.1280617678381257,-0.1000000000000014,-0.003
2017-11-10,BKR,32.63,33.12,32.41,32.97,312583,30.61,31.07,30.4,30.93,312583,32.63,33.12,32.41,32.97,312583,-0.1222044728434505,-0.1222044728434505,0.2199999999999988,0.0067
2017-11-13,BKR,32.74,32.74,31.85,31.91,334029,30.71,30.71,29.88,29.93,334029,32.74,32.74,31.85,31.91,334029,-0.1504259850905218,-0.1504259850905218,-1.0599999999999987,-0.0322
2017-11-14,BKR,31.68,31.68,29.96,30.52,538758,29.72,29.72,28.1,28.63,538758,31.68,31.68,29.96,30.52,538758,-0.187433439829606,-0.187433439829606,-1.3900000000000006,-0.0436
2017-11-15,BKR,29.85,30.82,29.63,30.6,331199,28.0,28.91,27.79,28.7,331199,29.85,30.82,29.63,30.6,331199,-0.1853035143769968,-0.1853035143769968,0.0800000000000018,0.0026
2017-11-16,BKR,30.64,31.15,30.11,30.16,377450,28.74,29.22,28.24,28.29,377450,30.64,31.15,30.11,30.16,377450,-0.1970181043663472,-0.1970181043663472,-0.4400000000000013,-0.0144
2017-11-17,BKR,30.2,31.02,30.2,30.91,344582,28.33,29.09,28.33,28.99,344582,30.2,31.02,30.2,30.91,344582,-0.1770500532481363,-0.1770500532481363,0.75,0.0249
2017-11-20,BKR,30.81,30.83,30.32,30.43,326436,28.9,28.92,28.44,28.54,326436,30.81,30.83,30.32,30.43,326436,-0.1898296059637913,-0.1898296059637913,-0.4800000000000004,-0.0155
2017-11-21,BKR,30.58,30.99,30.58,30.67,315971,28.68,29.07,28.68,28.77,315971,30.58,30.99,30.58,30.67,315971,-0.1834398296059638,-0.1834398296059638,0.240000000000002,0.0079
2017-11-22,BKR,30.72,31.12,30.6,30.71,237907,28.82,29.19,28.7,28.81,237907,30.72,31.12,30.6,30.71,237907,-0.1823748668796592,-0.1823748668796592,0.0399999999999991,0.0013
2017-11-24,BKR,30.9,31.11,30.6,30.79,167050,28.98,29.18,28.7,28.88,167050,30.9,31.11,30.6,30.79,167050,-0.1802449414270501,-0.1802449414270501,0.0799999999999983,0.0026
2017-11-27,BKR,30.65,30.79,30.18,30.32,222461,28.75,28.88,28.31,28.44,222461,30.65,30.79,30.18,30.32,222461,-0.1927582534611289,-0.1927582534611289,-0.4699999999999988,-0.0153
2017-11-28,BKR,30.2,30.37,29.99,30.08,4314469,28.8199,28.9821,28.6195,28.7054,4314469,30.2,30.37,29.99,30.08,4314469,-0.1991480298189564,-0.1991480298189564,-0.240000000000002,-0.0079
