Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,BRK.B,73.2,73.32,72.52,73.32,428500,73.2,73.32,72.52,73.32,428500,3660.0,3666.0,3626.0,3666.0,8570,0.0,0.0,0.0,0.0
2007-01-03,BRK.B,3678.0,3686.0,3630.0,3643.0,27650,3678.0,3686.0,3630.0,3643.0,27650,3678.0,3686.0,3630.0,3643.0,27650,48.68630660120022,48.68630660120022,3569.68,48.6863
2007-01-04,BRK.B,3643.0,3647.0,3603.0,3610.0,21370,3643.0,3647.0,3603.0,3610.0,21370,3643.0,3647.0,3603.0,3610.0,21370,48.236224768139664,48.236224768139664,-33.0,-0.0091
2007-01-05,BRK.B,3633.0,3633.0,3563.0,3578.0,18550,3633.0,3633.0,3563.0,3578.0,18550,3633.0,3633.0,3563.0,3578.0,18550,47.79978177850519,47.79978177850519,-32.0,-0.0089
2007-01-08,BRK.B,3591.0,3595.0,3575.0,3586.01,15150,3591.0,3595.0,3575.0,3586.01,15150,3591.0,3595.0,3575.0,3586.01,15150,47.90902891434807,47.90902891434807,8.010000000000218,0.0022
2007-01-09,BRK.B,3586.01,3652.0,3583.0,3650.0,12210,3586.01,3652.0,3583.0,3650.0,12210,3586.01,3652.0,3583.0,3650.0,12210,48.78177850518277,48.78177850518277,63.98999999999978,0.0178
2007-01-10,BRK.B,3650.0,3659.0,3615.0,3650.91,15520,3650.0,3659.0,3615.0,3650.91,15520,3650.0,3659.0,3615.0,3650.91,15520,48.79418985270049,48.79418985270049,0.9099999999998544,0.0002
2007-01-11,BRK.B,3654.0,3670.0,3650.0,3669.95,11400,3654.0,3670.0,3650.0,3669.95,11400,3654.0,3670.0,3650.0,3669.95,11400,49.053873431533006,49.053873431533006,19.039999999999964,0.0052
2007-01-12,BRK.B,3670.0,3673.9,3655.0,3667.8,9150,3670.0,3673.9,3655.0,3667.8,9150,3670.0,3673.9,3655.0,3667.8,9150,49.02454991816695,49.02454991816695,-2.149999999999636,-0.0006
2007-01-16,BRK.B,3674.0,3681.9,3616.01,3619.1,16010,3674.0,3681.9,3616.01,3619.1,16010,3674.0,3681.9,3616.01,3619.1,16010,48.36033824331697,48.36033824331697,-48.70000000000027,-0.0133
2007-01-17,BRK.B,3619.1,3658.0,3619.0,3620.31,14640,3619.1,3658.0,3619.0,3620.31,14640,3619.1,3658.0,3619.0,3620.31,14640,48.37684124386252,48.37684124386252,1.2100000000000364,0.0003
