Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,CF,5.18,5.242,5.112,5.128,1887000,3.8012,3.8467,3.7513,3.763,1887000,25.9,26.21,25.56,25.64,377400,0.0,0.0,0.0,0.0
2007-01-03,CF,5.18,5.35,5.14,5.29,769500,3.76,3.89,3.74,3.85,769500,25.89,26.74,25.7,26.46,769500,0.031591263650546,0.031591263650546,0.1619999999999999,0.0316
2007-01-04,CF,5.29,5.38,5.26,5.35,429400,3.85,3.91,3.82,3.89,429400,26.45,26.89,26.3,26.75,429400,0.0432917316692666,0.0432917316692666,0.0599999999999996,0.0113
2007-01-05,CF,5.17,5.33,5.17,5.32,433600,3.76,3.88,3.76,3.87,433600,25.85,26.66,25.85,26.59,433600,0.0374414976599064,0.0374414976599064,-0.0299999999999993,-0.0056
2007-01-08,CF,5.32,5.35,5.22,5.28,509000,3.87,3.89,3.79,3.84,509000,26.59,26.74,26.09,26.42,509000,0.0296411856474259,0.0296411856474259,-0.04,-0.0075
2007-01-09,CF,5.3,5.42,5.29,5.4,603500,3.85,3.94,3.85,3.93,603500,26.48,27.1,26.45,27.02,603500,0.0530421216848674,0.0530421216848674,0.1200000000000001,0.0227
2007-01-10,CF,5.4,5.45,5.39,5.43,696900,3.93,3.97,3.92,3.95,696900,27.02,27.27,26.95,27.15,696900,0.0588923556942276,0.0588923556942276,0.0299999999999993,0.0056
2007-01-11,CF,5.44,5.56,5.42,5.54,539000,3.95,4.05,3.94,4.03,539000,27.19,27.82,27.1,27.7,539000,0.0803432137285491,0.0803432137285491,0.1100000000000003,0.0203
2007-01-12,CF,5.64,5.86,5.63,5.81,1070900,4.1,4.26,4.09,4.22,1070900,28.21,29.28,28.15,29.03,1070900,0.1329953198127924,0.1329953198127924,0.2699999999999996,0.0487
2007-01-16,CF,5.84,5.95,5.84,5.88,986200,4.25,4.33,4.24,4.27,986200,29.21,29.77,29.19,29.4,986200,0.1466458658346333,0.1466458658346333,0.0700000000000002,0.012
2007-01-17,CF,5.88,5.92,5.84,5.88,740100,4.27,4.3,4.25,4.27,740100,29.39,29.6,29.21,29.4,740100,0.1466458658346333,0.1466458658346333,0.0,0.0
2007-01-18,CF,5.81,5.9,5.77,5.77,555800,4.23,4.29,4.19,4.19,555800,29.07,29.51,28.83,28.84,555800,0.1251950078003119,0.1251950078003119,-0.1100000000000003,-0.0187
2007-01-19,CF,5.76,5.87,5.74,5.86,641900,4.19,4.27,4.18,4.26,641900,28.8,29.35,28.72,29.29,641900,0.1427457098283931,0.1427457098283931,0.0900000000000007,0.0156
