Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,CHRW,40.94,41.54,40.676,40.89,1084587,28.4808,28.8982,28.2971,28.446,1084587,40.94,41.54,40.676,40.89,1084587,0.0,0.0,0.0,0.0
2007-01-03,CHRW,42.25,43.78,42.11,43.3,3418158,29.71,30.79,29.61,30.45,3418158,42.25,43.78,42.11,43.3,3418158,0.0589386157984836,0.0589386157984836,2.4099999999999966,0.0589
2007-01-04,CHRW,43.01,43.81,42.62,43.49,2722630,30.24,30.81,29.97,30.58,2722630,43.01,43.81,42.62,43.49,2722630,0.0635852286622646,0.0635852286622646,0.1900000000000048,0.0044
2007-01-05,CHRW,43.62,43.71,42.96,43.05,1441157,30.67,30.74,30.21,30.27,1441157,43.62,43.71,42.96,43.05,1441157,0.0528246515040351,0.0528246515040351,-0.4400000000000048,-0.0101
2007-01-08,CHRW,43.0,43.64,42.85,43.31,1522473,30.24,30.69,30.13,30.46,1522473,43.0,43.64,42.85,43.31,1522473,0.0591831743702617,0.0591831743702617,0.2600000000000051,0.006
2007-01-09,CHRW,43.31,43.85,42.95,43.44,1913258,30.46,30.84,30.2,30.55,1913258,43.31,43.85,42.95,43.44,1913258,0.0623624358033748,0.0623624358033748,0.1299999999999954,0.003
2007-01-10,CHRW,43.07,43.42,42.63,43.2,1668435,30.29,30.53,29.98,30.38,1668435,43.07,43.42,42.63,43.2,1668435,0.0564930300807043,0.0564930300807043,-0.2399999999999948,-0.0055
2007-01-11,CHRW,43.41,44.09,43.34,44.05,1281231,30.53,31.0,30.48,30.98,1281231,43.41,44.09,43.34,44.05,1281231,0.0772805086818292,0.0772805086818292,0.8499999999999943,0.0197
2007-01-12,CHRW,44.1,44.7,44.05,44.6,953277,31.01,31.43,30.98,31.36,953277,44.1,44.7,44.05,44.6,953277,0.090731230129616,0.090731230129616,0.5500000000000043,0.0125
2007-01-16,CHRW,44.51,45.28,43.95,44.41,1286019,31.3,31.84,30.91,31.23,1286019,44.51,45.28,43.95,44.41,1286019,0.086084617265835,0.086084617265835,-0.1900000000000048,-0.0043
2007-01-17,CHRW,44.23,44.89,44.1,44.18,1012347,31.1,31.57,31.01,31.07,1012347,44.23,44.89,44.1,44.18,1012347,0.0804597701149425,0.0804597701149425,-0.2299999999999968,-0.0052
2007-01-18,CHRW,44.54,45.19,44.06,44.07,1197925,31.32,31.78,30.98,30.99,1197925,44.54,45.19,44.06,44.07,1197925,0.0777696258253851,0.0777696258253851,-0.1099999999999994,-0.0025
2007-01-19,CHRW,43.98,44.75,43.91,44.53,937605,30.93,31.47,30.88,31.31,937605,43.98,44.75,43.91,44.53,937605,0.0890193201271704,0.0890193201271704,0.4600000000000008,0.0104
2007-01-22,CHRW,44.53,44.86,43.22,43.67,1789205,31.31,31.55,30.39,30.71,1789205,44.53,44.86,43.22,43.67,1789205,0.0679872829542675,0.0679872829542675,-0.8599999999999994,-0.0193
2007-01-23,CHRW,43.37,44.03,43.07,43.5,1082790,30.5,30.96,30.29,30.59,1082790,43.37,44.03,43.07,43.5,1082790,0.0638297872340425,0.0638297872340425,-0.1700000000000017,-0.0039
2007-01-24,CHRW,43.56,44.22,43.42,43.82,966309,30.63,31.1,30.53,30.81,966309,43.56,44.22,43.42,43.82,966309,0.0716556615309366,0.0716556615309366,0.3200000000000003,0.0074
2007-01-25,CHRW,43.58,43.66,42.51,42.89,1501670,30.65,30.7,29.89,30.16,1501670,43.58,43.66,42.51,42.89,1501670,0.0489117143555881,0.0489117143555881,-0.9299999999999996,-0.0212
2007-01-26,CHRW,42.9,43.16,42.53,42.94,1028838,30.17,30.35,29.91,30.2,1028838,42.9,43.16,42.53,42.94,1028838,0.0501345072144778,0.0501345072144778,0.0499999999999971,0.0012
2007-01-29,CHRW,42.59,43.54,42.53,43.07,1163994,29.95,30.62,29.91,30.29,1163994,42.59,43.54,42.53,43.07,1163994,0.053313768647591,0.053313768647591,0.1300000000000025,0.003
2007-01-30,CHRW,42.96,43.77,42.96,43.76,1123805,30.21,30.78,30.21,30.77,1123805,42.96,43.77,42.96,43.76,1123805,0.0701883101002689,0.0701883101002689,0.6899999999999977,0.016
2007-01-31,CHRW,47.39,53.5,47.29,53.2,15359524,33.33,37.62,33.25,37.41,15359524,47.39,53.5,47.29,53.2,15359524,0.3010516018586452,0.3010516018586452,9.440000000000005,0.2157
2007-02-01,CHRW,53.05,52.84,51.25,52.6,4677915,37.3,37.16,36.04,36.99,4677915,53.05,52.84,51.25,52.6,4677915,0.2863780875519687,0.2863780875519687,-0.6000000000000014,-0.0113
2007-02-02,CHRW,52.6,53.11,51.95,52.89,1329790,36.99,37.35,36.53,37.19,1329790,52.6,53.11,51.95,52.89,1329790,0.293470286133529,0.293470286133529,0.2899999999999991,0.0055
2007-02-05,CHRW,52.72,52.77,51.85,52.15,1305648,37.07,37.11,36.46,36.67,1305648,52.72,52.77,51.85,52.15,1305648,0.2753729518219613,0.2753729518219613,-0.740000000000002,-0.014
2007-02-06,CHRW,52.15,52.39,51.5,51.98,1226249,36.67,36.84,36.21,36.55,1226249,52.15,52.39,51.5,51.98,1226249,0.2712154561017362,0.2712154561017362,-0.1700000000000017,-0.0033
2007-02-07,CHRW,51.76,53.38,51.67,52.85,1872970,36.4,37.53,36.33,37.16,1872970,51.76,53.38,51.67,52.85,1872970,0.2924920518464172,0.2924920518464172,0.8700000000000045,0.0167
2007-02-08,CHRW,52.9,53.0,52.36,52.5,1090516,37.2,37.27,36.82,36.92,1090516,52.9,53.0,52.36,52.5,1090516,0.2839325018341893,0.2839325018341893,-0.3500000000000014,-0.0066
2007-02-09,CHRW,52.5,52.91,51.42,51.79,1194163,36.92,37.21,36.16,36.42,1194163,52.5,52.91,51.42,51.79,1194163,0.2665688432379554,0.2665688432379554,-0.7100000000000009,-0.0135
2007-02-12,CHRW,51.48,52.13,51.1,51.42,977832,36.2,36.66,35.93,36.16,977832,51.48,52.13,51.1,51.42,977832,0.2575201760821717,0.2575201760821717,-0.3699999999999974,-0.0071
2007-02-13,CHRW,50.72,51.74,50.26,51.67,1538705,35.67,36.38,35.34,36.33,1538705,50.72,51.74,50.26,51.67,1538705,0.2636341403766202,0.2636341403766202,0.25,0.0049
2007-02-14,CHRW,51.76,53.21,51.61,53.12,1322767,36.4,37.42,36.29,37.35,1322767,51.76,53.21,51.61,53.12,1322767,0.2990951332844215,0.2990951332844215,1.4499999999999955,0.0281
2007-02-15,CHRW,53.02,53.16,52.22,52.53,849266,37.28,37.38,36.72,36.94,849266,53.02,53.16,52.22,52.53,849266,0.2846661775495231,0.2846661775495231,-0.5899999999999963,-0.0111
2007-02-16,CHRW,52.65,53.24,52.37,52.71,677005,37.02,37.44,36.83,37.07,677005,52.65,53.24,52.37,52.71,677005,0.289068231841526,0.289068231841526,0.1799999999999997,0.0034
2007-02-20,CHRW,53.33,54.35,52.56,54.03,1332640,37.5,38.22,36.96,37.99,1332640,53.33,54.35,52.56,54.03,1332640,0.3213499633162142,0.3213499633162142,1.3200000000000005,0.025
