Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,CLX,64.61,64.75,64.07,64.15,344400,40.7508,40.8391,40.4102,40.4607,344400,64.61,64.75,64.07,64.15,344400,0.0,0.0,0.0,0.0
2007-01-03,CLX,64.3,64.3,63.95,64.08,976000,39.36,39.36,39.14,39.22,976000,64.3,64.3,63.95,64.08,976000,-0.0010911925175371,-0.0010911925175371,-0.0700000000000073,-0.0011
2007-01-04,CLX,64.2,64.33,63.48,64.04,843000,39.3,39.38,38.86,39.2,843000,64.2,64.33,63.48,64.04,843000,-0.0017147310989867,-0.0017147310989867,-0.039999999999992,-0.0006
2007-01-05,CLX,63.79,64.41,63.74,63.89,727000,39.05,39.43,39.02,39.11,727000,63.79,64.41,63.74,63.89,727000,-0.0040530007794233,-0.0040530007794233,-0.1500000000000056,-0.0023
2007-01-08,CLX,63.7,63.71,63.24,63.3,1028200,38.99,39.0,38.71,38.75,1028200,63.7,63.71,63.24,63.3,1028200,-0.0132501948558068,-0.0132501948558068,-0.5900000000000034,-0.0092
2007-01-09,CLX,63.31,63.82,62.84,63.38,1174700,38.75,39.06,38.46,38.79,1174700,63.31,63.82,62.84,63.38,1174700,-0.0120031176929072,-0.0120031176929072,0.0800000000000054,0.0013
2007-01-10,CLX,63.37,63.77,63.04,63.64,614500,38.79,39.03,38.59,38.95,614500,63.37,63.77,63.04,63.64,614500,-0.0079501169134841,-0.0079501169134841,0.259999999999998,0.0041
2007-01-11,CLX,63.89,64.06,63.67,64.0,441400,39.11,39.21,38.97,39.17,441400,63.89,64.06,63.67,64.0,441400,-0.0023382696804365,-0.0023382696804365,0.3599999999999994,0.0057
2007-01-12,CLX,64.04,64.69,63.64,64.35,813600,39.2,39.6,38.95,39.39,813600,64.04,64.69,63.64,64.35,813600,0.0031176929072484,0.0031176929072484,0.3499999999999943,0.0055
2007-01-16,CLX,64.55,64.63,64.09,64.25,480500,39.51,39.56,39.23,39.33,480500,64.55,64.63,64.09,64.25,480500,0.0015588464536242,0.0015588464536242,-0.0999999999999943,-0.0016
2007-01-17,CLX,64.16,64.59,63.36,63.98,597100,39.27,39.54,38.78,39.16,597100,64.16,64.59,63.36,63.98,597100,-0.0026500389711614,-0.0026500389711614,-0.2700000000000031,-0.0042
2007-01-18,CLX,63.77,64.09,63.56,63.97,709100,39.03,39.23,38.91,39.16,709100,63.77,64.09,63.56,63.97,709100,-0.0028059236165238,-0.0028059236165238,-0.009999999999998,-0.0002
2007-01-19,CLX,64.31,64.55,64.03,64.42,716800,39.36,39.51,39.19,39.43,716800,64.31,64.55,64.03,64.42,716800,0.0042088854247855,0.0042088854247855,0.4500000000000028,0.007
2007-01-22,CLX,65.72,66.04,64.87,65.48,1410600,40.23,40.42,39.71,40.08,1410600,65.72,66.04,64.87,65.48,1410600,0.0207326578332034,0.0207326578332034,1.0600000000000025,0.0165
2007-01-23,CLX,65.59,66.2,64.91,65.59,1030500,40.15,40.52,39.73,40.15,1030500,65.59,66.2,64.91,65.59,1030500,0.0224473889321901,0.0224473889321901,0.1099999999999994,0.0017
2007-01-24,CLX,65.56,65.82,65.29,65.54,702600,40.13,40.29,39.96,40.12,702600,65.56,65.82,65.29,65.54,702600,0.021667965705378,0.021667965705378,-0.0499999999999971,-0.0008
2007-01-25,CLX,65.39,65.45,64.77,64.84,738400,40.03,40.06,39.65,39.69,738400,65.39,65.45,64.77,64.84,738400,0.0107560405300077,0.0107560405300077,-0.7000000000000028,-0.0107
2007-01-26,CLX,64.77,65.31,64.63,64.95,846300,39.65,39.98,39.56,39.76,846300,64.77,65.31,64.63,64.95,846300,0.0124707716289945,0.0124707716289945,0.1099999999999994,0.0017
2007-01-29,CLX,64.72,65.37,64.72,64.89,712600,39.81,40.21,39.81,39.91,712600,64.72,65.37,64.72,64.89,712600,0.0115354637568198,0.0115354637568198,-0.0600000000000022,-0.0009
2007-01-30,CLX,64.8,64.81,64.16,64.62,784100,39.86,39.86,39.46,39.75,784100,64.8,64.81,64.16,64.62,784100,0.0073265783320342,0.0073265783320342,-0.269999999999996,-0.0042
2007-01-31,CLX,64.49,65.62,64.31,65.42,850100,39.67,40.36,39.56,40.24,850100,64.49,65.62,64.31,65.42,850100,0.0197973499610287,0.0197973499610287,0.7999999999999972,0.0124
2007-02-01,CLX,66.07,67.08,65.89,66.82,1733900,40.64,41.26,40.53,41.1,1733900,66.07,67.08,65.89,66.82,1733900,0.041621200311769,0.041621200311769,1.3999999999999917,0.0214
2007-02-02,CLX,66.83,67.5,66.67,67.34,1200700,41.11,41.52,41.01,41.42,1200700,66.83,67.5,66.67,67.34,1200700,0.0497272018706157,0.0497272018706157,0.5200000000000102,0.0078
2007-02-05,CLX,67.14,67.3,66.56,66.64,1258900,41.3,41.4,40.94,40.99,1258900,67.14,67.3,66.56,66.64,1258900,0.0388152766952454,0.0388152766952454,-0.7000000000000028,-0.0104
2007-02-06,CLX,66.55,66.84,66.19,66.37,965500,40.93,41.11,40.71,40.82,965500,66.55,66.84,66.19,66.37,965500,0.0346063912704598,0.0346063912704598,-0.269999999999996,-0.0041
2007-02-07,CLX,66.23,66.48,65.49,65.5,883600,40.74,40.89,40.28,40.29,883600,66.23,66.48,65.49,65.5,883600,0.0210444271239282,0.0210444271239282,-0.8700000000000045,-0.0131
2007-02-08,CLX,65.54,65.87,65.35,65.52,772700,40.31,40.52,40.2,40.3,772700,65.54,65.87,65.35,65.52,772700,0.021356196414653,0.021356196414653,0.019999999999996,0.0003
2007-02-09,CLX,65.69,65.8,64.87,65.01,638300,40.41,40.47,39.9,39.99,638300,65.69,65.8,64.87,65.01,638300,0.0134060795011691,0.0134060795011691,-0.5099999999999909,-0.0078
2007-02-12,CLX,65.1,65.5,64.91,65.35,487171,40.04,40.29,39.93,40.2,487171,65.1,65.5,64.91,65.35,487171,0.0187061574434916,0.0187061574434916,0.3399999999999892,0.0052
2007-02-13,CLX,65.58,65.97,65.42,65.89,736748,40.34,40.58,40.24,40.53,736748,65.58,65.97,65.42,65.89,736748,0.027123928293063,0.027123928293063,0.5400000000000063,0.0083
2007-02-14,CLX,65.9,66.63,65.81,66.45,779434,40.54,40.98,40.48,40.87,779434,65.9,66.63,65.81,66.45,779434,0.0358534684333592,0.0358534684333592,0.5600000000000023,0.0085
2007-02-15,CLX,66.25,66.8,66.15,66.59,579100,40.75,41.09,40.69,40.96,579100,66.25,66.8,66.15,66.59,579100,0.0380358534684333,0.0380358534684333,0.1400000000000005,0.0021
