Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,CMG,56.23,57.0,55.98,57.0,528000,56.23,57.0,55.98,57.0,528000,56.23,57.0,55.98,57.0,528000,0.0,0.0,0.0,0.0
2007-01-03,CMG,56.9,56.95,56.0,56.41,519300,56.9,56.95,56.0,56.41,519300,56.9,56.95,56.0,56.41,519300,-0.0103508771929825,-0.0103508771929825,-0.5900000000000034,-0.0104
2007-01-04,CMG,56.5,56.5,55.13,55.38,471200,56.5,56.5,55.13,55.38,471200,56.5,56.5,55.13,55.38,471200,-0.0284210526315789,-0.0284210526315789,-1.029999999999994,-0.0183
2007-01-05,CMG,55.58,55.68,54.61,55.0,508800,55.58,55.68,54.61,55.0,508800,55.58,55.68,54.61,55.0,508800,-0.0350877192982456,-0.0350877192982456,-0.3800000000000025,-0.0069
2007-01-08,CMG,55.01,56.2,54.8,56.05,286500,55.01,56.2,54.8,56.05,286500,55.01,56.2,54.8,56.05,286500,-0.0166666666666667,-0.0166666666666667,1.0499999999999972,0.0191
2007-01-09,CMG,56.04,57.39,56.04,56.45,571600,56.04,57.39,56.04,56.45,571600,56.04,57.39,56.04,56.45,571600,-0.0096491228070174,-0.0096491228070174,0.4000000000000057,0.0071
2007-01-10,CMG,55.73,56.65,55.51,56.21,869100,55.73,56.65,55.51,56.21,869100,55.73,56.65,55.51,56.21,869100,-0.013859649122807,-0.013859649122807,-0.240000000000002,-0.0043
2007-01-11,CMG,56.35,57.75,56.16,57.67,447700,56.35,57.75,56.16,57.67,447700,56.35,57.75,56.16,57.67,447700,0.0117543859649123,0.0117543859649123,1.4600000000000009,0.026
2007-01-12,CMG,57.42,58.5,56.63,58.28,745200,57.42,58.5,56.63,58.28,745200,57.42,58.5,56.63,58.28,745200,0.0224561403508772,0.0224561403508772,0.6099999999999994,0.0106
2007-01-16,CMG,58.29,60.5,58.29,60.46,712000,58.29,60.5,58.29,60.46,712000,58.29,60.5,58.29,60.46,712000,0.0607017543859649,0.0607017543859649,2.18,0.0374
2007-01-17,CMG,60.4,60.94,59.52,60.6,595000,60.4,60.94,59.52,60.6,595000,60.4,60.94,59.52,60.6,595000,0.0631578947368421,0.0631578947368421,0.1400000000000005,0.0023
2007-01-18,CMG,59.77,60.6,59.02,59.58,759600,59.77,60.6,59.02,59.58,759600,59.77,60.6,59.02,59.58,759600,0.0452631578947368,0.0452631578947368,-1.0200000000000031,-0.0168
2007-01-19,CMG,59.34,59.68,58.8,58.97,258600,59.34,59.68,58.8,58.97,258600,59.34,59.68,58.8,58.97,258600,0.0345614035087719,0.0345614035087719,-0.6099999999999994,-0.0102
2007-01-22,CMG,59.54,59.54,58.17,58.42,410200,59.54,59.54,58.17,58.42,410200,59.54,59.54,58.17,58.42,410200,0.0249122807017544,0.0249122807017544,-0.5499999999999972,-0.0093
2007-01-23,CMG,58.95,59.06,58.01,58.5,616500,58.95,59.06,58.01,58.5,616500,58.95,59.06,58.01,58.5,616500,0.0263157894736842,0.0263157894736842,0.0799999999999983,0.0014
2007-01-24,CMG,58.7,58.99,57.96,58.0,421300,58.7,58.99,57.96,58.0,421300,58.7,58.99,57.96,58.0,421300,0.0175438596491228,0.0175438596491228,-0.5,-0.0085
2007-01-25,CMG,58.2,58.25,57.15,57.48,1140900,58.2,58.25,57.15,57.48,1140900,58.2,58.25,57.15,57.48,1140900,0.0084210526315788,0.0084210526315788,-0.5200000000000031,-0.009
2007-01-26,CMG,58.0,58.2,56.66,57.34,518700,58.0,58.2,56.66,57.34,518700,58.0,58.2,56.66,57.34,518700,0.0059649122807018,0.0059649122807018,-0.1399999999999934,-0.0024
2007-01-29,CMG,57.09,59.2,56.87,58.7,401200,57.09,59.2,56.87,58.7,401200,57.09,59.2,56.87,58.7,401200,0.0298245614035088,0.0298245614035088,1.3599999999999994,0.0237
2007-01-30,CMG,58.67,59.86,58.34,59.6,504800,58.67,59.86,58.34,59.6,504800,58.67,59.86,58.34,59.6,504800,0.0456140350877193,0.0456140350877193,0.8999999999999986,0.0153
2007-01-31,CMG,59.6,60.3,58.74,59.42,467000,59.6,60.3,58.74,59.42,467000,59.6,60.3,58.74,59.42,467000,0.0424561403508772,0.0424561403508772,-0.1799999999999997,-0.003
2007-02-01,CMG,59.6,60.4,58.93,59.8,878000,59.6,60.4,58.93,59.8,878000,59.6,60.4,58.93,59.8,878000,0.0491228070175438,0.0491228070175438,0.3799999999999954,0.0064
2007-02-02,CMG,60.18,60.18,59.53,60.01,348900,60.18,60.18,59.53,60.01,348900,60.18,60.18,59.53,60.01,348900,0.0528070175438596,0.0528070175438596,0.2100000000000008,0.0035
2007-02-05,CMG,60.2,60.67,59.75,60.44,215900,60.2,60.67,59.75,60.44,215900,60.2,60.67,59.75,60.44,215900,0.0603508771929824,0.0603508771929824,0.4299999999999997,0.0072
2007-02-06,CMG,60.51,60.63,59.86,60.58,326300,60.51,60.63,59.86,60.58,326300,60.51,60.63,59.86,60.58,326300,0.0628070175438596,0.0628070175438596,0.1400000000000005,0.0023
2007-02-07,CMG,60.58,61.76,60.4,61.57,748500,60.58,61.76,60.4,61.57,748500,60.58,61.76,60.4,61.57,748500,0.0801754385964912,0.0801754385964912,0.990000000000002,0.0163
2007-02-08,CMG,61.57,62.26,61.11,62.09,304600,61.57,62.26,61.11,62.09,304600,61.57,62.26,61.11,62.09,304600,0.0892982456140351,0.0892982456140351,0.5200000000000031,0.0084
2007-02-09,CMG,62.25,62.4,61.48,61.91,751600,62.25,62.4,61.48,61.91,751600,62.25,62.4,61.48,61.91,751600,0.0861403508771929,0.0861403508771929,-0.1800000000000068,-0.0029
