Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,COF,78.07,78.2,76.82,76.82,1859500,61.9323,62.0354,60.9407,60.9407,1859500,78.07,78.2,76.82,76.82,1859500,0.0,0.0,0.0,0.0
2007-01-03,COF,77.07,77.75,76.62,77.25,3047000,58.2,58.71,57.86,58.33,3047000,77.07,77.75,76.62,77.25,3047000,0.0055975006508722,0.0055975006508722,0.4300000000000068,0.0056
2007-01-04,COF,77.47,77.72,76.63,77.16,1462000,58.5,58.69,57.86,58.26,1462000,77.47,77.72,76.63,77.16,1462000,0.0044259307472012,0.0044259307472012,-0.0900000000000034,-0.0012
2007-01-05,COF,77.16,77.5,76.5,77.16,2163900,58.26,58.52,57.77,58.26,2163900,77.16,77.5,76.5,77.16,2163900,0.0044259307472012,0.0044259307472012,0.0,0.0
2007-01-08,COF,77.24,77.47,76.49,77.43,2018900,58.32,58.5,57.76,58.47,2018900,77.24,77.47,76.49,77.43,2018900,0.0079406404582141,0.0079406404582141,0.2700000000000102,0.0035
2007-01-09,COF,77.68,77.7,76.3,76.63,2089600,58.66,58.67,57.61,57.86,2089600,77.68,77.7,76.3,76.63,2089600,-0.002473314241083,-0.002473314241083,-0.8000000000000114,-0.0103
2007-01-10,COF,76.49,76.53,75.3,75.7,2839500,57.76,57.79,56.86,57.16,2839500,76.49,76.53,75.3,75.7,2839500,-0.0145795365790157,-0.0145795365790157,-0.9299999999999926,-0.0121
2007-01-11,COF,75.7,76.1,75.45,75.99,3195000,57.16,57.46,56.97,57.38,3195000,75.7,76.1,75.45,75.99,3195000,-0.0108044780005206,-0.0108044780005206,0.289999999999992,0.0038
2007-01-12,COF,75.99,77.22,75.97,77.02,2821400,57.38,58.31,57.36,58.16,2821400,75.99,77.22,75.97,77.02,2821400,0.0026034886748243,0.0026034886748243,1.0300000000000011,0.0136
2007-01-16,COF,77.03,77.04,75.95,76.19,3647000,58.17,58.17,57.35,57.53,3647000,77.03,77.04,75.95,76.19,3647000,-0.0082009893256963,-0.0082009893256963,-0.8299999999999983,-0.0108
2007-01-17,COF,76.16,77.14,75.89,76.53,2884900,57.51,58.25,57.3,57.79,2884900,76.16,77.14,75.89,76.53,2884900,-0.003775058578495,-0.003775058578495,0.3400000000000034,0.0045
2007-01-18,COF,76.28,77.55,75.57,75.82,3306300,57.6,58.56,57.06,57.25,3306300,76.28,77.55,75.57,75.82,3306300,-0.0130174433741213,-0.0130174433741213,-0.710000000000008,-0.0093
2007-01-19,COF,77.5,79.0,76.89,78.88,7297000,58.52,59.65,58.06,59.56,7297000,77.5,79.0,76.89,78.88,7297000,0.0268159333506899,0.0268159333506899,3.0600000000000023,0.0404
2007-01-22,COF,78.78,79.71,78.38,78.99,4005100,59.49,60.19,59.18,59.65,4005100,78.78,79.71,78.38,78.99,4005100,0.0282478521218432,0.0282478521218432,0.1099999999999994,0.0014
2007-01-23,COF,79.37,80.09,79.09,80.05,3825400,59.93,60.48,59.72,60.45,3825400,79.37,80.09,79.09,80.05,3825400,0.0420463420984119,0.0420463420984119,1.0600000000000025,0.0134
2007-01-24,COF,80.0,80.28,79.53,80.24,2667700,60.41,60.62,60.06,60.59,2667700,80.0,80.28,79.53,80.24,2667700,0.0445196563394949,0.0445196563394949,0.1899999999999977,0.0024
2007-01-25,COF,80.24,80.4,78.31,78.68,3352700,60.59,60.71,59.13,59.41,3352700,80.24,80.4,78.31,78.68,3352700,0.0242124446758658,0.0242124446758658,-1.559999999999988,-0.0194
2007-01-26,COF,79.5,79.8,78.85,79.47,2715700,60.03,60.26,59.54,60.01,2715700,79.5,79.8,78.85,79.47,2715700,0.0344962249414215,0.0344962249414215,0.789999999999992,0.01
2007-01-29,COF,79.3,79.49,78.23,78.75,2081100,59.88,60.02,59.07,59.46,2081100,79.3,79.49,78.23,78.75,2081100,0.0251236657120542,0.0251236657120542,-0.7199999999999989,-0.0091
2007-01-30,COF,78.77,80.4,78.25,80.15,3381400,59.48,60.71,59.09,60.52,3381400,78.77,80.4,78.25,80.15,3381400,0.0433480864358241,0.0433480864358241,1.4000000000000057,0.0178
2007-01-31,COF,79.8,80.73,78.97,80.4,2996500,60.26,60.96,59.63,60.71,2996500,79.8,80.73,78.97,80.4,2996500,0.0466024472793545,0.0466024472793545,0.25,0.0031
2007-02-01,COF,80.4,80.43,79.45,79.72,2799700,60.71,60.73,59.99,60.2,2799700,80.4,80.43,79.45,79.72,2799700,0.0377505857849519,0.0377505857849519,-0.6800000000000068,-0.0085
2007-02-02,COF,79.97,81.25,79.67,80.81,5207700,60.39,61.35,60.16,61.02,5207700,79.97,81.25,79.67,80.81,5207700,0.0519395990627442,0.0519395990627442,1.0900000000000034,0.0137
2007-02-05,COF,80.57,81.86,80.27,81.64,3509200,60.84,61.81,60.61,61.65,3509200,80.57,81.86,80.27,81.64,3509200,0.0627440770632648,0.0627440770632648,0.8299999999999983,0.0103
2007-02-06,COF,81.6,82.85,81.41,82.69,4148500,61.62,62.56,61.47,62.44,4148500,81.6,82.85,81.41,82.69,4148500,0.0764123926060922,0.0764123926060922,1.0499999999999972,0.0129
2007-02-07,COF,82.7,83.84,81.78,83.61,3162900,62.45,63.31,61.75,63.13,3162900,82.7,83.84,81.78,83.61,3162900,0.0883884405102838,0.0883884405102838,0.9200000000000016,0.0111
2007-02-08,COF,83.04,83.18,81.01,82.78,3464300,62.72,62.83,61.19,62.52,3464300,83.04,83.18,81.01,82.78,3464300,0.0775839625097632,0.0775839625097632,-0.8299999999999983,-0.0099
2007-02-09,COF,82.7,83.12,81.3,82.01,2697700,62.46,62.78,61.41,61.94,2697700,82.7,83.12,81.3,82.01,2697700,0.0675605311116898,0.0675605311116898,-0.769999999999996,-0.0093
2007-02-12,COF,81.59,82.17,80.78,81.5,2661006,61.62,62.06,61.01,61.56,2661006,81.59,82.17,80.78,81.5,2661006,0.0609216349908878,0.0609216349908878,-0.5100000000000051,-0.0062
2007-02-13,COF,81.6,82.42,81.5,81.78,2207750,61.63,62.25,61.56,61.77,2207750,81.6,82.42,81.5,81.78,2207750,0.0645665191356418,0.0645665191356418,0.2800000000000011,0.0034
2007-02-14,COF,82.1,82.63,81.68,81.87,2669102,62.01,62.41,61.69,61.84,2669102,82.1,82.63,81.68,81.87,2669102,0.0657380890393128,0.0657380890393128,0.0900000000000034,0.0011
2007-02-15,COF,81.99,82.5,81.25,82.35,3127200,61.93,62.31,61.37,62.2,3127200,81.99,82.5,81.25,82.35,3127200,0.0719864618588909,0.0719864618588909,0.4799999999999897,0.0059
2007-02-16,COF,82.1,82.43,81.7,82.07,3397400,62.01,62.26,61.71,61.99,3397400,82.1,82.43,81.7,82.07,3397400,0.0683415777141369,0.0683415777141369,-0.2800000000000011,-0.0034
2007-02-20,COF,81.82,82.39,81.59,82.14,2601100,61.8,62.23,61.62,62.04,2601100,81.82,82.39,81.59,82.14,2601100,0.0692527987503255,0.0692527987503255,0.0700000000000073,0.0009
2007-02-21,COF,81.5,82.4,81.23,82.29,3546500,61.56,62.24,61.35,62.15,3546500,81.5,82.4,81.23,82.29,3546500,0.0712054152564438,0.0712054152564438,0.1500000000000056,0.0018
2007-02-22,COF,82.44,82.45,81.87,82.31,2611200,62.27,62.27,61.84,62.17,2611200,82.44,82.45,81.87,82.31,2611200,0.0714657641239261,0.0714657641239261,0.019999999999996,0.0002
2007-02-23,COF,82.43,82.43,79.91,80.48,3420200,62.26,62.26,60.36,60.79,3420200,82.43,82.43,79.91,80.48,3420200,0.0476438427492841,0.0476438427492841,-1.8299999999999983,-0.0222
2007-02-26,COF,80.51,81.14,79.52,80.32,3242206,60.81,61.29,60.06,60.67,3242206,80.51,81.14,79.52,80.32,3242206,0.0455610518094246,0.0455610518094246,-0.1600000000000108,-0.002
2007-02-27,COF,79.5,79.89,76.31,77.13,4829000,60.05,60.34,57.64,58.26,4829000,79.5,79.89,76.31,77.13,4829000,0.0040354074459776,0.0040354074459776,-3.1899999999999977,-0.0397
2007-02-28,COF,77.13,78.27,75.78,77.03,4258400,58.26,59.12,57.24,58.18,4258400,77.13,78.27,75.78,77.03,4258400,0.0027336631085655,0.0027336631085655,-0.0999999999999943,-0.0013
2007-03-01,COF,75.35,77.46,75.0,77.15,3539175,56.91,58.51,56.65,58.27,3539175,75.35,77.46,75.0,77.15,3539175,0.0042957563134602,0.0042957563134602,0.1200000000000045,0.0016
2007-03-02,COF,76.6,77.43,76.15,76.78,3236000,57.86,58.48,57.52,57.99,3236000,76.6,77.43,76.15,76.78,3236000,-0.0005206977349647,-0.0005206977349647,-0.3700000000000045,-0.0048
2007-03-05,COF,76.0,77.24,74.25,74.37,4770300,57.4,58.34,56.08,56.17,4770300,76.0,77.24,74.25,74.37,4770300,-0.031892736266597,-0.031892736266597,-2.4099999999999966,-0.0314
2007-03-06,COF,74.37,76.3,74.69,75.86,2702500,56.17,57.63,56.41,57.3,2702500,74.37,76.3,74.69,75.86,2702500,-0.0124967456391563,-0.0124967456391563,1.4899999999999949,0.02
2007-03-07,COF,75.86,75.85,74.79,74.81,2733600,57.3,57.29,56.49,56.5,2733600,75.86,75.85,74.79,74.81,2733600,-0.0261650611819837,-0.0261650611819837,-1.0499999999999972,-0.0138
2007-03-08,COF,75.61,77.35,75.5,76.65,3825700,57.11,58.42,57.03,57.89,3825700,75.61,77.35,75.5,76.65,3825700,-0.0022129653736004,-0.0022129653736004,1.8400000000000036,0.0246
2007-03-09,COF,76.65,77.53,76.2,77.0,3454400,57.89,58.56,57.55,58.16,3454400,76.65,77.53,76.2,77.0,3454400,0.0023431398073419,0.0023431398073419,0.3499999999999943,0.0046
2007-03-12,COF,77.01,76.9,76.1,76.18,2015600,58.17,58.08,57.48,57.54,2015600,77.01,76.9,76.1,76.18,2015600,-0.0083311637594374,-0.0083311637594374,-0.8199999999999932,-0.0106
2007-03-13,COF,75.5,75.99,74.55,74.75,4442100,57.03,57.4,56.31,56.46,4442100,75.5,75.99,74.55,74.75,4442100,-0.026946107784431,-0.026946107784431,-1.4300000000000068,-0.0188
2007-03-14,COF,74.76,75.5,73.43,75.21,4652200,56.47,57.03,55.46,56.81,4652200,74.76,75.5,73.43,75.21,4652200,-0.0209580838323353,-0.0209580838323353,0.4599999999999937,0.0062
2007-03-15,COF,75.21,76.65,75.0,75.95,2711213,56.81,57.89,56.65,57.37,2711213,75.21,76.65,75.0,75.95,2711213,-0.0113251757354854,-0.0113251757354854,0.7400000000000091,0.0098
2007-03-16,COF,76.37,76.52,74.6,74.95,3596900,57.68,57.8,56.35,56.61,3596900,76.37,76.52,74.6,74.95,3596900,-0.0243426191096067,-0.0243426191096067,-1.0,-0.0132
2007-03-19,COF,75.16,75.88,74.62,75.64,3801600,56.77,57.31,56.36,57.13,3801600,75.16,75.88,74.62,75.64,3801600,-0.015360583181463,-0.015360583181463,0.6899999999999977,0.0092
2007-03-20,COF,75.63,76.29,75.25,76.21,2491100,57.12,57.62,56.84,57.56,2491100,75.63,76.29,75.25,76.21,2491100,-0.007940640458214,-0.007940640458214,0.5699999999999932,0.0075
2007-03-21,COF,76.13,78.86,75.92,78.07,3537800,57.5,59.56,57.34,58.97,3537800,76.13,78.86,75.92,78.07,3537800,0.0162718042176516,0.0162718042176516,1.8599999999999997,0.0244
2007-03-22,COF,77.9,78.85,77.07,77.76,2302300,58.84,59.56,58.21,58.73,2302300,77.9,78.85,77.07,77.76,2302300,0.0122363967716742,0.0122363967716742,-0.309999999999988,-0.004
2007-03-23,COF,77.76,78.17,77.47,77.89,2656000,58.73,59.04,58.51,58.83,2656000,77.76,78.17,77.47,77.89,2656000,0.0139286644103099,0.0139286644103099,0.1299999999999954,0.0017
2007-03-26,COF,77.93,78.24,76.63,77.44,3043700,58.86,59.09,57.88,58.49,3043700,77.93,78.24,76.63,77.44,3043700,0.0080708148919552,0.0080708148919552,-0.4500000000000028,-0.0058
2007-03-27,COF,76.94,77.25,76.54,76.64,3120000,58.11,58.35,57.81,57.89,3120000,76.94,77.25,76.54,76.64,3120000,-0.0023431398073417,-0.0023431398073417,-0.7999999999999972,-0.0103
2007-03-28,COF,76.22,76.22,75.02,75.49,3563200,57.57,57.57,56.66,57.02,3563200,76.22,76.22,75.02,75.49,3563200,-0.0173131996875813,-0.0173131996875813,-1.1500000000000057,-0.015
2007-03-29,COF,76.08,76.31,75.2,75.65,1759716,57.46,57.64,56.8,57.14,1759716,76.08,76.31,75.2,75.65,1759716,-0.0152304087477217,-0.0152304087477217,0.1600000000000108,0.0021
2007-03-30,COF,75.37,76.02,75.07,75.46,2074100,56.93,57.42,56.7,56.99,2074100,75.37,76.02,75.07,75.46,2074100,-0.0177037229888049,-0.0177037229888049,-0.1900000000000119,-0.0025
2007-04-02,COF,75.22,75.23,73.42,73.57,25366605,56.81,56.82,55.45,55.57,25366605,75.22,75.23,73.42,73.57,25366605,-0.0423066909658943,-0.0423066909658943,-1.8900000000000008,-0.025
2007-04-03,COF,73.97,75.15,73.75,74.36,4172800,55.87,56.76,55.7,56.16,4172800,73.97,75.15,73.75,74.36,4172800,-0.0320229107003383,-0.0320229107003383,0.7900000000000063,0.0107
2007-04-04,COF,73.28,74.53,73.08,73.28,4471380,55.35,56.29,55.2,55.35,4471380,73.28,74.53,73.08,73.28,4471380,-0.0460817495443893,-0.0460817495443893,-1.0799999999999983,-0.0145
2007-04-05,COF,73.26,73.48,72.47,73.36,4520164,55.33,55.5,54.74,55.41,4520164,73.26,73.48,72.47,73.36,4520164,-0.0450403540744597,-0.0450403540744597,0.0799999999999983,0.0011
2007-04-09,COF,73.41,73.69,73.06,73.43,2081898,55.45,55.66,55.18,55.46,2081898,73.41,73.69,73.06,73.43,2081898,-0.0441291330382711,-0.0441291330382711,0.0700000000000073,0.001
2007-04-10,COF,73.44,74.17,73.13,74.01,2453900,55.47,56.02,55.24,55.9,2453900,73.44,74.17,73.13,74.01,2453900,-0.0365790158812807,-0.0365790158812807,0.5799999999999983,0.0079
2007-04-11,COF,73.84,74.44,73.67,73.92,3271152,55.77,56.22,55.64,55.83,3271152,73.84,74.44,73.67,73.92,3271152,-0.0377505857849517,-0.0377505857849517,-0.0900000000000034,-0.0012
2007-04-12,COF,73.51,73.98,73.25,73.83,2461197,55.52,55.88,55.33,55.76,2461197,73.51,73.98,73.25,73.83,2461197,-0.0389221556886226,-0.0389221556886226,-0.0900000000000034,-0.0012
2007-04-13,COF,73.9,75.1,73.88,75.06,3785617,55.82,56.72,55.8,56.69,3785617,73.9,75.1,73.88,75.06,3785617,-0.0229107003384534,-0.0229107003384534,1.230000000000004,0.0167
2007-04-16,COF,75.37,76.9,75.25,76.31,3019600,56.93,58.08,56.84,57.64,3019600,75.37,76.9,75.25,76.31,3019600,-0.0066388961208017,-0.0066388961208017,1.25,0.0167
2007-04-17,COF,76.8,77.4,76.13,77.12,3653642,58.01,58.46,57.5,58.25,3653642,76.8,77.4,76.13,77.12,3653642,0.0039052330122365,0.0039052330122365,0.8100000000000023,0.0106
2007-04-18,COF,77.12,78.18,76.5,77.68,3588200,58.25,59.05,57.78,58.67,3588200,77.12,78.18,76.5,77.68,3588200,0.0111950013017445,0.0111950013017445,0.5600000000000023,0.0073
2007-04-19,COF,77.0,78.15,76.61,77.34,4209630,58.16,59.03,57.86,58.41,4209630,77.0,78.15,76.61,77.34,4209630,0.0067690705545432,0.0067690705545432,-0.3400000000000034,-0.0044
2007-04-20,COF,72.72,74.39,71.57,72.8,15550174,54.93,56.19,54.06,54.99,15550174,72.72,74.39,71.57,72.8,15550174,-0.0523301223639676,-0.0523301223639676,-4.540000000000006,-0.0587
2007-04-23,COF,72.45,72.45,70.24,70.26,9345848,54.72,54.72,53.05,53.07,9345848,72.45,72.45,70.24,70.26,9345848,-0.0853944285342357,-0.0853944285342357,-2.539999999999992,-0.0349
2007-04-24,COF,70.4,71.99,70.54,71.97,6317892,53.17,54.37,53.28,54.36,6317892,70.4,71.99,70.54,71.97,6317892,-0.0631346003644883,-0.0631346003644883,1.7099999999999935,0.0243
2007-04-25,COF,72.5,74.11,72.28,73.95,5937135,54.76,55.98,54.59,55.85,5937135,72.5,74.11,72.28,73.95,5937135,-0.037360062483728,-0.037360062483728,1.980000000000004,0.0275
2007-04-26,COF,73.54,75.93,73.51,75.49,6187981,55.54,57.35,55.52,57.02,6187981,73.54,75.93,73.51,75.49,6187981,-0.0173131996875813,-0.0173131996875813,1.539999999999992,0.0208
2007-04-27,COF,75.49,75.38,73.87,74.91,4156622,57.02,56.93,55.79,56.58,4156622,75.49,75.38,73.87,74.91,4156622,-0.0248633168445716,-0.0248633168445716,-0.5799999999999983,-0.0077
2007-04-30,COF,74.99,75.67,74.21,74.26,3557842,56.64,57.15,56.05,56.09,3557842,74.99,75.67,74.21,74.26,3557842,-0.0333246550377504,-0.0333246550377504,-0.6499999999999915,-0.0087
2007-05-01,COF,74.27,74.45,73.2,73.74,3905075,56.1,56.23,55.29,55.7,3905075,74.27,74.45,73.2,73.74,3905075,-0.0400937255922936,-0.0400937255922936,-0.5200000000000102,-0.007
2007-05-02,COF,74.0,74.37,73.55,74.15,3517800,55.89,56.17,55.55,56.01,3517800,74.0,74.37,73.55,74.15,3517800,-0.0347565738089037,-0.0347565738089037,0.4100000000000108,0.0056
2007-05-03,COF,74.15,74.74,73.93,74.5,2070500,56.01,56.45,55.84,56.27,2070500,74.15,74.74,73.93,74.5,2070500,-0.0302004686279613,-0.0302004686279613,0.3499999999999943,0.0047
2007-05-04,COF,74.75,74.98,74.13,74.43,2497880,56.46,56.63,55.99,56.22,2497880,74.75,74.98,74.13,74.43,2497880,-0.0311116896641497,-0.0311116896641497,-0.0699999999999931,-0.0009
2007-05-07,COF,74.5,75.33,74.33,75.31,2961417,56.27,56.9,56.14,56.88,2961417,74.5,75.33,74.33,75.31,2961417,-0.019656339494923,-0.019656339494923,0.8799999999999955,0.0118
2007-05-08,COF,74.8,75.55,74.27,75.39,2424641,56.52,57.09,56.12,56.96,2424641,74.8,75.55,74.27,75.39,2424641,-0.0186149440249933,-0.0186149440249933,0.0799999999999983,0.0011
2007-05-09,COF,75.2,75.82,74.88,75.31,1946300,56.82,57.29,56.58,56.9,1946300,75.2,75.82,74.88,75.31,1946300,-0.019656339494923,-0.019656339494923,-0.0799999999999983,-0.0011
2007-05-10,COF,75.31,77.25,74.84,76.15,5180175,56.9,58.37,56.55,57.54,5180175,75.31,77.25,74.84,76.15,5180175,-0.0087216870606611,-0.0087216870606611,0.8400000000000034,0.0112
2007-05-11,COF,76.75,77.3,76.45,77.2,2916100,57.99,58.41,57.77,58.33,2916100,76.75,77.3,76.45,77.2,2916100,0.0049466284821662,0.0049466284821662,1.0499999999999972,0.0138
2007-05-14,COF,77.0,77.3,76.33,77.08,2772890,58.18,58.41,57.67,58.24,2772890,77.0,77.3,76.33,77.08,2772890,0.0033845352772716,0.0033845352772716,-0.1200000000000045,-0.0016
2007-05-15,COF,77.08,77.82,76.64,76.79,3241500,58.24,58.8,57.91,58.02,3241500,77.08,77.82,76.64,76.79,3241500,-0.0003905233012234,-0.0003905233012234,-0.289999999999992,-0.0038
2007-05-16,COF,77.47,77.47,76.72,76.98,2882600,58.54,58.54,57.97,58.17,2882600,77.47,77.47,76.72,76.98,2882600,0.0020827909398595,0.0020827909398595,0.1899999999999977,0.0025
2007-05-17,COF,76.98,77.28,76.71,76.88,3035400,58.17,58.39,57.96,58.09,3035400,76.98,77.28,76.71,76.88,3035400,0.0007810466024473,0.0007810466024473,-0.1000000000000085,-0.0013
2007-05-18,COF,76.89,77.6,76.87,77.44,2465000,58.1,58.63,58.08,58.51,2465000,76.89,77.6,76.87,77.44,2465000,0.0080708148919552,0.0080708148919552,0.5600000000000023,0.0073
2007-05-21,COF,77.44,78.11,77.06,77.92,2151639,58.51,59.02,58.23,58.88,2151639,77.44,78.11,77.06,77.92,2151639,0.0143191877115335,0.0143191877115335,0.480000000000004,0.0062
