Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2010-12-15,CPAY,25.0,28.75,24.5,27.25,8926016,25.0,28.75,24.5,27.25,8926016,25.0,28.75,24.5,27.25,8926016,0.0,0.0,0.0,0.0
2010-12-16,CPAY,26.84,28.47,26.84,27.35,464557,26.84,28.47,26.84,27.35,464557,26.84,28.47,26.84,27.35,464557,0.0036697247706422,0.0036697247706422,0.1000000000000014,0.0037
2010-12-17,CPAY,27.17,28.2,27.17,28.07,185871,27.17,28.2,27.17,28.07,185871,27.17,28.2,27.17,28.07,185871,0.030091743119266,0.030091743119266,0.7199999999999989,0.0263
2010-12-20,CPAY,28.74,29.18,28.16,28.53,450785,28.74,29.18,28.16,28.53,450785,28.74,29.18,28.16,28.53,450785,0.0469724770642202,0.0469724770642202,0.4600000000000008,0.0164
2010-12-21,CPAY,29.0,30.0,28.98,29.75,696535,29.0,30.0,28.98,29.75,696535,29.0,30.0,28.98,29.75,696535,0.091743119266055,0.091743119266055,1.2199999999999989,0.0428
2010-12-22,CPAY,29.63,30.2,28.96,29.08,123495,29.63,30.2,28.96,29.08,123495,29.63,30.2,28.96,29.08,123495,0.0671559633027522,0.0671559633027522,-0.6700000000000017,-0.0225
2010-12-23,CPAY,28.91,30.81,28.91,30.81,128609,28.91,30.81,28.91,30.81,128609,28.91,30.81,28.91,30.81,128609,0.1306422018348623,0.1306422018348623,1.7300000000000004,0.0595
2010-12-27,CPAY,30.83,31.43,30.5,30.99,154094,30.83,31.43,30.5,30.99,154094,30.83,31.43,30.5,30.99,154094,0.1372477064220182,0.1372477064220182,0.1799999999999997,0.0058
2010-12-28,CPAY,30.83,31.42,30.06,31.06,74822,30.83,31.42,30.06,31.06,74822,30.83,31.42,30.06,31.06,74822,0.1398165137614678,0.1398165137614678,0.0700000000000002,0.0023
2010-12-29,CPAY,31.0,31.43,30.58,31.0,154932,31.0,31.43,30.58,31.0,154932,31.0,31.43,30.58,31.0,154932,0.1376146788990825,0.1376146788990825,-0.0599999999999987,-0.0019
