Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,CSGP,5.478,5.565,5.35,5.356,1240969.9999999998,5.478,5.565,5.35,5.356,1240969.9999999998,54.78,55.65,53.5,53.56,124097,0.0,0.0,0.0,0.0
2007-01-03,CSGP,5.4,5.43,5.15,5.21,2792420.0,5.4,5.43,5.15,5.21,2792420.0,53.98,54.25,51.49,52.15,279242,-0.0272591486183719,-0.0272591486183719,-0.1459999999999999,-0.0273
2007-01-04,CSGP,5.19,5.24,5.08,5.19,1529600.0,5.19,5.24,5.08,5.19,1529600.0,51.86,52.37,50.83,51.94,152960,-0.030993278566094,-0.030993278566094,-0.0199999999999995,-0.0038
2007-01-05,CSGP,5.16,5.2,5.06,5.07,1803230.0,5.16,5.2,5.06,5.07,1803230.0,51.6,51.96,50.6,50.67,180323,-0.0533980582524271,-0.0533980582524271,-0.1200000000000001,-0.0231
2007-01-08,CSGP,5.06,5.07,5.03,5.06,1771280.0,5.06,5.07,5.03,5.06,1771280.0,50.58,50.7,50.31,50.58,177128,-0.0552651232262883,-0.0552651232262883,-0.0100000000000006,-0.002
2007-01-09,CSGP,5.08,5.08,4.98,5.0,2039880.0,5.08,5.08,4.98,5.0,2039880.0,50.79,50.79,49.84,49.99,203988,-0.0664675130694548,-0.0664675130694548,-0.0599999999999996,-0.0119
2007-01-10,CSGP,4.97,5.07,4.96,5.04,1317520.0,4.97,5.07,4.96,5.04,1317520.0,49.74,50.7,49.63,50.41,131752,-0.0589992531740104,-0.0589992531740104,0.04,0.008
2007-01-11,CSGP,5.03,5.12,5.03,5.09,578760.0,5.03,5.12,5.03,5.09,578760.0,50.26,51.2,50.26,50.86,57876,-0.049663928304705,-0.049663928304705,0.0499999999999998,0.0099
2007-01-12,CSGP,5.07,5.19,5.07,5.18,723280.0,5.07,5.19,5.07,5.18,723280.0,50.74,51.88,50.74,51.76,72328,-0.0328603435399552,-0.0328603435399552,0.0899999999999998,0.0177
2007-01-16,CSGP,5.2,5.23,5.1,5.13,1370180.0,5.2,5.23,5.1,5.13,1370180.0,52.0,52.28,50.96,51.26,137018,-0.0421956684092606,-0.0421956684092606,-0.0499999999999998,-0.0097
2007-01-17,CSGP,5.11,5.17,5.06,5.07,1447680.0,5.11,5.17,5.06,5.07,1447680.0,51.05,51.69,50.62,50.67,144768,-0.0533980582524271,-0.0533980582524271,-0.0599999999999996,-0.0117
2007-01-18,CSGP,5.02,5.1,5.0,5.0,877070.0,5.02,5.1,5.0,5.0,877070.0,50.15,50.99,50.0,50.0,87707,-0.0664675130694548,-0.0664675130694548,-0.0700000000000002,-0.0138
2007-01-19,CSGP,4.99,5.03,4.96,5.03,3022090.0,4.99,5.03,4.96,5.03,3022090.0,49.93,50.32,49.59,50.25,302209,-0.0608663181478714,-0.0608663181478714,0.0300000000000002,0.006
2007-01-22,CSGP,5.02,5.09,4.94,4.94,708390.0,5.02,5.09,4.94,4.94,708390.0,50.2,50.9,49.4,49.43,70839,-0.0776699029126212,-0.0776699029126212,-0.0899999999999998,-0.0179
2007-01-23,CSGP,4.95,5.01,4.89,4.94,572280.0,4.95,5.01,4.89,4.94,572280.0,49.45,50.07,48.9,49.36,57228,-0.0776699029126212,-0.0776699029126212,0.0,0.0
2007-01-24,CSGP,4.93,4.97,4.91,4.96,1069430.0,4.93,4.97,4.91,4.96,1069430.0,49.34,49.74,49.11,49.57,106943,-0.0739357729648991,-0.0739357729648991,0.0199999999999995,0.004
2007-01-25,CSGP,4.95,4.98,4.8,4.84,1086770.0,4.95,4.98,4.8,4.84,1086770.0,49.51,49.77,48.05,48.37,108677,-0.0963405526512322,-0.0963405526512322,-0.1200000000000001,-0.0242
