Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,CTRA,7.6588,7.6688,7.5238,7.5813,3140799.9999999995,6.95,6.9591,6.8275,6.8797,3140799.9999999995,61.27,61.35,60.19,60.65,392600,0.0,0.0,0.0,0.0
2007-01-03,CTRA,59.95,59.96,56.78,57.58,786500.0,50.05,50.05,47.4,48.07,786500.0,59.95,59.96,56.78,57.58,786500,6.595003495442734,6.595003495442734,49.9987,6.595
2007-01-04,CTRA,57.0,57.67,56.29,56.61,731600.0,47.58,48.14,46.99,47.26,731600.0,57.0,57.67,56.29,56.61,731600,6.46705710102489,6.46705710102489,-0.9699999999999988,-0.0168
2007-01-05,CTRA,56.61,57.48,56.2,57.18,548700.0,47.26,47.98,46.92,47.73,548700.0,56.61,57.48,56.2,57.18,548700,6.542242095682799,6.542242095682799,0.5700000000000003,0.0101
2007-01-08,CTRA,62.85,62.85,56.7,58.08,549500.0,52.47,52.47,47.33,48.49,549500.0,62.85,62.85,56.7,58.08,549500,6.660955245142654,6.660955245142654,0.8999999999999986,0.0157
2007-01-09,CTRA,56.65,58.22,55.76,57.36,726300.0,47.29,48.6,46.55,47.88,726300.0,56.65,58.22,55.76,57.36,726300,6.565984725574769,6.565984725574769,-0.7199999999999989,-0.0124
2007-01-10,CTRA,56.8,56.88,55.73,56.11,598000.0,47.42,47.48,46.52,46.84,598000.0,56.8,56.88,55.73,56.11,598000,6.401105351324971,6.401105351324971,-1.25,-0.0218
2007-01-11,CTRA,56.11,58.34,55.92,56.17,508900.0,46.84,48.7,46.68,46.89,508900.0,56.11,58.34,55.92,56.17,508900,6.409019561288962,6.409019561288962,0.0600000000000022,0.0011
2007-01-12,CTRA,56.48,59.0,56.48,58.87,463000.0,47.15,49.25,47.15,49.14,463000.0,56.48,59.0,56.48,58.87,463000,6.765159009668527,6.765159009668527,2.699999999999996,0.0481
2007-01-16,CTRA,58.5,58.96,57.43,58.05,574500.0,48.84,49.22,47.94,48.46,574500.0,58.5,58.96,57.43,58.05,574500,6.656998140160659,6.656998140160659,-0.8200000000000003,-0.0139
2007-01-17,CTRA,57.7,58.93,57.65,58.69,578000.0,48.17,49.19,48.13,48.99,578000.0,57.7,58.93,57.65,58.69,578000,6.741416379776555,6.741416379776555,0.6400000000000006,0.011
2007-01-18,CTRA,58.68,59.65,57.5,58.08,453000.0,48.99,49.8,48.0,48.49,453000.0,58.68,59.65,57.5,58.08,453000,6.660955245142654,6.660955245142654,-0.6099999999999994,-0.0104
2007-01-19,CTRA,58.97,60.01,58.62,59.85,532400.0,49.23,50.1,48.94,49.96,532400.0,58.97,60.01,58.62,59.85,532400,6.894424439080369,6.894424439080369,1.7700000000000031,0.0305
2007-01-22,CTRA,60.26,60.84,59.36,60.21,546200.0,50.31,50.79,49.55,50.26,546200.0,60.26,60.84,59.36,60.21,546200,6.941909698864311,6.941909698864311,0.3599999999999994,0.006
2007-01-23,CTRA,60.39,62.83,60.39,62.67,509500.0,50.41,52.45,50.41,52.32,509500.0,60.39,62.83,60.39,62.67,509500,7.266392307387916,7.266392307387916,2.460000000000001,0.0409
2007-01-24,CTRA,62.12,63.42,61.29,63.24,431100.0,51.86,52.94,51.16,52.79,431100.0,62.12,63.42,61.29,63.24,431100,7.341577302045824,7.341577302045824,0.5700000000000003,0.0091
2007-01-25,CTRA,62.99,63.02,60.95,61.31,469900.0,52.58,52.61,50.88,51.18,469900.0,62.99,63.02,60.95,61.31,469900,7.087003548204135,7.087003548204135,-1.93,-0.0305
2007-01-26,CTRA,61.65,62.42,61.41,62.34,360900.0,51.47,52.11,51.27,52.04,360900.0,61.65,62.42,61.41,62.34,360900,7.222864152585969,7.222864152585969,1.0300000000000011,0.0168
2007-01-29,CTRA,62.34,63.32,61.9,62.25,510400.0,52.04,52.86,51.67,51.97,510400.0,62.34,63.32,61.9,62.25,510400,7.210992837639983,7.210992837639983,-0.0900000000000034,-0.0014
2007-01-30,CTRA,62.36,64.36,62.02,63.84,674700.0,52.06,53.73,51.77,53.29,674700.0,62.36,64.36,62.02,63.84,674700,7.420719401685727,7.420719401685727,1.5900000000000034,0.0255
2007-01-31,CTRA,63.6,65.45,63.18,64.86,809600.0,53.09,54.64,52.74,54.15,809600.0,63.6,65.45,63.18,64.86,809600,7.555260971073562,7.555260971073562,1.019999999999996,0.016
2007-02-01,CTRA,65.3,65.97,64.46,65.29,835900.0,54.51,55.07,53.81,54.5,835900.0,65.3,65.97,64.46,65.29,835900,7.611979475815494,7.611979475815494,0.4300000000000068,0.0066
2007-02-02,CTRA,65.49,65.93,64.06,64.85,503500.0,54.67,55.04,53.48,54.14,503500.0,65.49,65.93,64.06,64.85,503500,7.553941936079564,7.553941936079564,-0.4400000000000119,-0.0067
2007-02-05,CTRA,65.3,66.56,65.14,65.99,440100.0,54.51,55.56,54.38,55.09,440100.0,65.3,66.56,65.14,65.99,440100,7.70431192539538,7.70431192539538,1.1400000000000006,0.0176
2007-02-06,CTRA,66.13,66.79,65.0,65.36,821400.0,55.21,55.76,54.26,54.56,821400.0,66.13,66.79,65.0,65.36,821400,7.621212720773482,7.621212720773482,-0.6299999999999955,-0.0095
2007-02-07,CTRA,65.64,66.06,63.8,64.65,532000.0,54.8,55.15,53.26,53.97,532000.0,65.64,66.06,63.8,64.65,532000,7.527561236199597,7.527561236199597,-0.7099999999999937,-0.0109
2007-02-08,CTRA,64.5,66.44,64.39,65.99,472000.0,53.84,55.46,53.75,55.09,472000.0,64.5,66.44,64.39,65.99,472000,7.70431192539538,7.70431192539538,1.3399999999999892,0.0207
2007-02-09,CTRA,66.34,66.46,65.42,65.86,257100.0,55.38,55.48,54.61,54.98,257100.0,66.34,66.46,65.42,65.86,257100,7.687164470473402,7.687164470473402,-0.1299999999999954,-0.002
2007-02-12,CTRA,65.26,65.46,63.58,64.19,367754.0,54.48,54.65,53.08,53.59,367754.0,65.26,65.46,63.58,64.19,367754,7.466885626475671,7.466885626475671,-1.6700000000000017,-0.0254
2007-02-13,CTRA,64.42,66.28,64.42,65.99,446950.0,53.78,55.33,53.78,55.09,446950.0,64.42,66.28,64.42,65.99,446950,7.70431192539538,7.70431192539538,1.7999999999999972,0.028
2007-02-14,CTRA,66.06,66.3,64.9,65.6,364089.0,55.15,55.35,54.18,54.76,364089.0,66.06,66.3,64.9,65.6,364089,7.652869560629443,7.652869560629443,-0.3900000000000005,-0.0059
2007-02-15,CTRA,65.36,65.8,64.51,65.7,356500.0,54.56,54.93,53.85,54.85,356500.0,65.36,65.8,64.51,65.7,356500,7.666059910569428,7.666059910569428,0.1000000000000085,0.0015
2007-02-16,CTRA,65.6,68.0,65.6,67.17,571000.0,54.76,56.77,54.76,56.07,571000.0,65.6,68.0,65.6,67.17,571000,7.859958054687191,7.859958054687191,1.4699999999999989,0.0224
2007-02-20,CTRA,67.0,67.7,66.52,67.7,701700.0,55.93,56.52,55.53,56.52,701700.0,67.0,67.7,66.52,67.7,701700,7.929866909369107,7.929866909369107,0.5300000000000011,0.0079
2007-02-21,CTRA,67.75,69.89,67.68,69.7,773600.0,56.56,58.34,56.5,58.19,773600.0,67.75,69.89,67.68,69.7,773600,8.193673908168785,8.193673908168785,2.0,0.0295
2007-02-22,CTRA,69.7,71.21,69.66,70.53,695600.0,58.19,59.45,58.15,58.88,695600.0,69.7,71.21,69.66,70.53,695600,8.30315381267065,8.30315381267065,0.8299999999999983,0.0119
2007-02-23,CTRA,70.88,71.83,70.13,70.57,824500.0,59.17,59.96,58.54,58.91,824500.0,70.88,71.83,70.13,70.57,824500,8.308429952646643,8.308429952646643,0.039999999999992,0.0006
2007-02-26,CTRA,70.9,71.54,69.39,70.0,770400.0,59.19,59.72,57.93,58.44,770400.0,70.9,71.54,69.39,70.0,770400,8.233244957988736,8.233244957988736,-0.5699999999999932,-0.0081
2007-02-27,CTRA,70.0,70.0,67.13,67.83,653300.0,58.44,58.44,56.04,56.62,653300.0,70.0,70.0,67.13,67.83,653300,7.947014364291085,7.947014364291085,-2.1700000000000017,-0.031
2007-02-28,CTRA,68.25,68.56,66.81,67.69,603400.0,56.98,57.23,55.77,56.51,603400.0,68.25,68.56,66.81,67.69,603400,7.928547874375107,7.928547874375107,-0.1400000000000005,-0.0021
2007-03-01,CTRA,67.1,68.81,65.87,68.08,533264.0,56.02,57.44,54.99,56.83,533264.0,67.1,68.81,65.87,68.08,533264,7.979990239141045,7.979990239141045,0.3900000000000005,0.0058
2007-03-02,CTRA,68.08,68.2,66.22,66.25,354900.0,56.83,56.93,55.28,55.31,354900.0,68.08,68.2,66.22,66.25,354900,7.73860683523934,7.73860683523934,-1.8299999999999983,-0.0269
2007-03-05,CTRA,66.1,66.59,64.73,65.08,586700.0,55.18,55.59,54.04,54.33,586700.0,66.1,66.59,64.73,65.08,586700,7.584279740941527,7.584279740941527,-1.1700000000000017,-0.0177
2007-03-06,CTRA,66.44,66.74,65.13,65.33,907200.0,55.46,55.71,54.37,54.54,907200.0,66.44,66.74,65.13,65.33,907200,7.617255615791487,7.617255615791487,0.25,0.0038
2007-03-07,CTRA,65.34,68.43,64.67,67.16,1065900.0,54.55,57.13,53.99,56.07,1065900.0,65.34,68.43,64.67,67.16,1065900,7.858639019693192,7.858639019693192,1.8299999999999983,0.028
2007-03-08,CTRA,67.42,67.76,66.6,66.93,534000.0,56.28,56.57,55.6,55.87,534000.0,67.42,67.76,66.6,66.93,534000,7.828301214831231,7.828301214831231,-0.2299999999999897,-0.0034
2007-03-09,CTRA,67.28,67.67,66.36,67.04,400300.0,56.17,56.49,55.4,55.96,400300.0,67.28,67.67,66.36,67.04,400300,7.842810599765213,7.842810599765213,0.1099999999999994,0.0016
