Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2018-04-26,DAY,28.9,31.75,28.65,31.21,13590152,28.9,31.75,28.65,31.21,13590152,28.9,31.75,28.65,31.21,13590152,0.0,0.0,0.0,0.0
2018-04-27,DAY,30.95,31.5,29.68,30.52,1744866,30.95,31.5,29.68,30.52,1744866,30.95,31.5,29.68,30.52,1744866,-0.0221082986222365,-0.0221082986222365,-0.6900000000000013,-0.0221
2018-04-30,DAY,30.76,32.0,30.21,31.58,638939,30.76,32.0,30.21,31.58,638939,30.76,32.0,30.21,31.58,638939,0.011855174623518,0.011855174623518,1.0599999999999987,0.0347
2018-05-01,DAY,31.42,32.4,31.26,31.48,858596,31.42,32.4,31.26,31.48,858596,31.42,32.4,31.26,31.48,858596,0.0086510733739186,0.0086510733739186,-0.0999999999999978,-0.0032
2018-05-02,DAY,31.48,33.65,31.48,32.75,845513,31.48,33.65,31.48,32.75,845513,31.48,33.65,31.48,32.75,845513,0.049343159243832,0.049343159243832,1.2699999999999996,0.0403
2018-05-03,DAY,32.63,34.43,32.53,33.79,1807868,32.63,34.43,32.53,33.79,1807868,32.63,34.43,32.53,33.79,1807868,0.0826658122396667,0.0826658122396667,1.0399999999999991,0.0318
2018-05-04,DAY,33.88,34.89,33.8,34.09,679622,33.88,34.89,33.8,34.09,679622,33.88,34.89,33.8,34.09,679622,0.0922781159884653,0.0922781159884653,0.3000000000000042,0.0089
2018-05-07,DAY,34.09,34.7,33.9,33.99,325618,34.09,34.7,33.9,33.99,325618,34.09,34.7,33.9,33.99,325618,0.0890740147388657,0.0890740147388657,-0.1000000000000014,-0.0029
2018-05-08,DAY,34.48,34.77,32.46,32.95,413943,34.48,34.77,32.46,32.95,413943,34.48,34.77,32.46,32.95,413943,0.0557513617430311,0.0557513617430311,-1.0399999999999991,-0.0306
2018-05-09,DAY,33.13,34.25,33.05,33.47,466652,33.13,34.25,33.05,33.47,466652,33.13,34.25,33.05,33.47,466652,0.0724126882409483,0.0724126882409483,0.519999999999996,0.0158
2018-05-10,DAY,33.59,33.87,32.83,33.13,731641,33.59,33.87,32.83,33.13,731641,33.59,33.87,32.83,33.13,731641,0.0615187439923102,0.0615187439923102,-0.3399999999999963,-0.0102
2018-05-11,DAY,33.32,34.63,33.16,34.38,241875,33.32,34.63,33.16,34.38,241875,33.32,34.63,33.16,34.38,241875,0.1015700096123038,0.1015700096123038,1.25,0.0377
2018-05-14,DAY,34.5,37.13,33.36,36.48,868316,34.5,37.13,33.36,36.48,868316,34.5,37.13,33.36,36.48,868316,0.1688561358538928,0.1688561358538928,2.0999999999999943,0.0611
2018-05-15,DAY,36.61,37.31,36.46,36.95,565839,36.61,37.31,36.46,36.95,565839,36.61,37.31,36.46,36.95,565839,0.1839154117270106,0.1839154117270106,0.4700000000000059,0.0129
2018-05-16,DAY,37.41,37.41,35.74,37.2,219216,37.41,37.41,35.74,37.2,219216,37.41,37.41,35.74,37.2,219216,0.1919256648510093,0.1919256648510093,0.25,0.0068
2018-05-17,DAY,37.2,38.41,36.66,38.33,826669,37.2,38.41,36.66,38.33,826669,37.2,38.41,36.66,38.33,826669,0.2281320089714834,0.2281320089714834,1.1299999999999957,0.0304
2018-05-18,DAY,38.44,38.87,36.52,36.82,615850,38.44,38.87,36.52,36.82,615850,38.44,38.87,36.52,36.82,615850,0.1797500801025312,0.1797500801025312,-1.509999999999998,-0.0394
2018-05-21,DAY,36.43,36.62,34.8,35.16,909271,36.43,36.62,34.8,35.16,909271,36.43,36.62,34.8,35.16,909271,0.1265619993591796,0.1265619993591796,-1.6600000000000037,-0.0451
2018-05-22,DAY,35.08,35.92,33.2,34.32,335543,35.08,35.92,33.2,34.32,335543,35.08,35.92,33.2,34.32,335543,0.099647548862544,0.099647548862544,-0.8399999999999963,-0.0239
2018-05-23,DAY,34.14,34.5,33.76,33.97,405300,34.14,34.5,33.76,33.97,405300,34.14,34.5,33.76,33.97,405300,0.0884331944889457,0.0884331944889457,-0.3500000000000014,-0.0102
2018-05-24,DAY,34.11,34.31,33.53,33.71,397134,34.11,34.31,33.53,33.71,397134,34.11,34.31,33.53,33.71,397134,0.0801025312399871,0.0801025312399871,-0.259999999999998,-0.0077
2018-05-25,DAY,33.57,33.87,33.22,33.6,256911,33.57,33.87,33.22,33.6,256911,33.57,33.87,33.22,33.6,256911,0.0765780198654277,0.0765780198654277,-0.1099999999999994,-0.0033
2018-05-29,DAY,33.4,34.34,33.0,34.24,218090,33.4,34.34,33.0,34.24,218090,33.4,34.34,33.0,34.24,218090,0.0970842678628645,0.0970842678628645,0.6400000000000006,0.019
2018-05-30,DAY,34.23,34.75,33.79,34.67,546050,34.23,34.75,33.79,34.67,546050,34.23,34.75,33.79,34.67,546050,0.1108619032361422,0.1108619032361422,0.4299999999999997,0.0126
2018-05-31,DAY,34.63,35.0,34.28,34.52,361000,34.63,35.0,34.28,34.52,361000,34.63,35.0,34.28,34.52,361000,0.1060557513617431,0.1060557513617431,-0.1499999999999985,-0.0043
2018-06-01,DAY,35.01,35.01,34.01,34.53,414431,35.01,35.01,34.01,34.53,414431,35.01,35.01,34.01,34.53,414431,0.1063761614867029,0.1063761614867029,0.009999999999998,0.0003
2018-06-04,DAY,34.44,36.26,34.39,35.96,521246,34.44,36.26,34.39,35.96,521246,34.44,36.26,34.39,35.96,521246,0.1521948093559756,0.1521948093559756,1.4299999999999995,0.0414
2018-06-05,DAY,35.97,36.68,35.95,36.35,319368,35.97,36.68,35.95,36.35,319368,35.97,36.68,35.95,36.35,319368,0.1646908042294136,0.1646908042294136,0.3900000000000005,0.0108
2018-06-06,DAY,36.56,38.64,36.56,38.16,307177,36.56,38.64,36.56,38.16,307177,36.56,38.64,36.56,38.16,307177,0.2226850368471642,0.2226850368471642,1.8099999999999952,0.0498
2018-06-07,DAY,38.27,38.85,36.68,37.11,782482,38.27,38.85,36.68,37.11,782482,38.27,38.85,36.68,37.11,782482,0.1890419737263697,0.1890419737263697,-1.0499999999999972,-0.0275
2018-06-08,DAY,36.47,37.65,35.95,37.4,666155,36.47,37.65,35.95,37.4,666155,36.47,37.65,35.95,37.4,666155,0.1983338673502082,0.1983338673502082,0.2899999999999991,0.0078
2018-06-11,DAY,37.83,38.23,36.27,36.49,408473,37.83,38.23,36.27,36.49,408473,37.83,38.23,36.27,36.49,408473,0.1691765459788529,0.1691765459788529,-0.9099999999999966,-0.0243
2018-06-12,DAY,36.48,37.82,36.39,37.62,508287,36.48,37.82,36.39,37.62,508287,36.48,37.82,36.39,37.62,508287,0.205382890099327,0.205382890099327,1.1299999999999957,0.031
2018-06-13,DAY,37.53,37.83,37.23,37.66,641239,37.53,37.83,37.23,37.66,641239,37.53,37.83,37.23,37.66,641239,0.2066645305991667,0.2066645305991667,0.0399999999999991,0.0011
2018-06-14,DAY,37.46,41.02,35.4,38.19,1771669,37.46,41.02,35.4,38.19,1771669,37.46,41.02,35.4,38.19,1771669,0.2236462672220441,0.2236462672220441,0.5300000000000011,0.0141
2018-06-15,DAY,38.15,38.86,37.26,38.45,1402687,38.15,38.86,37.26,38.45,1402687,38.15,38.86,37.26,38.45,1402687,0.2319769304710029,0.2319769304710029,0.2600000000000051,0.0068
2018-06-18,DAY,38.36,42.46,38.34,39.78,1646109,38.36,42.46,38.34,39.78,1646109,38.36,42.46,38.34,39.78,1646109,0.274591477090676,0.274591477090676,1.3299999999999983,0.0346
2018-06-19,DAY,39.26,39.62,37.0,37.2,602338,39.26,39.62,37.0,37.2,602338,39.26,39.62,37.0,37.2,602338,0.1919256648510093,0.1919256648510093,-2.5799999999999983,-0.0649
2018-06-20,DAY,37.32,38.24,36.99,37.01,409376,37.32,38.24,36.99,37.01,409376,37.32,38.24,36.99,37.01,409376,0.1858378724767701,0.1858378724767701,-0.1900000000000048,-0.0051
2018-06-21,DAY,36.85,37.48,36.4,36.55,549878,36.85,37.48,36.4,36.55,549878,36.85,37.48,36.4,36.55,549878,0.1710990067286125,0.1710990067286125,-0.4600000000000008,-0.0124
