Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,ELV,78.59,78.98,78.4,78.69,1537500,73.6055,73.9708,73.4276,73.6992,1537500,78.59,78.98,78.4,78.69,1537500,0.0,0.0,0.0,0.0
2007-01-03,ELV,78.42,78.85,77.65,78.19,3356500,77.03,77.45,76.28,76.81,3356500,78.42,78.85,77.65,78.19,3356500,-0.0063540475282755,-0.0063540475282755,-0.5,-0.0064
2007-01-04,ELV,78.19,78.42,77.73,77.87,2172600,76.81,77.03,76.35,76.49,2172600,78.19,78.42,77.73,77.87,2172600,-0.0104206379463717,-0.0104206379463717,-0.3199999999999932,-0.0041
2007-01-05,ELV,78.55,78.95,78.29,78.49,3251600,77.16,77.55,76.9,77.1,3251600,78.55,78.95,78.29,78.49,3251600,-0.0025416190113102,-0.0025416190113102,0.6199999999999903,0.008
2007-01-08,ELV,78.35,79.05,78.25,78.96,2136200,76.96,77.65,76.86,77.56,2136200,78.35,79.05,78.25,78.96,2136200,0.0034311856652687,0.0034311856652687,0.4699999999999988,0.006
2007-01-09,ELV,78.87,78.87,75.5,76.21,9138300,77.47,77.47,74.16,74.86,9138300,78.87,78.87,75.5,76.21,9138300,-0.0315160757402465,-0.0315160757402465,-2.75,-0.0348
2007-01-10,ELV,75.65,76.59,75.04,76.31,2950800,74.31,75.23,73.71,74.96,2950800,75.65,76.59,75.04,76.31,2950800,-0.0302452662345913,-0.0302452662345913,0.1000000000000085,0.0013
2007-01-11,ELV,76.67,77.45,76.58,77.34,2025300,75.31,76.08,75.22,75.97,2025300,76.67,77.45,76.58,77.34,2025300,-0.0171559283263438,-0.0171559283263438,1.0300000000000011,0.0135
2007-01-12,ELV,76.95,78.03,76.49,77.8,3051700,75.59,76.65,75.14,76.42,3051700,76.95,78.03,76.49,77.8,3051700,-0.0113102046003304,-0.0113102046003304,0.4599999999999937,0.0059
2007-01-16,ELV,77.85,78.81,77.8,78.45,2183500,76.47,77.42,76.42,77.06,2183500,77.85,78.81,77.8,78.45,2183500,-0.0030499428135721,-0.0030499428135721,0.6500000000000057,0.0084
2007-01-17,ELV,78.65,79.0,78.43,78.78,2412600,77.26,77.6,77.04,77.39,2412600,78.65,79.0,78.43,78.78,2412600,0.0011437285550896,0.0011437285550896,0.3299999999999983,0.0042
2007-01-18,ELV,77.14,78.46,76.75,76.83,3116000,75.77,77.07,75.39,75.47,3116000,77.14,78.46,76.75,76.83,3116000,-0.0236370568051848,-0.0236370568051848,-1.9500000000000028,-0.0248
2007-01-19,ELV,76.81,77.51,76.7,77.32,2857600,75.45,76.14,75.34,75.95,2857600,76.81,77.51,76.7,77.32,2857600,-0.0174100902274749,-0.0174100902274749,0.4899999999999949,0.0064
2007-01-22,ELV,77.11,77.4,76.55,76.81,4430900,75.75,76.03,75.2,75.45,4430900,77.11,77.4,76.55,76.81,4430900,-0.0238912187063158,-0.0238912187063158,-0.5099999999999909,-0.0066
2007-01-23,ELV,76.65,77.42,76.03,77.03,2116000,75.29,76.05,74.68,75.67,2116000,76.65,77.42,76.03,77.03,2116000,-0.0210954377938746,-0.0210954377938746,0.2199999999999988,0.0029
2007-01-24,ELV,74.02,77.74,73.88,76.0,6937900,72.71,76.36,72.57,74.65,6937900,74.02,77.74,73.88,76.0,6937900,-0.0341847757021222,-0.0341847757021222,-1.0300000000000011,-0.0134
2007-01-25,ELV,75.75,76.99,75.45,76.0,3621000,74.41,75.63,74.11,74.65,3621000,75.75,76.99,75.45,76.0,3621000,-0.0341847757021222,-0.0341847757021222,0.0,0.0
2007-01-26,ELV,76.2,76.45,75.87,75.98,3077100,74.85,75.1,74.53,74.64,3077100,76.2,76.45,75.87,75.98,3077100,-0.0344389376032531,-0.0344389376032531,-0.019999999999996,-0.0003
2007-01-29,ELV,75.99,76.71,75.96,76.45,2287800,74.64,75.35,74.62,75.1,2287800,75.99,76.71,75.96,76.45,2287800,-0.0284661329266742,-0.0284661329266742,0.4699999999999988,0.0062
2007-01-30,ELV,76.77,77.93,76.55,77.85,2692200,75.41,76.55,75.2,76.47,2692200,76.77,77.93,76.55,77.85,2692200,-0.0106747998475029,-0.0106747998475029,1.3999999999999917,0.0183
2007-01-31,ELV,77.9,78.39,77.52,78.38,2600600,76.52,77.0,76.15,76.99,2600600,77.9,78.39,77.52,78.38,2600600,-0.0039395094675308,-0.0039395094675308,0.5300000000000011,0.0068
2007-02-01,ELV,78.15,79.48,77.93,79.31,3682700,76.77,78.07,76.55,77.91,3682700,78.15,79.48,77.93,79.31,3682700,0.0078790189350616,0.0078790189350616,0.9300000000000068,0.0119
2007-02-02,ELV,79.31,79.64,78.57,78.71,2659200,77.91,78.23,77.18,77.32,2659200,79.31,79.64,78.57,78.71,2659200,0.0002541619011309,0.0002541619011309,-0.6000000000000085,-0.0076
2007-02-05,ELV,79.48,80.35,78.78,79.9,5749600,78.07,78.93,77.39,78.49,5749600,79.48,80.35,78.78,79.9,5749600,0.0153767950184268,0.0153767950184268,1.190000000000012,0.0151
2007-02-06,ELV,80.05,80.75,80.0,80.15,3369900,78.63,79.32,78.58,78.73,3369900,80.05,80.75,80.0,80.15,3369900,0.0185538187825645,0.0185538187825645,0.25,0.0031
2007-02-07,ELV,80.42,82.0,80.29,81.8,4746800,79.0,80.55,78.87,80.35,4746800,80.42,82.0,80.29,81.8,4746800,0.0395221756258736,0.0395221756258736,1.6499999999999917,0.0206
2007-02-08,ELV,81.5,82.26,80.99,81.5,2914700,80.06,80.8,79.56,80.06,2914700,81.5,82.26,80.99,81.5,2914700,0.0357097471089084,0.0357097471089084,-0.2999999999999971,-0.0037
2007-02-09,ELV,81.59,81.85,80.57,80.68,2551500,80.15,80.4,79.14,79.25,2551500,81.59,81.85,80.57,80.68,2551500,0.0252891091625366,0.0252891091625366,-0.8199999999999932,-0.0101
2007-02-12,ELV,80.98,81.18,80.44,80.69,2250270,79.55,79.74,79.02,79.26,2250270,80.98,81.18,80.44,80.69,2250270,0.025416190113102,0.025416190113102,0.0099999999999909,0.0001
2007-02-13,ELV,80.98,81.06,80.56,80.87,1928732,79.55,79.63,79.13,79.44,1928732,80.98,81.06,80.56,80.87,1928732,0.0277036472232813,0.0277036472232813,0.1800000000000068,0.0022
2007-02-14,ELV,80.69,81.29,80.27,80.98,2696631,79.26,79.85,78.85,79.55,2696631,80.69,81.29,80.27,80.98,2696631,0.0291015376795019,0.0291015376795019,0.1099999999999994,0.0014
2007-02-15,ELV,80.98,82.96,80.98,82.41,3901400,79.55,81.49,79.55,80.95,3901400,80.98,82.96,80.98,82.41,3901400,0.0472741136103697,0.0472741136103697,1.4299999999999926,0.0177
2007-02-16,ELV,81.95,82.94,81.75,82.25,2358600,80.5,81.47,80.3,80.79,2358600,81.95,82.94,81.75,82.25,2358600,0.0452408184013216,0.0452408184013216,-0.1599999999999966,-0.0019
2007-02-20,ELV,83.41,84.15,81.86,81.9,1731500,81.93,82.66,80.41,80.45,1731500,83.41,84.15,81.86,81.9,1731500,0.0407929851315288,0.0407929851315288,-0.3499999999999943,-0.0043
2007-02-21,ELV,81.4,81.86,81.33,81.69,2322200,79.96,80.41,79.89,80.24,2322200,81.4,81.86,81.33,81.69,2322200,0.038124285169653,0.038124285169653,-0.2100000000000079,-0.0026
2007-02-22,ELV,82.0,82.05,81.36,81.76,1912700,80.55,80.6,79.92,80.31,1912700,82.0,82.05,81.36,81.76,1912700,0.0390138518236117,0.0390138518236117,0.0700000000000073,0.0009
2007-02-23,ELV,81.76,81.78,81.03,81.5,1489600,80.31,80.33,79.6,80.06,1489600,81.76,81.78,81.03,81.5,1489600,0.0357097471089084,0.0357097471089084,-0.2600000000000051,-0.0032
2007-02-26,ELV,81.05,81.33,80.61,81.13,2645016,79.62,79.89,79.18,79.69,2645016,81.05,81.33,80.61,81.13,2645016,0.0310077519379844,0.0310077519379844,-0.3700000000000045,-0.0045
2007-02-27,ELV,80.8,81.0,77.01,77.9,5540800,79.37,79.57,75.65,76.52,5540800,80.8,81.0,77.01,77.9,5540800,-0.0100393950946752,-0.0100393950946752,-3.2299999999999898,-0.0398
2007-02-28,ELV,77.91,79.87,77.91,79.39,4289300,76.53,78.46,76.53,77.98,4289300,77.91,79.87,77.91,79.39,4289300,0.0088956665395857,0.0088956665395857,1.4899999999999949,0.0191
2007-03-01,ELV,79.4,80.99,78.74,80.81,3869138,77.99,79.56,77.35,79.38,3869138,79.4,80.99,78.74,80.81,3869138,0.0269411615198882,0.0269411615198882,1.4200000000000017,0.0179
2007-03-02,ELV,82.71,82.71,80.0,80.06,2839500,81.25,81.25,78.58,78.64,2839500,82.71,82.71,80.0,80.06,2839500,0.0174100902274749,0.0174100902274749,-0.75,-0.0093
2007-03-05,ELV,80.13,82.77,79.28,80.29,3040200,78.71,81.3,77.88,78.87,3040200,80.13,82.77,79.28,80.29,3040200,0.0203329520904817,0.0203329520904817,0.2300000000000039,0.0029
2007-03-06,ELV,80.42,80.64,79.74,80.08,3922400,79.0,79.21,78.33,78.66,3922400,80.42,80.64,79.74,80.08,3922400,0.0176642521286059,0.0176642521286059,-0.2100000000000079,-0.0026
2007-03-07,ELV,79.75,80.19,79.08,79.76,3335900,78.34,78.77,77.68,78.35,3335900,79.75,80.19,79.08,79.76,3335900,0.0135976617105096,0.0135976617105096,-0.3199999999999932,-0.004
2007-03-08,ELV,80.1,80.5,79.11,79.51,3530800,78.68,79.08,77.71,78.1,3530800,80.1,80.5,79.11,79.51,3530800,0.0104206379463719,0.0104206379463719,-0.25,-0.0031
2007-03-09,ELV,80.12,80.12,78.16,78.32,3188900,78.7,78.7,76.78,76.93,3188900,80.12,80.12,78.16,78.32,3188900,-0.0047019951709239,-0.0047019951709239,-1.190000000000012,-0.015
2007-03-12,ELV,78.52,79.28,78.37,79.0,2484200,77.13,77.88,76.98,77.6,2484200,78.52,79.28,78.37,79.0,2484200,0.0039395094675308,0.0039395094675308,0.6800000000000068,0.0087
2007-03-13,ELV,78.5,79.14,77.74,77.9,2793600,77.11,77.74,76.36,76.52,2793600,78.5,79.14,77.74,77.9,2793600,-0.0100393950946752,-0.0100393950946752,-1.0999999999999943,-0.0139
2007-03-14,ELV,78.15,78.4,77.45,78.09,3255200,76.77,77.01,76.08,76.71,3255200,78.15,78.4,77.45,78.09,3255200,-0.0076248570339305,-0.0076248570339305,0.1899999999999977,0.0024
2007-03-15,ELV,77.85,78.5,77.85,78.31,2473800,76.47,77.11,76.47,76.92,2473800,77.85,78.5,77.85,78.31,2473800,-0.0048290761214893,-0.0048290761214893,0.2199999999999988,0.0028
2007-03-16,ELV,78.7,79.25,78.34,78.8,4758600,77.31,77.85,76.95,77.41,4758600,78.7,79.25,78.34,78.8,4758600,0.0013978904562206,0.0013978904562206,0.4899999999999949,0.0063
2007-03-19,ELV,79.1,79.4,78.32,78.99,2751500,77.7,77.99,76.93,77.59,2751500,79.1,79.4,78.32,78.99,2751500,0.0038124285169652,0.0038124285169652,0.1899999999999977,0.0024
2007-03-20,ELV,78.95,79.02,78.01,79.02,2174376,77.55,77.62,76.63,77.62,2174376,78.95,79.02,78.01,79.02,2174376,0.0041936713686618,0.0041936713686618,0.0300000000000011,0.0004
2007-03-21,ELV,78.67,80.0,78.4,79.85,3391913,77.28,78.58,77.01,78.44,3391913,78.67,80.0,78.4,79.85,3391913,0.0147413902655991,0.0147413902655991,0.8299999999999983,0.0105
2007-03-22,ELV,80.99,81.31,79.81,80.91,2895688,79.56,79.87,78.4,79.48,2895688,80.99,81.31,79.81,80.91,2895688,0.0282119710255432,0.0282119710255432,1.0600000000000025,0.0133
2007-03-23,ELV,80.91,82.09,80.75,81.67,3162950,79.48,80.64,79.32,80.22,3162950,80.91,82.09,80.75,81.67,3162950,0.0378701232685221,0.0378701232685221,0.7600000000000051,0.0094
2007-03-26,ELV,81.92,82.25,81.21,81.89,1570800,80.47,80.79,79.77,80.44,1570800,81.92,82.25,81.21,81.89,1570800,0.0406659041809633,0.0406659041809633,0.2199999999999988,0.0027
2007-03-27,ELV,81.1,81.59,80.56,81.44,2650100,79.66,80.15,79.13,80.0,2650100,81.1,81.59,80.56,81.44,2650100,0.0349472614055153,0.0349472614055153,-0.4500000000000028,-0.0055
2007-03-28,ELV,81.35,81.97,81.23,81.62,2526100,79.91,80.52,79.79,80.18,2526100,81.35,81.97,81.23,81.62,2526100,0.0372347185156945,0.0372347185156945,0.1800000000000068,0.0022
2007-03-29,ELV,81.62,81.62,79.17,80.41,4858000,80.18,80.18,77.77,78.99,4858000,81.62,81.62,79.17,80.41,4858000,0.0218579234972677,0.0218579234972677,-1.210000000000008,-0.0148
2007-03-30,ELV,80.4,81.34,80.4,81.1,3168210,78.98,79.9,78.98,79.66,3168210,80.4,81.34,80.4,81.1,3168210,0.0306265090862879,0.0306265090862879,0.6899999999999977,0.0086
2007-04-02,ELV,81.0,81.45,80.72,81.03,2011339,79.57,80.01,79.29,79.6,2011339,81.0,81.45,80.72,81.03,2011339,0.0297369424323294,0.0297369424323294,-0.0699999999999931,-0.0009
2007-04-03,ELV,81.5,82.21,81.21,82.18,1883036,80.06,80.75,79.77,80.73,1883036,81.5,82.21,81.21,82.18,1883036,0.0443512517473631,0.0443512517473631,1.1500000000000057,0.0142
2007-04-04,ELV,82.56,82.73,81.94,82.56,1941814,81.1,81.27,80.49,81.1,1941814,82.56,82.73,81.94,82.56,1941814,0.0491803278688525,0.0491803278688525,0.3799999999999954,0.0046
2007-04-05,ELV,82.31,82.59,81.57,81.92,2213500,80.85,81.13,80.13,80.47,2213500,82.31,82.59,81.57,81.92,2213500,0.0410471470326598,0.0410471470326598,-0.6400000000000006,-0.0078
2007-04-09,ELV,81.97,82.43,81.6,82.25,1946300,80.52,80.97,80.16,80.79,1946300,81.97,82.43,81.6,82.25,1946300,0.0452408184013216,0.0452408184013216,0.3299999999999983,0.004
2007-04-10,ELV,81.9,82.17,81.61,81.94,1660423,80.45,80.72,80.17,80.49,1660423,81.9,82.17,81.61,81.94,1660423,0.0413013089337908,0.0413013089337908,-0.3100000000000023,-0.0038
2007-04-11,ELV,81.8,81.9,80.72,80.95,2286396,80.35,80.45,79.29,79.52,2286396,81.8,81.9,80.72,80.95,2286396,0.0287202948278053,0.0287202948278053,-0.9899999999999948,-0.0121
2007-04-12,ELV,80.96,82.0,80.94,81.86,1815960,79.53,80.55,79.51,80.41,1815960,80.96,82.0,80.94,81.86,1815960,0.0402846613292667,0.0402846613292667,0.9099999999999966,0.0112
2007-04-13,ELV,83.74,83.74,81.09,82.24,1900795,82.26,82.26,79.65,80.78,1900795,83.74,83.74,81.09,82.24,1900795,0.0451137374507561,0.0451137374507561,0.3799999999999954,0.0046
2007-04-16,ELV,82.51,83.55,82.13,83.55,2194900,81.05,82.07,80.68,82.07,2194900,82.51,83.55,82.13,83.55,2194900,0.0617613419748379,0.0617613419748379,1.3100000000000025,0.0159
2007-04-17,ELV,83.33,84.55,83.14,84.06,2565600,81.86,83.05,81.67,82.57,2565600,83.33,84.55,83.14,84.06,2565600,0.068242470453679,0.068242470453679,0.5100000000000051,0.0061
2007-04-18,ELV,84.06,85.08,83.83,84.6,4422400,82.57,83.57,82.35,83.1,4422400,84.06,85.08,83.83,84.6,4422400,0.0751048417842165,0.0751048417842165,0.539999999999992,0.0064
2007-04-19,ELV,83.86,83.86,81.5,83.05,3810915,82.38,82.38,80.06,81.58,3810915,83.86,83.86,81.5,83.05,3810915,0.0554072944465624,0.0554072944465624,-1.5499999999999972,-0.0183
2007-04-20,ELV,86.25,86.25,82.47,82.85,4222561,84.72,84.72,81.01,81.38,4222561,86.25,86.25,82.47,82.85,4222561,0.0528656754352522,0.0528656754352522,-0.2000000000000028,-0.0024
2007-04-23,ELV,82.85,83.61,82.26,82.96,2544600,81.38,82.13,80.8,81.49,2544600,82.85,83.61,82.26,82.96,2544600,0.0542635658914728,0.0542635658914728,0.1099999999999994,0.0013
2007-04-24,ELV,82.97,83.67,82.21,82.24,3969300,81.5,82.19,80.75,80.78,3969300,82.97,83.67,82.21,82.24,3969300,0.0451137374507561,0.0451137374507561,-0.7199999999999989,-0.0087
2007-04-25,ELV,79.0,79.75,78.55,78.84,10423190,77.6,78.34,77.16,77.44,10423190,79.0,79.75,78.55,78.84,10423190,0.0019062142584827,0.0019062142584827,-3.3999999999999915,-0.0413
2007-04-26,ELV,78.84,81.05,77.98,79.02,7418950,77.44,79.62,76.6,77.62,7418950,78.84,81.05,77.98,79.02,7418950,0.0041936713686618,0.0041936713686618,0.1799999999999926,0.0023
2007-04-27,ELV,78.98,79.62,78.92,79.19,3023517,77.58,78.21,77.52,77.79,3023517,78.98,79.62,78.92,79.19,3023517,0.0063540475282755,0.0063540475282755,0.1700000000000017,0.0022
2007-04-30,ELV,79.26,79.52,78.97,78.97,4510818,77.86,78.11,77.57,77.57,4510818,79.26,79.52,78.97,78.97,4510818,0.0035582666158343,0.0035582666158343,-0.2199999999999988,-0.0028
2007-05-01,ELV,79.17,80.12,79.05,79.72,3894600,77.77,78.7,77.65,78.31,3894600,79.17,80.12,79.05,79.72,3894600,0.0130893379082475,0.0130893379082475,0.75,0.0095
2007-05-02,ELV,80.0,81.3,79.61,81.09,3142300,78.58,79.86,78.2,79.65,3142300,80.0,81.3,79.61,81.09,3142300,0.0304994281357225,0.0304994281357225,1.3700000000000043,0.0172
2007-05-03,ELV,81.05,81.23,80.48,81.21,3237200,79.62,79.79,79.06,79.77,3237200,81.05,81.23,80.48,81.21,3237200,0.0320243995425085,0.0320243995425085,0.1199999999999903,0.0015
2007-05-04,ELV,81.0,81.7,78.95,81.43,2015400,79.57,80.25,77.55,79.99,2015400,81.0,81.7,78.95,81.43,2015400,0.0348201804549499,0.0348201804549499,0.220000000000013,0.0027
2007-05-07,ELV,82.02,82.18,81.33,82.06,2825324,80.57,80.73,79.89,80.61,2825324,82.02,82.18,81.33,82.06,2825324,0.042826280340577,0.042826280340577,0.6299999999999955,0.0077
2007-05-08,ELV,82.22,82.6,81.72,81.97,2212200,80.76,81.14,80.27,80.52,2212200,82.22,82.6,81.72,81.97,2212200,0.0416825517854873,0.0416825517854873,-0.0900000000000034,-0.0011
2007-05-09,ELV,81.93,82.46,81.53,82.15,1796100,80.48,81.0,80.09,80.7,1796100,81.93,82.46,81.53,82.15,1796100,0.0439700088956666,0.0439700088956666,0.1800000000000068,0.0022
2007-05-10,ELV,82.14,82.48,81.87,82.15,2283083,80.69,81.02,80.42,80.7,2283083,82.14,82.48,81.87,82.15,2283083,0.0439700088956666,0.0439700088956666,0.0,0.0
2007-05-11,ELV,82.0,83.69,81.9,83.5,4322300,80.55,82.21,80.45,82.02,4322300,82.0,83.69,81.9,83.5,4322300,0.0611259372220104,0.0611259372220104,1.3499999999999943,0.0164
2007-05-14,ELV,81.98,83.65,81.98,83.5,2879400,80.53,82.17,80.53,82.02,2879400,81.98,83.65,81.98,83.5,2879400,0.0611259372220104,0.0611259372220104,0.0,0.0
2007-05-15,ELV,83.51,84.05,83.47,83.55,2455200,82.03,82.56,81.99,82.07,2455200,83.51,84.05,83.47,83.55,2455200,0.0617613419748379,0.0617613419748379,0.0499999999999971,0.0006
2007-05-16,ELV,84.0,85.16,83.95,84.86,4577300,82.51,83.65,82.46,83.36,4577300,84.0,85.16,83.95,84.86,4577300,0.0784089464989198,0.0784089464989198,1.3100000000000025,0.0157
2007-05-17,ELV,84.86,85.45,84.15,85.0,2718500,83.36,83.94,82.66,83.5,2718500,84.86,85.45,84.15,85.0,2718500,0.0801880798068369,0.0801880798068369,0.1400000000000005,0.0016
2007-05-18,ELV,85.01,85.25,84.58,85.07,1735048,83.51,83.74,83.08,83.56,1735048,85.01,85.25,84.58,85.07,1735048,0.0810776464607954,0.0810776464607954,0.0699999999999931,0.0008
2007-05-21,ELV,84.9,84.99,84.3,84.43,2216800,83.4,83.49,82.81,82.94,2216800,84.9,84.99,84.3,84.43,2216800,0.072944465624603,0.072944465624603,-0.6399999999999864,-0.0075
2007-05-22,ELV,84.5,84.68,84.35,84.59,1733800,83.0,83.18,82.86,83.09,1733800,84.5,84.68,84.35,84.59,1733800,0.0749777608336511,0.0749777608336511,0.1599999999999966,0.0019
2007-05-23,ELV,84.4,84.81,84.06,84.47,1783622,82.91,83.31,82.57,82.97,1783622,84.4,84.81,84.06,84.47,1783622,0.0734527894268649,0.0734527894268649,-0.1200000000000045,-0.0014
2007-05-24,ELV,84.48,85.0,84.14,84.48,2088130,82.98,83.5,82.65,82.98,2088130,84.48,85.0,84.14,84.48,2088130,0.0735798703774305,0.0735798703774305,0.0100000000000051,0.0001
2007-05-25,ELV,84.5,84.88,83.96,83.98,2506875,83.0,83.38,82.47,82.49,2506875,84.5,84.88,83.96,83.98,2506875,0.0672258228491549,0.0672258228491549,-0.5,-0.0059
2007-05-29,ELV,84.1,84.35,83.52,84.21,2388500,82.61,82.86,82.04,82.72,2388500,84.1,84.35,83.52,84.21,2388500,0.0701486847121616,0.0701486847121616,0.2299999999999897,0.0027
2007-05-30,ELV,84.22,84.74,84.03,84.4,2561700,82.73,83.24,82.54,82.91,2561700,84.22,84.74,84.03,84.4,2561700,0.0725632227729064,0.0725632227729064,0.1900000000000119,0.0023
2007-05-31,ELV,83.97,83.05,81.34,81.41,12685212,82.48,81.58,79.9,79.97,12685212,83.97,83.05,81.34,81.41,12685212,0.0345660185538187,0.0345660185538187,-2.990000000000009,-0.0354
2007-06-01,ELV,81.41,82.25,81.44,81.78,7973300,79.97,80.79,80.0,80.33,7973300,81.41,82.25,81.44,81.78,7973300,0.0392680137247427,0.0392680137247427,0.3700000000000045,0.0045
2007-06-04,ELV,81.79,81.89,81.02,81.22,4352172,80.34,80.44,79.59,79.78,4352172,81.79,81.89,81.02,81.22,4352172,0.0321514804930741,0.0321514804930741,-0.5600000000000023,-0.0068
2007-06-05,ELV,81.22,81.57,81.08,81.44,5838104,79.78,80.13,79.64,80.0,5838104,81.22,81.57,81.08,81.44,5838104,0.0349472614055153,0.0349472614055153,0.2199999999999988,0.0027
2007-06-06,ELV,81.44,81.76,81.01,81.45,5280500,80.0,80.31,79.58,80.01,5280500,81.44,81.76,81.01,81.45,5280500,0.0350743423560808,0.0350743423560808,0.0100000000000051,0.0001
2007-06-07,ELV,81.55,82.23,80.96,81.03,5058252,80.11,80.77,79.53,79.6,5058252,81.55,82.23,80.96,81.03,5058252,0.0297369424323294,0.0297369424323294,-0.4200000000000017,-0.0052
2007-06-08,ELV,81.04,81.9,80.75,81.56,4009400,79.61,80.45,79.32,80.12,4009400,81.04,81.9,80.75,81.56,4009400,0.0364722328123015,0.0364722328123015,0.5300000000000011,0.0065
2007-06-11,ELV,81.54,81.55,80.8,81.31,3825044,80.1,80.11,79.37,79.87,3825044,81.54,81.55,80.8,81.31,3825044,0.0332952090481637,0.0332952090481637,-0.25,-0.0031
2007-06-12,ELV,81.32,81.48,80.8,80.93,2769000,79.88,80.04,79.37,79.5,2769000,81.32,81.48,80.8,80.93,2769000,0.0284661329266744,0.0284661329266744,-0.3799999999999954,-0.0047
2007-06-13,ELV,81.17,81.39,80.75,81.37,5070400,79.73,79.95,79.32,79.93,5070400,81.17,81.39,80.75,81.37,5070400,0.0340576947515568,0.0340576947515568,0.4399999999999977,0.0054
2007-06-14,ELV,81.38,82.0,81.05,81.23,2646800,79.94,80.55,79.62,79.79,2646800,81.38,82.0,81.05,81.23,2646800,0.0322785614436396,0.0322785614436396,-0.1400000000000005,-0.0017
2007-06-15,ELV,81.23,81.73,81.0,81.04,4105595,79.79,80.28,79.57,79.61,4105595,81.23,81.73,81.0,81.04,4105595,0.029864023382895,0.029864023382895,-0.1899999999999977,-0.0023
2007-06-18,ELV,81.2,81.45,80.88,81.0,3982012,79.76,80.01,79.45,79.57,3982012,81.2,81.45,80.88,81.0,3982012,0.0293556995806328,0.0293556995806328,-0.0400000000000062,-0.0005
2007-06-19,ELV,81.01,81.1,80.63,80.99,2925185,79.58,79.66,79.2,79.56,2925185,81.01,81.1,80.63,80.99,2925185,0.0292286186300673,0.0292286186300673,-0.0100000000000051,-0.0001
2007-06-20,ELV,80.99,81.9,80.26,80.34,7578251,79.56,80.45,78.84,78.92,7578251,80.99,81.9,80.26,80.34,7578251,0.0209683568433092,0.0209683568433092,-0.6499999999999915,-0.008
2007-06-21,ELV,80.34,80.4,79.75,80.23,6294400,78.92,78.98,78.34,78.81,6294400,80.34,80.4,79.75,80.23,6294400,0.0195704663870886,0.0195704663870886,-0.1099999999999994,-0.0014
2007-06-22,ELV,80.11,80.18,79.29,79.51,3773329,78.69,78.76,77.89,78.1,3773329,80.11,80.18,79.29,79.51,3773329,0.0104206379463719,0.0104206379463719,-0.7199999999999989,-0.009
2007-06-25,ELV,79.69,80.42,79.4,80.08,3822980,78.28,79.0,77.99,78.66,3822980,79.69,80.42,79.4,80.08,3822980,0.0176642521286059,0.0176642521286059,0.5699999999999932,0.0072
2007-06-26,ELV,80.16,81.07,80.02,80.76,3351190,78.74,79.64,78.6,79.33,3351190,80.16,81.07,80.02,80.76,3351190,0.0263057567670607,0.0263057567670607,0.6800000000000068,0.0085
2007-06-27,ELV,80.76,80.83,79.95,80.6,2748100,79.33,79.4,78.53,79.17,2748100,80.76,80.83,79.95,80.6,2748100,0.0242724615580124,0.0242724615580124,-0.1600000000000108,-0.002
2007-06-28,ELV,80.65,81.18,80.07,80.37,2825415,79.22,79.74,78.65,78.95,2825415,80.65,81.18,80.07,80.37,2825415,0.0213495996950058,0.0213495996950058,-0.2299999999999897,-0.0029
