Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,EOG,31.625,31.8,30.935,31.225,5953800,23.8756,24.0077,23.3547,23.5736,5953800,63.25,63.6,61.87,62.45,2976900,0.0,0.0,0.0,0.0
2007-01-03,EOG,30.91,31.73,29.61,30.33,5502900,22.66,23.27,21.71,22.24,5502900,61.81,63.47,59.21,60.66,5502900,-0.0286629303442755,-0.0286629303442755,-0.8950000000000031,-0.0287
2007-01-04,EOG,30.86,30.93,29.88,30.35,5653500,22.63,22.68,21.91,22.25,5653500,61.72,61.87,59.76,60.7,5653500,-0.0280224179343474,-0.0280224179343474,0.0200000000000031,0.0007
2007-01-05,EOG,30.65,31.5,30.45,31.34,6521800,22.47,23.1,22.33,22.98,6521800,61.3,63.0,60.9,62.68,6521800,0.0036829463570856,0.0036829463570856,0.9899999999999984,0.0326
2007-01-08,EOG,31.93,32.0,30.64,31.13,4029800,23.41,23.46,22.47,22.82,4029800,63.86,64.0,61.29,62.25,4029800,-0.0030424339471578,-0.0030424339471578,-0.2100000000000008,-0.0067
2007-01-09,EOG,30.5,30.95,30.06,30.73,5421200,22.36,22.69,22.04,22.53,5421200,61.0,61.89,60.12,61.45,5421200,-0.0158526821457166,-0.0158526821457166,-0.3999999999999986,-0.0128
2007-01-10,EOG,30.63,30.8,30.01,30.49,3597200,22.45,22.59,22.0,22.36,3597200,61.25,61.61,60.02,60.98,3597200,-0.0235388310648519,-0.0235388310648519,-0.240000000000002,-0.0078
2007-01-11,EOG,31.04,31.04,29.86,29.98,4585300,22.75,22.76,21.89,21.98,4585300,62.07,62.08,59.71,59.96,4585300,-0.0398718975180144,-0.0398718975180144,-0.509999999999998,-0.0167
2007-01-12,EOG,30.0,31.22,29.99,31.14,3736000,22.01,22.91,22.01,22.85,3736000,60.0,62.44,59.98,62.28,3736000,-0.0027221777421937,-0.0027221777421937,1.16,0.0387
2007-01-16,EOG,31.06,31.55,30.75,31.02,3028300,22.79,23.15,22.57,22.76,3028300,62.12,63.09,61.51,62.03,3028300,-0.0065652522017614,-0.0065652522017614,-0.120000000000001,-0.0039
2007-01-17,EOG,30.95,31.41,30.87,31.09,3052500,22.71,23.05,22.65,22.81,3052500,61.91,62.82,61.74,62.17,3052500,-0.0043234587670136,-0.0043234587670136,0.0700000000000002,0.0023
2007-01-18,EOG,31.02,31.35,30.6,30.85,2498500,22.76,23.0,22.45,22.64,2498500,62.03,62.7,61.2,61.7,2498500,-0.0120096076861489,-0.0120096076861489,-0.2399999999999984,-0.0077
2007-01-19,EOG,31.2,32.44,31.07,32.37,3390000,22.89,23.8,22.8,23.75,3390000,62.4,64.87,62.13,64.73,3390000,0.0366693354683745,0.0366693354683745,1.519999999999996,0.0493
2007-01-22,EOG,32.75,33.23,32.19,32.47,4248200,24.03,24.38,23.62,23.82,4248200,65.5,66.45,64.37,64.93,4248200,0.0398718975180143,0.0398718975180143,0.1000000000000014,0.0031
2007-01-23,EOG,32.78,34.05,32.77,33.74,3632100,24.06,24.99,24.04,24.76,3632100,65.56,68.11,65.53,67.49,3632100,0.0805444355484387,0.0805444355484387,1.2700000000000031,0.0391
2007-01-24,EOG,33.41,33.7,32.84,33.68,2654900,24.52,24.73,24.1,24.71,2654900,66.83,67.41,65.69,67.36,2654900,0.0786228983186548,0.0786228983186548,-0.0600000000000022,-0.0018
2007-01-25,EOG,33.55,33.55,32.39,32.48,3344600,24.62,24.62,23.77,23.83,3344600,67.09,67.09,64.78,64.96,3344600,0.0401921537229782,0.0401921537229782,-1.2000000000000028,-0.0356
2007-01-26,EOG,32.8,33.13,32.55,32.78,2132000,24.07,24.31,23.88,24.06,2132000,65.6,66.27,65.09,65.57,2132000,0.0497998398718975,0.0497998398718975,0.3000000000000042,0.0092
2007-01-29,EOG,33.09,33.74,32.48,32.52,2671000,24.28,24.76,23.83,23.86,2671000,66.17,67.49,64.95,65.03,2671000,0.0414731785428343,0.0414731785428343,-0.259999999999998,-0.0079
2007-01-30,EOG,32.52,34.23,32.52,34.03,3724700,23.86,25.12,23.86,24.97,3724700,65.03,68.47,65.03,68.06,3724700,0.0898318654923939,0.0898318654923939,1.509999999999998,0.0464
2007-01-31,EOG,33.35,34.88,33.16,34.56,4132500,24.47,25.59,24.34,25.36,4132500,66.7,69.75,66.33,69.13,4132500,0.1068054443554844,0.1068054443554844,0.5300000000000011,0.0156
2007-02-01,EOG,34.75,34.98,34.05,34.8,5003800,25.5,25.66,24.99,25.53,5003800,69.5,69.95,68.1,69.59,5003800,0.1144915932746195,0.1144915932746195,0.2399999999999948,0.0069
2007-02-02,EOG,34.71,34.77,34.02,34.34,2790600,25.47,25.51,24.96,25.2,2790600,69.42,69.54,68.04,68.69,2790600,0.099759807846277,0.099759807846277,-0.4599999999999937,-0.0132
2007-02-05,EOG,34.43,34.87,33.93,33.98,2940500,25.26,25.59,24.9,24.93,2940500,68.86,69.74,67.86,67.95,2940500,0.0882305844675739,0.0882305844675739,-0.3600000000000065,-0.0105
2007-02-06,EOG,34.45,34.47,33.34,33.57,2790700,25.28,25.29,24.47,24.63,2790700,68.91,68.93,66.69,67.14,2790700,0.0751000800640512,0.0751000800640512,-0.4099999999999966,-0.0121
2007-02-07,EOG,33.58,33.85,32.98,33.27,2256000,24.64,24.84,24.2,24.42,2256000,67.15,67.71,65.96,66.55,2256000,0.0654923939151321,0.0654923939151321,-0.2999999999999971,-0.0089
2007-02-08,EOG,33.27,33.41,32.78,33.3,3004400,24.42,24.51,24.05,24.44,3004400,66.55,66.81,65.56,66.61,3004400,0.0664531625300238,0.0664531625300238,0.029999999999994,0.0009
2007-02-09,EOG,33.42,33.81,33.14,33.28,1751000,24.52,24.81,24.32,24.42,1751000,66.84,67.62,66.28,66.57,1751000,0.065812650120096,0.065812650120096,-0.019999999999996,-0.0006
2007-02-12,EOG,32.84,33.08,32.2,32.52,2390988,24.09,24.27,23.63,23.86,2390988,65.67,66.16,64.4,65.04,2390988,0.0414731785428343,0.0414731785428343,-0.759999999999998,-0.0228
2007-02-13,EOG,32.99,33.09,32.54,32.88,2986817,24.21,24.28,23.88,24.13,2986817,65.99,66.17,65.08,65.77,2986817,0.0530024019215372,0.0530024019215372,0.3599999999999994,0.0111
2007-02-14,EOG,32.99,33.34,32.8,33.06,2152779,24.21,24.46,24.07,24.26,2152779,65.99,66.67,65.6,66.12,2152779,0.0587670136108887,0.0587670136108887,0.1799999999999997,0.0055
2007-02-15,EOG,32.9,33.05,32.35,32.9,2901300,24.14,24.25,23.74,24.14,2901300,65.8,66.1,64.71,65.79,2901300,0.053642914331465,0.053642914331465,-0.1600000000000037,-0.0048
2007-02-16,EOG,32.97,33.77,32.95,33.5,3251400,24.19,24.78,24.18,24.58,3251400,65.94,67.53,65.91,67.0,3251400,0.0728582866293034,0.0728582866293034,0.6000000000000014,0.0182
2007-02-20,EOG,33.2,33.31,33.0,33.2,2441900,24.36,24.44,24.22,24.36,2441900,66.4,66.62,66.0,66.4,2441900,0.0632506004803843,0.0632506004803843,-0.2999999999999971,-0.009
2007-02-21,EOG,33.3,33.81,32.91,33.65,2088700,24.44,24.81,24.15,24.69,2088700,66.61,67.62,65.82,67.3,2088700,0.0776621297037629,0.0776621297037629,0.4499999999999957,0.0136
2007-02-22,EOG,33.86,34.4,33.66,34.26,2793700,24.85,25.24,24.7,25.14,2793700,67.72,68.8,67.33,68.51,2793700,0.0971977582065651,0.0971977582065651,0.6099999999999994,0.0181
2007-02-23,EOG,34.51,34.59,33.73,33.93,1865200,25.32,25.38,24.75,24.9,1865200,69.01,69.17,67.46,67.86,1865200,0.0866293034427541,0.0866293034427541,-0.3299999999999983,-0.0096
2007-02-26,EOG,34.2,34.88,34.13,34.79,2741876,25.1,25.59,25.05,25.53,2741876,68.4,69.75,68.27,69.58,2741876,0.1141713370696556,0.1141713370696556,0.8599999999999994,0.0253
2007-02-27,EOG,33.98,34.91,33.38,33.8,2962900,24.94,25.62,24.49,24.8,2962900,67.97,69.82,66.75,67.6,2962900,0.0824659727782224,0.0824659727782224,-0.990000000000002,-0.0285
2007-02-28,EOG,33.88,34.15,33.33,33.87,2705800,24.86,25.06,24.46,24.85,2705800,67.76,68.3,66.66,67.74,2705800,0.0847077662129702,0.0847077662129702,0.0700000000000002,0.0021
2007-03-01,EOG,33.19,33.97,32.98,33.52,2716346,24.35,24.93,24.2,24.6,2716346,66.37,67.94,65.97,67.05,2716346,0.0734987990392314,0.0734987990392314,-0.3499999999999943,-0.0103
