Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2012-02-08,EPAM,13.75,15.05,13.25,14.0,3336243,13.75,15.05,13.25,14.0,3336243,13.75,15.05,13.25,14.0,3336243,0.0,0.0,0.0,0.0
2012-02-09,EPAM,14.17,14.22,13.75,13.91,580536,14.17,14.22,13.75,13.91,580536,14.17,14.22,13.75,13.91,580536,-0.0064285714285714,-0.0064285714285714,-0.0899999999999998,-0.0064
2012-02-10,EPAM,14.0,14.03,13.77,13.96,336271,14.0,14.03,13.77,13.96,336271,14.0,14.03,13.77,13.96,336271,-0.0028571428571427,-0.0028571428571427,0.0500000000000007,0.0036
2012-02-13,EPAM,13.91,14.42,13.63,13.65,175907,13.91,14.42,13.63,13.65,175907,13.91,14.42,13.63,13.65,175907,-0.0249999999999999,-0.0249999999999999,-0.3100000000000005,-0.0222
2012-02-14,EPAM,13.6,13.79,13.3,13.44,122157,13.6,13.79,13.3,13.44,122157,13.6,13.79,13.3,13.44,122157,-0.04,-0.04,-0.2100000000000008,-0.0154
2012-02-15,EPAM,13.5,14.07,13.3,13.4,175037,13.5,14.07,13.3,13.4,175037,13.5,14.07,13.3,13.4,175037,-0.0428571428571428,-0.0428571428571428,-0.0399999999999991,-0.003
2012-02-16,EPAM,13.4,13.7,13.4,13.54,71242,13.4,13.7,13.4,13.54,71242,13.4,13.7,13.4,13.54,71242,-0.0328571428571429,-0.0328571428571429,0.1399999999999988,0.0104
2012-02-17,EPAM,13.61,13.99,13.5,13.58,142812,13.61,13.99,13.5,13.58,142812,13.61,13.99,13.5,13.58,142812,-0.0299999999999999,-0.0299999999999999,0.0400000000000009,0.003
2012-02-21,EPAM,13.61,14.34,13.56,13.71,248631,13.61,14.34,13.56,13.71,248631,13.61,14.34,13.56,13.71,248631,-0.0207142857142856,-0.0207142857142856,0.1300000000000007,0.0096
2012-02-22,EPAM,13.99,14.22,13.75,13.96,274843,13.99,14.22,13.75,13.96,274843,13.99,14.22,13.75,13.96,274843,-0.0028571428571427,-0.0028571428571427,0.25,0.0182
2012-02-23,EPAM,13.97,14.0,13.84,13.94,82439,13.97,14.0,13.84,13.94,82439,13.97,14.0,13.84,13.94,82439,-0.0042857142857143,-0.0042857142857143,-0.0200000000000013,-0.0014
2012-02-24,EPAM,13.93,13.93,13.55,13.71,119906,13.93,13.93,13.55,13.71,119906,13.93,13.93,13.55,13.71,119906,-0.0207142857142856,-0.0207142857142856,-0.2299999999999986,-0.0165
2012-02-27,EPAM,13.65,13.84,13.63,13.66,235225,13.65,13.84,13.63,13.66,235225,13.65,13.84,13.63,13.66,235225,-0.0242857142857142,-0.0242857142857142,-0.0500000000000007,-0.0036
2012-02-28,EPAM,13.75,13.84,13.75,13.83,68021,13.75,13.84,13.75,13.83,68021,13.75,13.84,13.75,13.83,68021,-0.0121428571428571,-0.0121428571428571,0.1699999999999999,0.0124
2012-02-29,EPAM,13.88,14.15,13.85,14.13,68094,13.88,14.15,13.85,14.13,68094,13.88,14.15,13.85,14.13,68094,0.0092857142857143,0.0092857142857143,0.3000000000000007,0.0217
2012-03-01,EPAM,14.15,15.35,14.1,15.0,610075,14.15,15.35,14.1,15.0,610075,14.15,15.35,14.1,15.0,610075,0.0714285714285714,0.0714285714285714,0.8699999999999992,0.0616
2012-03-02,EPAM,15.07,15.7,14.97,15.14,237640,15.07,15.7,14.97,15.14,237640,15.07,15.7,14.97,15.14,237640,0.0814285714285714,0.0814285714285714,0.1400000000000005,0.0093
2012-03-05,EPAM,15.07,15.15,14.78,15.09,184818,15.07,15.15,14.78,15.09,184818,15.07,15.15,14.78,15.09,184818,0.0778571428571428,0.0778571428571428,-0.0500000000000007,-0.0033
2012-03-06,EPAM,14.98,15.27,14.84,15.0,130512,14.98,15.27,14.84,15.0,130512,14.98,15.27,14.84,15.0,130512,0.0714285714285714,0.0714285714285714,-0.0899999999999998,-0.006
2012-03-07,EPAM,15.04,15.34,15.04,15.23,110004,15.04,15.34,15.04,15.23,110004,15.04,15.34,15.04,15.23,110004,0.0878571428571428,0.0878571428571428,0.2300000000000004,0.0153
2012-03-08,EPAM,14.54,15.53,14.45,15.23,120590,14.54,15.53,14.45,15.23,120590,14.54,15.53,14.45,15.23,120590,0.0878571428571428,0.0878571428571428,0.0,0.0
2012-03-09,EPAM,15.18,15.59,15.08,15.32,166176,15.18,15.59,15.08,15.32,166176,15.18,15.59,15.08,15.32,166176,0.0942857142857143,0.0942857142857143,0.0899999999999998,0.0059
2012-03-12,EPAM,14.95,15.4,14.95,15.14,91217,14.95,15.4,14.95,15.14,91217,14.95,15.4,14.95,15.14,91217,0.0814285714285714,0.0814285714285714,-0.1799999999999997,-0.0117
2012-03-13,EPAM,15.14,16.48,15.07,15.78,316517,15.14,16.48,15.07,15.78,316517,15.14,16.48,15.07,15.78,316517,0.127142857142857,0.127142857142857,0.6399999999999988,0.0423
2012-03-14,EPAM,15.67,16.35,15.67,16.2,160283,15.67,16.35,15.67,16.2,160283,15.67,16.35,15.67,16.2,160283,0.157142857142857,0.157142857142857,0.4199999999999999,0.0266
2012-03-15,EPAM,16.18,17.13,16.18,17.0,228738,16.18,17.13,16.18,17.0,228738,16.18,17.13,16.18,17.0,228738,0.2142857142857142,0.2142857142857142,0.8000000000000007,0.0494
2012-03-16,EPAM,16.91,17.26,16.2,16.8,326022,16.91,17.26,16.2,16.8,326022,16.91,17.26,16.2,16.8,326022,0.2,0.2,-0.1999999999999993,-0.0118
2012-03-19,EPAM,17.12,17.92,16.9,17.41,297709,17.12,17.92,16.9,17.41,297709,17.12,17.92,16.9,17.41,297709,0.2435714285714285,0.2435714285714285,0.6099999999999994,0.0363
2012-03-20,EPAM,17.44,17.5,16.9,17.41,96768,17.44,17.5,16.9,17.41,96768,17.44,17.5,16.9,17.41,96768,0.2435714285714285,0.2435714285714285,0.0,0.0
2012-03-21,EPAM,17.5,17.75,17.24,17.38,210993,17.5,17.75,17.24,17.38,210993,17.5,17.75,17.24,17.38,210993,0.2414285714285713,0.2414285714285713,-0.0300000000000011,-0.0017
2012-03-22,EPAM,17.18,17.32,16.44,16.6,99640,17.18,17.32,16.44,16.6,99640,17.18,17.32,16.44,16.6,99640,0.1857142857142858,0.1857142857142858,-0.7799999999999976,-0.0449
2012-03-23,EPAM,16.56,17.35,16.56,17.1,227588,16.56,17.35,16.56,17.1,227588,16.56,17.35,16.56,17.1,227588,0.2214285714285715,0.2214285714285715,0.5,0.0301
2012-03-26,EPAM,17.31,17.38,16.75,16.98,144101,17.31,17.38,16.75,16.98,144101,17.31,17.38,16.75,16.98,144101,0.2128571428571428,0.2128571428571428,-0.120000000000001,-0.007
2012-03-27,EPAM,17.75,21.25,17.58,21.11,1373143,17.75,21.25,17.58,21.11,1373143,17.75,21.25,17.58,21.11,1373143,0.5078571428571428,0.5078571428571428,4.129999999999999,0.2432
2012-03-28,EPAM,21.0,21.05,18.99,20.0,851067,21.0,21.05,18.99,20.0,851067,21.0,21.05,18.99,20.0,851067,0.4285714285714285,0.4285714285714285,-1.1099999999999994,-0.0526
2012-03-29,EPAM,19.73,20.8,19.0,20.1,544893,19.73,20.8,19.0,20.1,544893,19.73,20.8,19.0,20.1,544893,0.4357142857142858,0.4357142857142858,0.1000000000000014,0.005
2012-03-30,EPAM,20.29,20.7,19.75,20.52,408490,20.29,20.7,19.75,20.52,408490,20.29,20.7,19.75,20.52,408490,0.4657142857142857,0.4657142857142857,0.4199999999999981,0.0209
2012-04-02,EPAM,20.39,21.99,20.39,21.71,440439,20.39,21.99,20.39,21.71,440439,20.39,21.99,20.39,21.71,440439,0.5507142857142858,0.5507142857142858,1.1900000000000013,0.058
2012-04-03,EPAM,21.52,22.23,21.11,22.2,212177,21.52,22.23,21.11,22.2,212177,21.52,22.23,21.11,22.2,212177,0.5857142857142856,0.5857142857142856,0.4899999999999984,0.0226
2012-04-04,EPAM,21.79,21.86,20.56,21.15,193358,21.79,21.86,20.56,21.15,193358,21.79,21.86,20.56,21.15,193358,0.5107142857142856,0.5107142857142856,-1.0500000000000007,-0.0473
2012-04-05,EPAM,21.03,21.4,20.61,20.96,102004,21.03,21.4,20.61,20.96,102004,21.03,21.4,20.61,20.96,102004,0.4971428571428572,0.4971428571428572,-0.1899999999999977,-0.009
2012-04-09,EPAM,20.58,21.43,19.76,21.27,96916,20.58,21.43,19.76,21.27,96916,20.58,21.43,19.76,21.27,96916,0.5192857142857142,0.5192857142857142,0.3099999999999987,0.0148
2012-04-10,EPAM,21.14,22.07,21.06,21.8,204487,21.14,22.07,21.06,21.8,204487,21.14,22.07,21.06,21.8,204487,0.5571428571428572,0.5571428571428572,0.5300000000000011,0.0249
2012-04-11,EPAM,21.93,23.61,21.78,22.59,199796,21.93,23.61,21.78,22.59,199796,21.93,23.61,21.78,22.59,199796,0.6135714285714285,0.6135714285714285,0.7899999999999991,0.0362
2012-04-12,EPAM,22.67,23.53,22.35,23.25,93465,22.67,23.53,22.35,23.25,93465,22.67,23.53,22.35,23.25,93465,0.6607142857142857,0.6607142857142857,0.6600000000000001,0.0292
