Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,ETN,37.845,37.85,37.525,37.57,814400,24.5837,24.5869,24.3758,24.4051,814400,75.69,75.7,75.05,75.14,407200,0.0,0.0,0.0,0.0
2007-01-03,ETN,37.45,37.96,37.45,37.59,1319900,23.13,23.45,23.13,23.23,1319900,74.89,75.92,74.89,75.19,1319900,0.0005323396326857,0.0005323396326857,0.0200000000000031,0.0005
2007-01-04,ETN,37.59,37.82,37.26,37.63,721200,23.22,23.37,23.02,23.25,721200,75.18,75.64,74.52,75.26,721200,0.001597018898057,0.001597018898057,0.0399999999999991,0.0011
2007-01-05,ETN,37.38,37.59,37.14,37.31,637900,23.09,23.22,22.95,23.05,637900,74.75,75.17,74.28,74.62,637900,-0.0069204152249134,-0.0069204152249134,-0.3200000000000003,-0.0085
2007-01-08,ETN,37.25,37.46,36.95,37.29,1014500,23.01,23.14,22.82,23.04,1014500,74.5,74.92,73.89,74.58,1014500,-0.0074527548575991,-0.0074527548575991,-0.0200000000000031,-0.0005
2007-01-09,ETN,36.95,37.26,36.7,37.11,1498400,22.83,23.02,22.67,22.93,1498400,73.9,74.52,73.4,74.22,1498400,-0.01224381155177,-0.01224381155177,-0.1799999999999997,-0.0048
2007-01-10,ETN,37.08,37.2,36.61,37.13,1891900,22.91,22.98,22.62,22.94,1891900,74.16,74.39,73.22,74.25,1891900,-0.0117114719190843,-0.0117114719190843,0.0200000000000031,0.0005
2007-01-11,ETN,36.09,37.31,35.95,37.14,2665900,22.3,23.05,22.21,22.95,2665900,72.18,74.63,71.91,74.28,2665900,-0.0114453021027415,-0.0114453021027415,0.009999999999998,0.0003
2007-01-12,ETN,37.15,37.26,36.92,37.26,1375900,22.95,23.02,22.81,23.02,1375900,74.3,74.52,73.85,74.52,1375900,-0.0082512643066276,-0.0082512643066276,0.1199999999999974,0.0032
2007-01-16,ETN,37.41,37.58,37.2,37.58,811500,23.11,23.22,22.99,23.21,811500,74.82,75.16,74.41,75.15,811500,0.0002661698163427,0.0002661698163427,0.3200000000000003,0.0086
2007-01-17,ETN,37.75,38.84,37.65,38.41,1791000,23.32,24.0,23.26,23.73,1791000,75.5,77.68,75.3,76.83,1791000,0.0223582645727973,0.0223582645727973,0.8299999999999983,0.0221
2007-01-18,ETN,38.17,38.54,38.05,38.17,1059200,23.58,23.81,23.5,23.58,1059200,76.35,77.08,76.09,76.34,1059200,0.0159701889805696,0.0159701889805696,-0.2399999999999948,-0.0062
2007-01-19,ETN,38.45,39.12,38.38,38.83,1439300,23.75,24.17,23.71,23.99,1439300,76.9,78.23,76.75,77.65,1439300,0.0335373968591961,0.0335373968591961,0.6599999999999966,0.0173
2007-01-22,ETN,38.6,38.6,36.09,36.9,4106600,23.85,23.85,22.3,22.8,4106600,77.21,77.21,72.18,73.8,4106600,-0.0178333776949694,-0.0178333776949694,-1.93,-0.0497
2007-01-23,ETN,37.08,38.06,36.95,38.03,1947600,22.9,23.51,22.83,23.5,1947600,74.15,76.12,73.9,76.07,1947600,0.01224381155177,0.01224381155177,1.1300000000000026,0.0306
2007-01-24,ETN,37.9,38.1,37.63,37.95,991600,23.41,23.54,23.25,23.45,991600,75.8,76.2,75.26,75.91,991600,0.0101144530210274,0.0101144530210274,-0.0799999999999983,-0.0021
2007-01-25,ETN,37.79,37.94,37.48,37.49,1245800,23.35,23.44,23.16,23.16,1245800,75.58,75.88,74.96,74.99,1245800,-0.0021293585307425,-0.0021293585307425,-0.4600000000000008,-0.0121
