Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,FIS,38.2515,38.3279,38.1846,38.3088,592420.9860935523,30.4622,30.5231,30.4089,30.5079,592420.9860935523,40.03,40.11,39.96,40.09,566100,0.0,0.0,0.0,0.0
2007-01-03,FIS,40.11,40.83,40.11,40.61,1377400.0,31.6,32.17,31.6,32.0,1377400.0,40.11,40.83,40.11,40.61,1377400,0.0600697489871779,0.0600697489871779,2.301200000000001,0.0601
2007-01-04,FIS,40.5,40.6,40.26,40.48,958400.0,31.91,31.99,31.72,31.89,958400.0,40.5,40.6,40.26,40.48,958400,0.0566762728146013,0.0566762728146013,-0.1300000000000025,-0.0032
2007-01-05,FIS,40.45,40.55,39.99,40.34,1005000.0,31.87,31.95,31.51,31.78,1005000.0,40.45,40.55,39.99,40.34,1005000,0.0530217600133652,0.0530217600133652,-0.1399999999999934,-0.0035
2007-01-08,FIS,40.28,40.76,40.13,40.68,753000.0,31.74,32.11,31.62,32.05,753000.0,40.28,40.76,40.13,40.68,753000,0.061897005387796,0.061897005387796,0.3399999999999963,0.0084
2007-01-09,FIS,40.72,41.03,40.59,40.98,715200.0,32.08,32.33,31.98,32.29,715200.0,40.72,41.03,40.59,40.98,715200,0.0697281042475879,0.0697281042475879,0.2999999999999971,0.0074
2007-01-10,FIS,40.85,41.35,40.57,41.32,752400.0,32.19,32.58,31.97,32.56,752400.0,40.85,41.35,40.57,41.32,752400,0.078603349622019,0.078603349622019,0.3400000000000034,0.0083
2007-01-11,FIS,41.33,41.48,41.2,41.42,860300.0,32.56,32.68,32.46,32.63,860300.0,41.33,41.48,41.2,41.42,860300,0.0812137159086164,0.0812137159086164,0.1000000000000014,0.0024
2007-01-12,FIS,41.37,41.49,41.13,41.29,560900.0,32.6,32.69,32.41,32.53,560900.0,41.37,41.49,41.13,41.29,560900,0.0778202397360398,0.0778202397360398,-0.1300000000000025,-0.0031
2007-01-16,FIS,41.17,41.36,41.06,41.31,791700.0,32.44,32.59,32.35,32.55,791700.0,41.17,41.36,41.06,41.31,791700,0.0783423129933593,0.0783423129933593,0.0200000000000031,0.0005
2007-01-17,FIS,41.3,41.55,41.19,41.55,1033500.0,32.54,32.74,32.45,32.74,1033500.0,41.3,41.55,41.19,41.55,1033500,0.0846071920811928,0.0846071920811928,0.2399999999999948,0.0058
2007-01-18,FIS,41.45,41.75,41.33,41.51,642600.0,32.66,32.89,32.56,32.71,642600.0,41.45,41.75,41.33,41.51,642600,0.0835630455665539,0.0835630455665539,-0.0399999999999991,-0.001
2007-01-19,FIS,41.53,41.64,41.39,41.6,569500.0,32.72,32.81,32.61,32.78,569500.0,41.53,41.64,41.39,41.6,569500,0.0859123752244915,0.0859123752244915,0.0900000000000034,0.0022
