Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2019-03-19,FOXA,41.55,41.7,39.84,40.34,10118472,38.75,38.89,37.15,37.62,10118472,41.55,41.7,39.84,40.34,10118472,0.0,0.0,0.0,0.0
2019-03-20,FOXA,40.49,40.81,38.24,38.62,15683238,37.76,38.06,35.66,36.01,15683238,40.49,40.81,38.24,38.62,15683238,-0.0426375805651959,-0.0426375805651959,-1.720000000000006,-0.0426
2019-03-21,FOXA,39.0,40.07,38.75,40.02,12751732,36.37,37.37,36.13,37.32,12751732,39.0,40.07,38.75,40.02,12751732,-0.0079325731284085,-0.0079325731284085,1.4000000000000057,0.0363
2019-03-22,FOXA,39.93,39.99,37.69,38.72,10897994,37.23,37.29,35.15,36.11,10897994,39.93,39.99,37.69,38.72,10897994,-0.0401586514625682,-0.0401586514625682,-1.3000000000000045,-0.0325
2019-03-25,FOXA,38.89,38.96,37.39,37.44,9338926,36.26,36.33,34.87,34.91,9338926,38.89,38.96,37.39,37.44,9338926,-0.0718889439762024,-0.0718889439762024,-1.2800000000000011,-0.0331
2019-03-26,FOXA,37.65,38.28,37.51,37.54,6287100,35.11,35.7,34.98,35.01,6287100,37.65,38.28,37.51,37.54,6287100,-0.0694100148735747,-0.0694100148735747,0.1000000000000014,0.0027
2019-03-27,FOXA,37.52,37.91,36.76,36.92,5578118,34.99,35.35,34.28,34.43,5578118,37.52,37.91,36.76,36.92,5578118,-0.0847793753098661,-0.0847793753098661,-0.6199999999999974,-0.0165
2019-03-28,FOXA,36.85,37.15,36.34,36.4,5326238,34.36,34.64,33.89,33.94,5326238,36.85,37.15,36.34,36.4,5326238,-0.0976698066435301,-0.0976698066435301,-0.5200000000000031,-0.0141
2019-03-29,FOXA,36.55,36.91,36.15,36.71,5895347,34.08,34.42,33.71,34.23,5895347,36.55,36.91,36.15,36.71,5895347,-0.0899851264253843,-0.0899851264253843,0.3100000000000023,0.0085
2019-04-01,FOXA,36.91,37.15,36.71,36.85,5311201,34.42,34.64,34.23,34.36,5311201,36.91,37.15,36.71,36.85,5311201,-0.0865146256817055,-0.0865146256817055,0.1400000000000005,0.0038
2019-04-02,FOXA,36.96,37.18,35.9,36.28,6704831,34.47,34.67,33.48,33.83,6704831,36.96,37.18,35.9,36.28,6704831,-0.1006445215666832,-0.1006445215666832,-0.5700000000000003,-0.0155
2019-04-03,FOXA,36.37,36.56,35.9,36.08,8393708,33.92,34.09,33.48,33.64,8393708,36.37,36.56,35.9,36.08,8393708,-0.1056023797719386,-0.1056023797719386,-0.2000000000000028,-0.0055
2019-04-04,FOXA,36.2,36.8,36.01,36.76,4908406,33.76,34.32,33.58,34.28,4908406,36.2,36.8,36.01,36.76,4908406,-0.0887456618740705,-0.0887456618740705,0.6799999999999997,0.0188
2019-04-05,FOXA,36.79,37.85,36.69,37.68,7344894,34.31,35.3,34.21,35.14,7344894,36.79,37.85,36.69,37.68,7344894,-0.0659395141298959,-0.0659395141298959,0.9200000000000016,0.025
2019-04-08,FOXA,37.6,37.68,37.27,37.47,3393260,35.06,35.14,34.75,34.94,3393260,37.6,37.68,37.27,37.47,3393260,-0.071145265245414,-0.071145265245414,-0.2100000000000008,-0.0056
2019-04-09,FOXA,37.42,37.65,37.17,37.31,5725894,34.89,35.11,34.66,34.79,5725894,37.42,37.65,37.17,37.31,5725894,-0.0751115518096182,-0.0751115518096182,-0.1599999999999966,-0.0043
2019-04-10,FOXA,37.33,37.53,36.36,36.48,4828362,34.81,35.0,33.91,34.02,4828362,37.33,37.53,36.36,36.48,4828362,-0.095686663361428,-0.095686663361428,-0.8300000000000054,-0.0222
2019-04-11,FOXA,36.57,37.16,35.99,37.09,4791432,34.1,34.65,33.56,34.59,4791432,36.57,37.16,35.99,37.09,4791432,-0.0805651958353991,-0.0805651958353991,0.6100000000000065,0.0167
2019-04-12,FOXA,37.15,37.62,36.47,37.53,6368477,34.64,35.08,34.01,35.0,6368477,37.15,37.62,36.47,37.53,6368477,-0.0696579077838374,-0.0696579077838374,0.4399999999999977,0.0119
2019-04-15,FOXA,37.46,37.57,36.99,37.53,3927062,34.93,35.03,34.49,35.0,3927062,37.46,37.57,36.99,37.53,3927062,-0.0696579077838374,-0.0696579077838374,0.0,0.0
2019-04-16,FOXA,37.67,37.85,37.47,37.75,5721982,35.13,35.3,34.94,35.2,5721982,37.67,37.85,37.47,37.75,5721982,-0.0642042637580566,-0.0642042637580566,0.2199999999999988,0.0059
2019-04-17,FOXA,37.87,38.85,37.76,38.84,7603795,35.31,36.23,35.21,36.22,7603795,37.87,38.85,37.76,38.84,7603795,-0.0371839365394149,-0.0371839365394149,1.0900000000000034,0.0289
2019-04-18,FOXA,38.91,39.0,38.43,38.44,4737418,36.28,36.37,35.84,35.85,4737418,38.91,39.0,38.43,38.44,4737418,-0.0470996529499257,-0.0470996529499257,-0.4000000000000057,-0.0103
2019-04-22,FOXA,38.36,38.44,37.62,37.7,7675316,35.77,35.85,35.08,35.16,7675316,38.36,38.44,37.62,37.7,7675316,-0.0654437283093703,-0.0654437283093703,-0.7399999999999949,-0.0193
2019-04-23,FOXA,37.79,38.39,37.63,38.08,6328827,35.24,35.8,35.09,35.51,6328827,37.79,38.39,37.63,38.08,6328827,-0.0560237977193853,-0.0560237977193853,0.3799999999999954,0.0101
2019-04-24,FOXA,37.95,38.31,37.8,37.96,5323550,35.39,35.72,35.25,35.4,5323550,37.95,38.31,37.8,37.96,5323550,-0.0589985126425384,-0.0589985126425384,-0.1199999999999974,-0.0032
2019-04-25,FOXA,37.98,38.2,37.54,38.15,5309675,35.42,35.62,35.01,35.57,5309675,37.98,38.2,37.54,38.15,5309675,-0.0542885473475459,-0.0542885473475459,0.1899999999999977,0.005
2019-04-26,FOXA,38.08,38.53,37.9,38.48,5297417,35.51,35.93,35.34,35.88,5297417,38.08,38.53,37.9,38.48,5297417,-0.0461080813088747,-0.0461080813088747,0.3299999999999983,0.0087
2019-04-29,FOXA,38.54,39.52,38.31,39.2,6885177,35.94,36.86,35.72,36.55,6885177,38.54,39.52,38.31,39.2,6885177,-0.0282597917699553,-0.0282597917699553,0.720000000000006,0.0187
2019-04-30,FOXA,39.19,39.33,38.47,38.99,5044352,36.54,36.68,35.87,36.36,5044352,39.19,39.33,38.47,38.99,5044352,-0.0334655428854735,-0.0334655428854735,-0.2100000000000008,-0.0054
2019-05-01,FOXA,39.12,39.49,38.66,39.4,5149829,36.48,36.82,36.05,36.74,5149829,39.12,39.49,38.66,39.4,5149829,-0.0233019335647001,-0.0233019335647001,0.4099999999999966,0.0105
2019-05-02,FOXA,39.23,39.47,37.08,37.28,11495855,36.58,36.81,34.58,34.76,11495855,39.23,39.47,37.08,37.28,11495855,-0.0758552305404065,-0.0758552305404065,-2.119999999999997,-0.0538
2019-05-03,FOXA,37.41,37.75,37.12,37.47,4809763,34.88,35.2,34.61,34.94,4809763,37.41,37.75,37.12,37.47,4809763,-0.071145265245414,-0.071145265245414,0.1899999999999977,0.0051
2019-05-06,FOXA,37.17,37.99,36.96,37.92,4801609,34.66,35.43,34.47,35.36,4801609,37.17,37.99,36.96,37.92,4801609,-0.0599900842835895,-0.0599900842835895,0.4500000000000028,0.012
2019-05-07,FOXA,37.58,37.81,37.12,37.26,6053297,35.04,35.26,34.61,34.74,6053297,37.58,37.81,37.12,37.26,6053297,-0.0763510163609322,-0.0763510163609322,-0.6600000000000037,-0.0174
2019-05-08,FOXA,37.34,37.7,36.85,37.42,8635285,34.82,35.16,34.37,34.89,8635285,37.34,37.7,36.85,37.42,8635285,-0.0723847297967278,-0.0723847297967278,0.1600000000000037,0.0043
2019-05-09,FOXA,38.5,39.25,37.51,38.5,15210152,35.9,36.6,34.98,35.9,15210152,38.5,39.25,37.51,38.5,15210152,-0.0456122954883491,-0.0456122954883491,1.0799999999999983,0.0289
2019-05-10,FOXA,38.64,38.75,37.44,38.53,6742528,36.03,36.13,34.91,35.93,6742528,38.64,38.75,37.44,38.53,6742528,-0.0448686167575607,-0.0448686167575607,0.0300000000000011,0.0008
2019-05-13,FOXA,37.77,38.68,37.73,37.97,5604035,35.22,36.07,35.18,35.41,5604035,37.77,38.68,37.73,37.97,5604035,-0.0587506197322757,-0.0587506197322757,-0.5600000000000023,-0.0145
2019-05-14,FOXA,38.05,38.52,37.87,37.89,6198619,35.48,35.92,35.32,35.33,6198619,38.05,38.52,37.87,37.89,6198619,-0.0607337630143778,-0.0607337630143778,-0.0799999999999983,-0.0021
2019-05-15,FOXA,37.7,37.97,37.57,37.71,2975433,35.16,35.41,35.03,35.16,2975433,37.7,37.97,37.57,37.71,2975433,-0.0651958353991076,-0.0651958353991076,-0.1799999999999997,-0.0048
2019-05-16,FOXA,37.91,38.08,36.7,36.74,8705008,35.35,35.51,34.22,34.26,8705008,37.91,38.08,36.7,36.74,8705008,-0.0892414476945959,-0.0892414476945959,-0.9699999999999988,-0.0257
2019-05-17,FOXA,36.56,37.59,36.55,37.32,5507954,34.31,35.27,34.3,35.02,5507954,36.56,37.59,36.55,37.32,5507954,-0.0748636588993555,-0.0748636588993555,0.5799999999999983,0.0158
2019-05-20,FOXA,37.18,37.64,37.0,37.14,3670004,34.89,35.32,34.72,34.85,3670004,37.18,37.64,37.0,37.14,3670004,-0.0793257312840853,-0.0793257312840853,-0.1799999999999997,-0.0048
2019-05-21,FOXA,37.26,38.0,37.1,37.69,4668608,34.96,35.66,34.81,35.37,4668608,37.26,38.0,37.1,37.69,4668608,-0.0656916212196332,-0.0656916212196332,0.5499999999999972,0.0148
2019-05-22,FOXA,37.66,37.76,37.05,37.12,3431178,35.34,35.43,34.77,34.83,3431178,37.66,37.76,37.05,37.12,3431178,-0.0798215171046109,-0.0798215171046109,-0.5700000000000003,-0.0151
2019-05-23,FOXA,36.82,37.08,36.63,36.91,4431862,34.55,34.8,34.37,34.64,4431862,36.82,37.08,36.63,36.91,4431862,-0.085027268220129,-0.085027268220129,-0.2100000000000008,-0.0057
2019-05-24,FOXA,37.05,37.2,36.85,36.92,2878988,34.77,34.91,34.58,34.65,2878988,37.05,37.2,36.85,36.92,2878988,-0.0847793753098661,-0.0847793753098661,0.0100000000000051,0.0003
2019-05-28,FOXA,36.97,37.34,36.51,36.64,4380381,34.69,35.04,34.26,34.38,4380381,36.97,37.34,36.51,36.64,4380381,-0.0917203767972236,-0.0917203767972236,-0.2800000000000011,-0.0076
2019-05-29,FOXA,36.5,36.65,35.79,35.79,3691294,34.25,34.39,33.59,33.59,3691294,36.5,36.65,35.79,35.79,3691294,-0.1127912741695588,-0.1127912741695588,-0.8500000000000014,-0.0232
2019-05-30,FOXA,35.88,36.16,35.15,35.22,4730387,33.67,33.93,32.98,33.05,4730387,35.88,36.16,35.15,35.22,4730387,-0.1269211700545365,-0.1269211700545365,-0.5700000000000003,-0.0159
2019-05-31,FOXA,34.97,35.27,34.7,35.23,6706125,32.82,33.1,32.56,33.06,6706125,34.97,35.27,34.7,35.23,6706125,-0.1266732771442738,-0.1266732771442738,0.009999999999998,0.0003
2019-06-03,FOXA,35.05,35.3,33.78,34.24,7665044,32.89,33.13,31.7,32.13,7665044,35.05,35.3,33.78,34.24,7665044,-0.1512146752602876,-0.1512146752602876,-0.9899999999999948,-0.0281
2019-06-04,FOXA,34.52,35.25,34.15,34.48,8058934,32.39,33.08,32.05,32.36,8058934,34.52,35.25,34.15,34.48,8058934,-0.1452652454139813,-0.1452652454139813,0.2399999999999948,0.007
2019-06-05,FOXA,34.62,34.98,34.28,34.36,6240649,32.49,32.83,32.17,32.24,6240649,34.62,34.98,34.28,34.36,6240649,-0.1482399603371344,-0.1482399603371344,-0.1199999999999974,-0.0035
2019-06-06,FOXA,34.66,34.66,33.98,34.12,5288296,32.52,32.52,31.89,32.02,5288296,34.66,34.66,33.98,34.12,5288296,-0.1541893901834408,-0.1541893901834408,-0.240000000000002,-0.007
2019-06-07,FOXA,34.18,34.44,34.0,34.01,4226794,32.07,32.32,31.91,31.91,4226794,34.18,34.44,34.0,34.01,4226794,-0.1569162121963313,-0.1569162121963313,-0.1099999999999994,-0.0032
2019-06-10,FOXA,34.05,34.4,33.9,34.03,5620499,31.95,32.28,31.81,31.93,5620499,34.05,34.4,33.9,34.03,5620499,-0.1564204263758057,-0.1564204263758057,0.0200000000000031,0.0006
2019-06-11,FOXA,34.23,34.41,34.01,34.18,3166916,32.12,32.29,31.91,32.07,3166916,34.23,34.41,34.01,34.18,3166916,-0.1527020327218642,-0.1527020327218642,0.1499999999999985,0.0044
2019-06-12,FOXA,34.2,35.1,34.16,35.05,4426934,32.09,32.94,32.06,32.89,4426934,34.2,35.1,34.16,35.05,4426934,-0.1311353495290036,-0.1311353495290036,0.8699999999999974,0.0255
2019-06-13,FOXA,35.17,35.5,34.96,35.29,4384777,33.0,33.31,32.81,33.12,4384777,35.17,35.5,34.96,35.29,4384777,-0.1251859196826971,-0.1251859196826971,0.240000000000002,0.0068
2019-06-14,FOXA,35.24,35.5,34.93,35.24,4362353,33.07,33.31,32.78,33.07,4362353,35.24,35.5,34.93,35.24,4362353,-0.1264253842340109,-0.1264253842340109,-0.0499999999999971,-0.0014
2019-06-17,FOXA,35.42,36.33,35.34,36.13,7195391,33.24,34.09,33.16,33.9,7195391,35.42,36.33,35.34,36.13,7195391,-0.1043629152206247,-0.1043629152206247,0.8900000000000006,0.0253
2019-06-18,FOXA,36.45,37.05,36.08,36.19,4938850,34.2,34.77,33.86,33.96,4938850,36.45,37.05,36.08,36.19,4938850,-0.1028755577590482,-0.1028755577590482,0.0599999999999951,0.0017
2019-06-19,FOXA,36.26,36.42,35.68,35.99,4790143,34.03,34.18,33.48,33.77,4790143,36.26,36.42,35.68,35.99,4790143,-0.1078334159643034,-0.1078334159643034,-0.1999999999999957,-0.0055
2019-06-20,FOXA,36.38,36.48,35.56,35.58,5916524,34.14,34.23,33.37,33.39,5916524,36.38,36.48,35.56,35.58,5916524,-0.1179970252850769,-0.1179970252850769,-0.4100000000000037,-0.0114
2019-06-21,FOXA,35.61,37.3,35.31,36.18,11402191,33.42,35.0,33.13,33.95,11402191,35.61,37.3,35.31,36.18,11402191,-0.1031234506693109,-0.1031234506693109,0.6000000000000014,0.0169
2019-06-24,FOXA,36.01,36.07,35.6,35.8,5280111,33.79,33.85,33.41,33.59,5280111,36.01,36.07,35.6,35.8,5280111,-0.1125433812592961,-0.1125433812592961,-0.3800000000000025,-0.0105
2019-06-25,FOXA,35.78,35.86,35.14,35.34,7204375,33.58,33.65,32.98,33.16,7204375,35.78,35.86,35.14,35.34,7204375,-0.1239464551313832,-0.1239464551313832,-0.4599999999999937,-0.0128
2019-06-26,FOXA,35.79,36.1,35.33,35.47,4297292,33.59,33.88,33.15,33.29,4297292,35.79,36.1,35.33,35.47,4297292,-0.1207238472979673,-0.1207238472979673,0.1299999999999954,0.0037
