Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,GIS,29.025,29.055,28.765,28.8,1849600,17.7699,17.7883,17.6108,17.6322,1849600,58.05,58.11,57.53,57.6,924800,0.0,0.0,0.0,0.0
2007-01-03,GIS,28.7,28.99,28.57,28.71,1708000,16.41,16.58,16.33,16.42,1708000,57.39,57.98,57.13,57.43,1708000,-0.0031249999999999,-0.0031249999999999,-0.0899999999999998,-0.0031
2007-01-04,GIS,28.71,28.79,28.52,28.7,1399000,16.42,16.46,16.31,16.41,1399000,57.43,57.58,57.04,57.39,1399000,-0.0034722222222222,-0.0034722222222222,-0.0100000000000015,-0.0003
2007-01-05,GIS,28.65,28.68,28.45,28.48,1409600,16.38,16.4,16.27,16.29,1409600,57.3,57.36,56.91,56.97,1409600,-0.0111111111111111,-0.0111111111111111,-0.2199999999999988,-0.0077
2007-01-08,GIS,28.45,28.64,28.33,28.61,1484800,16.38,16.49,16.31,16.47,1484800,56.9,57.28,56.66,57.23,1484800,-0.0065972222222222,-0.0065972222222222,0.129999999999999,0.0046
2007-01-09,GIS,28.62,28.71,28.27,28.28,2300300,16.47,16.53,16.28,16.28,2300300,57.24,57.42,56.55,56.56,2300300,-0.0180555555555555,-0.0180555555555555,-0.3299999999999983,-0.0115
2007-01-10,GIS,28.23,28.45,28.11,28.38,1817700,16.25,16.38,16.18,16.34,1817700,56.46,56.9,56.21,56.76,1817700,-0.0145833333333333,-0.0145833333333333,0.0999999999999978,0.0035
2007-01-11,GIS,28.36,28.77,28.32,28.66,1833200,16.32,16.56,16.3,16.49,1833200,56.72,57.53,56.63,57.31,1833200,-0.0048611111111111,-0.0048611111111111,0.2800000000000011,0.0099
2007-01-12,GIS,28.68,28.73,28.41,28.45,1575600,16.51,16.53,16.36,16.38,1575600,57.36,57.45,56.83,56.9,1575600,-0.0121527777777778,-0.0121527777777778,-0.2100000000000008,-0.0073
2007-01-16,GIS,28.4,28.44,28.05,28.29,1606800,16.35,16.37,16.15,16.28,1606800,56.8,56.88,56.11,56.58,1606800,-0.0177083333333333,-0.0177083333333333,-0.1600000000000001,-0.0056
2007-01-17,GIS,28.44,28.44,28.2,28.3,1229900,16.37,16.37,16.23,16.29,1229900,56.88,56.88,56.4,56.6,1229900,-0.0173611111111111,-0.0173611111111111,0.0100000000000015,0.0004
2007-01-18,GIS,28.17,28.7,28.04,28.25,1751000,16.21,16.52,16.14,16.26,1751000,56.34,57.39,56.08,56.51,1751000,-0.0190972222222222,-0.0190972222222222,-0.0500000000000007,-0.0018
2007-01-19,GIS,28.25,28.36,28.16,28.32,1251400,16.26,16.33,16.21,16.3,1251400,56.5,56.73,56.32,56.65,1251400,-0.0166666666666666,-0.0166666666666666,0.0700000000000002,0.0025
2007-01-22,GIS,28.25,28.55,28.2,28.39,1619900,16.26,16.44,16.23,16.34,1619900,56.51,57.11,56.4,56.79,1619900,-0.0142361111111111,-0.0142361111111111,0.0700000000000002,0.0025
2007-01-23,GIS,28.32,28.39,28.14,28.3,1875200,16.3,16.34,16.19,16.29,1875200,56.63,56.79,56.27,56.61,1875200,-0.0173611111111111,-0.0173611111111111,-0.0899999999999998,-0.0032
2007-01-24,GIS,28.3,28.41,28.14,28.27,1674000,16.29,16.35,16.2,16.27,1674000,56.61,56.81,56.29,56.53,1674000,-0.0184027777777778,-0.0184027777777778,-0.0300000000000011,-0.0011
2007-01-25,GIS,28.48,28.52,28.35,28.39,1533600,16.39,16.41,16.32,16.34,1533600,56.95,57.03,56.7,56.78,1533600,-0.0142361111111111,-0.0142361111111111,0.120000000000001,0.0042
2007-01-26,GIS,28.38,28.48,28.18,28.27,885100,16.34,16.4,16.22,16.28,885100,56.76,56.97,56.37,56.55,885100,-0.0184027777777778,-0.0184027777777778,-0.120000000000001,-0.0042
2007-01-29,GIS,28.28,28.59,28.16,28.39,1500700,16.28,16.45,16.21,16.34,1500700,56.56,57.17,56.31,56.77,1500700,-0.0142361111111111,-0.0142361111111111,0.120000000000001,0.0042
2007-01-30,GIS,28.64,28.76,28.41,28.64,1607700,16.49,16.55,16.35,16.48,1607700,57.29,57.52,56.81,57.27,1607700,-0.0055555555555555,-0.0055555555555555,0.25,0.0088
2007-01-31,GIS,28.55,28.69,28.45,28.62,1194000,16.43,16.51,16.38,16.47,1194000,57.09,57.38,56.9,57.24,1194000,-0.0062499999999999,-0.0062499999999999,-0.0199999999999995,-0.0007
2007-02-01,GIS,28.61,28.73,28.45,28.73,1531200,16.47,16.53,16.38,16.53,1531200,57.22,57.45,56.9,57.45,1531200,-0.0024305555555555,-0.0024305555555555,0.1099999999999994,0.0038
2007-02-02,GIS,28.74,28.77,28.54,28.66,883100,16.54,16.56,16.42,16.49,883100,57.48,57.53,57.07,57.31,883100,-0.0048611111111111,-0.0048611111111111,-0.0700000000000002,-0.0024
2007-02-05,GIS,28.58,28.66,28.43,28.58,1067700,16.45,16.49,16.37,16.45,1067700,57.16,57.31,56.87,57.16,1067700,-0.0076388888888889,-0.0076388888888889,-0.0800000000000018,-0.0028
