Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,HPQ,18.5476,18.6776,18.4579,18.4713,14015186.104218371,12.4457,12.533,12.3855,12.3946,14015186.104218371,41.36,41.65,41.16,41.19,6285000,0.0,0.0,0.0,0.0
2007-01-03,HPQ,41.05,41.75,41.05,41.62,21171100.0,27.83,28.3,27.83,28.21,21171100.0,41.05,41.75,41.05,41.62,21171100,1.253225273803143,1.253225273803143,23.1487,1.2532
2007-01-04,HPQ,41.4,41.82,41.25,41.68,11961900.0,28.07,28.35,27.96,28.25,11961900.0,41.4,41.82,41.25,41.68,11961900,1.256473556273787,1.256473556273787,0.0600000000000022,0.0014
2007-01-05,HPQ,41.64,42.27,41.48,42.2,17424400.0,28.23,28.65,28.12,28.61,17424400.0,41.64,42.27,41.48,42.2,17424400,1.2846253376860322,1.2846253376860322,0.5200000000000031,0.0125
2007-01-08,HPQ,42.25,42.3,41.94,41.97,11493900.0,28.64,28.68,28.43,28.45,11493900.0,42.25,42.3,41.94,41.97,11493900,1.2721735882152312,1.2721735882152312,-0.2300000000000039,-0.0055
2007-01-09,HPQ,42.08,42.39,41.89,42.2,11868400.0,28.53,28.74,28.4,28.61,11868400.0,42.08,42.39,41.89,42.2,11868400,1.2846253376860322,1.2846253376860322,0.2300000000000039,0.0055
2007-01-10,HPQ,41.97,42.28,41.94,42.2,8814900.0,28.45,28.66,28.43,28.61,8814900.0,41.97,42.28,41.94,42.2,8814900,1.2846253376860322,1.2846253376860322,0.0,0.0
2007-01-11,HPQ,42.05,42.79,41.95,42.64,11844300.0,28.51,29.01,28.44,28.91,11844300.0,42.05,42.79,41.95,42.64,11844300,1.3084460758040857,1.3084460758040857,0.4399999999999977,0.0104
2007-01-12,HPQ,42.58,43.72,42.58,43.53,23034200.0,28.86,29.64,28.86,29.51,23034200.0,42.58,43.72,42.58,43.53,23034200,1.3566289324519665,1.3566289324519665,0.8900000000000006,0.0209
2007-01-16,HPQ,43.35,43.49,43.05,43.2,10063500.0,29.39,29.48,29.18,29.29,10063500.0,43.35,43.49,43.05,43.2,10063500,1.338763378863426,1.338763378863426,-0.3299999999999983,-0.0076
