Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2014-08-11,HUBB,120.4,120.4,118.11,118.22,185339,98.68,98.68,96.8,96.89,185339,120.4,120.4,118.11,118.22,185339,0.0,0.0,0.0,0.0
2014-08-13,HUBB,119.04,120.13,118.64,119.27,114600,97.57,98.46,97.24,97.75,114600,119.04,120.13,118.64,119.27,114600,0.0088817458974792,0.0088817458974792,1.0499999999999972,0.0089
2014-08-15,HUBB,120.55,121.1,118.75,120.1,198271,98.8,99.25,97.33,98.43,198271,120.55,121.1,118.75,120.1,198271,0.0159025545592961,0.0159025545592961,0.8299999999999983,0.007
2014-08-19,HUBB,121.82,122.28,120.78,122.25,153420,99.84,100.22,98.99,100.2,153420,121.82,122.28,120.78,122.25,153420,0.0340889866350871,0.0340889866350871,2.1500000000000057,0.0179
2014-08-21,HUBB,122.39,123.06,121.55,121.67,121843,100.31,100.86,99.62,99.72,121843,122.39,123.06,121.55,121.67,121843,0.0291828793774319,0.0291828793774319,-0.5799999999999983,-0.0047
2014-08-25,HUBB,122.0,122.43,121.39,122.17,67041,99.99,100.34,99.49,100.13,67041,122.0,122.43,121.39,122.17,67041,0.0334122821857554,0.0334122821857554,0.5,0.0041
2014-08-29,HUBB,120.76,121.55,120.08,120.9,98748,99.37,100.02,98.81,99.49,98748,120.76,121.55,120.08,120.9,98748,0.0226695990526138,0.0226695990526138,-1.269999999999996,-0.0104
2014-09-08,HUBB,119.52,120.12,118.98,119.86,152532,98.35,98.85,97.91,98.63,152532,119.52,120.12,118.98,119.86,152532,0.0138724412113009,0.0138724412113009,-1.0400000000000065,-0.0086
2014-09-09,HUBB,119.62,120.55,118.46,119.0,116428,98.44,99.2,97.48,97.93,116428,119.62,120.55,118.46,119.0,116428,0.0065978683809846,0.0065978683809846,-0.8599999999999994,-0.0072
2014-09-10,HUBB,119.32,120.11,118.6,119.69,131653,98.19,98.84,97.6,98.49,131653,119.32,120.11,118.6,119.69,131653,0.0124344442564709,0.0124344442564709,0.6899999999999977,0.0058
