Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,IPG,12.22,12.28,12.17,12.24,1868400,8.167,8.2071,8.1336,8.1804,1868400,12.22,12.28,12.17,12.24,1868400,0.0,0.0,0.0,0.0
2007-01-03,IPG,12.23,12.35,12.08,12.24,3316800,8.13,8.21,8.03,8.14,3316800,12.23,12.35,12.08,12.24,3316800,0.0,0.0,0.0,0.0
2007-01-04,IPG,12.19,12.37,12.13,12.32,4065600,8.11,8.22,8.07,8.19,4065600,12.19,12.37,12.13,12.32,4065600,0.0065359477124183,0.0065359477124183,0.08,0.0065
2007-01-05,IPG,12.28,12.38,12.17,12.28,4632000,8.16,8.23,8.09,8.16,4632000,12.28,12.38,12.17,12.28,4632000,0.003267973856209,0.003267973856209,-0.0400000000000009,-0.0032
2007-01-08,IPG,12.29,12.29,12.18,12.24,5290800,8.17,8.17,8.1,8.14,5290800,12.29,12.29,12.18,12.24,5290800,0.0,0.0,-0.0399999999999991,-0.0033
2007-01-09,IPG,12.22,12.39,12.21,12.36,4470000,8.13,8.24,8.12,8.22,4470000,12.22,12.39,12.21,12.36,4470000,0.0098039215686273,0.0098039215686273,0.1199999999999992,0.0098
2007-01-10,IPG,12.47,12.85,12.47,12.78,12303400,8.29,8.54,8.29,8.5,12303400,12.47,12.85,12.47,12.78,12303400,0.0441176470588234,0.0441176470588234,0.4199999999999999,0.034
2007-01-11,IPG,12.84,13.11,12.8,13.04,9878200,8.54,8.72,8.51,8.67,9878200,12.84,13.11,12.8,13.04,9878200,0.0653594771241829,0.0653594771241829,0.2599999999999998,0.0203
2007-01-12,IPG,13.09,13.8,13.0,13.37,11099000,8.7,9.18,8.64,8.89,11099000,13.09,13.8,13.0,13.37,11099000,0.0923202614379084,0.0923202614379084,0.33,0.0253
2007-01-16,IPG,13.49,13.82,13.41,13.81,7726500,8.97,9.19,8.92,9.18,7726500,13.49,13.82,13.41,13.81,7726500,0.1282679738562091,0.1282679738562091,0.4400000000000013,0.0329
2007-01-17,IPG,13.82,13.94,13.73,13.79,9849600,9.19,9.27,9.13,9.17,9849600,13.82,13.94,13.73,13.79,9849600,0.1266339869281044,0.1266339869281044,-0.0200000000000013,-0.0014
2007-01-18,IPG,13.72,13.87,13.64,13.7,10142100,9.12,9.22,9.07,9.11,10142100,13.72,13.87,13.64,13.7,10142100,0.1192810457516339,0.1192810457516339,-0.0899999999999998,-0.0065
2007-01-19,IPG,13.7,13.73,13.5,13.65,6714000,9.11,9.13,8.98,9.08,6714000,13.7,13.73,13.5,13.65,6714000,0.1151960784313725,0.1151960784313725,-0.0499999999999989,-0.0036
2007-01-22,IPG,13.65,13.69,13.44,13.53,5556200,9.08,9.1,8.94,9.0,5556200,13.65,13.69,13.44,13.53,5556200,0.105392156862745,0.105392156862745,-0.120000000000001,-0.0088
2007-01-23,IPG,13.53,13.67,13.45,13.47,5196000,9.0,9.09,8.94,8.96,5196000,13.53,13.67,13.45,13.47,5196000,0.1004901960784314,0.1004901960784314,-0.0599999999999987,-0.0044
2007-01-24,IPG,13.5,13.58,13.4,13.42,3194600,8.98,9.03,8.91,8.92,3194600,13.5,13.58,13.4,13.42,3194600,0.0964052287581699,0.0964052287581699,-0.0500000000000007,-0.0037
2007-01-25,IPG,13.46,13.49,13.24,13.3,4661600,8.95,8.97,8.8,8.84,4661600,13.46,13.49,13.24,13.3,4661600,0.0866013071895425,0.0866013071895425,-0.1199999999999992,-0.0089
2007-01-26,IPG,13.34,13.54,13.27,13.36,3518900,8.87,9.0,8.82,8.88,3518900,13.34,13.54,13.27,13.36,3518900,0.0915032679738561,0.0915032679738561,0.0599999999999987,0.0045
2007-01-29,IPG,13.28,13.35,13.16,13.17,3386900,8.83,8.88,8.75,8.76,3386900,13.28,13.35,13.16,13.17,3386900,0.0759803921568627,0.0759803921568627,-0.1899999999999995,-0.0142
2007-01-30,IPG,13.21,13.27,13.12,13.19,3166400,8.78,8.82,8.72,8.77,3166400,13.21,13.27,13.12,13.19,3166400,0.0776143790849672,0.0776143790849672,0.0199999999999995,0.0015
2007-01-31,IPG,13.2,13.27,13.09,13.16,4021200,8.78,8.82,8.7,8.75,4021200,13.2,13.27,13.09,13.16,4021200,0.0751633986928104,0.0751633986928104,-0.0299999999999993,-0.0023
2007-02-01,IPG,13.19,13.3,13.14,13.27,2344500,8.77,8.84,8.74,8.82,2344500,13.19,13.3,13.14,13.27,2344500,0.0841503267973855,0.0841503267973855,0.1099999999999994,0.0084
2007-02-02,IPG,13.27,13.34,13.16,13.18,2140800,8.82,8.87,8.75,8.76,2140800,13.27,13.34,13.16,13.18,2140800,0.076797385620915,0.076797385620915,-0.0899999999999998,-0.0068
