Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,JBHT,20.87,21.01,20.65,20.77,1166488,17.6327,17.751,17.4469,17.5482,1166488,20.87,21.01,20.65,20.77,1166488,0.0,0.0,0.0,0.0
2007-01-03,JBHT,21.68,22.8,21.55,22.42,4279412,18.1,19.04,18.0,18.72,4279412,21.68,22.8,21.55,22.42,4279412,0.0794415021665865,0.0794415021665865,1.650000000000002,0.0794
2007-01-04,JBHT,22.33,23.26,22.33,23.15,2842679,18.65,19.42,18.65,19.33,2842679,22.33,23.26,22.33,23.15,2842679,0.1145883485796821,0.1145883485796821,0.7299999999999969,0.0326
2007-01-05,JBHT,23.0,23.13,22.49,22.67,1905349,19.21,19.32,18.78,18.93,1905349,23.0,23.13,22.49,22.67,1905349,0.0914780934039481,0.0914780934039481,-0.4799999999999969,-0.0207
2007-01-08,JBHT,22.75,22.94,22.47,22.78,1522223,19.0,19.16,18.76,19.02,1522223,22.75,22.94,22.47,22.78,1522223,0.0967741935483871,0.0967741935483871,0.1099999999999994,0.0049
2007-01-09,JBHT,22.81,23.54,22.78,23.43,2159972,19.05,19.66,19.02,19.57,2159972,22.81,23.54,22.78,23.43,2159972,0.1280693307655272,0.1280693307655272,0.6499999999999986,0.0285
2007-01-10,JBHT,23.43,23.43,23.06,23.2,1345635,19.57,19.57,19.26,19.37,1345635,23.43,23.43,23.06,23.2,1345635,0.1169956668271545,0.1169956668271545,-0.2300000000000004,-0.0098
2007-01-11,JBHT,23.25,23.53,22.87,22.96,2564653,19.42,19.65,19.1,19.17,2564653,23.25,23.53,22.87,22.96,2564653,0.1054405392392874,0.1054405392392874,-0.2399999999999984,-0.0103
2007-01-12,JBHT,23.03,23.61,22.97,23.61,1541570,19.23,19.72,19.18,19.72,1541570,23.03,23.61,22.97,23.61,1541570,0.1367356764564275,0.1367356764564275,0.6499999999999986,0.0283
2007-01-16,JBHT,23.7,23.95,23.48,23.84,1060887,19.79,20.0,19.61,19.91,1060887,23.7,23.95,23.48,23.84,1060887,0.1478093403948002,0.1478093403948002,0.2300000000000004,0.0097
2007-01-17,JBHT,23.85,24.03,23.69,23.88,1277499,19.92,20.07,19.78,19.94,1277499,23.85,24.03,23.69,23.88,1277499,0.149735194992778,0.149735194992778,0.0399999999999991,0.0017
2007-01-18,JBHT,23.78,23.93,23.76,23.88,2033091,19.86,19.98,19.84,19.94,2033091,23.78,23.93,23.76,23.88,2033091,0.149735194992778,0.149735194992778,0.0,0.0
2007-01-19,JBHT,24.01,24.18,23.81,24.01,1240343,20.05,20.19,19.88,20.05,1240343,24.01,24.18,23.81,24.01,1240343,0.1559942224362061,0.1559942224362061,0.1300000000000025,0.0054
2007-01-22,JBHT,24.37,25.09,24.1,24.35,2510659,20.35,20.95,20.13,20.33,2510659,24.37,25.09,24.1,24.35,2510659,0.1723639865190179,0.1723639865190179,0.3399999999999998,0.0142
2007-01-23,JBHT,23.98,24.28,23.53,24.05,1718635,20.03,20.28,19.65,20.08,1718635,23.98,24.28,23.53,24.05,1718635,0.1579200770341839,0.1579200770341839,-0.3000000000000007,-0.0123
2007-01-24,JBHT,23.99,24.38,23.71,24.16,2123745,20.03,20.36,19.8,20.18,2123745,23.99,24.38,23.71,24.16,2123745,0.163216177178623,0.163216177178623,0.1099999999999994,0.0046
2007-01-25,JBHT,24.1,24.1,23.5,23.57,1630011,20.13,20.13,19.62,19.68,1630011,24.1,24.1,23.5,23.57,1630011,0.1348098218584497,0.1348098218584497,-0.5899999999999999,-0.0244
2007-01-26,JBHT,23.6,23.67,23.0,23.35,1472266,19.71,19.77,19.21,19.5,1472266,23.6,23.67,23.0,23.35,1472266,0.1242176215695715,0.1242176215695715,-0.2199999999999988,-0.0093
2007-01-29,JBHT,23.31,24.16,23.15,23.89,4389340,19.47,20.18,19.33,19.95,4389340,23.31,24.16,23.15,23.89,4389340,0.1502166586422725,0.1502166586422725,0.5399999999999991,0.0231
2007-01-30,JBHT,23.89,24.58,23.9,24.55,3359050,19.95,20.53,19.96,20.5,3359050,23.89,24.58,23.9,24.55,3359050,0.1819932595089071,0.1819932595089071,0.6600000000000001,0.0276
2007-01-31,JBHT,24.55,25.24,24.25,25.13,3388457,20.5,21.08,20.25,20.99,3388457,24.55,25.24,24.25,25.13,3388457,0.2099181511795859,0.2099181511795859,0.5799999999999983,0.0236
2007-02-01,JBHT,25.22,25.6,24.95,25.3,2373431,21.06,21.38,20.84,21.13,2373431,25.22,25.6,24.95,25.3,2373431,0.2181030332209918,0.2181030332209918,0.1700000000000017,0.0068
2007-02-02,JBHT,25.15,25.23,24.84,25.04,3121330,21.0,21.07,20.74,20.91,3121330,25.15,25.23,24.84,25.04,3121330,0.2055849783341357,0.2055849783341357,-0.2600000000000015,-0.0103
2007-02-05,JBHT,25.1,25.1,24.66,24.72,1788699,21.04,21.04,20.67,20.72,1788699,25.1,25.1,24.66,24.72,1788699,0.1901781415503129,0.1901781415503129,-0.3200000000000003,-0.0128
2007-02-06,JBHT,24.79,25.13,24.75,25.08,2073196,20.78,21.06,20.75,21.02,2073196,24.79,25.13,24.75,25.08,2073196,0.2075108329321135,0.2075108329321135,0.3599999999999994,0.0146
2007-02-07,JBHT,25.02,25.42,25.02,25.39,2381032,20.97,21.31,20.97,21.28,2381032,25.02,25.42,25.02,25.39,2381032,0.222436206066442,0.222436206066442,0.3100000000000023,0.0124
2007-02-08,JBHT,25.26,25.6,25.2,25.53,2895888,21.17,21.46,21.12,21.4,2895888,25.26,25.6,25.2,25.53,2895888,0.2291766971593645,0.2291766971593645,0.1400000000000005,0.0055
2007-02-09,JBHT,25.56,25.6,25.2,25.37,1657426,21.42,21.46,21.12,21.27,1657426,25.56,25.6,25.2,25.37,1657426,0.2214732787674531,0.2214732787674531,-0.1600000000000001,-0.0063
2007-02-12,JBHT,25.22,25.82,25.22,25.8,2201282,21.14,21.64,21.14,21.63,2201282,25.22,25.82,25.22,25.8,2201282,0.242176215695715,0.242176215695715,0.4299999999999997,0.0169
2007-02-13,JBHT,25.9,26.68,25.63,26.65,4186335,21.71,22.36,21.48,22.34,4186335,25.9,26.68,25.63,26.65,4186335,0.2831006259027443,0.2831006259027443,0.8499999999999979,0.0329
2007-02-14,JBHT,26.69,26.74,26.14,26.55,3104796,22.37,22.41,21.91,22.25,3104796,26.69,26.74,26.14,26.55,3104796,0.2782859894077997,0.2782859894077997,-0.0999999999999978,-0.0038
2007-02-15,JBHT,26.5,26.92,26.39,26.9,2246851,22.21,22.56,22.12,22.55,2246851,26.5,26.92,26.39,26.9,2246851,0.2951372171401059,0.2951372171401059,0.3499999999999978,0.0132
2007-02-16,JBHT,26.96,26.96,26.57,26.72,1416115,22.6,22.6,22.27,22.4,1416115,26.96,26.96,26.57,26.72,1416115,0.2864708714492056,0.2864708714492056,-0.1799999999999997,-0.0067
2007-02-20,JBHT,26.65,27.37,26.47,27.31,2509768,22.34,22.94,22.19,22.89,2509768,26.65,27.37,26.47,27.31,2509768,0.3148772267693789,0.3148772267693789,0.5899999999999999,0.0221
2007-02-21,JBHT,27.15,27.71,26.91,27.56,2267588,22.76,23.23,22.56,23.1,2267588,27.15,27.71,26.91,27.56,2267588,0.3269138180067404,0.3269138180067404,0.25,0.0092
2007-02-22,JBHT,27.67,28.14,27.42,27.86,2241401,23.19,23.59,22.98,23.35,2241401,27.67,28.14,27.42,27.86,2241401,0.3413577274915744,0.3413577274915744,0.3000000000000007,0.0109
