Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2008-05-29,KDP,25.01,25.14,24.85,24.95,6850828,20.0327,20.1368,19.9045,19.9846,6850828,25.01,25.14,24.85,24.95,6850828,0.0,0.0,0.0,0.0
2008-05-30,KDP,24.82,25.47,24.77,25.18,5456313,19.8805,20.4012,19.8405,20.1689,5456313,24.82,25.47,24.77,25.18,5456313,0.0092184368737475,0.0092184368737475,0.2300000000000004,0.0092
2008-06-02,KDP,24.97,25.07,24.11,24.12,2692521,20.0007,20.0808,19.3118,19.3198,2692521,24.97,25.07,24.11,24.12,2692521,-0.0332665330661322,-0.0332665330661322,-1.0599999999999987,-0.0421
2008-06-03,KDP,23.8,24.25,23.59,24.2,4636377,19.0635,19.4239,18.8953,19.3839,4636377,23.8,24.25,23.59,24.2,4636377,-0.0300601202404809,-0.0300601202404809,0.0799999999999983,0.0033
2008-06-04,KDP,23.95,24.19,23.88,23.9,2871238,19.1837,19.3759,19.1276,19.1436,2871238,23.95,24.19,23.88,23.9,2871238,-0.0420841683366733,-0.0420841683366733,-0.3000000000000007,-0.0124
2008-06-24,KDP,23.25,23.25,22.2,22.54,4845550,18.623,18.623,17.7819,18.0543,4845550,23.25,23.25,22.2,22.54,4845550,-0.0965931863727455,-0.0965931863727455,-1.3599999999999994,-0.0569
2008-06-25,KDP,22.33,22.87,22.33,22.56,305342,20.525736,21.022104,20.525736,20.737152,305342,22.33,22.87,22.33,22.56,305342,-0.0957915831663327,-0.0957915831663327,0.0199999999999995,0.0009
2008-06-26,KDP,22.18,22.56,22.09,22.17,555856,20.387856,20.737152,20.305128,20.378664,555856,22.18,22.56,22.09,22.17,555856,-0.1114228456913826,-0.1114228456913826,-0.389999999999997,-0.0173
2008-06-27,KDP,22.02,22.05,21.53,21.54,346724,20.240784,20.26836,19.790376,19.799568,346724,22.02,22.05,21.53,21.54,346724,-0.1366733466933868,-0.1366733466933868,-0.6300000000000026,-0.0284
2008-06-30,KDP,21.58,21.58,20.62,20.98,3048004,17.2853,17.2853,16.5164,16.8047,3048004,21.58,21.58,20.62,20.98,3048004,-0.1591182364729458,-0.1591182364729458,-0.5599999999999987,-0.026
2008-07-01,KDP,20.7,20.83,20.03,20.6,645272,19.02744,19.146936,18.411576,18.93552,645272,20.7,20.83,20.03,20.6,645272,-0.1743486973947895,-0.1743486973947895,-0.379999999999999,-0.0181
2008-07-02,KDP,20.87,21.48,20.85,21.41,294060,19.183704,19.744416,19.16532,19.680072,294060,20.87,21.48,20.85,21.41,294060,-0.1418837675350701,-0.1418837675350701,0.8099999999999987,0.0393
2008-07-03,KDP,21.16,21.23,20.58,21.01,303166,19.450272,19.514616,18.917136,19.312392000000003,303166,21.16,21.23,20.58,21.01,303166,-0.1579158316633265,-0.1579158316633265,-0.3999999999999986,-0.0187
2008-07-07,KDP,21.22,21.55,20.98,21.36,375514,19.505424,19.80876,19.284816,19.634112,375514,21.22,21.55,20.98,21.36,375514,-0.1438877755511022,-0.1438877755511022,0.3499999999999978,0.0167
2008-07-08,KDP,21.19,21.88,21.13,21.43,742418,19.477848,20.112096,19.422696,19.698456,742418,21.19,21.88,21.13,21.43,742418,-0.1410821643286573,-0.1410821643286573,0.0700000000000002,0.0033
2008-07-09,KDP,21.57,21.78,21.51,21.63,198973,19.827144,20.020176000000003,19.771992,19.882296,198973,21.57,21.78,21.51,21.63,198973,-0.133066132264529,-0.133066132264529,0.1999999999999993,0.0093
2008-07-10,KDP,21.84,22.01,21.47,21.85,165132,20.075328,20.231592000000003,19.735224,20.08452,165132,21.84,22.01,21.47,21.85,165132,-0.1242484969939878,-0.1242484969939878,0.2200000000000024,0.0102
2008-07-11,KDP,21.38,21.96,21.24,21.61,265709,19.652496,20.185632,19.523808,19.863912,265709,21.38,21.96,21.24,21.61,265709,-0.1338677354709418,-0.1338677354709418,-0.240000000000002,-0.011
2008-07-14,KDP,21.99,22.14,21.4,21.76,224241,20.213208,20.351088,19.67088,20.001792,224241,21.99,22.14,21.4,21.76,224241,-0.1278557114228456,-0.1278557114228456,0.1500000000000021,0.0069
2008-07-15,KDP,21.73,21.73,20.46,20.98,118902,19.974216,19.974216,18.806832,19.284816,118902,21.73,21.73,20.46,20.98,118902,-0.1591182364729458,-0.1591182364729458,-0.7800000000000011,-0.0358
2008-07-16,KDP,20.86,21.08,20.76,21.0,198041,19.174512,19.376736,19.082592,19.3032,198041,20.86,21.08,20.76,21.0,198041,-0.158316633266533,-0.158316633266533,0.0199999999999995,0.001
2008-07-17,KDP,20.88,20.88,19.37,20.37,314186,19.192896,19.192896,17.804904,18.724104,314186,20.88,20.88,19.37,20.37,314186,-0.183567134268537,-0.183567134268537,-0.629999999999999,-0.03
2008-07-18,KDP,20.43,20.45,19.92,20.21,176027,18.779256,18.79764,18.310464000000003,18.577032000000003,176027,20.43,20.45,19.92,20.21,176027,-0.1899799599198396,-0.1899799599198396,-0.1600000000000001,-0.0079
2008-07-21,KDP,20.55,20.87,20.21,20.52,333521,18.88956,19.183704,18.577032000000003,18.861984,333521,20.55,20.87,20.21,20.52,333521,-0.1775551102204408,-0.1775551102204408,0.3099999999999987,0.0153
2008-07-22,KDP,20.27,20.84,20.27,20.82,184715,18.632184,19.156128,18.632184,19.137744,184715,20.27,20.84,20.27,20.82,184715,-0.1655310621242484,-0.1655310621242484,0.3000000000000007,0.0146
2008-07-23,KDP,20.65,20.66,20.08,20.21,249225,18.98148,18.990672,18.457536,18.577032000000003,249225,20.65,20.66,20.08,20.21,249225,-0.1899799599198396,-0.1899799599198396,-0.6099999999999994,-0.0293
2008-07-24,KDP,20.28,20.6,20.13,20.49,117162,18.641376,18.93552,18.503496,18.834408,117162,20.28,20.6,20.13,20.49,117162,-0.1787575150300601,-0.1787575150300601,0.2799999999999976,0.0139
2008-07-25,KDP,20.5,20.74,20.22,20.28,123096,18.8436,19.064208,18.586224,18.641376,123096,20.5,20.74,20.22,20.28,123096,-0.1871743486973947,-0.1871743486973947,-0.2099999999999973,-0.0102
2008-07-28,KDP,20.1,20.3,20.07,20.17,121342,18.47592,18.65976,18.448344,18.540264,121342,20.1,20.3,20.07,20.17,121342,-0.1915831663326652,-0.1915831663326652,-0.1099999999999994,-0.0054
2008-07-29,KDP,20.58,20.58,20.17,20.26,227886,18.917136,18.917136,18.540264,18.622992000000004,227886,20.58,20.58,20.17,20.26,227886,-0.1879759519038075,-0.1879759519038075,0.0899999999999998,0.0045
2008-07-30,KDP,20.28,20.7,20.28,20.61,556227,18.641376,19.02744,18.641376,18.944712,556227,20.28,20.7,20.28,20.61,556227,-0.1739478957915831,-0.1739478957915831,0.3499999999999978,0.0173
2008-07-31,KDP,20.45,20.84,20.41,20.68,154069,18.79764,19.156128,18.760872,19.009056,154069,20.45,20.84,20.41,20.68,154069,-0.1711422845691382,-0.1711422845691382,0.0700000000000002,0.0034
2008-08-01,KDP,20.86,21.01,20.6,20.89,137509,19.174512,19.312392000000003,18.93552,19.202088,137509,20.86,21.01,20.6,20.89,137509,-0.1627254509018035,-0.1627254509018035,0.2100000000000008,0.0102
