Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,KIM,45.06,45.34,44.89,44.95,678000,23.6963,23.8436,23.6069,23.6385,678000,45.06,45.34,44.89,44.95,678000,0.0,0.0,0.0,0.0
2007-01-03,KIM,45.02,45.38,44.57,45.11,1305800,23.6753,23.8646,23.4386,23.7226,1305800,45.02,45.38,44.57,45.11,1305800,0.0035595105672969,0.0035595105672969,0.1599999999999966,0.0036
2007-01-04,KIM,45.2,45.23,44.61,44.75,1155300,23.7699,23.7857,23.4597,23.5333,1155300,45.2,45.23,44.61,44.75,1155300,-0.0044493882091213,-0.0044493882091213,-0.3599999999999994,-0.008
2007-01-05,KIM,44.56,44.56,44.01,44.08,1645400,23.4334,23.4334,23.1441,23.181,1645400,44.56,44.56,44.01,44.08,1645400,-0.0193548387096775,-0.0193548387096775,-0.6700000000000017,-0.015
2007-01-08,KIM,43.9,44.02,43.59,43.92,826900,23.0863,23.1494,22.9233,23.0968,826900,43.9,44.02,43.59,43.92,826900,-0.0229143492769744,-0.0229143492769744,-0.1599999999999966,-0.0036
2007-01-09,KIM,44.13,44.78,43.89,44.61,925400,23.2073,23.5491,23.081,23.4597,925400,44.13,44.78,43.89,44.61,925400,-0.0075639599555061,-0.0075639599555061,0.6899999999999977,0.0157
2007-01-10,KIM,44.62,45.97,44.35,45.94,1705300,23.4649,24.1749,23.3229,24.1591,1705300,44.62,45.97,44.35,45.94,1705300,0.02202447163515,0.02202447163515,1.3299999999999983,0.0298
2007-01-11,KIM,45.94,47.27,45.94,46.78,1205800,24.1591,24.8585,24.1591,24.6008,1205800,45.94,47.27,45.94,46.78,1205800,0.0407119021134593,0.0407119021134593,0.8400000000000034,0.0183
2007-01-12,KIM,47.7,48.1,46.78,46.94,1300900,25.0847,25.295,24.6008,24.685,1300900,47.7,48.1,46.78,46.94,1300900,0.0442714126807562,0.0442714126807562,0.1599999999999966,0.0034
2007-01-16,KIM,47.0,48.0,47.0,47.62,965900,24.7165,25.2424,24.7165,25.0426,965900,47.0,48.0,47.0,47.62,965900,0.0593993325917685,0.0593993325917685,0.6799999999999997,0.0145
2007-01-17,KIM,47.63,48.23,47.26,47.78,779300,25.0478,25.3634,24.8533,25.1267,779300,47.63,48.23,47.26,47.78,779300,0.0629588431590655,0.0629588431590655,0.1600000000000037,0.0034
2007-01-18,KIM,47.68,48.14,47.45,47.64,829600,25.0741,25.316,24.9532,25.0531,829600,47.68,48.14,47.45,47.64,829600,0.0598442714126807,0.0598442714126807,-0.1400000000000005,-0.0029
2007-01-19,KIM,47.8,48.26,46.96,48.26,770400,25.1372,25.3792,24.6955,25.3792,770400,47.8,48.26,46.96,48.26,770400,0.0736373748609565,0.0736373748609565,0.6199999999999974,0.013
2007-01-22,KIM,48.08,48.23,47.35,47.52,1075000,25.2845,25.3634,24.9006,24.99,1075000,48.08,48.23,47.35,47.52,1075000,0.057174638487208,0.057174638487208,-0.7399999999999949,-0.0153
2007-01-23,KIM,47.35,47.99,47.35,47.59,824300,24.9006,25.2372,24.9006,25.0268,824300,47.35,47.99,47.35,47.59,824300,0.0587319243604004,0.0587319243604004,0.0700000000000002,0.0015
