Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,LDOS,71.12,71.6,70.68,71.16,294350,62.5968,63.0193,62.2096,62.632,294350,17.78,17.9,17.67,17.79,1177400,0.0,0.0,0.0,0.0
2007-01-03,LDOS,17.87,18.2,17.79,18.18,1764300,10.68,10.87,10.63,10.86,1764300,17.87,18.2,17.79,18.18,1764300,-0.7445193929173693,-0.7445193929173693,-52.98,-0.7445
2007-01-04,LDOS,18.25,18.33,17.9,18.09,983100,10.9,10.95,10.7,10.81,983100,18.25,18.33,17.9,18.09,983100,-0.7457841483979764,-0.7457841483979764,-0.0899999999999998,-0.005
2007-01-05,LDOS,17.7,18.08,17.52,17.55,1129600,10.58,10.8,10.47,10.49,1129600,17.7,18.08,17.52,17.55,1129600,-0.7533726812816189,-0.7533726812816189,-0.5399999999999991,-0.0299
2007-01-08,LDOS,17.55,17.67,17.33,17.66,1248200,10.49,10.56,10.35,10.55,1248200,17.55,17.67,17.33,17.66,1248200,-0.7518268690275436,-0.7518268690275436,0.1099999999999994,0.0063
2007-01-09,LDOS,17.55,17.73,17.41,17.68,1981400,10.49,10.59,10.4,10.56,1981400,17.55,17.73,17.41,17.68,1981400,-0.7515458122540754,-0.7515458122540754,0.0199999999999995,0.0011
2007-01-10,LDOS,17.77,17.97,17.6,17.78,1082500,10.62,10.74,10.52,10.62,1082500,17.77,17.97,17.6,17.78,1082500,-0.7501405283867341,-0.7501405283867341,0.1000000000000014,0.0057
2007-01-11,LDOS,17.78,18.5,17.74,17.94,2122200,10.62,11.05,10.6,10.72,2122200,17.78,18.5,17.74,17.94,2122200,-0.7478920741989882,-0.7478920741989882,0.1600000000000001,0.009
2007-01-12,LDOS,17.92,18.38,17.71,17.75,1405600,10.71,10.98,10.58,10.61,1405600,17.92,18.38,17.71,17.75,1405600,-0.7505621135469365,-0.7505621135469365,-0.1900000000000012,-0.0106
2007-01-16,LDOS,17.75,17.78,17.51,17.67,1245500,10.61,10.62,10.46,10.56,1245500,17.75,17.78,17.51,17.67,1245500,-0.7516863406408094,-0.7516863406408094,-0.0799999999999983,-0.0045
2007-01-17,LDOS,17.61,18.08,17.6,17.99,1461900,10.52,10.8,10.52,10.75,1461900,17.61,18.08,17.6,17.99,1461900,-0.7471894322653176,-0.7471894322653176,0.3199999999999967,0.0181
2007-01-18,LDOS,17.63,17.8,17.39,17.41,2037000,10.53,10.64,10.39,10.4,2037000,17.63,17.8,17.39,17.41,2037000,-0.7553400786958966,-0.7553400786958966,-0.5799999999999983,-0.0322
2007-01-19,LDOS,17.38,17.68,16.98,17.68,2358400,10.38,10.56,10.15,10.56,2358400,17.38,17.68,16.98,17.68,2358400,-0.7515458122540754,-0.7515458122540754,0.2699999999999996,0.0155
2007-01-22,LDOS,17.76,18.13,17.68,18.07,2356400,10.61,10.83,10.56,10.8,2356400,17.76,18.13,17.68,18.07,2356400,-0.7460652051714446,-0.7460652051714446,0.3900000000000005,0.0221
2007-01-23,LDOS,18.02,18.39,17.8,18.25,1317200,10.77,10.99,10.64,10.9,1317200,18.02,18.39,17.8,18.25,1317200,-0.7435356942102305,-0.7435356942102305,0.1799999999999997,0.01
2007-01-24,LDOS,18.05,18.41,17.83,18.28,1830600,10.78,11.0,10.65,10.92,1830600,18.05,18.41,17.83,18.28,1830600,-0.7431141090500281,-0.7431141090500281,0.0300000000000011,0.0016
2007-01-25,LDOS,18.32,18.39,18.14,18.34,1946800,10.95,10.99,10.84,10.96,1946800,18.32,18.39,18.14,18.34,1946800,-0.7422709387296234,-0.7422709387296234,0.0599999999999987,0.0033
2007-01-26,LDOS,18.25,18.58,18.18,18.44,1746600,10.9,11.1,10.86,11.02,1746600,18.25,18.58,18.18,18.44,1746600,-0.7408656548622822,-0.7408656548622822,0.1000000000000014,0.0055
2007-01-29,LDOS,18.43,18.57,18.32,18.51,1243300,11.01,11.1,10.95,11.06,1243300,18.43,18.57,18.32,18.51,1243300,-0.7398819561551433,-0.7398819561551433,0.0700000000000002,0.0038
2007-01-30,LDOS,18.57,18.84,18.35,18.67,1192900,11.1,11.26,10.96,11.16,1192900,18.57,18.84,18.35,18.67,1192900,-0.7376335019673974,-0.7376335019673974,0.1600000000000001,0.0086
