Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,LHX,46.68,46.82,45.86,45.86,501800,40.0036,40.1235,39.3009,39.3009,501800,46.68,46.82,45.86,45.86,501800,0.0,0.0,0.0,0.0
2007-01-03,LHX,46.55,48.22,46.5,47.4,1846200,42.69,44.22,42.64,43.47,1846200,46.55,48.22,46.5,47.4,1846200,0.0335804622764936,0.0335804622764936,1.5399999999999991,0.0336
2007-01-04,LHX,47.41,49.41,47.3,48.83,2451000,43.47,45.31,43.37,44.78,2451000,47.41,49.41,47.3,48.83,2451000,0.0647623201046663,0.0647623201046663,1.4299999999999995,0.0302
2007-01-05,LHX,49.33,49.33,48.2,48.69,1499700,45.24,45.24,44.2,44.65,1499700,49.33,49.33,48.2,48.69,1499700,0.0617095508068032,0.0617095508068032,-0.1400000000000005,-0.0029
2007-01-08,LHX,48.62,48.75,48.26,48.42,1089000,44.58,44.7,44.25,44.4,1089000,48.62,48.75,48.26,48.42,1089000,0.0558220671609246,0.0558220671609246,-0.269999999999996,-0.0055
2007-01-09,LHX,48.55,49.2,48.42,48.86,1056500,44.52,45.12,44.4,44.8,1056500,48.55,49.2,48.42,48.86,1056500,0.0654164849542084,0.0654164849542084,0.4399999999999977,0.0091
2007-01-10,LHX,49.42,49.42,48.28,49.0,897400,45.32,45.32,44.27,44.93,897400,49.42,49.42,48.28,49.0,897400,0.0684692542520715,0.0684692542520715,0.1400000000000005,0.0029
2007-01-11,LHX,49.25,50.33,49.25,50.18,1235300,45.16,46.15,45.16,46.02,1235300,49.25,50.33,49.25,50.18,1235300,0.0941997383340601,0.0941997383340601,1.1799999999999995,0.0241
2007-01-12,LHX,50.19,51.28,50.19,51.2,1400700,46.02,47.02,46.02,46.95,1400700,50.19,51.28,50.19,51.2,1400700,0.1164413432184911,0.1164413432184911,1.0200000000000031,0.0203
2007-01-16,LHX,51.26,51.5,50.44,50.52,1130700,47.01,47.23,46.25,46.33,1130700,51.26,51.5,50.44,50.52,1130700,0.1016136066288705,0.1016136066288705,-0.6799999999999997,-0.0133
