Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2007-01-03,L,41.5,41.8,41.14,41.23,933800,36.2959,36.55828,35.981044000000004,36.059758,933800,41.5,41.8,41.14,41.23,933800,0.0,0.0,0.0,0.0
2007-01-05,L,40.55,40.68,40.29,40.37,1235600,35.46503,35.578728,35.237634,35.307602,1235600,40.55,40.68,40.29,40.37,1235600,-0.0208585981081736,-0.0208585981081736,-0.8599999999999994,-0.0209
2007-01-08,L,40.3,40.46,40.21,40.37,982900,35.24638,35.386316,35.167666000000004,35.307602,982900,40.3,40.46,40.21,40.37,982900,-0.0208585981081736,-0.0208585981081736,0.0,0.0
2007-01-10,L,41.19,41.52,41.06,41.43,1817000,36.024774,36.31339200000001,35.911076,36.234678,1817000,41.19,41.52,41.06,41.43,1817000,0.0048508367693427,0.0048508367693427,1.0600000000000025,0.0263
2007-01-11,L,41.66,42.33,41.66,42.0,1538600,36.435836,37.021818,36.435836,36.7332,1538600,41.66,42.33,41.66,42.0,1538600,0.0186757215619695,0.0186757215619695,0.5700000000000003,0.0138
2007-01-12,L,42.0,42.5,41.95,42.26,1069700,36.7332,37.1705,36.68947000000001,36.960596,1069700,42.0,42.5,41.95,42.26,1069700,0.0249818093621149,0.0249818093621149,0.259999999999998,0.0062
2007-01-16,L,42.27,42.4,41.8,42.25,794000,36.969342000000005,37.08304,36.55828,36.95185,794000,42.27,42.4,41.8,42.25,794000,0.0247392675236479,0.0247392675236479,-0.009999999999998,-0.0002
2007-01-18,L,42.36,42.69,41.99,42.05,1040000,37.048056,37.336674,36.724454,36.77693,1040000,42.36,42.69,41.99,42.05,1040000,0.0198884307543051,0.0198884307543051,-0.2000000000000028,-0.0047
2007-01-19,L,42.33,42.93,42.33,42.44,1114800,37.021818,37.546578,37.021818,37.118024,1114800,42.33,42.93,42.33,42.44,1114800,0.0293475624545234,0.0293475624545234,0.3900000000000005,0.0093
2007-01-22,L,42.56,42.67,42.07,42.24,734300,37.222976,37.319182000000005,36.794422,36.943104000000005,734300,42.56,42.67,42.07,42.24,734300,0.0244967256851808,0.0244967256851808,-0.1999999999999957,-0.0047
2007-01-23,L,42.24,42.59,42.11,42.35,732100,36.943104000000005,37.249214,36.829406,37.03931,732100,42.24,42.59,42.11,42.35,732100,0.0271646859083192,0.0271646859083192,0.1099999999999994,0.0026
