Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,MDLZ,35.52,35.76,35.46,35.7,7407100,30.0316,30.2345,29.9809,30.1838,7407100,35.52,35.76,35.46,35.7,7407100,0.0,0.0,0.0,0.0
2007-01-03,MDLZ,35.7,36.0,35.27,35.61,2335600,28.33,28.57,27.99,28.26,2335600,35.7,36.0,35.27,35.61,2335600,-0.0025210084033614,-0.0025210084033614,-0.0900000000000034,-0.0025
2007-01-04,MDLZ,35.05,35.67,35.0,35.58,2716100,27.81,28.3,27.77,28.23,2716100,35.05,35.67,35.0,35.58,2716100,-0.0033613445378152,-0.0033613445378152,-0.0300000000000011,-0.0008
2007-01-05,MDLZ,35.59,35.59,34.84,35.18,2437100,28.24,28.24,27.65,27.92,2437100,35.59,35.59,34.84,35.18,2437100,-0.0145658263305323,-0.0145658263305323,-0.3999999999999986,-0.0112
2007-01-08,MDLZ,35.19,35.19,34.84,34.95,1767000,27.92,27.92,27.65,27.73,1767000,35.19,35.19,34.84,34.95,1767000,-0.0210084033613445,-0.0210084033613445,-0.2299999999999968,-0.0065
2007-01-09,MDLZ,34.99,35.22,34.85,35.13,1591300,27.76,27.95,27.65,27.88,1591300,34.99,35.22,34.85,35.13,1591300,-0.0159663865546218,-0.0159663865546218,0.1799999999999997,0.0052
2007-01-10,MDLZ,35.1,36.09,34.9,35.9,5463900,27.85,28.64,27.69,28.49,5463900,35.1,36.09,34.9,35.9,5463900,0.0056022408963584,0.0056022408963584,0.769999999999996,0.0219
2007-01-11,MDLZ,35.9,36.18,35.45,35.78,4418100,28.49,28.71,28.13,28.39,4418100,35.9,36.18,35.45,35.78,4418100,0.0022408963585433,0.0022408963585433,-0.1199999999999974,-0.0033
2007-01-12,MDLZ,35.79,36.2,35.7,35.8,2294500,28.4,28.72,28.33,28.41,2294500,35.79,36.2,35.7,35.8,2294500,0.0028011204481791,0.0028011204481791,0.019999999999996,0.0006
2007-01-16,MDLZ,35.77,35.92,35.52,35.76,1639700,28.38,28.5,28.19,28.38,1639700,35.77,35.92,35.52,35.76,1639700,0.0016806722689074,0.0016806722689074,-0.0399999999999991,-0.0011
2007-01-17,MDLZ,35.81,35.86,35.22,35.25,1890800,28.42,28.45,27.95,27.97,1890800,35.81,35.86,35.22,35.25,1890800,-0.0126050420168068,-0.0126050420168068,-0.509999999999998,-0.0143
2007-01-18,MDLZ,35.19,35.75,34.93,35.35,2186100,27.92,28.37,27.72,28.05,2186100,35.19,35.75,34.93,35.35,2186100,-0.0098039215686274,-0.0098039215686274,0.1000000000000014,0.0028
2007-01-19,MDLZ,35.46,35.78,35.24,35.63,1991200,28.14,28.39,27.96,28.27,1991200,35.46,35.78,35.24,35.63,1991200,-0.0019607843137254,-0.0019607843137254,0.2800000000000011,0.0079
2007-01-22,MDLZ,35.53,36.08,35.48,35.91,3657100,28.19,28.63,28.15,28.49,3657100,35.53,36.08,35.48,35.91,3657100,0.0058823529411762,0.0058823529411762,0.279999999999994,0.0079
2007-01-23,MDLZ,35.82,36.26,35.17,35.31,5816000,28.42,28.77,27.91,28.02,5816000,35.82,36.26,35.17,35.31,5816000,-0.0109243697478991,-0.0109243697478991,-0.5999999999999943,-0.0167
2007-01-24,MDLZ,35.31,35.5,34.99,35.04,2543500,28.02,28.17,27.76,27.8,2543500,35.31,35.5,34.99,35.04,2543500,-0.0184873949579832,-0.0184873949579832,-0.2700000000000031,-0.0076
2007-01-25,MDLZ,35.12,35.37,34.71,34.76,3157800,27.87,28.07,27.54,27.58,3157800,35.12,35.37,34.71,34.76,3157800,-0.0263305322128852,-0.0263305322128852,-0.2800000000000011,-0.008
