Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,MOH,22.0267,22.06,21.5333,21.6733,105149.99999999996,22.0267,22.06,21.5333,21.6733,105149.99999999996,33.04,33.09,32.3,32.51,70100,0.0,0.0,0.0,0.0
2007-01-03,MOH,21.81,22.57,21.75,22.36,280936.0,21.81,22.57,21.75,22.36,280936.0,32.71,33.86,32.63,33.54,187300,0.0316841459307072,0.0316841459307072,0.6866999999999983,0.0317
2007-01-04,MOH,22.33,22.33,21.81,22.17,227089.0,22.33,22.33,21.81,22.17,227089.0,33.5,33.5,32.71,33.25,151400,0.0229175990735144,0.0229175990735144,-0.1899999999999977,-0.0085
2007-01-05,MOH,22.13,22.43,22.07,22.1,251987.0,22.13,22.43,22.07,22.1,251987.0,33.2,33.65,33.1,33.15,168000,0.0196878186524433,0.0196878186524433,-0.0700000000000002,-0.0032
2007-01-08,MOH,22.13,22.13,21.47,21.59,313334.0,22.13,22.13,21.47,21.59,313334.0,33.2,33.2,32.2,32.38,208900,-0.0038434387010746,-0.0038434387010746,-0.5100000000000016,-0.0231
2007-01-09,MOH,22.0,22.73,22.0,22.61,642568.0,22.0,22.73,22.0,22.61,642568.0,33.0,34.1,33.0,33.91,428400,0.0432190760059611,0.0432190760059611,1.0199999999999996,0.0472
2007-01-10,MOH,22.5,22.76,22.05,22.66,367782.0,22.5,22.76,22.05,22.66,367782.0,33.75,34.14,33.07,33.99,245200,0.0455260620210119,0.0455260620210119,0.0500000000000007,0.0022
2007-01-11,MOH,22.63,23.0,22.63,22.87,468577.0,22.63,23.0,22.63,22.87,468577.0,33.95,34.5,33.95,34.3,312400,0.0552154032842252,0.0552154032842252,0.2100000000000008,0.0093
2007-01-12,MOH,22.9,23.09,22.83,22.9,243738.0,22.9,23.09,22.83,22.9,243738.0,34.35,34.64,34.25,34.35,162500,0.0565995948932556,0.0565995948932556,0.0299999999999975,0.0013
2007-01-16,MOH,22.91,23.17,22.79,23.01,257537.0,22.91,23.17,22.79,23.01,257537.0,34.36,34.76,34.18,34.52,171700,0.0616749641263674,0.0616749641263674,0.1100000000000029,0.0048
2007-01-17,MOH,23.03,23.05,22.52,22.59,721164.0,23.03,23.05,22.52,22.59,721164.0,34.55,34.58,33.78,33.89,480800,0.0422962815999408,0.0422962815999408,-0.4200000000000017,-0.0183
2007-01-18,MOH,21.91,22.6,19.25,20.77,1422979.0,21.91,22.6,19.25,20.77,1422979.0,32.87,33.9,28.88,31.15,948700,-0.0416780093479074,-0.0416780093479074,-1.8200000000000005,-0.0806
2007-01-19,MOH,20.77,21.36,20.77,21.27,351882.0,20.77,21.36,20.77,21.27,351882.0,31.16,32.04,31.16,31.9,234600,-0.0186081491973996,-0.0186081491973996,0.5,0.0241
2007-01-22,MOH,21.3,21.39,20.8,20.91,530073.0,21.3,21.39,20.8,20.91,530073.0,31.95,32.09,31.2,31.36,353400,-0.0352184485057652,-0.0352184485057652,-0.3599999999999994,-0.0169
2007-01-23,MOH,20.91,21.27,20.77,21.1,190640.0,20.91,21.27,20.77,21.1,190640.0,31.36,31.9,31.16,31.65,127100,-0.0264519016485721,-0.0264519016485721,0.1900000000000012,0.0091
2007-01-24,MOH,21.1,21.35,21.05,21.17,199640.0,21.1,21.35,21.05,21.17,199640.0,31.65,32.03,31.57,31.75,133100,-0.023222121227501,-0.023222121227501,0.0700000000000002,0.0033
2007-01-25,MOH,21.11,21.26,21.0,21.03,292185.0,21.11,21.26,21.0,21.03,292185.0,31.66,31.89,31.5,31.54,194800,-0.0296816820696432,-0.0296816820696432,-0.1400000000000005,-0.0066
2007-01-26,MOH,21.03,21.13,20.81,21.0,309135.0,21.03,21.13,20.81,21.0,309135.0,31.54,31.7,31.21,31.5,206100,-0.0310658736786738,-0.0310658736786738,-0.0300000000000011,-0.0014
2007-01-29,MOH,20.93,20.93,20.19,20.29,491075.0,20.93,20.93,20.19,20.29,491075.0,31.39,31.39,30.29,30.43,327400,-0.0638250750923948,-0.0638250750923948,-0.7100000000000009,-0.0338
2007-01-30,MOH,20.37,20.77,20.37,20.61,379631.0,20.37,20.77,20.37,20.61,379631.0,30.55,31.15,30.55,30.92,253100,-0.0490603645960699,-0.0490603645960699,0.3200000000000003,0.0158
2007-01-31,MOH,20.57,20.75,20.49,20.55,174741.0,20.57,20.75,20.49,20.55,174741.0,30.85,31.13,30.74,30.83,116500,-0.0518287478141307,-0.0518287478141307,-0.0599999999999987,-0.0029
2007-02-01,MOH,20.6,20.81,20.5,20.67,266837.0,20.6,20.81,20.5,20.67,266837.0,30.9,31.21,30.75,31.0,177900,-0.0462919813780088,-0.0462919813780088,0.120000000000001,0.0058
2007-02-02,MOH,20.61,20.78,20.28,20.3,292785.0,20.61,20.78,20.28,20.3,292785.0,30.91,31.17,30.42,30.45,195200,-0.0633636778893846,-0.0633636778893846,-0.370000000000001,-0.0179
2007-02-05,MOH,20.24,20.61,20.24,20.54,369132.0,20.24,20.61,20.24,20.54,369132.0,30.36,30.91,30.36,30.81,246100,-0.0522901450171409,-0.0522901450171409,0.2399999999999984,0.0118
2007-02-06,MOH,20.56,20.69,20.25,20.61,166342.0,20.56,20.69,20.25,20.61,166342.0,30.84,31.03,30.38,30.92,110900,-0.0490603645960699,-0.0490603645960699,0.0700000000000002,0.0034
2007-02-07,MOH,20.57,20.65,20.19,20.33,367182.0,20.57,20.65,20.19,20.33,367182.0,30.85,30.98,30.28,30.49,244800,-0.0619794862803542,-0.0619794862803542,-0.2800000000000011,-0.0136
2007-02-08,MOH,20.33,20.33,20.2,20.25,208640.0,20.33,20.33,20.2,20.25,208640.0,30.49,30.5,30.3,30.38,139100,-0.0656706639044354,-0.0656706639044354,-0.0799999999999983,-0.0039
2007-02-09,MOH,20.21,20.35,20.0,20.05,323234.0,20.21,20.35,20.0,20.05,323234.0,30.31,30.52,30.0,30.07,215500,-0.0748986079646385,-0.0748986079646385,-0.1999999999999993,-0.0099
