Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,MO,64.4313,64.7612,64.1688,64.3488,6172220.395129342,26.3245,26.4593,26.2173,26.2908,6172220.395129342,85.93,86.37,85.58,85.82,4628000,0.0,0.0,0.0,0.0
2007-01-03,MO,86.64,87.15,86.0,86.51,9482200.0,23.96,24.1,23.78,23.92,9482200.0,86.64,87.15,86.0,86.51,9482200,0.3443918146103736,0.3443918146103736,22.161200000000008,0.3444
2007-01-04,MO,87.4,87.87,86.75,87.65,12441700.0,24.17,24.3,23.99,24.24,12441700.0,87.4,87.87,86.75,87.65,12441700,0.3621077626933215,0.3621077626933215,1.1400000000000006,0.0132
2007-01-05,MO,87.89,87.94,86.95,87.15,8244900.0,24.3,24.32,24.04,24.1,8244900.0,87.89,87.94,86.95,87.15,8244900,0.3543376100253619,0.3543376100253619,-0.5,-0.0057
2007-01-08,MO,87.17,88.03,86.6,87.98,8410300.0,24.1,24.34,23.94,24.33,8410300.0,87.17,88.03,86.6,87.98,8410300,0.3672360634541748,0.3672360634541748,0.8299999999999983,0.0095
2007-01-09,MO,88.03,88.58,87.9,88.12,9048100.0,24.34,24.49,24.3,24.37,9048100.0,88.03,88.58,87.9,88.12,9048100,0.3694117062012035,0.3694117062012035,0.1400000000000005,0.0016
2007-01-10,MO,88.47,89.42,87.9,89.19,11717200.0,24.46,24.72,24.3,24.66,11717200.0,88.47,89.42,87.9,89.19,11717200,0.386039832910637,0.386039832910637,1.0699999999999932,0.0121
2007-01-11,MO,89.42,90.5,89.35,89.4,13995000.0,24.72,25.02,24.71,24.72,13995000.0,89.42,90.5,89.35,89.4,13995000,0.3893032970311802,0.3893032970311802,0.2100000000000079,0.0024
2007-01-12,MO,89.42,89.66,87.81,88.42,13297800.0,24.72,24.79,24.28,24.45,13297800.0,89.42,89.66,87.81,88.42,13297800,0.3740737978019793,0.3740737978019793,-0.980000000000004,-0.011
2007-01-16,MO,88.67,89.5,87.99,89.29,8900800.0,24.52,24.75,24.33,24.69,8900800.0,88.67,89.5,87.99,89.29,8900800,0.3875938634442291,0.3875938634442291,0.8700000000000045,0.0098
2007-01-17,MO,89.42,89.59,88.34,88.57,8153000.0,24.72,24.77,24.43,24.49,8153000.0,89.42,89.59,88.34,88.57,8153000,0.376404843602367,0.376404843602367,-0.7200000000000131,-0.0081
