Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,MS,67.4175,67.9227,67.3015,67.4506,2890527.9792746105,48.6075,48.9718,48.5239,48.6314,2890527.9792746105,81.39,82.0,81.25,81.43,2394300,0.0,0.0,0.0,0.0
2007-01-03,MS,81.93,82.32,80.82,81.62,4816400.0,59.31,59.59,58.51,59.08,4816400.0,81.93,82.32,80.82,81.62,4816400,0.210070777724735,0.210070777724735,14.16940000000001,0.2101
2007-01-04,MS,81.27,82.4,80.5,81.91,5038100.0,58.83,59.65,58.27,59.29,5038100.0,81.27,82.4,80.5,81.91,5038100,0.214370220576244,0.214370220576244,0.289999999999992,0.0036
2007-01-05,MS,81.35,81.59,80.36,80.86,4674400.0,58.89,59.06,58.17,58.53,4674400.0,81.35,81.59,80.36,80.86,4674400,0.19880327232078,0.19880327232078,-1.0499999999999972,-0.0128
2007-01-08,MS,80.61,81.62,80.04,81.35,4852800.0,58.35,59.08,57.94,58.89,4852800.0,80.61,81.62,80.04,81.35,4852800,0.2060678481733298,0.2060678481733298,0.4899999999999949,0.0061
2007-01-09,MS,81.2,81.85,80.72,81.16,5058600.0,58.78,59.25,58.43,58.75,5058600.0,81.2,81.85,80.72,81.16,5058600,0.2032509718223411,0.2032509718223411,-0.1899999999999977,-0.0023
2007-01-10,MS,80.73,81.82,79.6,81.57,5970500.0,58.63,59.43,57.81,59.24,5970500.0,80.73,81.82,79.6,81.57,5970500,0.2093294944744746,0.2093294944744746,0.4099999999999966,0.0051
2007-01-11,MS,81.45,82.69,81.21,82.37,5240400.0,59.16,60.06,58.98,59.83,5240400.0,81.45,82.69,81.21,82.37,5240400,0.2211900264786378,0.2211900264786378,0.8000000000000114,0.0098
2007-01-12,MS,82.12,83.25,81.77,82.86,4374100.0,59.64,60.46,59.39,60.18,4374100.0,82.12,83.25,81.77,82.86,4374100,0.2284546023311876,0.2284546023311876,0.4899999999999949,0.0059
2007-01-16,MS,83.08,83.38,82.13,82.61,4309000.0,60.34,60.56,59.65,60.0,4309000.0,83.08,83.38,82.13,82.61,4309000,0.2247481860798867,0.2247481860798867,-0.25,-0.003
