Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,MTD,79.44,80.15,78.85,78.85,113400,79.44,80.15,78.85,78.85,113400,79.44,80.15,78.85,78.85,113400,0.0,0.0,0.0,0.0
2007-01-03,MTD,78.6,79.19,77.45,77.78,488600,78.6,79.19,77.45,77.78,488600,78.6,79.19,77.45,77.78,488600,-0.0135700697526949,-0.0135700697526949,-1.0699999999999932,-0.0136
2007-01-04,MTD,77.8,78.62,77.65,78.49,164400,77.8,78.62,77.65,78.49,164400,77.8,78.62,77.65,78.49,164400,-0.0045656309448319,-0.0045656309448319,0.7099999999999937,0.0091
2007-01-05,MTD,78.35,78.85,78.0,78.52,143600,78.35,78.85,78.0,78.52,143600,78.35,78.85,78.0,78.52,143600,-0.0041851616994292,-0.0041851616994292,0.0300000000000011,0.0004
2007-01-08,MTD,78.65,79.0,78.09,78.9,88500,78.65,79.0,78.09,78.9,88500,78.65,79.0,78.09,78.9,88500,0.0006341154090045,0.0006341154090045,0.3800000000000096,0.0048
2007-01-09,MTD,79.35,79.99,78.73,79.82,140200,79.35,79.99,78.73,79.82,140200,79.35,79.99,78.73,79.82,140200,0.0123018389346861,0.0123018389346861,0.9199999999999876,0.0117
2007-01-10,MTD,79.7,79.98,78.91,79.59,133400,79.7,79.98,78.91,79.59,133400,79.7,79.98,78.91,79.59,133400,0.0093849080532658,0.0093849080532658,-0.2299999999999897,-0.0029
2007-01-11,MTD,79.8,81.0,79.8,81.0,140800,79.8,81.0,79.8,81.0,140800,79.8,81.0,79.8,81.0,140800,0.0272669625871909,0.0272669625871909,1.4099999999999966,0.0177
2007-01-12,MTD,80.56,80.75,79.35,79.91,184200,80.56,80.75,79.35,79.91,184200,80.56,80.75,79.35,79.91,184200,0.0134432466708941,0.0134432466708941,-1.0900000000000034,-0.0135
2007-01-16,MTD,79.91,80.63,79.88,80.48,198000,79.91,80.63,79.88,80.48,198000,79.91,80.63,79.88,80.48,198000,0.0206721623335448,0.0206721623335448,0.5700000000000074,0.0071
2007-01-17,MTD,80.05,80.67,80.05,80.22,101200,80.05,80.67,80.05,80.22,101200,80.05,80.67,80.05,80.22,101200,0.0173747622067216,0.0173747622067216,-0.2600000000000051,-0.0032
2007-01-18,MTD,79.91,80.6,79.7,80.18,228000,79.91,80.6,79.7,80.18,228000,79.91,80.6,79.7,80.18,228000,0.0168674698795182,0.0168674698795182,-0.039999999999992,-0.0005
2007-01-19,MTD,80.05,80.15,79.18,79.28,159900,80.05,80.15,79.18,79.28,159900,80.05,80.15,79.18,79.28,159900,0.0054533925174382,0.0054533925174382,-0.9000000000000057,-0.0112
2007-01-22,MTD,79.13,79.23,78.18,78.29,186000,79.13,79.23,78.18,78.29,186000,79.13,79.23,78.18,78.29,186000,-0.0071020925808495,-0.0071020925808495,-0.9899999999999948,-0.0125
2007-01-23,MTD,78.66,79.54,78.04,79.54,180600,78.66,79.54,78.04,79.54,180600,78.66,79.54,78.04,79.54,180600,0.0087507926442614,0.0087507926442614,1.25,0.016
2007-01-24,MTD,79.96,80.35,79.41,80.04,185800,79.96,80.35,79.41,80.04,185800,79.96,80.35,79.41,80.04,185800,0.0150919467343057,0.0150919467343057,0.5,0.0063
2007-01-25,MTD,80.4,80.4,79.4,79.98,507300,80.4,80.4,79.4,79.98,507300,80.4,80.4,79.4,79.98,507300,0.0143310082435004,0.0143310082435004,-0.0600000000000022,-0.0007
2007-01-26,MTD,79.92,81.42,79.64,80.94,295000,79.92,81.42,79.64,80.94,295000,79.92,81.42,79.64,80.94,295000,0.0265060240963855,0.0265060240963855,0.9599999999999936,0.012
2007-01-29,MTD,81.15,82.6,80.24,81.57,327000,81.15,82.6,80.24,81.57,327000,81.15,82.6,80.24,81.57,327000,0.0344958782498414,0.0344958782498414,0.6299999999999955,0.0078
2007-01-30,MTD,81.67,82.58,80.74,82.11,154600,81.67,82.58,80.74,82.11,154600,81.67,82.58,80.74,82.11,154600,0.0413443246670894,0.0413443246670894,0.5400000000000063,0.0066
2007-01-31,MTD,82.24,82.88,81.94,82.8,137900,82.24,82.88,81.94,82.8,137900,82.24,82.88,81.94,82.8,137900,0.0500951173113507,0.0500951173113507,0.6899999999999977,0.0084
2007-02-01,MTD,83.19,85.54,83.12,85.48,471700,83.19,85.54,83.12,85.48,471700,83.19,85.54,83.12,85.48,471700,0.0840837032339887,0.0840837032339887,2.680000000000007,0.0324
2007-02-02,MTD,85.26,85.37,83.95,84.09,253800,85.26,85.37,83.95,84.09,253800,85.26,85.37,83.95,84.09,253800,0.0664552948636653,0.0664552948636653,-1.3900000000000006,-0.0163
2007-02-05,MTD,84.2,84.72,83.44,83.64,202700,84.2,84.72,83.44,83.64,202700,84.2,84.72,83.44,83.64,202700,0.0607482561826253,0.0607482561826253,-0.4500000000000028,-0.0054
2007-02-06,MTD,83.95,84.61,83.92,84.29,183800,83.95,84.61,83.92,84.29,183800,83.95,84.61,83.92,84.29,183800,0.0689917564996831,0.0689917564996831,0.6500000000000057,0.0078
2007-02-07,MTD,84.29,84.92,84.29,84.66,225000,84.29,84.92,84.29,84.66,225000,84.29,84.92,84.29,84.66,225000,0.0736842105263158,0.0736842105263158,0.3699999999999903,0.0044
2007-02-08,MTD,84.69,85.05,84.12,84.6,232400,84.69,85.05,84.12,84.6,232400,84.69,85.05,84.12,84.6,232400,0.0729232720355104,0.0729232720355104,-0.0600000000000022,-0.0007
2007-02-09,MTD,89.0,93.79,88.66,89.2,1150500,89.0,93.79,88.66,89.2,1150500,89.0,93.79,88.66,89.2,1150500,0.1312618896639189,0.1312618896639189,4.6000000000000085,0.0544
2007-02-12,MTD,88.7,89.75,87.46,87.7,358796,88.7,89.75,87.46,87.7,358796,88.7,89.75,87.46,87.7,358796,0.1122384273937857,0.1122384273937857,-1.5,-0.0168
2007-02-13,MTD,87.65,89.58,87.56,88.02,230300,87.65,89.58,87.56,88.02,230300,87.65,89.58,87.56,88.02,230300,0.1162967660114141,0.1162967660114141,0.3199999999999932,0.0036
2007-02-14,MTD,88.26,89.59,87.96,89.48,357153,88.26,89.59,87.96,89.48,357153,88.26,89.59,87.96,89.48,357153,0.1348129359543438,0.1348129359543438,1.460000000000008,0.0166
2007-02-15,MTD,89.74,90.94,89.29,90.66,534800,89.74,90.94,89.29,90.66,534800,89.74,90.94,89.29,90.66,534800,0.1497780596068484,0.1497780596068484,1.1799999999999926,0.0132
2007-02-16,MTD,90.2,90.45,89.21,89.61,166800,90.2,90.45,89.21,89.61,166800,90.2,90.45,89.21,89.61,166800,0.1364616360177553,0.1364616360177553,-1.0499999999999972,-0.0116
2007-02-20,MTD,89.61,90.05,89.13,89.81,275100,89.61,90.05,89.13,89.81,275100,89.61,90.05,89.13,89.81,275100,0.1389980976537731,0.1389980976537731,0.2000000000000028,0.0022
2007-02-21,MTD,89.99,91.13,89.75,90.6,367400,89.99,91.13,89.75,90.6,367400,89.99,91.13,89.75,90.6,367400,0.1490171211160431,0.1490171211160431,0.789999999999992,0.0088
2007-02-22,MTD,90.2,90.76,89.8,90.17,231300,90.2,90.76,89.8,90.17,231300,90.2,90.76,89.8,90.17,231300,0.143563728598605,0.143563728598605,-0.4299999999999926,-0.0047
2007-02-23,MTD,90.5,90.7,89.55,89.91,339500,90.5,90.7,89.55,89.91,339500,90.5,90.7,89.55,89.91,339500,0.1402663284717819,0.1402663284717819,-0.2600000000000051,-0.0029
2007-02-26,MTD,90.27,90.5,89.38,89.41,194055,90.27,90.5,89.38,89.41,194055,90.27,90.5,89.38,89.41,194055,0.1339251743817375,0.1339251743817375,-0.5,-0.0056
2007-02-27,MTD,88.91,88.91,85.44,86.26,244100,88.91,88.91,85.44,86.26,244100,88.91,88.91,85.44,86.26,244100,0.0939759036144579,0.0939759036144579,-3.1499999999999915,-0.0352
2007-02-28,MTD,86.46,87.22,86.36,86.36,225300,86.46,87.22,86.36,86.36,225300,86.46,87.22,86.36,86.36,225300,0.0952441344324667,0.0952441344324667,0.0999999999999943,0.0012
2007-03-01,MTD,85.0,86.3,84.02,85.89,245689,85.0,86.3,84.02,85.89,245689,85.0,86.3,84.02,85.89,245689,0.089283449587825,0.089283449587825,-0.4699999999999988,-0.0054
2007-03-02,MTD,85.65,86.44,84.22,84.96,234800,85.65,86.44,84.22,84.96,234800,85.65,86.44,84.22,84.96,234800,0.0774889029803424,0.0774889029803424,-0.9300000000000068,-0.0108
2007-03-05,MTD,83.75,86.29,83.59,84.99,358300,83.75,86.29,83.59,84.99,358300,83.75,86.29,83.59,84.99,358300,0.0778693722257451,0.0778693722257451,0.0300000000000011,0.0004
2007-03-06,MTD,86.45,87.49,86.2,87.18,267200,86.45,87.49,86.2,87.18,267200,86.45,87.49,86.2,87.18,267200,0.1056436271401396,0.1056436271401396,2.190000000000012,0.0258
2007-03-07,MTD,87.18,87.5,86.35,87.11,201000,87.18,87.5,86.35,87.11,201000,87.18,87.5,86.35,87.11,201000,0.1047558655675333,0.1047558655675333,-0.0700000000000073,-0.0008
2007-03-08,MTD,87.8,87.9,86.0,86.45,184700,87.8,87.9,86.0,86.45,184700,87.8,87.9,86.0,86.45,184700,0.0963855421686748,0.0963855421686748,-0.6599999999999966,-0.0076
2007-03-09,MTD,86.7,87.56,86.38,86.85,137800,86.7,87.56,86.38,86.85,137800,86.7,87.56,86.38,86.85,137800,0.1014584654407102,0.1014584654407102,0.3999999999999915,0.0046
2007-03-12,MTD,86.5,88.61,86.5,88.26,185700,86.5,88.61,86.5,88.26,185700,86.5,88.61,86.5,88.26,185700,0.1193405199746355,0.1193405199746355,1.4100000000000108,0.0162
2007-03-13,MTD,87.58,88.63,87.02,87.3,215300,87.58,88.63,87.02,87.3,215300,87.58,88.63,87.02,87.3,215300,0.1071655041217502,0.1071655041217502,-0.960000000000008,-0.0109
2007-03-14,MTD,87.55,88.05,86.62,87.02,178900,87.55,88.05,86.62,87.02,178900,87.55,88.05,86.62,87.02,178900,0.1036144578313253,0.1036144578313253,-0.2800000000000011,-0.0032
2007-03-15,MTD,87.2,88.36,87.03,88.21,134900,87.2,88.36,87.03,88.21,134900,87.2,88.36,87.03,88.21,134900,0.1187064045656309,0.1187064045656309,1.1899999999999975,0.0137
2007-03-16,MTD,88.3,88.51,87.72,88.19,121200,88.3,88.51,87.72,88.19,121200,88.3,88.51,87.72,88.19,121200,0.1184527584020292,0.1184527584020292,-0.019999999999996,-0.0002
2007-03-19,MTD,88.44,89.6,88.27,89.51,219100,88.44,89.6,88.27,89.51,219100,88.44,89.6,88.27,89.51,219100,0.1351934051997465,0.1351934051997465,1.3200000000000074,0.015
2007-03-20,MTD,89.01,89.88,88.96,89.45,168100,89.01,89.88,88.96,89.45,168100,89.01,89.88,88.96,89.45,168100,0.1344324667089411,0.1344324667089411,-0.0600000000000022,-0.0007
2007-03-21,MTD,89.7,91.11,89.15,91.08,197200,89.7,91.11,89.15,91.08,197200,89.7,91.11,89.15,91.08,197200,0.1551046290424858,0.1551046290424858,1.6299999999999957,0.0182
2007-03-22,MTD,91.09,91.09,89.2,91.01,152500,91.09,91.09,89.2,91.01,152500,91.09,91.09,89.2,91.01,152500,0.1542168674698796,0.1542168674698796,-0.0699999999999931,-0.0008
2007-03-23,MTD,90.81,91.81,90.7,91.47,104600,90.81,91.81,90.7,91.47,104600,90.81,91.81,90.7,91.47,104600,0.1600507292327204,0.1600507292327204,0.4599999999999937,0.0051
2007-03-26,MTD,91.6,91.87,90.5,91.61,131300,91.6,91.87,90.5,91.61,131300,91.6,91.87,90.5,91.61,131300,0.1618262523779328,0.1618262523779328,0.1400000000000005,0.0015
2007-03-27,MTD,91.62,91.18,90.07,90.84,193200,91.62,91.18,90.07,90.84,193200,91.62,91.18,90.07,90.84,193200,0.1520608750792645,0.1520608750792645,-0.769999999999996,-0.0084
2007-03-28,MTD,90.0,91.0,89.25,89.96,134800,90.0,91.0,89.25,89.96,134800,90.0,91.0,89.25,89.96,134800,0.1409004438807863,0.1409004438807863,-0.8800000000000097,-0.0097
2007-03-29,MTD,89.97,90.35,88.86,89.0,337200,89.97,90.35,88.86,89.0,337200,89.97,90.35,88.86,89.0,337200,0.1287254280279011,0.1287254280279011,-0.9599999999999936,-0.0107
2007-03-30,MTD,88.8,89.75,88.8,89.57,301300,88.8,89.75,88.8,89.57,301300,88.8,89.75,88.8,89.57,301300,0.1359543436905516,0.1359543436905516,0.5699999999999932,0.0064
2007-04-02,MTD,89.6,90.48,89.6,89.94,213900,89.6,90.48,89.6,89.94,213900,89.6,90.48,89.6,89.94,213900,0.1406467977171845,0.1406467977171845,0.3700000000000045,0.0041
2007-04-03,MTD,90.0,90.58,89.89,90.09,331100,90.0,90.58,89.89,90.09,331100,90.0,90.58,89.89,90.09,331100,0.1425491439441979,0.1425491439441979,0.1500000000000056,0.0017
2007-04-04,MTD,90.09,91.21,89.93,91.21,335800,90.09,91.21,89.93,91.21,335800,90.09,91.21,89.93,91.21,335800,0.1567533291058973,0.1567533291058973,1.1199999999999903,0.0124
2007-04-05,MTD,91.36,92.8,91.36,92.68,181000,91.36,92.8,91.36,92.68,181000,91.36,92.8,91.36,92.68,181000,0.1753963221306279,0.1753963221306279,1.470000000000013,0.0161
