Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,OMC,51.925,52.475,51.83,52.27,1668600,33.4111,33.765,33.35,33.6331,1668600,103.85,104.95,103.66,104.54,834300,0.0,0.0,0.0,0.0
2007-01-03,OMC,51.9,52.28,50.28,50.77,2975200,32.95,33.19,31.92,32.23,2975200,103.8,104.57,100.57,101.53,2975200,-0.0286971494164912,-0.0286971494164912,-1.5,-0.0287
2007-01-04,OMC,50.77,51.35,50.62,50.98,1224000,32.23,32.6,32.13,32.36,1224000,101.53,102.7,101.24,101.95,1224000,-0.0246795484981826,-0.0246795484981826,0.2099999999999937,0.0041
2007-01-05,OMC,50.98,51.35,50.7,51.12,981300,32.36,32.6,32.18,32.45,981300,101.96,102.7,101.39,102.24,981300,-0.0220011478859767,-0.0220011478859767,0.1400000000000005,0.0027
2007-01-08,OMC,51.09,51.52,50.52,51.37,1083300,32.44,32.7,32.07,32.61,1083300,102.19,103.04,101.05,102.73,1083300,-0.0172182896498948,-0.0172182896498948,0.25,0.0049
2007-01-09,OMC,51.38,51.73,51.16,51.56,1120000,32.61,32.84,32.47,32.73,1120000,102.75,103.47,102.31,103.12,1120000,-0.0135833173904725,-0.0135833173904725,0.1900000000000048,0.0037
2007-01-10,OMC,51.48,52.12,51.14,51.98,1063900,32.68,33.09,32.46,33.0,1063900,102.95,104.24,102.28,103.96,1063900,-0.0055481155538551,-0.0055481155538551,0.4199999999999946,0.0081
2007-01-11,OMC,52.16,52.35,52.08,52.19,1099700,33.11,33.23,33.06,33.13,1099700,104.32,104.7,104.15,104.38,1099700,-0.0015305146355463,-0.0015305146355463,0.2100000000000008,0.004
2007-01-12,OMC,51.99,52.34,51.8,52.15,767600,33.0,33.22,32.88,33.1,767600,103.98,104.67,103.59,104.3,767600,-0.0022957719533193,-0.0022957719533193,-0.0399999999999991,-0.0008
2007-01-16,OMC,52.23,52.29,51.92,52.0,887300,33.15,33.19,32.96,33.01,887300,104.45,104.58,103.85,104.0,887300,-0.0051654868949684,-0.0051654868949684,-0.1499999999999985,-0.0029
2007-01-17,OMC,52.0,52.02,51.23,51.61,1507200,33.01,33.02,32.52,32.76,1507200,104.0,104.03,102.45,103.22,1507200,-0.0126267457432562,-0.0126267457432562,-0.3900000000000005,-0.0075
2007-01-18,OMC,51.78,52.01,51.55,51.73,1057000,32.87,33.02,32.72,32.84,1057000,103.56,104.02,103.1,103.46,1057000,-0.0103309737899369,-0.0103309737899369,0.1199999999999974,0.0023
2007-01-19,OMC,51.72,52.38,51.42,52.21,1027600,32.83,33.25,32.64,33.14,1027600,103.44,104.75,102.85,104.42,1027600,-0.0011478859766596,-0.0011478859766596,0.480000000000004,0.0093
2007-01-22,OMC,52.09,52.2,51.48,51.7,899700,33.06,33.14,32.68,32.82,899700,104.17,104.4,102.96,103.39,899700,-0.0109049167782666,-0.0109049167782666,-0.509999999999998,-0.0098
2007-01-23,OMC,51.82,52.27,51.66,52.11,886900,32.9,33.18,32.8,33.08,886900,103.64,104.54,103.33,104.22,886900,-0.0030610292710924,-0.0030610292710924,0.4099999999999966,0.0079
2007-01-24,OMC,52.2,52.2,51.65,52.05,830500,33.13,33.14,32.79,33.04,830500,104.39,104.4,103.3,104.1,830500,-0.0042089152477521,-0.0042089152477521,-0.0600000000000022,-0.0012
