Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,ORLY,32.36,32.42,31.93,32.06,435450,32.36,32.42,31.93,32.06,435450,32.36,32.42,31.93,32.06,435450,0.0,0.0,0.0,0.0
2007-01-03,ORLY,32.18,32.75,31.84,32.19,971906,32.18,32.75,31.84,32.19,971906,32.18,32.75,31.84,32.19,971906,0.0040548970679973,0.0040548970679973,0.1299999999999954,0.0041
2007-01-04,ORLY,32.22,32.46,32.15,32.35,586297,32.22,32.46,32.15,32.35,586297,32.22,32.46,32.15,32.35,586297,0.0090455396132251,0.0090455396132251,0.1600000000000037,0.005
2007-01-05,ORLY,32.21,32.26,31.92,31.94,363909,32.21,32.26,31.92,31.94,363909,32.21,32.26,31.92,31.94,363909,-0.0037429819089208,-0.0037429819089208,-0.4100000000000001,-0.0127
2007-01-08,ORLY,31.89,32.0,31.45,31.68,338048,31.89,32.0,31.45,31.68,338048,31.89,32.0,31.45,31.68,338048,-0.0118527760449158,-0.0118527760449158,-0.2600000000000015,-0.0081
2007-01-09,ORLY,31.68,32.05,31.59,31.92,407784,31.68,32.05,31.59,31.92,407784,31.68,32.05,31.59,31.92,407784,-0.0043668122270742,-0.0043668122270742,0.240000000000002,0.0076
2007-01-10,ORLY,31.92,32.1,31.78,32.04,358330,31.92,32.1,31.78,32.04,358330,31.92,32.1,31.78,32.04,358330,-0.0006238303181535,-0.0006238303181535,0.1199999999999974,0.0038
2007-01-11,ORLY,32.07,32.49,32.06,32.31,729998,32.07,32.49,32.06,32.31,729998,32.07,32.49,32.06,32.31,729998,0.0077978789769182,0.0077978789769182,0.2700000000000031,0.0084
2007-01-12,ORLY,32.21,32.64,32.21,32.52,794852,32.21,32.64,32.21,32.52,794852,32.21,32.64,32.21,32.52,794852,0.0143480973175296,0.0143480973175296,0.2100000000000008,0.0065
2007-01-16,ORLY,32.58,32.75,32.5,32.54,545042,32.58,32.75,32.5,32.54,545042,32.58,32.75,32.5,32.54,545042,0.0149719276356829,0.0149719276356829,0.019999999999996,0.0006
