Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,PFE,26.08,26.1676,25.82,25.9,27754400,14.2564,14.3043,14.1143,14.158,27754400,26.08,26.1676,25.82,25.9,27754400,0.0,0.0,0.0,0.0
2007-01-03,PFE,26.15,26.42,25.98,26.29,40645100,12.9,13.03,12.81,12.97,40645100,26.15,26.42,25.98,26.29,40645100,0.015057915057915,0.015057915057915,0.3900000000000005,0.0151
2007-01-04,PFE,26.38,26.57,26.29,26.38,32258100,13.01,13.1,12.97,13.01,32258100,26.38,26.57,26.29,26.38,32258100,0.0185328185328185,0.0185328185328185,0.0899999999999998,0.0034
2007-01-05,PFE,26.53,26.63,26.17,26.3,31355800,13.08,13.13,12.91,12.97,31355800,26.53,26.63,26.17,26.3,31355800,0.0154440154440155,0.0154440154440155,-0.0799999999999983,-0.003
2007-01-08,PFE,26.29,26.42,25.89,26.16,43224400,12.97,13.03,12.77,12.9,43224400,26.29,26.42,25.89,26.16,43224400,0.0100386100386101,0.0100386100386101,-0.1400000000000005,-0.0053
2007-01-09,PFE,26.24,26.34,26.04,26.17,31321400,12.94,12.99,12.84,12.91,31321400,26.24,26.34,26.04,26.17,31321400,0.0104247104247105,0.0104247104247105,0.0100000000000015,0.0004
2007-01-10,PFE,26.1,26.26,26.0,26.2,34548400,12.87,12.95,12.82,12.92,34548400,26.1,26.26,26.0,26.2,34548400,0.0115830115830116,0.0115830115830116,0.0299999999999975,0.0011
2007-01-11,PFE,25.78,26.51,25.78,26.46,37245000,12.71,13.07,12.71,13.05,37245000,25.78,26.51,25.78,26.46,37245000,0.0216216216216217,0.0216216216216217,0.2600000000000015,0.0099
2007-01-12,PFE,26.38,26.81,26.38,26.64,29799900,13.01,13.22,13.01,13.14,29799900,26.38,26.81,26.38,26.64,29799900,0.0285714285714286,0.0285714285714286,0.1799999999999997,0.0068
2007-01-16,PFE,26.64,26.82,26.51,26.77,31184100,13.14,13.23,13.07,13.2,31184100,26.64,26.82,26.51,26.77,31184100,0.0335907335907336,0.0335907335907336,0.129999999999999,0.0049
2007-01-17,PFE,26.7,27.02,26.67,26.89,36410000,13.17,13.33,13.15,13.26,36410000,26.7,27.02,26.67,26.89,36410000,0.0382239382239383,0.0382239382239383,0.120000000000001,0.0045
2007-01-18,PFE,27.06,27.27,26.84,27.17,38579500,13.35,13.45,13.24,13.4,38579500,27.06,27.27,26.84,27.17,38579500,0.0490347490347491,0.0490347490347491,0.2800000000000011,0.0104
