Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,PNC,74.74,74.98,73.93,74.04,839700,45.2337,45.3789,44.7435,44.81,839700,74.74,74.98,73.93,74.04,839700,0.0,0.0,0.0,0.0
2007-01-03,PNC,74.47,75.6,74.44,75.15,1864500,45.71,46.4,45.69,46.13,1864500,74.47,75.6,74.44,75.15,1864500,0.0149918962722852,0.0149918962722852,1.1099999999999994,0.015
2007-01-04,PNC,74.91,75.13,74.61,74.96,858700,45.98,46.11,45.8,46.01,858700,74.91,75.13,74.61,74.96,858700,0.0124257158292813,0.0124257158292813,-0.1900000000000119,-0.0025
2007-01-05,PNC,74.96,74.96,73.86,74.1,900400,46.01,46.01,45.34,45.48,900400,74.96,74.96,73.86,74.1,900400,0.0008103727714747,0.0008103727714747,-0.8599999999999994,-0.0115
2007-01-08,PNC,74.2,75.01,73.7,74.94,1588500,45.54,46.04,45.24,46.0,1588500,74.2,75.01,73.7,74.94,1588500,0.012155591572123,0.012155591572123,0.8400000000000034,0.0113
2007-01-09,PNC,74.96,75.65,74.57,75.11,2012800,46.01,46.43,45.77,46.1,2012800,74.96,75.65,74.57,75.11,2012800,0.0144516477579685,0.0144516477579685,0.1700000000000017,0.0023
2007-01-10,PNC,74.56,74.97,74.43,74.97,1265000,46.1,46.35,46.02,46.35,1265000,74.56,74.97,74.43,74.97,1265000,0.0125607779578605,0.0125607779578605,-0.1400000000000005,-0.0019
2007-01-11,PNC,75.12,75.46,74.75,74.98,1190500,46.45,46.66,46.22,46.36,1190500,75.12,75.46,74.75,74.98,1190500,0.0126958400864397,0.0126958400864397,0.0100000000000051,0.0001
2007-01-12,PNC,74.85,74.96,74.6,74.83,1052000,46.28,46.35,46.13,46.27,1052000,74.85,74.96,74.6,74.83,1052000,0.0106699081577524,0.0106699081577524,-0.1500000000000056,-0.002
2007-01-16,PNC,75.02,75.06,74.5,74.76,1197900,46.38,46.41,46.06,46.22,1197900,75.02,75.06,74.5,74.76,1197900,0.0097244732576985,0.0097244732576985,-0.0699999999999931,-0.0009
2007-01-17,PNC,74.76,74.99,74.41,74.66,1120100,46.22,46.37,46.01,46.16,1120100,74.76,74.99,74.41,74.66,1120100,0.0083738519719069,0.0083738519719069,-0.1000000000000085,-0.0013
2007-01-18,PNC,74.8,75.0,74.61,74.85,804000,46.25,46.37,46.13,46.28,804000,74.8,75.0,74.61,74.85,804000,0.0109400324149106,0.0109400324149106,0.1899999999999977,0.0025
2007-01-19,PNC,75.15,75.15,74.3,74.82,1241600,46.47,46.47,45.94,46.26,1241600,75.15,75.15,74.3,74.82,1241600,0.0105348460291732,0.0105348460291732,-0.0300000000000011,-0.0004
2007-01-22,PNC,74.65,74.65,73.65,73.92,1523300,46.16,46.16,45.54,45.7,1523300,74.65,74.65,73.65,73.92,1523300,-0.0016207455429498,-0.0016207455429498,-0.8999999999999915,-0.012
2007-01-23,PNC,74.3,74.3,73.0,73.14,1866600,45.94,45.94,45.14,45.22,1866600,74.3,74.3,73.0,73.14,1866600,-0.0121555915721232,-0.0121555915721232,-0.7800000000000011,-0.0106
