Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,PTC,18.11,18.318,17.98,18.02,14604322,18.11,18.318,17.98,18.02,14604322,18.11,18.318,17.98,18.02,14604322,0.0,0.0,0.0,0.0
2007-01-03,PTC,18.07,18.23,17.34,17.83,3662512,18.07,18.23,17.34,17.83,3662512,18.07,18.23,17.34,17.83,3662512,-0.0105438401775805,-0.0105438401775805,-0.1900000000000012,-0.0105
2007-01-04,PTC,17.83,18.06,17.64,18.01,2035028,17.83,18.06,17.64,18.01,2035028,17.83,18.06,17.64,18.01,2035028,-0.0005549389567146,-0.0005549389567146,0.1800000000000032,0.0101
2007-01-05,PTC,17.97,18.01,17.5,17.72,1586777,17.97,18.01,17.5,17.72,1586777,17.97,18.01,17.5,17.72,1586777,-0.0166481687014428,-0.0166481687014428,-0.2900000000000027,-0.0161
2007-01-08,PTC,17.72,18.14,17.61,17.92,2075222,17.72,18.14,17.61,17.92,2075222,17.72,18.14,17.61,17.92,2075222,-0.0055493895671474,-0.0055493895671474,0.2000000000000028,0.0113
2007-01-09,PTC,17.99,17.99,17.61,17.68,1413104,17.99,17.99,17.61,17.68,1413104,17.99,17.99,17.61,17.68,1413104,-0.0188679245283018,-0.0188679245283018,-0.240000000000002,-0.0134
2007-01-10,PTC,17.57,17.82,17.54,17.71,1424783,17.57,17.82,17.54,17.71,1424783,17.57,17.82,17.54,17.71,1424783,-0.0172031076581575,-0.0172031076581575,0.0300000000000011,0.0017
2007-01-11,PTC,17.75,18.13,17.69,17.88,1098214,17.75,18.13,17.69,17.88,1098214,17.75,18.13,17.69,17.88,1098214,-0.0077691453940066,-0.0077691453940066,0.1699999999999981,0.0096
2007-01-12,PTC,17.84,18.06,17.54,17.94,1396731,17.84,18.06,17.54,17.94,1396731,17.84,18.06,17.54,17.94,1396731,-0.0044395116537179,-0.0044395116537179,0.0600000000000022,0.0034
2007-01-16,PTC,17.93,18.13,17.7,17.8,1147752,17.93,18.13,17.7,17.8,1147752,17.93,18.13,17.7,17.8,1147752,-0.0122086570477246,-0.0122086570477246,-0.1400000000000005,-0.0078
2007-01-17,PTC,17.81,17.93,17.63,17.7,1007145,17.81,17.93,17.63,17.7,1007145,17.81,17.93,17.63,17.7,1007145,-0.0177580466148723,-0.0177580466148723,-0.1000000000000014,-0.0056
2007-01-18,PTC,17.51,17.75,17.45,17.5,1851360,17.51,17.75,17.45,17.5,1851360,17.51,17.75,17.45,17.5,1851360,-0.0288568257491675,-0.0288568257491675,-0.1999999999999993,-0.0113
2007-01-19,PTC,17.5,17.63,17.31,17.47,1470677,17.5,17.63,17.31,17.47,1470677,17.5,17.63,17.31,17.47,1470677,-0.0305216426193119,-0.0305216426193119,-0.0300000000000011,-0.0017
2007-01-22,PTC,17.5,17.53,17.28,17.3,1209502,17.5,17.53,17.28,17.3,1209502,17.5,17.53,17.28,17.3,1209502,-0.0399556048834627,-0.0399556048834627,-0.1699999999999981,-0.0097
2007-01-23,PTC,17.33,18.07,17.21,17.9,2412427,17.33,18.07,17.21,17.9,2412427,17.33,18.07,17.21,17.9,2412427,-0.0066592674805771,-0.0066592674805771,0.5999999999999979,0.0347
2007-01-24,PTC,18.39,19.74,18.09,19.18,5992526,18.39,19.74,18.09,19.18,5992526,18.39,19.74,18.09,19.18,5992526,0.0643729189789123,0.0643729189789123,1.2800000000000011,0.0715
2007-01-25,PTC,19.36,19.61,18.8,19.25,2523825,19.36,19.61,18.8,19.25,2523825,19.36,19.61,18.8,19.25,2523825,0.0682574916759156,0.0682574916759156,0.0700000000000002,0.0036
2007-01-26,PTC,19.34,19.94,19.17,19.82,2321116,19.34,19.94,19.17,19.82,2321116,19.34,19.94,19.17,19.82,2321116,0.099889012208657,0.099889012208657,0.5700000000000003,0.0296
2007-01-29,PTC,19.76,19.81,19.5,19.72,1631625,19.76,19.81,19.5,19.72,1631625,19.76,19.81,19.5,19.72,1631625,0.0943396226415094,0.0943396226415094,-0.1000000000000014,-0.005
2007-01-30,PTC,19.73,20.0,19.39,19.98,1854055,19.73,20.0,19.39,19.98,1854055,19.73,20.0,19.39,19.98,1854055,0.1087680355160932,0.1087680355160932,0.2600000000000015,0.0132
2007-01-31,PTC,19.9,19.98,19.64,19.82,1474198,19.9,19.98,19.64,19.82,1474198,19.9,19.98,19.64,19.82,1474198,0.099889012208657,0.099889012208657,-0.1600000000000001,-0.008
2007-02-01,PTC,19.95,20.18,19.88,20.0,1227369,19.95,20.18,19.88,20.0,1227369,19.95,20.18,19.88,20.0,1227369,0.1098779134295227,0.1098779134295227,0.1799999999999997,0.0091
2007-02-02,PTC,20.0,20.0,19.82,19.92,928940,20.0,20.0,19.82,19.92,928940,20.0,20.0,19.82,19.92,928940,0.1054384017758047,0.1054384017758047,-0.0799999999999983,-0.004
2007-02-05,PTC,19.95,19.95,19.7,19.9,1011925,19.95,19.95,19.7,19.9,1011925,19.95,19.95,19.7,19.9,1011925,0.104328523862375,0.104328523862375,-0.0200000000000031,-0.001
2007-02-06,PTC,19.92,19.95,19.62,19.9,887919,19.92,19.95,19.62,19.9,887919,19.92,19.95,19.62,19.9,887919,0.104328523862375,0.104328523862375,0.0,0.0
