Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,REGN,20.08,20.17,19.91,20.07,283547,20.08,20.17,19.91,20.07,283547,20.08,20.17,19.91,20.07,283547,0.0,0.0,0.0,0.0
2007-01-03,REGN,19.93,20.14,19.23,19.81,545803,19.93,20.14,19.23,19.81,545803,19.93,20.14,19.23,19.81,545803,-0.012954658694569,-0.012954658694569,-0.2600000000000015,-0.013
2007-01-04,REGN,19.81,20.53,19.46,20.18,643567,19.81,20.53,19.46,20.18,643567,19.81,20.53,19.46,20.18,643567,0.0054808171400099,0.0054808171400099,0.370000000000001,0.0187
2007-01-05,REGN,20.07,20.82,19.99,20.8,696332,20.07,20.82,19.99,20.8,696332,20.07,20.82,19.99,20.8,696332,0.0363726955655206,0.0363726955655206,0.620000000000001,0.0307
2007-01-08,REGN,20.85,21.45,20.78,21.15,681439,20.85,21.45,20.78,21.15,681439,20.85,21.45,20.78,21.15,681439,0.053811659192825,0.053811659192825,0.3499999999999978,0.0168
2007-01-09,REGN,21.07,21.46,20.72,21.27,396245,21.07,21.46,20.72,21.27,396245,21.07,21.46,20.72,21.27,396245,0.0597907324364723,0.0597907324364723,0.120000000000001,0.0057
2007-01-10,REGN,21.17,21.94,20.87,21.92,586545,21.17,21.94,20.87,21.92,586545,21.17,21.94,20.87,21.92,586545,0.0921773791728949,0.0921773791728949,0.6500000000000021,0.0306
2007-01-11,REGN,21.95,22.74,21.9,22.55,735847,21.95,22.74,21.9,22.55,735847,21.95,22.74,21.9,22.55,735847,0.1235675137020428,0.1235675137020428,0.629999999999999,0.0287
2007-01-12,REGN,22.54,22.84,22.44,22.74,352746,22.54,22.84,22.44,22.74,352746,22.54,22.84,22.44,22.74,352746,0.1330343796711508,0.1330343796711508,0.1899999999999977,0.0084
2007-01-16,REGN,22.74,22.74,22.49,22.55,485276,22.74,22.74,22.49,22.55,485276,22.74,22.74,22.49,22.55,485276,0.1235675137020428,0.1235675137020428,-0.1899999999999977,-0.0084
2007-01-17,REGN,22.55,22.68,22.27,22.51,283735,22.55,22.68,22.27,22.51,283735,22.55,22.68,22.27,22.51,283735,0.1215744892874938,0.1215744892874938,-0.0399999999999991,-0.0018
2007-01-18,REGN,22.05,22.48,21.88,21.88,358847,22.05,22.48,21.88,21.88,358847,22.05,22.48,21.88,21.88,358847,0.0901843547583457,0.0901843547583457,-0.6300000000000026,-0.028
2007-01-19,REGN,21.87,22.0,21.58,21.77,299002,21.87,22.0,21.58,21.77,299002,21.87,22.0,21.58,21.77,299002,0.0847035376183358,0.0847035376183358,-0.1099999999999994,-0.005
2007-01-22,REGN,21.8,21.93,21.51,21.7,304678,21.8,21.93,21.51,21.7,304678,21.8,21.93,21.51,21.7,304678,0.0812157448928748,0.0812157448928748,-0.0700000000000002,-0.0032
2007-01-23,REGN,21.7,21.7,20.78,20.85,445692,21.7,21.7,20.78,20.85,445692,21.7,21.7,20.78,20.85,445692,0.038863976083707,0.038863976083707,-0.8499999999999979,-0.0392
2007-01-24,REGN,20.91,21.28,20.86,21.04,410803,20.91,21.28,20.86,21.04,410803,20.91,21.28,20.86,21.04,410803,0.048330842052815,0.048330842052815,0.1899999999999977,0.0091
2007-01-25,REGN,21.09,21.13,19.91,20.07,602496,21.09,21.13,19.91,20.07,602496,21.09,21.13,19.91,20.07,602496,0.0,0.0,-0.9699999999999988,-0.0461
2007-01-26,REGN,19.96,20.28,19.76,19.92,517232,19.96,20.28,19.76,19.92,517232,19.96,20.28,19.76,19.92,517232,-0.0074738415545589,-0.0074738415545589,-0.1499999999999985,-0.0075
2007-01-29,REGN,19.8,20.16,19.57,19.84,592774,19.8,20.16,19.57,19.84,592774,19.8,20.16,19.57,19.84,592774,-0.0114598903836572,-0.0114598903836572,-0.0800000000000018,-0.004
2007-01-30,REGN,19.95,20.61,19.95,20.59,336218,19.95,20.61,19.95,20.59,336218,19.95,20.61,19.95,20.59,336218,0.0259093173891379,0.0259093173891379,0.75,0.0378
2007-01-31,REGN,20.58,20.58,19.5,19.89,730811,20.58,20.58,19.5,19.89,730811,20.58,20.58,19.5,19.89,730811,-0.0089686098654708,-0.0089686098654708,-0.6999999999999993,-0.034
2007-02-01,REGN,19.79,20.49,19.79,20.27,392986,19.79,20.49,19.79,20.27,392986,19.79,20.49,19.79,20.27,392986,0.0099651220727453,0.0099651220727453,0.379999999999999,0.0191
