Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,RF,37.66,37.74,37.3,37.4,1392200,23.6167,23.6668,23.3909,23.4536,1392200,37.66,37.74,37.3,37.4,1392200,0.0,0.0,0.0,0.0
2007-01-03,RF,37.8,38.17,37.55,38.02,4077400,23.42,23.65,23.27,23.56,4077400,37.8,38.17,37.55,38.02,4077400,0.0165775401069519,0.0165775401069519,0.6200000000000045,0.0166
2007-01-04,RF,38.0,38.0,37.63,37.84,4797100,23.55,23.55,23.32,23.45,4797100,38.0,38.0,37.63,37.84,4797100,0.011764705882353,0.011764705882353,-0.1799999999999997,-0.0047
2007-01-05,RF,37.82,37.82,36.96,37.19,2779200,23.44,23.44,22.9,23.05,2779200,37.82,37.82,36.96,37.19,2779200,-0.0056149732620321,-0.0056149732620321,-0.6500000000000057,-0.0172
2007-01-08,RF,37.11,37.13,36.6,36.95,1995700,23.0,23.01,22.68,22.9,1995700,37.11,37.13,36.6,36.95,1995700,-0.0120320855614972,-0.0120320855614972,-0.2399999999999948,-0.0065
2007-01-09,RF,37.05,37.17,36.63,37.06,2330700,22.96,23.03,22.7,22.97,2330700,37.05,37.17,36.63,37.06,2330700,-0.0090909090909089,-0.0090909090909089,0.1099999999999994,0.003
2007-01-10,RF,37.05,37.25,36.89,37.17,2232000,22.96,23.08,22.86,23.03,2232000,37.05,37.25,36.89,37.17,2232000,-0.0061497326203207,-0.0061497326203207,0.1099999999999994,0.003
2007-01-11,RF,37.37,37.47,37.06,37.29,1878200,23.16,23.22,22.97,23.11,1878200,37.37,37.47,37.06,37.29,1878200,-0.0029411764705882,-0.0029411764705882,0.1199999999999974,0.0032
2007-01-12,RF,37.09,37.19,36.8,37.06,1601900,22.98,23.05,22.8,22.97,1601900,37.09,37.19,36.8,37.06,1601900,-0.0090909090909089,-0.0090909090909089,-0.2299999999999968,-0.0062
2007-01-16,RF,37.15,37.15,36.7,36.9,1854700,23.02,23.02,22.74,22.87,1854700,37.15,37.15,36.7,36.9,1854700,-0.0133689839572192,-0.0133689839572192,-0.1600000000000037,-0.0043
2007-01-17,RF,36.94,36.94,36.3,36.71,2099400,22.89,22.89,22.5,22.75,2099400,36.94,36.94,36.3,36.71,2099400,-0.0184491978609625,-0.0184491978609625,-0.1899999999999977,-0.0051
2007-01-18,RF,36.76,37.35,36.7,37.23,3138900,22.78,23.15,22.74,23.07,3138900,36.76,37.35,36.7,37.23,3138900,-0.0045454545454545,-0.0045454545454545,0.519999999999996,0.0142
2007-01-19,RF,36.95,37.22,36.34,36.47,3494900,22.9,23.07,22.52,22.6,3494900,36.95,37.22,36.34,36.47,3494900,-0.0248663101604278,-0.0248663101604278,-0.759999999999998,-0.0204
2007-01-22,RF,36.35,36.45,35.95,36.25,2856100,22.53,22.59,22.28,22.46,2856100,36.35,36.45,35.95,36.25,2856100,-0.0307486631016042,-0.0307486631016042,-0.2199999999999988,-0.006
2007-01-23,RF,36.0,36.19,35.76,35.95,3841500,22.31,22.43,22.16,22.28,3841500,36.0,36.19,35.76,35.95,3841500,-0.0387700534759357,-0.0387700534759357,-0.2999999999999971,-0.0083
2007-01-24,RF,35.87,36.22,35.86,36.22,2688900,22.23,22.45,22.22,22.45,2688900,35.87,36.22,35.86,36.22,2688900,-0.0315508021390374,-0.0315508021390374,0.269999999999996,0.0075
2007-01-25,RF,36.15,36.27,35.92,36.03,2681300,22.4,22.48,22.26,22.33,2681300,36.15,36.27,35.92,36.03,2681300,-0.0366310160427806,-0.0366310160427806,-0.1899999999999977,-0.0052
2007-01-26,RF,36.0,36.21,35.9,36.13,2031400,22.31,22.44,22.25,22.39,2031400,36.0,36.21,35.9,36.13,2031400,-0.0339572192513367,-0.0339572192513367,0.1000000000000014,0.0028
2007-01-29,RF,36.08,36.31,36.0,36.3,2205500,22.36,22.5,22.31,22.5,2205500,36.08,36.31,36.0,36.3,2205500,-0.0294117647058823,-0.0294117647058823,0.1699999999999946,0.0047
2007-01-30,RF,36.39,36.4,36.1,36.2,1962700,22.55,22.56,22.37,22.43,1962700,36.39,36.4,36.1,36.2,1962700,-0.032085561497326,-0.032085561497326,-0.0999999999999943,-0.0028
2007-01-31,RF,36.22,36.4,35.97,36.26,2348100,22.45,22.56,22.29,22.47,2348100,36.22,36.4,35.97,36.26,2348100,-0.0304812834224599,-0.0304812834224599,0.0599999999999951,0.0017
2007-02-01,RF,36.36,36.4,36.1,36.21,3087600,22.53,22.56,22.37,22.44,3087600,36.36,36.4,36.1,36.21,3087600,-0.0318181818181817,-0.0318181818181817,-0.0499999999999971,-0.0014
2007-02-02,RF,36.38,36.52,36.22,36.45,1741100,22.54,22.63,22.45,22.59,1741100,36.38,36.52,36.22,36.45,1741100,-0.0254010695187164,-0.0254010695187164,0.240000000000002,0.0066
2007-02-05,RF,36.51,36.91,36.41,36.78,2537600,22.63,22.87,22.56,22.79,2537600,36.51,36.91,36.41,36.78,2537600,-0.0165775401069518,-0.0165775401069518,0.3299999999999983,0.0091
2007-02-06,RF,36.85,37.17,36.75,37.08,2036300,22.84,23.03,22.77,22.98,2036300,36.85,37.17,36.75,37.08,2036300,-0.0085561497326203,-0.0085561497326203,0.2999999999999971,0.0082
2007-02-07,RF,37.18,37.3,37.0,37.27,1789800,23.04,23.11,22.93,23.1,1789800,37.18,37.3,37.0,37.27,1789800,-0.0034759358288768,-0.0034759358288768,0.1900000000000048,0.0051
2007-02-08,RF,37.14,37.43,36.93,37.38,3332900,23.02,23.2,22.89,23.16,3332900,37.14,37.43,36.93,37.38,3332900,-0.0005347593582886,-0.0005347593582886,0.1099999999999994,0.003
2007-02-09,RF,37.37,37.45,37.04,37.09,2863400,23.16,23.21,22.95,22.98,2863400,37.37,37.45,37.04,37.09,2863400,-0.0082887700534758,-0.0082887700534758,-0.2899999999999991,-0.0078
2007-02-12,RF,37.09,37.14,36.87,37.07,2039899,22.98,23.02,22.85,22.97,2039899,37.09,37.14,36.87,37.07,2039899,-0.0088235294117646,-0.0088235294117646,-0.0200000000000031,-0.0005
2007-02-13,RF,37.2,37.33,36.99,37.33,1381995,23.05,23.13,22.92,23.13,1381995,37.2,37.33,36.99,37.33,1381995,-0.0018716577540107,-0.0018716577540107,0.259999999999998,0.007
2007-02-14,RF,37.3,37.49,37.1,37.35,1370468,23.11,23.23,22.99,23.15,1370468,37.3,37.49,37.1,37.35,1370468,-0.0013368983957218,-0.0013368983957218,0.0200000000000031,0.0005
2007-02-15,RF,37.17,37.35,37.14,37.25,1608600,23.03,23.15,23.02,23.08,1608600,37.17,37.35,37.14,37.25,1608600,-0.0040106951871657,-0.0040106951871657,-0.1000000000000014,-0.0027
2007-02-16,RF,37.14,37.47,37.14,37.41,2355500,23.02,23.22,23.02,23.18,2355500,37.14,37.47,37.14,37.41,2355500,0.0002673796791443,0.0002673796791443,0.1599999999999966,0.0043
