Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,ROL,2.959,2.9709,2.9063,2.9116,564974.9999999986,2.4425,2.4522,2.399,2.4033,564974.9999999986,22.47,22.56,22.07,22.11,74400,0.0,0.0,0.0,0.0
2007-01-03,ROL,4.39,4.47,4.35,4.43,96600.0,3.4,3.46,3.37,3.43,96600.0,22.21,22.64,22.03,22.42,96600,0.5215002060722626,0.5215002060722626,1.5183999999999995,0.5215
2007-01-04,ROL,4.42,4.49,4.34,4.44,77000.0,3.42,3.48,3.36,3.44,77000.0,22.37,22.74,21.97,22.48,77000,0.5249347437834869,0.5249347437834869,0.0100000000000006,0.0023
2007-01-05,ROL,4.39,4.39,4.29,4.29,79500.0,3.4,3.4,3.32,3.32,79500.0,22.2,22.24,21.69,21.69,79500,0.4734166781151257,0.4734166781151257,-0.1500000000000003,-0.0338
2007-01-08,ROL,4.27,4.3,4.17,4.29,113000.0,3.31,3.33,3.23,3.32,113000.0,21.61,21.75,21.09,21.71,113000,0.4734166781151257,0.4734166781151257,0.0,0.0
2007-01-09,ROL,4.29,4.29,4.19,4.26,61800.0,3.32,3.32,3.25,3.3,61800.0,21.73,21.73,21.22,21.56,61800,0.4631130649814534,0.4631130649814534,-0.0300000000000002,-0.007
2007-01-10,ROL,4.22,4.26,4.19,4.24,66600.0,3.27,3.3,3.25,3.28,66600.0,21.35,21.56,21.21,21.46,66600,0.4562439895590054,0.4562439895590054,-0.0199999999999995,-0.0047
2007-01-11,ROL,4.25,4.32,4.22,4.28,68600.0,3.29,3.35,3.27,3.31,68600.0,21.53,21.88,21.36,21.66,68600,0.4699821404039017,0.4699821404039017,0.04,0.0094
2007-01-12,ROL,4.27,4.3,4.24,4.27,45000.0,3.31,3.33,3.28,3.31,45000.0,21.62,21.75,21.47,21.62,45000,0.4665476026926774,0.4665476026926774,-0.0100000000000006,-0.0023
2007-01-16,ROL,4.27,4.33,4.23,4.27,79500.0,3.31,3.35,3.28,3.3,79500.0,21.63,21.89,21.43,21.6,79500,0.4665476026926774,0.4665476026926774,0.0,0.0
2007-01-17,ROL,4.27,4.27,4.21,4.21,195300.0,3.3,3.3,3.26,3.26,195300.0,21.6,21.6,21.3,21.33,195300,0.4459403764253331,0.4459403764253331,-0.0599999999999996,-0.0141
2007-01-18,ROL,4.15,4.22,4.14,4.19,136200.0,3.22,3.27,3.21,3.24,136200.0,21.02,21.35,20.97,21.19,136200,0.4390713010028851,0.4390713010028851,-0.0199999999999995,-0.0048
2007-01-19,ROL,4.17,4.19,4.1,4.17,55300.0,3.23,3.24,3.18,3.23,55300.0,21.1,21.19,20.77,21.08,55300,0.4322022255804368,0.4322022255804368,-0.0200000000000004,-0.0048
2007-01-22,ROL,4.15,4.16,4.07,4.14,74200.0,3.22,3.22,3.15,3.21,74200.0,21.02,21.06,20.61,20.97,74200,0.4218986124467646,0.4218986124467646,-0.0300000000000002,-0.0072
2007-01-23,ROL,4.13,4.21,4.09,4.18,92600.0,3.2,3.26,3.16,3.24,92600.0,20.92,21.3,20.68,21.16,92600,0.4356367632916608,0.4356367632916608,0.04,0.0097
2007-01-24,ROL,4.17,4.23,4.16,4.2,93000.0,3.23,3.28,3.22,3.26,93000.0,21.1,21.43,21.07,21.28,93000,0.4425058387141091,0.4425058387141091,0.0200000000000004,0.0048
2007-01-25,ROL,4.17,4.19,4.12,4.16,149200.0,3.23,3.25,3.19,3.22,149200.0,21.12,21.22,20.86,21.03,149200,0.4287676878692129,0.4287676878692129,-0.04,-0.0095
2007-01-26,ROL,4.17,4.22,4.13,4.21,645600.0,3.23,3.27,3.2,3.26,645600.0,21.09,21.36,20.91,21.32,645600,0.4459403764253331,0.4459403764253331,0.0499999999999998,0.012
2007-01-29,ROL,4.2,4.27,4.17,4.25,187800.0,3.25,3.3,3.23,3.29,187800.0,21.24,21.6,21.1,21.5,187800,0.4596785272702294,0.4596785272702294,0.04,0.0095
2007-01-30,ROL,4.27,4.28,4.21,4.28,391400.0,3.3,3.32,3.26,3.31,391400.0,21.6,21.67,21.33,21.66,391400,0.4699821404039017,0.4699821404039017,0.0300000000000002,0.0071
2007-01-31,ROL,4.26,4.33,4.22,4.31,155600.0,3.3,3.35,3.27,3.34,155600.0,21.58,21.9,21.35,21.82,155600,0.4802857535375737,0.4802857535375737,0.0299999999999993,0.007
2007-02-01,ROL,4.32,4.36,4.29,4.32,80900.0,3.35,3.37,3.32,3.35,80900.0,21.88,22.05,21.7,21.88,80900,0.483720291248798,0.483720291248798,0.0100000000000006,0.0023
2007-02-02,ROL,4.34,4.36,4.3,4.33,64700.0,3.36,3.37,3.33,3.35,64700.0,21.95,22.04,21.75,21.89,64700,0.487154828960022,0.487154828960022,0.0099999999999997,0.0023
