Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2014-08-11,SBAC,110.42,111.73,109.45,109.49,1175014,105.56,106.81,104.63,104.67,1175014,110.42,111.73,109.45,109.49,1175014,0.0,0.0,0.0,0.0
2014-08-13,SBAC,109.72,110.75,108.54,108.94,932749,104.89,105.88,103.76,104.15,932749,109.72,110.75,108.54,108.94,932749,-0.005023289798155,-0.005023289798155,-0.5499999999999972,-0.005
2014-08-15,SBAC,110.15,110.15,107.95,108.57,961639,105.3,105.3,103.2,103.79,961639,110.15,110.15,107.95,108.57,961639,-0.0084025938441867,-0.0084025938441867,-0.3700000000000045,-0.0034
2014-08-19,SBAC,109.25,109.77,107.65,108.02,1393105,104.44,104.94,102.91,103.27,1393105,109.25,109.77,107.65,108.02,1393105,-0.0134258836423417,-0.0134258836423417,-0.5499999999999972,-0.0051
2014-08-21,SBAC,108.99,109.88,108.03,109.34,1607979,104.19,105.05,103.28,104.53,1607979,108.99,109.88,108.03,109.34,1607979,-0.0013699881267694,-0.0013699881267694,1.3200000000000074,0.0122
2014-08-25,SBAC,108.9,110.29,108.9,110.04,936174,104.11,105.44,104.11,105.2,936174,108.9,110.29,108.9,110.04,936174,0.0050232897981551,0.0050232897981551,0.7000000000000028,0.0064
2014-08-29,SBAC,111.13,111.13,109.93,110.29,526712,106.24,106.24,105.09,105.44,526712,111.13,111.13,109.93,110.29,526712,0.0073066033427711,0.0073066033427711,0.25,0.0023
2014-09-08,SBAC,112.59,113.79,112.59,113.56,855153,107.64,108.78,107.64,108.56,855153,112.59,113.79,112.59,113.56,855153,0.0371723445063476,0.0371723445063476,3.269999999999996,0.0296
2014-09-09,SBAC,113.14,113.57,111.72,112.7,1147137,108.16,108.58,106.8,107.74,1147137,113.14,113.57,111.72,112.7,1147137,0.0293177459128688,0.0293177459128688,-0.8599999999999994,-0.0076
2014-09-10,SBAC,112.7,113.1,111.89,112.83,976764,107.74,108.12,106.97,107.87,976764,112.7,113.1,111.89,112.83,976764,0.030505068956069,0.030505068956069,0.1299999999999954,0.0012
2014-09-15,SBAC,112.73,113.26,110.88,111.35,738704,107.77,108.28,106.0,106.45,738704,112.73,113.26,110.88,111.35,738704,0.0169878527719426,0.0169878527719426,-1.480000000000004,-0.0131
2014-09-16,SBAC,111.42,113.3,110.94,113.16,857570,106.52,108.31,106.05,108.18,857570,111.42,113.3,110.94,113.16,857570,0.0335190428349621,0.0335190428349621,1.8100000000000025,0.0163
2014-09-23,SBAC,109.56,110.95,109.24,109.69,957804,104.74,106.07,104.44,104.86,957804,109.56,110.95,109.24,109.69,957804,0.0018266508356927,0.0018266508356927,-3.469999999999999,-0.0307
