Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,SBUX,17.845,17.975,17.65,17.71,8293402,13.8636,13.9646,13.7121,13.7587,8293402,35.69,35.95,35.3,35.42,4146701,0.0,0.0,0.0,0.0
2007-01-03,SBUX,17.8,18.1,17.32,17.63,9051354,14.0,14.23,13.62,13.86,9051354,35.6,36.2,34.64,35.25,9051354,-0.0045172219085263,-0.0045172219085263,-0.0800000000000018,-0.0045
2007-01-04,SBUX,17.68,17.75,17.39,17.64,7345150,13.91,13.96,13.68,13.88,7345150,35.37,35.5,34.79,35.29,7345150,-0.0039525691699604,-0.0039525691699604,0.0100000000000015,0.0006
2007-01-05,SBUX,17.57,17.64,17.48,17.57,6571264,13.82,13.88,13.75,13.82,6571264,35.15,35.29,34.97,35.14,6571264,-0.0079051383399209,-0.0079051383399209,-0.0700000000000002,-0.004
2007-01-08,SBUX,17.45,17.63,17.45,17.5,5807784,13.72,13.86,13.72,13.77,5807784,34.9,35.26,34.9,35.01,5807784,-0.0118577075098814,-0.0118577075098814,-0.0700000000000002,-0.004
2007-01-09,SBUX,17.5,17.7,17.35,17.43,7152651,13.76,13.92,13.64,13.71,7152651,35.0,35.39,34.7,34.86,7152651,-0.0158102766798419,-0.0158102766798419,-0.0700000000000002,-0.004
2007-01-10,SBUX,17.32,17.39,17.09,17.38,9329890,13.62,13.68,13.44,13.66,9329890,34.65,34.78,34.17,34.75,9329890,-0.0186335403726709,-0.0186335403726709,-0.0500000000000007,-0.0029
2007-01-11,SBUX,17.25,18.02,17.25,17.91,8899276,13.57,14.17,13.57,14.08,8899276,34.5,36.04,34.5,35.81,8899276,0.0112930547713156,0.0112930547713156,0.5300000000000011,0.0305
2007-01-12,SBUX,17.92,18.17,17.88,17.95,6309108,14.09,14.29,14.06,14.12,6309108,35.84,36.34,35.75,35.9,6309108,0.0135516657255786,0.0135516657255786,0.0399999999999991,0.0022
2007-01-16,SBUX,18.0,18.18,17.86,18.11,4706906,14.16,14.3,14.04,14.24,4706906,36.0,36.37,35.71,36.22,4706906,0.0225861095426312,0.0225861095426312,0.1600000000000001,0.0089
2007-01-17,SBUX,18.13,18.26,18.09,18.14,6356408,14.26,14.36,14.23,14.27,6356408,36.27,36.52,36.19,36.29,6356408,0.0242800677583286,0.0242800677583286,0.0300000000000011,0.0017
2007-01-18,SBUX,18.1,18.3,17.78,17.89,6054022,14.23,14.4,13.98,14.06,6054022,36.2,36.61,35.56,35.77,6054022,0.010163749294184,0.010163749294184,-0.25,-0.0138
2007-01-19,SBUX,17.77,17.97,17.7,17.77,6562955,13.97,14.13,13.92,13.97,6562955,35.53,35.94,35.4,35.54,6562955,0.0033879164313946,0.0033879164313946,-0.120000000000001,-0.0067
2007-01-22,SBUX,17.75,17.8,17.5,17.64,5567222,13.96,14.0,13.76,13.88,5567222,35.5,35.6,35.0,35.29,5567222,-0.0039525691699604,-0.0039525691699604,-0.129999999999999,-0.0073
2007-01-23,SBUX,17.65,17.84,17.41,17.48,6287924,13.88,14.03,13.69,13.74,6287924,35.3,35.67,34.82,34.95,6287924,-0.012987012987013,-0.012987012987013,-0.1600000000000001,-0.0091
2007-01-24,SBUX,17.6,17.64,17.39,17.39,8173128,13.84,13.87,13.68,13.68,8173128,35.2,35.28,34.78,34.79,8173128,-0.018068887634105,-0.018068887634105,-0.0899999999999998,-0.0051
2007-01-25,SBUX,17.35,17.37,16.94,16.98,10469931,13.64,13.66,13.32,13.36,10469931,34.7,34.74,33.88,33.97,10469931,-0.0412196499153021,-0.0412196499153021,-0.4100000000000001,-0.0236
2007-01-26,SBUX,17.08,17.2,16.75,16.94,10959564,13.43,13.52,13.17,13.32,10959564,34.16,34.39,33.49,33.88,10959564,-0.0434782608695651,-0.0434782608695651,-0.0399999999999991,-0.0024
2007-01-29,SBUX,17.04,17.39,16.83,17.28,11130628,13.4,13.68,13.24,13.59,11130628,34.07,34.79,33.66,34.56,11130628,-0.0242800677583286,-0.0242800677583286,0.3399999999999998,0.0201
2007-01-30,SBUX,17.59,17.68,17.26,17.28,14193665,13.84,13.9,13.57,13.59,14193665,35.19,35.36,34.52,34.56,14193665,-0.0242800677583286,-0.0242800677583286,0.0,0.0
2007-01-31,SBUX,17.32,17.58,17.18,17.47,10976582,13.62,13.82,13.51,13.74,10976582,34.63,35.16,34.37,34.94,10976582,-0.0135516657255788,-0.0135516657255788,0.1899999999999977,0.011
2007-02-01,SBUX,17.57,17.71,17.19,17.2,13921437,13.81,13.93,13.52,13.53,13921437,35.13,35.42,34.38,34.41,13921437,-0.0287972896668549,-0.0287972896668549,-0.2699999999999996,-0.0155
2007-02-02,SBUX,17.2,17.29,17.01,17.14,7701363,13.53,13.6,13.38,13.47,7701363,34.41,34.58,34.02,34.27,7701363,-0.0321852060982495,-0.0321852060982495,-0.0599999999999987,-0.0035
2007-02-05,SBUX,17.11,17.14,16.94,17.01,7779812,13.45,13.48,13.32,13.38,7779812,34.21,34.29,33.88,34.02,7779812,-0.0395256916996047,-0.0395256916996047,-0.129999999999999,-0.0076
2007-02-06,SBUX,17.02,17.05,16.64,16.84,11807026,13.39,13.4,13.08,13.24,11807026,34.05,34.09,33.27,33.67,11807026,-0.049124788255223,-0.049124788255223,-0.1700000000000017,-0.01
2007-02-07,SBUX,16.84,17.0,16.64,16.84,8255075,13.24,13.36,13.09,13.24,8255075,33.68,33.99,33.28,33.67,8255075,-0.049124788255223,-0.049124788255223,0.0,0.0
2007-02-08,SBUX,16.83,16.89,16.57,16.71,12110231,13.24,13.28,13.03,13.14,12110231,33.66,33.77,33.15,33.42,12110231,-0.0564652738565782,-0.0564652738565782,-0.129999999999999,-0.0077
2007-02-09,SBUX,16.75,16.8,16.45,16.48,7873459,13.17,13.22,12.94,12.96,7873459,33.49,33.61,32.9,32.96,7873459,-0.0694522868435912,-0.0694522868435912,-0.2300000000000004,-0.0138
2007-02-12,SBUX,16.45,16.48,16.19,16.34,8158812,12.93,12.96,12.73,12.85,8158812,32.9,32.96,32.38,32.67,8158812,-0.0773574251835122,-0.0773574251835122,-0.1400000000000005,-0.0085
2007-02-13,SBUX,16.39,16.49,16.23,16.33,8720934,12.89,12.97,12.77,12.84,8720934,32.78,32.98,32.47,32.66,8720934,-0.077922077922078,-0.077922077922078,-0.0100000000000015,-0.0006
2007-02-14,SBUX,16.38,16.73,16.36,16.67,9894976,12.88,13.15,12.87,13.11,9894976,32.75,33.45,32.72,33.34,9894976,-0.0587238848108412,-0.0587238848108412,0.3400000000000034,0.0208
2007-02-15,SBUX,16.67,16.67,16.5,16.61,6864777,13.11,13.11,12.98,13.06,6864777,33.34,33.34,33.0,33.22,6864777,-0.0621118012422361,-0.0621118012422361,-0.0600000000000022,-0.0036
2007-02-16,SBUX,16.65,16.7,16.43,16.5,6844566,13.09,13.13,12.92,12.98,6844566,33.3,33.4,32.87,33.01,6844566,-0.0683229813664596,-0.0683229813664596,-0.1099999999999994,-0.0066
2007-02-20,SBUX,16.5,16.52,16.23,16.41,10260706,12.98,12.99,12.76,12.9,10260706,33.0,33.04,32.46,32.82,10260706,-0.0734048560135517,-0.0734048560135517,-0.0899999999999998,-0.0055
2007-02-21,SBUX,16.35,16.41,16.14,16.2,10448755,12.86,12.9,12.69,12.74,10448755,32.7,32.82,32.27,32.4,10448755,-0.0852625635234331,-0.0852625635234331,-0.2100000000000008,-0.0128
2007-02-22,SBUX,16.2,16.52,16.14,16.5,11959306,12.74,12.99,12.69,12.98,11959306,32.41,33.03,32.28,33.01,11959306,-0.0683229813664596,-0.0683229813664596,0.3000000000000007,0.0185
2007-02-23,SBUX,16.5,16.57,16.36,16.38,12520765,12.98,13.03,12.86,12.88,12520765,33.0,33.14,32.71,32.75,12520765,-0.0750988142292491,-0.0750988142292491,-0.120000000000001,-0.0073
2007-02-26,SBUX,16.25,16.3,15.9,16.01,10342221,12.78,12.82,12.51,12.59,10342221,32.51,32.6,31.81,32.01,10342221,-0.0959909655561829,-0.0959909655561829,-0.3699999999999974,-0.0226
2007-02-27,SBUX,15.89,15.9,15.25,15.38,19031768,12.5,12.51,11.99,12.09,19031768,31.79,31.81,30.5,30.75,19031768,-0.1315640880858272,-0.1315640880858272,-0.6300000000000008,-0.0394
