Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,SLB,63.1,63.53,62.51,63.16,5725200,43.7004,43.9982,43.2918,43.7419,5725200,63.1,63.53,62.51,63.16,5725200,0.0,0.0,0.0,0.0
2007-01-03,SLB,63.01,63.02,60.06,60.82,13474500,44.6,44.61,42.51,43.05,13474500,63.01,63.02,60.06,60.82,13474500,-0.0370487650411652,-0.0370487650411652,-2.3399999999999963,-0.037
2007-01-04,SLB,60.59,60.68,59.25,59.3,13962900,42.89,42.95,41.94,41.97,13962900,60.59,60.68,59.25,59.3,13962900,-0.0611146295123495,-0.0611146295123495,-1.5200000000000031,-0.025
2007-01-05,SLB,59.8,60.07,59.1,59.2,10325500,42.33,42.52,41.83,41.9,10325500,59.8,60.07,59.1,59.2,10325500,-0.0626979100696642,-0.0626979100696642,-0.0999999999999943,-0.0017
2007-01-08,SLB,60.03,60.2,58.58,58.67,11255700,42.49,42.61,41.46,41.53,11255700,60.03,60.2,58.58,58.67,11255700,-0.0710892970234324,-0.0710892970234324,-0.5300000000000011,-0.009
2007-01-09,SLB,57.77,58.65,57.03,58.19,16272500,40.89,41.51,40.37,41.19,16272500,57.77,58.65,57.03,58.19,16272500,-0.0786890436985433,-0.0786890436985433,-0.480000000000004,-0.0082
2007-01-10,SLB,57.93,58.9,55.68,57.03,13254700,41.0,41.69,39.41,40.37,13254700,57.93,58.9,55.68,57.03,13254700,-0.0970550981633944,-0.0970550981633944,-1.1599999999999966,-0.0199
2007-01-11,SLB,57.3,58.66,56.31,56.52,14209600,40.56,41.52,39.86,40.0,14209600,57.3,58.66,56.31,56.52,14209600,-0.1051298290056997,-0.1051298290056997,-0.509999999999998,-0.0089
2007-01-12,SLB,57.24,58.05,57.01,57.89,15343800,40.51,41.09,40.35,40.97,15343800,57.24,58.05,57.01,57.89,15343800,-0.0834388853704875,-0.0834388853704875,1.3699999999999974,0.0242
2007-01-16,SLB,57.4,58.2,57.15,57.79,12805900,40.63,41.19,40.45,40.9,12805900,57.4,58.2,57.15,57.79,12805900,-0.0850221659278023,-0.0850221659278023,-0.1000000000000014,-0.0017
2007-01-17,SLB,58.0,58.91,58.0,58.48,14842900,41.05,41.7,41.05,41.39,14842900,58.0,58.91,58.0,58.48,14842900,-0.0740975300823305,-0.0740975300823305,0.6899999999999977,0.0119
2007-01-18,SLB,58.36,59.38,57.41,57.9,13552900,41.31,42.03,40.63,40.98,13552900,58.36,59.38,57.41,57.9,13552900,-0.0832805573147561,-0.0832805573147561,-0.5799999999999983,-0.0099
2007-01-19,SLB,59.45,61.11,58.84,61.0,18668600,42.08,43.25,41.65,43.18,18668600,59.45,61.11,58.84,61.0,18668600,-0.0341988600379986,-0.0341988600379986,3.1000000000000014,0.0535
2007-01-22,SLB,61.6,62.89,60.69,61.0,15850300,43.6,44.51,42.96,43.18,15850300,61.6,62.89,60.69,61.0,15850300,-0.0341988600379986,-0.0341988600379986,0.0,0.0
2007-01-23,SLB,62.55,63.92,62.46,63.62,13556200,44.27,45.24,44.21,45.03,13556200,62.55,63.92,62.46,63.62,13556200,0.0072830905636478,0.0072830905636478,2.619999999999997,0.043
2007-01-24,SLB,63.5,64.37,62.28,64.01,10901500,44.95,45.56,44.08,45.31,10901500,63.5,64.37,62.28,64.01,10901500,0.0134578847371755,0.0134578847371755,0.3900000000000077,0.0061
2007-01-25,SLB,63.8,63.9,62.47,62.62,8432500,45.16,45.23,44.22,44.32,8432500,63.8,63.9,62.47,62.62,8432500,-0.0085497150094996,-0.0085497150094996,-1.3900000000000077,-0.0217
2007-01-26,SLB,62.95,63.49,62.26,62.65,7424800,44.56,44.94,44.07,44.34,7424800,62.95,63.49,62.26,62.65,7424800,-0.0080747308423052,-0.0080747308423052,0.0300000000000011,0.0005
2007-01-29,SLB,62.7,63.22,61.8,62.02,7297700,44.38,44.75,43.74,43.9,7297700,62.7,63.22,61.8,62.02,7297700,-0.0180493983533881,-0.0180493983533881,-0.6299999999999955,-0.0101
2007-01-30,SLB,62.41,63.7,62.18,63.46,9443100,44.17,45.09,44.01,44.92,9443100,62.41,63.7,62.18,63.46,9443100,0.0047498416719443,0.0047498416719443,1.4399999999999975,0.0232
2007-01-31,SLB,63.11,63.77,62.67,63.49,12778400,44.67,45.14,44.36,44.94,12778400,63.11,63.77,62.67,63.49,12778400,0.0052248258391387,0.0052248258391387,0.0300000000000011,0.0005
2007-02-01,SLB,63.6,64.5,63.23,64.39,11515000,45.02,45.65,44.75,45.58,11515000,63.6,64.5,63.23,64.39,11515000,0.0194743508549715,0.0194743508549715,0.8999999999999986,0.0142
2007-02-02,SLB,64.67,65.6,63.95,65.12,8850900,45.77,46.43,45.26,46.09,8850900,64.67,65.6,63.95,65.12,8850900,0.0310322989233693,0.0310322989233693,0.730000000000004,0.0113
2007-02-05,SLB,65.5,65.71,64.76,65.12,6071800,46.36,46.51,45.84,46.09,6071800,65.5,65.71,64.76,65.12,6071800,0.0310322989233693,0.0310322989233693,0.0,0.0
2007-02-06,SLB,65.75,65.78,64.31,64.87,9343800,46.54,46.56,45.52,45.91,9343800,65.75,65.78,64.31,64.87,9343800,0.0270740975300824,0.0270740975300824,-0.25,-0.0038
2007-02-07,SLB,65.05,65.79,63.9,64.45,6593900,46.04,46.57,45.23,45.62,6593900,65.05,65.79,63.9,64.45,6593900,0.0204243191893604,0.0204243191893604,-0.4200000000000017,-0.0065
2007-02-08,SLB,64.86,65.22,63.79,64.95,6950100,45.91,46.16,45.15,45.97,6950100,64.86,65.22,63.79,64.95,6950100,0.0283407219759342,0.0283407219759342,0.5,0.0078
2007-02-09,SLB,64.9,65.33,64.22,64.46,7720500,45.94,46.24,45.45,45.62,7720500,64.9,65.33,64.22,64.46,7720500,0.0205826472450917,0.0205826472450917,-0.4900000000000091,-0.0075
2007-02-12,SLB,63.87,63.87,63.21,63.6,9105734,45.21,45.21,44.74,45.02,9105734,63.87,63.87,63.21,63.6,9105734,0.006966434452185,0.006966434452185,-0.8599999999999923,-0.0133
2007-02-13,SLB,63.8,64.67,63.86,64.6,6641740,45.16,45.77,45.2,45.72,6641740,63.8,64.67,63.86,64.6,6641740,0.0227992400253324,0.0227992400253324,0.9999999999999928,0.0157
2007-02-14,SLB,64.68,65.33,64.15,64.66,7184460,45.78,46.24,45.41,45.77,7184460,64.68,65.33,64.15,64.66,7184460,0.0237492083597213,0.0237492083597213,0.0600000000000022,0.0009
2007-02-15,SLB,64.31,64.44,63.55,63.79,9089000,45.52,45.61,44.98,45.15,9089000,64.31,64.44,63.55,63.79,9089000,0.009974667511083,0.009974667511083,-0.8699999999999974,-0.0135
2007-02-16,SLB,63.79,63.94,63.12,63.33,7351100,45.27,45.38,44.8,44.95,7351100,63.79,63.94,63.12,63.33,7351100,0.0026915769474351,0.0026915769474351,-0.4600000000000008,-0.0072
2007-02-20,SLB,62.65,62.66,61.8,62.34,9200900,44.46,44.47,43.86,44.24,9200900,62.65,62.66,61.8,62.34,9200900,-0.0129829005699808,-0.0129829005699808,-0.9899999999999948,-0.0156
2007-02-21,SLB,62.16,63.57,62.15,63.55,8199200,44.11,45.12,44.11,45.1,8199200,62.16,63.57,62.15,63.55,8199200,0.0061747941735275,0.0061747941735275,1.2099999999999935,0.0194
2007-02-22,SLB,63.37,65.18,63.05,64.97,10270300,44.97,46.26,44.75,46.11,10270300,63.37,65.18,63.05,64.97,10270300,0.0286573780873971,0.0286573780873971,1.4200000000000017,0.0223
2007-02-23,SLB,65.31,65.75,64.58,64.58,7521500,46.35,46.66,45.83,45.83,7521500,65.31,65.75,64.58,64.58,7521500,0.0224825839138695,0.0224825839138695,-0.3900000000000005,-0.006
2007-02-26,SLB,64.99,65.7,64.5,65.2,7092261,46.12,46.63,45.78,46.27,7092261,64.99,65.7,64.5,65.2,7092261,0.0322989233692211,0.0322989233692211,0.6200000000000045,0.0096
2007-02-27,SLB,64.14,64.45,61.93,62.8,12641500,45.52,45.74,43.95,44.57,12641500,64.14,64.45,61.93,62.8,12641500,-0.0056998100063331,-0.0056998100063331,-2.4000000000000057,-0.0368
2007-02-28,SLB,62.8,63.46,62.31,62.8,11163300,44.57,45.04,44.22,44.57,11163300,62.8,63.46,62.31,62.8,11163300,-0.0056998100063331,-0.0056998100063331,0.0,0.0
2007-03-01,SLB,62.0,64.0,61.81,63.42,11055797,44.0,45.42,43.87,45.01,11055797,62.0,64.0,61.81,63.42,11055797,0.0041165294490184,0.0041165294490184,0.6200000000000045,0.0099
2007-03-02,SLB,63.42,63.6,61.97,62.25,9234500,45.01,45.14,43.98,44.18,9234500,63.42,63.6,61.97,62.25,9234500,-0.0144078530715642,-0.0144078530715642,-1.1700000000000017,-0.0184
2007-03-05,SLB,61.54,62.55,61.0,61.67,10395600,43.67,44.39,43.29,43.77,10395600,61.54,62.55,61.0,61.67,10395600,-0.0235908803039897,-0.0235908803039897,-0.5799999999999983,-0.0093
2007-03-06,SLB,62.4,63.54,62.31,63.28,8057900,44.29,45.09,44.22,44.91,8057900,62.4,63.54,62.31,63.28,8057900,0.0018999366687777,0.0018999366687777,1.6099999999999994,0.0261
2007-03-07,SLB,63.29,66.0,63.02,65.06,11144100,44.92,46.84,44.73,46.17,11144100,63.29,66.0,63.02,65.06,11144100,0.0300823305889804,0.0300823305889804,1.7800000000000011,0.0281
2007-03-08,SLB,65.5,66.0,64.92,65.68,8212900,46.49,46.84,46.07,46.61,8212900,65.5,66.0,64.92,65.68,8212900,0.039898670044332,0.039898670044332,0.6200000000000045,0.0095
2007-03-09,SLB,65.8,65.87,64.65,65.1,8591100,46.7,46.75,45.88,46.2,8591100,65.8,65.87,64.65,65.1,8591100,0.0307156428119062,0.0307156428119062,-0.5800000000000125,-0.0088
2007-03-12,SLB,65.11,65.3,64.2,65.0,5506000,46.21,46.34,45.56,46.13,5506000,65.11,65.3,64.2,65.0,5506000,0.0291323622545915,0.0291323622545915,-0.0999999999999943,-0.0015
2007-03-13,SLB,65.01,65.73,63.72,64.11,8565700,46.14,46.65,45.22,45.5,8565700,65.01,65.73,63.72,64.11,8565700,0.0150411652944902,0.0150411652944902,-0.8900000000000006,-0.0137
2007-03-14,SLB,64.11,65.2,63.62,64.93,12327800,45.5,46.27,45.15,46.08,12327800,64.11,65.2,63.62,64.93,12327800,0.0280240658644713,0.0280240658644713,0.8200000000000074,0.0128
2007-03-15,SLB,64.93,65.15,64.02,64.4,7776200,46.08,46.24,45.43,45.7,7776200,64.93,65.15,64.02,64.4,7776200,0.0196326789107031,0.0196326789107031,-0.5300000000000011,-0.0082
2007-03-16,SLB,64.41,65.05,64.06,64.48,9474246,45.71,46.17,45.46,45.76,9474246,64.41,65.05,64.06,64.48,9474246,0.0208993033565549,0.0208993033565549,0.0799999999999983,0.0012
2007-03-19,SLB,65.17,66.55,65.17,66.24,8081383,46.25,47.23,46.25,47.01,8081383,65.17,66.55,65.17,66.24,8081383,0.0487650411652944,0.0487650411652944,1.759999999999991,0.0273
2007-03-20,SLB,66.24,66.7,64.78,65.8,12354610,47.01,47.34,45.97,46.7,12354610,66.24,66.7,64.78,65.8,12354610,0.0417986067131095,0.0417986067131095,-0.4399999999999977,-0.0066
2007-03-21,SLB,66.1,68.5,65.9,67.92,10651841,46.91,48.61,46.77,48.2,10651841,66.1,68.5,65.9,67.92,10651841,0.0753641545281824,0.0753641545281824,2.1200000000000045,0.0322
2007-03-22,SLB,67.92,69.71,68.0,68.99,13001816,48.2,49.47,48.26,48.96,13001816,67.92,69.71,68.0,68.99,13001816,0.0923052564914502,0.0923052564914502,1.0699999999999932,0.0158
2007-03-23,SLB,68.99,69.69,68.27,69.1,6924850,48.96,49.46,48.45,49.04,6924850,68.99,69.69,68.27,69.1,6924850,0.0940468651044964,0.0940468651044964,0.1099999999999994,0.0016
2007-03-26,SLB,69.25,69.65,68.61,69.58,10039786,49.15,49.43,48.69,49.38,10039786,69.25,69.65,68.61,69.58,10039786,0.1016466117796073,0.1016466117796073,0.480000000000004,0.0069
2007-03-27,SLB,69.58,70.1,68.49,69.86,8644400,49.38,49.75,48.61,49.58,8644400,69.58,70.1,68.49,69.86,8644400,0.1060797973400887,0.1060797973400887,0.2800000000000011,0.004
2007-03-28,SLB,71.25,70.5,69.32,69.32,10932703,50.57,50.03,49.2,49.2,10932703,71.25,70.5,69.32,69.32,10932703,0.0975300823305889,0.0975300823305889,-0.5400000000000063,-0.0077
2007-03-29,SLB,69.33,71.17,69.24,70.67,7944150,49.2,50.51,49.14,50.15,7944150,69.33,71.17,69.24,70.67,7944150,0.1189043698543382,0.1189043698543382,1.3500000000000083,0.0195
2007-03-30,SLB,69.92,70.27,69.0,69.1,8111300,49.62,49.87,48.97,49.04,8111300,69.92,70.27,69.0,69.1,8111300,0.0940468651044964,0.0940468651044964,-1.5700000000000074,-0.0222
2007-04-02,SLB,69.09,70.91,68.25,70.82,10566938,49.03,50.32,48.44,50.26,10566938,69.09,70.91,68.25,70.82,10566938,0.1212792906903102,0.1212792906903102,1.7199999999999989,0.0249
2007-04-03,SLB,70.56,71.2,70.07,70.95,6226611,50.08,50.53,49.73,50.35,6226611,70.56,71.2,70.07,70.95,6226611,0.1233375554148196,0.1233375554148196,0.1300000000000096,0.0018
2007-04-04,SLB,70.99,71.53,70.01,71.39,6502100,50.38,50.76,49.69,50.67,6502100,70.99,71.53,70.01,71.39,6502100,0.1303039898670045,0.1303039898670045,0.4399999999999977,0.0062
2007-04-05,SLB,71.22,72.37,71.0,71.84,7056140,50.54,51.36,50.39,50.98,7056140,71.22,72.37,71.0,71.84,7056140,0.1374287523749209,0.1374287523749209,0.4500000000000028,0.0063
2007-04-09,SLB,71.85,72.64,71.44,71.57,6289463,50.99,51.55,50.7,50.79,6289463,71.85,72.64,71.44,71.57,6289463,0.1331538948701709,0.1331538948701709,-0.2700000000000102,-0.0038
2007-04-10,SLB,71.64,73.19,71.59,73.13,8286000,50.84,51.94,50.81,51.9,8286000,71.64,73.19,71.59,73.13,8286000,0.1578530715642812,0.1578530715642812,1.5600000000000025,0.0218
2007-04-11,SLB,72.6,73.98,72.53,72.99,9672299,51.52,52.5,51.47,51.8,9672299,72.6,73.98,72.53,72.99,9672299,0.1556364787840405,0.1556364787840405,-0.1400000000000005,-0.0019
2007-04-12,SLB,73.05,75.37,72.37,75.31,9373596,51.84,53.49,51.36,53.45,9373596,73.05,75.37,72.37,75.31,9373596,0.192368587713743,0.192368587713743,2.3200000000000074,0.0318
2007-04-13,SLB,75.2,76.26,74.77,76.0,8476597,53.37,54.12,53.06,53.94,8476597,75.2,76.26,74.77,76.0,8476597,0.2032932235592147,0.2032932235592147,0.6899999999999977,0.0092
2007-04-16,SLB,76.25,78.0,75.32,77.57,13571628,54.11,55.36,53.45,55.05,13571628,76.25,78.0,75.32,77.57,13571628,0.2281507283090563,0.2281507283090563,1.5699999999999932,0.0207
2007-04-17,SLB,77.57,78.25,77.24,77.5,12196027,55.05,55.53,54.82,55.0,12196027,77.57,78.25,77.24,77.5,12196027,0.2270424319189361,0.2270424319189361,-0.0699999999999931,-0.0009
2007-04-18,SLB,76.91,76.7,74.34,74.91,15764309,54.58,54.43,52.76,53.16,15764309,76.91,76.7,74.34,74.91,15764309,0.1860354654844838,0.1860354654844838,-2.5900000000000034,-0.0334
2007-04-19,SLB,74.5,74.55,73.44,74.32,12061597,52.87,52.91,52.12,52.74,12061597,74.5,74.55,73.44,74.32,12061597,0.1766941101963267,0.1766941101963267,-0.5900000000000034,-0.0079
2007-04-20,SLB,75.94,77.24,74.03,75.23,16289780,53.89,54.82,52.54,53.39,16289780,75.94,77.24,74.03,75.23,16289780,0.1911019632678912,0.1911019632678912,0.9100000000000108,0.0122
2007-04-23,SLB,75.3,76.5,74.32,74.55,10640438,53.44,54.29,52.74,52.91,10640438,75.3,76.5,74.32,74.55,10640438,0.1803356554781507,0.1803356554781507,-0.6800000000000068,-0.009
