Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2007-03-29,SMCI,8.85,9.31,8.66,8.76,6080602,8.85,9.31,8.66,8.76,6080602,8.85,9.31,8.66,8.76,6080602,0.0,0.0,0.0,0.0
2007-03-30,SMCI,8.83,9.0,8.55,8.99,419477,8.83,9.0,8.55,8.99,419477,8.83,9.0,8.55,8.99,419477,0.0262557077625571,0.0262557077625571,0.2300000000000004,0.0263
2007-04-02,SMCI,9.0,10.59,8.99,10.38,751009,9.0,10.59,8.99,10.38,751009,9.0,10.59,8.99,10.38,751009,0.1849315068493152,0.1849315068493152,1.3900000000000006,0.1546
2007-04-03,SMCI,10.4,11.66,10.4,10.58,835653,10.4,11.66,10.4,10.58,835653,10.4,11.66,10.4,10.58,835653,0.2077625570776256,0.2077625570776256,0.1999999999999993,0.0193
2007-04-04,SMCI,10.49,10.99,10.03,10.16,309419,10.49,10.99,10.03,10.16,309419,10.49,10.99,10.03,10.16,309419,0.1598173515981735,0.1598173515981735,-0.4199999999999999,-0.0397
2007-04-05,SMCI,10.02,10.25,9.52,9.8,424892,10.02,10.25,9.52,9.8,424892,10.02,10.25,9.52,9.8,424892,0.1187214611872147,0.1187214611872147,-0.3599999999999994,-0.0354
2007-04-09,SMCI,10.73,10.36,9.88,10.0,174255,10.73,10.36,9.88,10.0,174255,10.73,10.36,9.88,10.0,174255,0.1415525114155251,0.1415525114155251,0.1999999999999993,0.0204
2007-04-10,SMCI,9.96,10.12,9.66,9.8,106795,9.96,10.12,9.66,9.8,106795,9.96,10.12,9.66,9.8,106795,0.1187214611872147,0.1187214611872147,-0.1999999999999993,-0.02
2007-04-11,SMCI,9.71,9.86,9.5,9.54,106948,9.71,9.86,9.5,9.54,106948,9.71,9.86,9.5,9.54,106948,0.0890410958904108,0.0890410958904108,-0.2600000000000015,-0.0265
2007-04-12,SMCI,9.5,9.97,9.5,9.85,88780,9.5,9.97,9.5,9.85,88780,9.5,9.97,9.5,9.85,88780,0.1244292237442922,0.1244292237442922,0.3100000000000005,0.0325
2007-04-13,SMCI,9.98,9.98,9.66,9.74,60197,9.98,9.98,9.66,9.74,60197,9.98,9.98,9.66,9.74,60197,0.1118721461187215,0.1118721461187215,-0.1099999999999994,-0.0112
2007-04-16,SMCI,9.7,10.25,9.6,10.15,135363,9.7,10.25,9.6,10.15,135363,9.7,10.25,9.6,10.15,135363,0.158675799086758,0.158675799086758,0.4100000000000001,0.0421
2007-04-17,SMCI,10.25,10.4,10.06,10.25,90134,10.25,10.4,10.06,10.25,90134,10.25,10.4,10.06,10.25,90134,0.1700913242009132,0.1700913242009132,0.0999999999999996,0.0099
2007-04-18,SMCI,10.76,10.5,10.04,10.37,100702,10.76,10.5,10.04,10.37,100702,10.76,10.5,10.04,10.37,100702,0.1837899543378995,0.1837899543378995,0.1199999999999992,0.0117
2007-04-19,SMCI,10.19,10.29,9.82,9.89,71900,10.19,10.29,9.82,9.89,71900,10.19,10.29,9.82,9.89,71900,0.1289954337899544,0.1289954337899544,-0.4799999999999986,-0.0463
2007-04-20,SMCI,10.07,10.07,9.79,9.86,139688,10.07,10.07,9.79,9.86,139688,10.07,10.07,9.79,9.86,139688,0.1255707762557077,0.1255707762557077,-0.0300000000000011,-0.003
2007-04-23,SMCI,9.77,10.07,9.77,9.85,77317,9.77,10.07,9.77,9.85,77317,9.77,10.07,9.77,9.85,77317,0.1244292237442922,0.1244292237442922,-0.0099999999999997,-0.001
