Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,STX,26.53,26.73,26.5,26.5,2374400,13.3659,13.4667,13.3508,13.3508,2374400,26.53,26.73,26.5,26.5,2374400,0.0,0.0,0.0,0.0
2007-01-03,STX,25.75,26.21,25.7,26.07,6392100,12.9729,13.2047,12.9477,13.1342,6392100,25.75,26.21,25.7,26.07,6392100,-0.0162264150943396,-0.0162264150943396,-0.4299999999999997,-0.0162
2007-01-04,STX,25.82,26.48,25.63,26.4,5827400,13.0082,13.3407,12.9125,13.3004,5827400,25.82,26.48,25.63,26.4,5827400,-0.0037735849056604,-0.0037735849056604,0.3299999999999983,0.0127
2007-01-05,STX,26.2,26.25,25.71,26.01,7942900,13.1996,13.2248,12.9528,13.1039,7942900,26.2,26.25,25.71,26.01,7942900,-0.0184905660377357,-0.0184905660377357,-0.389999999999997,-0.0148
2007-01-08,STX,26.04,26.1,25.69,25.86,7234000,13.119,13.1493,12.9427,13.0284,7234000,26.04,26.1,25.69,25.86,7234000,-0.0241509433962264,-0.0241509433962264,-0.1500000000000021,-0.0058
2007-01-09,STX,25.98,26.95,25.9,26.68,9921500,13.0888,13.5775,13.0485,13.4415,9921500,25.98,26.95,25.9,26.68,9921500,0.0067924528301886,0.0067924528301886,0.8200000000000003,0.0317
2007-01-10,STX,26.68,27.28,26.51,26.81,9854800,13.4415,13.7438,13.3558,13.507,9854800,26.68,27.28,26.51,26.81,9854800,0.0116981132075471,0.0116981132075471,0.129999999999999,0.0049
2007-01-11,STX,26.6,27.32,26.57,26.81,6450000,13.4012,13.7639,13.3861,13.507,6450000,26.6,27.32,26.57,26.81,6450000,0.0116981132075471,0.0116981132075471,0.0,0.0
2007-01-12,STX,26.75,26.93,26.63,26.82,4890400,13.4767,13.5674,13.4163,13.512,4890400,26.75,26.93,26.63,26.82,4890400,0.0120754716981132,0.0120754716981132,0.0100000000000015,0.0004
2007-01-16,STX,26.74,27.17,26.74,26.97,5875500,13.4717,13.6883,13.4717,13.5876,5875500,26.74,27.17,26.74,26.97,5875500,0.0177358490566037,0.0177358490566037,0.1499999999999985,0.0056
2007-01-17,STX,27.14,27.5,26.9,27.38,6294700,13.6732,13.8546,13.5523,13.7941,6294700,27.14,27.5,26.9,27.38,6294700,0.0332075471698112,0.0332075471698112,0.4100000000000001,0.0152
2007-01-18,STX,26.49,27.02,26.19,26.29,9520300,13.3457,13.6128,13.1946,13.245,9520300,26.49,27.02,26.19,26.29,9520300,-0.0079245283018868,-0.0079245283018868,-1.09,-0.0398
2007-01-19,STX,26.0,26.42,25.85,25.95,6398200,13.0989,13.3105,13.0233,13.0737,6398200,26.0,26.42,25.85,25.95,6398200,-0.0207547169811321,-0.0207547169811321,-0.3399999999999998,-0.0129
2007-01-22,STX,26.06,26.6,25.71,26.48,6029400,13.1291,13.4012,12.9528,13.3407,6029400,26.06,26.6,25.71,26.48,6029400,-0.000754716981132,-0.000754716981132,0.5300000000000011,0.0204
2007-01-23,STX,26.49,26.77,25.97,26.18,8228200,13.3457,13.4868,13.0838,13.1896,8228200,26.49,26.77,25.97,26.18,8228200,-0.0120754716981132,-0.0120754716981132,-0.3000000000000007,-0.0113
2007-01-24,STX,27.42,28.49,27.31,28.35,15901200,13.8143,14.3534,13.7589,14.2828,15901200,27.42,28.49,27.31,28.35,15901200,0.069811320754717,0.069811320754717,2.1700000000000017,0.0829
2007-01-25,STX,28.38,28.51,27.54,27.71,7680000,14.2979,14.3634,13.8747,13.9604,7680000,28.38,28.51,27.54,27.71,7680000,0.0456603773584906,0.0456603773584906,-0.6400000000000006,-0.0226
2007-01-26,STX,27.07,27.62,27.0,27.35,9010900,13.638,13.915,13.6027,13.779,9010900,27.07,27.62,27.0,27.35,9010900,0.0320754716981132,0.0320754716981132,-0.3599999999999994,-0.013
2007-01-29,STX,27.79,27.79,27.17,27.46,5326200,14.0007,14.0007,13.6883,13.8344,5326200,27.79,27.79,27.17,27.46,5326200,0.0362264150943396,0.0362264150943396,0.1099999999999994,0.004
2007-01-30,STX,27.68,27.77,27.39,27.61,3648800,13.9453,13.9906,13.7992,13.91,3648800,27.68,27.77,27.39,27.61,3648800,0.0418867924528301,0.0418867924528301,0.1499999999999985,0.0055
2007-01-31,STX,27.02,27.21,26.87,27.09,5398700,13.6622,13.7583,13.5864,13.6976,5398700,27.02,27.21,26.87,27.09,5398700,0.0222641509433962,0.0222641509433962,-0.5199999999999996,-0.0188
2007-02-01,STX,27.11,27.29,26.65,26.75,5659800,13.7078,13.7988,13.4752,13.5257,5659800,27.11,27.29,26.65,26.75,5659800,0.0094339622641509,0.0094339622641509,-0.3399999999999998,-0.0126
2007-02-02,STX,26.62,26.8792,26.14,26.34,8360900,13.46,13.5911,13.2173,13.3184,8360900,26.62,26.8792,26.14,26.34,8360900,-0.0060377358490566,-0.0060377358490566,-0.4100000000000001,-0.0153
2007-02-05,STX,26.17,26.72,25.98,26.4,5855100,13.2325,13.5106,13.1364,13.3488,5855100,26.17,26.72,25.98,26.4,5855100,-0.0037735849056604,-0.0037735849056604,0.0599999999999987,0.0023
2007-02-06,STX,26.1,26.25,25.73,26.08,4629600,13.1971,13.2729,13.01,13.187,4629600,26.1,26.25,25.73,26.08,4629600,-0.0158490566037736,-0.0158490566037736,-0.3200000000000003,-0.0121
2007-02-07,STX,26.12,26.46,26.04,26.34,4933900,13.2072,13.3791,13.1667,13.3184,4933900,26.12,26.46,26.04,26.34,4933900,-0.0060377358490566,-0.0060377358490566,0.2600000000000015,0.01
2007-02-08,STX,26.3,26.5,26.14,26.33,2714200,13.2982,13.3993,13.2173,13.3134,2714200,26.3,26.5,26.14,26.33,2714200,-0.0064150943396227,-0.0064150943396227,-0.0100000000000015,-0.0004
2007-02-09,STX,26.33,26.7,26.04,26.06,3778800,13.3134,13.5004,13.1667,13.1768,3778800,26.33,26.7,26.04,26.06,3778800,-0.0166037735849057,-0.0166037735849057,-0.2699999999999996,-0.0103
