Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,TRV,54.03,54.23,53.6,53.69,1736900,54.03,54.23,53.6,53.69,1736900,54.03,54.23,53.6,53.69,1736900,0.0,0.0,0.0,0.0
2007-01-03,TRV,53.69,54.64,53.31,53.55,3433000,36.2,36.84,35.94,36.1,3433000,53.69,54.64,53.31,53.55,3433000,-0.0026075619295958,-0.0026075619295958,-0.1400000000000005,-0.0026
2007-01-04,TRV,53.55,53.62,53.0,53.1,2069300,36.1,36.15,35.73,35.8,2069300,53.55,53.62,53.0,53.1,2069300,-0.0109890109890109,-0.0109890109890109,-0.4499999999999957,-0.0084
2007-01-05,TRV,53.16,53.17,52.34,52.41,2104600,35.84,35.85,35.29,35.33,2104600,53.16,53.17,52.34,52.41,2104600,-0.0238405662134475,-0.0238405662134475,-0.6900000000000048,-0.013
2007-01-08,TRV,52.35,52.41,51.87,52.02,2440900,35.29,35.33,34.97,35.07,2440900,52.35,52.41,51.87,52.02,2440900,-0.0311044887316072,-0.0311044887316072,-0.3899999999999934,-0.0074
2007-01-09,TRV,52.17,52.4,51.75,51.89,1322100,35.17,35.33,34.89,34.98,1322100,52.17,52.4,51.75,51.89,1322100,-0.0335257962376605,-0.0335257962376605,-0.1300000000000025,-0.0025
2007-01-10,TRV,51.78,52.03,51.49,51.55,1699900,34.91,35.08,34.71,34.76,1699900,51.78,52.03,51.49,51.55,1699900,-0.0398584466381076,-0.0398584466381076,-0.3400000000000034,-0.0066
2007-01-11,TRV,51.79,51.79,51.2,51.2,2825800,34.92,34.92,34.52,34.52,2825800,51.79,51.79,51.2,51.2,2825800,-0.0463773514620971,-0.0463773514620971,-0.3499999999999943,-0.0068
2007-01-12,TRV,51.25,51.41,51.02,51.06,2853500,34.55,34.66,34.4,34.42,2853500,51.25,51.41,51.02,51.06,2853500,-0.0489849133916929,-0.0489849133916929,-0.1400000000000005,-0.0027
2007-01-16,TRV,51.17,51.41,51.02,51.05,2753100,34.5,34.66,34.4,34.42,2753100,51.17,51.41,51.02,51.05,2753100,-0.0491711678152356,-0.0491711678152356,-0.0100000000000051,-0.0002
2007-01-17,TRV,51.05,51.28,50.95,50.96,2728400,34.42,34.57,34.35,34.36,2728400,51.05,51.28,50.95,50.96,2728400,-0.0508474576271185,-0.0508474576271185,-0.0899999999999963,-0.0018
2007-01-18,TRV,51.28,51.54,51.02,51.29,2488500,34.57,34.75,34.4,34.58,2488500,51.28,51.54,51.02,51.29,2488500,-0.0447010616502141,-0.0447010616502141,0.3299999999999983,0.0065
2007-01-19,TRV,51.42,51.51,51.08,51.37,2294800,34.67,34.73,34.44,34.63,2294800,51.42,51.51,51.08,51.37,2294800,-0.0432110262618737,-0.0432110262618737,0.0799999999999983,0.0016
2007-01-22,TRV,51.37,51.86,51.37,51.73,2478000,34.63,34.96,34.63,34.88,2478000,51.37,51.86,51.37,51.73,2478000,-0.0365058670143416,-0.0365058670143416,0.3599999999999994,0.007
2007-01-23,TRV,51.74,52.34,51.7,51.81,2431200,34.88,35.29,34.86,34.93,2431200,51.74,52.34,51.7,51.81,2431200,-0.035015831626001,-0.035015831626001,0.0800000000000054,0.0015
2007-01-24,TRV,51.81,52.0,51.17,51.34,3369900,34.93,35.06,34.5,34.61,3369900,51.81,52.0,51.17,51.34,3369900,-0.0437697895325012,-0.0437697895325012,-0.4699999999999988,-0.0091
