Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2010-06-29,TSLA,1.27,1.67,1.17,1.59,281608336.0,1.27,1.67,1.17,1.59,281608336.0,19.0,25.0,17.54,23.89,18783276,0.0,0.0,0.0,0.0
2010-06-30,TSLA,1.73,2.03,1.55,1.59,257787016.0,1.73,2.03,1.55,1.59,257787016.0,25.96,30.42,23.3,23.83,17194394,0.0,0.0,0.0,0.0
2010-07-01,TSLA,1.67,1.73,1.35,1.46,123386252.0,1.67,1.73,1.35,1.46,123386252.0,25.0,25.92,20.27,21.96,8229863,-0.0817610062893082,-0.0817610062893082,-0.1300000000000001,-0.0818
2010-07-02,TSLA,1.53,1.54,1.25,1.28,77088561.0,1.53,1.54,1.25,1.28,77088561.0,23.0,23.1,18.71,19.2,5141807,-0.1949685534591195,-0.1949685534591195,-0.1799999999999999,-0.1233
2010-07-06,TSLA,1.33,1.33,1.06,1.07,103137871.0,1.33,1.33,1.06,1.07,103137871.0,20.0,20.0,15.83,16.11,6879296,-0.3270440251572327,-0.3270440251572327,-0.2099999999999999,-0.1641
2010-07-07,TSLA,1.09,1.11,1.0,1.05,103821799.0,1.09,1.11,1.0,1.05,103821799.0,16.4,16.63,14.98,15.8,6924914,-0.3396226415094339,-0.3396226415094339,-0.02,-0.0187
2010-07-08,TSLA,1.08,1.17,1.04,1.16,115735217.0,1.08,1.17,1.04,1.16,115735217.0,16.14,17.52,15.57,17.46,7719539,-0.2704402515723271,-0.2704402515723271,0.1099999999999998,0.1048
2010-07-09,TSLA,1.17,1.19,1.1,1.16,60848666.0,1.17,1.19,1.1,1.16,60848666.0,17.58,17.9,16.55,17.4,4058606,-0.2704402515723271,-0.2704402515723271,0.0,0.0
2010-07-12,TSLA,1.2,1.21,1.13,1.14,33037031.0,1.2,1.21,1.13,1.14,33037031.0,17.95,18.07,17.0,17.05,2203570,-0.2830188679245284,-0.2830188679245284,-0.02,-0.0172
2010-07-13,TSLA,1.17,1.24,1.13,1.21,40180810.0,1.17,1.24,1.13,1.21,40180810.0,17.55,18.64,16.9,18.14,2680060,-0.2389937106918239,-0.2389937106918239,0.07,0.0614
2010-07-14,TSLA,1.2,1.34,1.18,1.32,62910195.0,1.2,1.34,1.18,1.32,62910195.0,17.94,20.15,17.76,19.84,4196110,-0.1698113207547169,-0.1698113207547169,0.1100000000000001,0.0909
2010-07-15,TSLA,1.33,1.43,1.27,1.33,56151379.0,1.33,1.43,1.27,1.33,56151379.0,19.94,21.5,19.0,19.89,3745297,-0.1635220125786163,-0.1635220125786163,0.01,0.0076
2010-07-16,TSLA,1.38,1.42,1.34,1.38,39298501.0,1.38,1.42,1.34,1.38,39298501.0,20.7,21.3,20.05,20.64,2621210,-0.1320754716981133,-0.1320754716981133,0.0499999999999998,0.0376
2010-07-19,TSLA,1.42,1.48,1.4,1.46,37278696.0,1.42,1.48,1.4,1.46,37278696.0,21.35,22.25,20.92,21.91,2486489,-0.0817610062893082,-0.0817610062893082,0.08,0.058
2010-07-20,TSLA,1.46,1.46,1.34,1.35,27364783.0,1.46,1.46,1.34,1.35,27364783.0,21.85,21.85,20.05,20.3,1825231,-0.1509433962264151,-0.1509433962264151,-0.1099999999999998,-0.0753
2010-07-21,TSLA,1.38,1.39,1.3,1.35,18792234.0,1.38,1.39,1.3,1.35,18792234.0,20.66,20.9,19.5,20.22,1253442,-0.1509433962264151,-0.1509433962264151,0.0,0.0
2010-07-22,TSLA,1.37,1.42,1.36,1.4,14427961.0,1.37,1.42,1.36,1.4,14427961.0,20.5,21.25,20.37,21.0,962345,-0.119496855345912,-0.119496855345912,0.0499999999999998,0.037
2010-07-23,TSLA,1.41,1.44,1.4,1.42,9805832.0,1.41,1.44,1.4,1.42,9805832.0,21.19,21.56,21.06,21.29,654049,-0.1069182389937107,-0.1069182389937107,0.02,0.0143
2010-07-26,TSLA,1.43,1.43,1.35,1.4,13829880.0,1.43,1.43,1.35,1.4,13829880.0,21.5,21.5,20.3,20.95,922453,-0.119496855345912,-0.119496855345912,-0.02,-0.0141
2010-07-27,TSLA,1.39,1.41,1.35,1.37,9290480.0,1.39,1.41,1.35,1.37,9290480.0,20.91,21.18,20.26,20.55,619675,-0.1383647798742138,-0.1383647798742138,-0.0299999999999998,-0.0214
