Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,UHS,55.2,55.69,55.16,55.43,196600,51.2217,51.6764,51.1846,51.4351,196600,55.2,55.69,55.16,55.43,196600,0.0,0.0,0.0,0.0
2007-01-03,UHS,28.05,28.15,27.66,27.91,534600,25.83,25.93,25.47,25.7,534600,56.1,56.3,55.32,55.81,534600,-0.4964820494317157,-0.4964820494317157,-27.52,-0.4965
2007-01-04,UHS,27.91,27.91,27.61,27.84,320700,25.7,25.71,25.43,25.64,320700,55.81,55.83,55.22,55.68,320700,-0.497744903481869,-0.497744903481869,-0.0700000000000002,-0.0025
2007-01-05,UHS,27.04,27.77,27.04,27.59,513700,24.9,25.57,24.9,25.41,513700,54.08,55.53,54.08,55.17,513700,-0.5022550965181309,-0.5022550965181309,-0.25,-0.009
2007-01-08,UHS,27.59,27.74,27.46,27.6,343500,25.41,25.55,25.29,25.42,343500,55.17,55.48,54.92,55.2,343500,-0.5020746887966805,-0.5020746887966805,0.0100000000000015,0.0004
2007-01-09,UHS,27.63,27.69,27.46,27.59,250500,25.44,25.5,25.3,25.41,250500,55.25,55.38,54.93,55.17,250500,-0.5022550965181309,-0.5022550965181309,-0.0100000000000015,-0.0004
2007-01-10,UHS,27.5,27.89,27.26,27.8,235700,25.33,25.69,25.11,25.6,235700,55.0,55.78,54.52,55.6,235700,-0.4984665343676709,-0.4984665343676709,0.2100000000000008,0.0076
2007-01-11,UHS,27.93,28.25,27.84,28.2,415700,25.72,26.01,25.65,25.98,415700,55.85,56.49,55.69,56.41,415700,-0.4912502255096518,-0.4912502255096518,0.3999999999999986,0.0144
2007-01-12,UHS,28.25,28.27,27.93,28.09,162300,26.02,26.04,25.73,25.87,162300,56.5,56.55,55.87,56.17,162300,-0.493234710445607,-0.493234710445607,-0.1099999999999994,-0.0039
2007-01-16,UHS,28.25,28.36,28.09,28.18,230500,26.02,26.12,25.87,25.96,230500,56.5,56.73,56.18,56.37,230500,-0.4916110409525527,-0.4916110409525527,0.0899999999999998,0.0032
2007-01-17,UHS,28.3,28.38,28.03,28.13,358700,26.06,26.13,25.82,25.91,358700,56.6,56.75,56.06,56.26,358700,-0.4925130795598051,-0.4925130795598051,-0.0500000000000007,-0.0018
2007-01-18,UHS,27.98,28.11,27.89,27.95,259800,25.77,25.88,25.68,25.74,259800,55.96,56.21,55.77,55.89,259800,-0.4957604185459138,-0.4957604185459138,-0.1799999999999997,-0.0064
2007-01-19,UHS,27.92,28.57,27.89,28.46,436200,25.71,26.31,25.68,26.21,436200,55.84,57.13,55.77,56.92,436200,-0.4865596247519393,-0.4865596247519393,0.5100000000000016,0.0182
2007-01-22,UHS,29.07,29.15,28.74,28.9,705600,26.78,26.85,26.47,26.62,705600,58.15,58.3,57.48,57.8,705600,-0.4786216850081183,-0.4786216850081183,0.4399999999999977,0.0155
2007-01-23,UHS,28.77,28.92,28.54,28.75,592300,26.5,26.64,26.29,26.48,592300,57.55,57.84,57.08,57.5,592300,-0.4813278008298755,-0.4813278008298755,-0.1499999999999985,-0.0052
2007-01-24,UHS,28.75,29.09,28.52,29.02,456500,26.48,26.8,26.26,26.72,456500,57.5,58.19,57.03,58.03,456500,-0.4764567923507126,-0.4764567923507126,0.2699999999999996,0.0094
2007-01-25,UHS,28.92,28.93,28.29,28.55,493000,26.64,26.64,26.05,26.29,493000,57.84,57.85,56.57,57.09,493000,-0.484935955258885,-0.484935955258885,-0.4699999999999988,-0.0162
2007-01-26,UHS,28.54,28.64,28.36,28.57,401200,26.28,26.38,26.11,26.31,401200,57.07,57.28,56.71,57.13,401200,-0.4845751398159841,-0.4845751398159841,0.0199999999999995,0.0007
2007-01-29,UHS,28.6,28.77,28.48,28.64,135900,26.34,26.5,26.23,26.37,135900,57.2,57.55,56.96,57.27,135900,-0.4833122857658307,-0.4833122857658307,0.0700000000000002,0.0025
2007-01-30,UHS,28.73,28.8,28.48,28.56,251400,26.46,26.53,26.23,26.3,251400,57.47,57.61,56.96,57.12,251400,-0.4847555475374346,-0.4847555475374346,-0.0800000000000018,-0.0028
2007-01-31,UHS,28.52,29.0,28.42,28.96,477900,26.27,26.71,26.17,26.68,477900,57.05,58.01,56.84,57.93,477900,-0.4775392386794154,-0.4775392386794154,0.4000000000000021,0.014
2007-02-01,UHS,29.0,29.14,28.79,29.0,405700,26.71,26.84,26.52,26.71,405700,58.0,58.29,57.58,58.0,405700,-0.4768176077936135,-0.4768176077936135,0.0399999999999991,0.0014
2007-02-02,UHS,29.0,29.0,28.84,28.91,173400,26.71,26.71,26.56,26.62,173400,58.0,58.0,57.68,57.81,173400,-0.4784412772866678,-0.4784412772866678,-0.0899999999999998,-0.0031
2007-02-05,UHS,29.5,30.32,29.38,29.86,1150600,27.17,27.93,27.06,27.51,1150600,59.0,60.65,58.76,59.73,1150600,-0.4613025437488725,-0.4613025437488725,0.9499999999999992,0.0329
2007-02-06,UHS,29.86,29.87,29.59,29.68,315100,27.51,27.51,27.26,27.34,315100,59.73,59.74,59.19,59.36,315100,-0.464549882734981,-0.464549882734981,-0.1799999999999997,-0.006
2007-02-07,UHS,29.77,29.85,29.54,29.84,205500,27.41,27.49,27.2,27.48,205500,59.53,59.7,59.07,59.68,205500,-0.4616633591917734,-0.4616633591917734,0.1600000000000001,0.0054
2007-02-08,UHS,29.84,29.84,29.63,29.75,117900,27.48,27.48,27.29,27.4,117900,59.68,59.68,59.26,59.5,117900,-0.4632870286848277,-0.4632870286848277,-0.0899999999999998,-0.003
2007-02-09,UHS,29.73,29.93,29.67,29.86,326500,27.39,27.57,27.33,27.51,326500,59.47,59.86,59.34,59.73,326500,-0.4613025437488725,-0.4613025437488725,0.1099999999999994,0.0037
2007-02-12,UHS,29.94,30.2,29.84,30.09,490000,27.57,27.81,27.49,27.72,490000,59.88,60.39,59.69,60.19,490000,-0.4571531661555114,-0.4571531661555114,0.2300000000000004,0.0077
2007-02-13,UHS,30.08,30.13,29.81,29.95,316758,27.7,27.75,27.46,27.58,316758,60.16,60.25,59.62,59.9,316758,-0.4596788742558181,-0.4596788742558181,-0.1400000000000005,-0.0047
2007-02-14,UHS,29.93,30.07,29.8,30.05,310303,27.57,27.69,27.44,27.68,310303,59.86,60.13,59.59,60.11,310303,-0.4578747970413133,-0.4578747970413133,0.1000000000000014,0.0033
