Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,USB,36.3,36.39,36.06,36.19,4974400,22.305,22.3603,22.1576,22.2374,4974400,36.3,36.39,36.06,36.19,4974400,0.0,0.0,0.0,0.0
2007-01-03,USB,35.61,36.29,35.61,36.17,7697500,21.5,21.92,21.5,21.84,7697500,35.61,36.29,35.61,36.17,7697500,-0.000552638850511,-0.000552638850511,-0.019999999999996,-0.0006
2007-01-04,USB,36.17,36.25,35.91,36.2,5411800,21.84,21.89,21.69,21.86,5411800,36.17,36.25,35.91,36.2,5411800,0.0002763194252557,0.0002763194252557,0.0300000000000011,0.0008
2007-01-05,USB,36.19,36.19,35.7,35.77,5748100,21.86,21.86,21.56,21.6,5748100,36.19,36.19,35.7,35.77,5748100,-0.0116054158607348,-0.0116054158607348,-0.4299999999999997,-0.0119
2007-01-08,USB,35.7,36.19,35.49,35.65,5752100,21.56,21.86,21.43,21.53,5752100,35.7,36.19,35.49,35.65,5752100,-0.0149212489638021,-0.0149212489638021,-0.1200000000000045,-0.0034
2007-01-09,USB,35.73,35.88,35.36,35.63,6548600,21.58,21.67,21.35,21.52,6548600,35.73,35.88,35.36,35.63,6548600,-0.0154738878143132,-0.0154738878143132,-0.019999999999996,-0.0006
2007-01-10,USB,35.64,35.74,35.39,35.61,6539100,21.52,21.58,21.37,21.5,6539100,35.64,35.74,35.39,35.61,6539100,-0.0160265266648244,-0.0160265266648244,-0.0200000000000031,-0.0006
2007-01-11,USB,35.61,35.75,35.42,35.51,5669100,21.5,21.59,21.39,21.44,5669100,35.61,35.75,35.42,35.51,5669100,-0.0187897209173804,-0.0187897209173804,-0.1000000000000014,-0.0028
2007-01-12,USB,35.6,35.67,35.45,35.55,6357000,21.5,21.54,21.41,21.47,6357000,35.6,35.67,35.45,35.55,6357000,-0.0176844432163581,-0.0176844432163581,0.0399999999999991,0.0011
2007-01-16,USB,35.6,35.82,35.24,35.75,6492700,21.5,21.63,21.28,21.59,6492700,35.6,35.82,35.24,35.75,6492700,-0.0121580547112461,-0.0121580547112461,0.2000000000000028,0.0056
