Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2008-05-29,V,20.86,21.74,20.75,21.31,25153257,18.73,19.52,18.64,19.14,25153257,83.43,86.95,83.01,85.25,25153257,0.0,0.0,0.0,0.0
2008-05-30,V,21.5,21.89,21.45,21.59,18012046,19.31,19.66,19.26,19.39,18012046,86.02,87.56,85.81,86.36,18012046,0.013139371187236,0.013139371187236,0.2800000000000011,0.0131
2008-06-02,V,21.55,21.74,21.15,21.52,9213955,19.35,19.52,18.99,19.32,9213955,86.21,86.95,84.6,86.07,9213955,0.009854528390427,0.009854528390427,-0.0700000000000002,-0.0032
2008-06-03,V,21.75,21.99,21.51,21.89,12121063,19.53,19.74,19.31,19.66,12121063,87.01,87.95,86.03,87.56,12121063,0.0272172688878461,0.0272172688878461,0.370000000000001,0.0172
2008-06-04,V,21.77,22.02,21.32,21.37,10176128,19.55,19.78,19.15,19.19,10176128,87.08,88.1,85.28,85.48,10176128,0.0028155795401221,0.0028155795401221,-0.5199999999999996,-0.0238
2008-06-24,V,20.02,20.73,19.63,20.66,12477092,17.97,18.62,17.63,18.56,12477092,80.06,82.94,78.51,82.66,12477092,-0.030502111684655,-0.030502111684655,-0.7100000000000009,-0.0332
2008-06-25,V,20.84,21.11,20.46,20.52,12681160,18.71,18.95,18.38,18.42,12681160,83.36,84.42,81.86,82.06,12681160,-0.037071797278273,-0.037071797278273,-0.1400000000000005,-0.0068
2008-06-26,V,20.15,20.18,19.5,19.77,19145922,18.09,18.13,17.52,17.76,19145922,80.6,80.74,78.02,79.1,19145922,-0.0722665415297981,-0.0722665415297981,-0.75,-0.0365
2008-06-27,V,19.7,20.72,19.64,20.65,44011594,17.69,18.6,17.63,18.54,44011594,78.8,82.87,78.55,82.6,44011594,-0.0309713749413421,-0.0309713749413421,0.879999999999999,0.0445
2008-06-30,V,20.5,20.71,20.07,20.33,12332415,18.41,18.6,18.03,18.25,12332415,82.01,82.84,80.3,81.31,12332415,-0.0459877991553261,-0.0459877991553261,-0.3200000000000003,-0.0155
2008-07-01,V,19.91,20.35,19.8,20.35,11232653,17.88,18.28,17.78,18.28,11232653,79.64,81.41,79.2,81.41,11232653,-0.045049272641952,-0.045049272641952,0.0200000000000031,0.001
2008-07-02,V,20.48,20.6,19.82,19.86,8460983,18.39,18.5,17.8,17.83,8460983,81.9,82.4,79.3,79.42,8460983,-0.0680431722196151,-0.0680431722196151,-0.490000000000002,-0.0241
2008-07-03,V,19.84,19.95,19.31,19.52,7189465,17.82,17.92,17.34,17.53,7189465,79.36,79.81,77.25,78.07,7189465,-0.0839981229469732,-0.0839981229469732,-0.3399999999999998,-0.0171
2008-07-07,V,19.63,19.98,18.5,18.91,19989289,17.62,17.95,16.61,16.98,19989289,78.5,79.94,74.0,75.62,19989289,-0.1126231816048802,-0.1126231816048802,-0.6099999999999994,-0.0312
2008-07-08,V,18.72,19.88,18.06,19.77,23953132,16.81,17.85,16.22,17.75,23953132,74.89,79.5,72.25,79.06,23953132,-0.0722665415297981,-0.0722665415297981,0.8599999999999994,0.0455
2008-07-09,V,19.75,19.77,18.85,18.97,13832529,17.74,17.76,16.93,17.03,13832529,79.0,79.1,75.4,75.87,13832529,-0.1098076020647583,-0.1098076020647583,-0.8000000000000007,-0.0405
2008-07-10,V,18.94,19.41,18.47,19.31,13212757,17.01,17.43,16.59,17.34,13212757,75.76,77.62,73.89,77.25,13212757,-0.0938526513374002,-0.0938526513374002,0.3399999999999998,0.0179
