Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,WYNN,93.1,94.16,93.07,93.85,721364,58.2683,58.9318,58.2496,58.7377,721364,93.1,94.16,93.07,93.85,721364,0.0,0.0,0.0,0.0
2007-01-03,WYNN,94.39,97.85,94.05,96.27,1910688,55.62,57.66,55.42,56.73,1910688,94.39,97.85,94.05,96.27,1910688,0.0257858284496537,0.0257858284496537,2.4200000000000017,0.0258
2007-01-04,WYNN,96.48,96.76,94.45,96.31,1075190,56.86,57.02,55.66,56.76,1075190,96.48,96.76,94.45,96.31,1075190,0.0262120404901439,0.0262120404901439,0.0400000000000062,0.0004
2007-01-05,WYNN,96.27,97.75,95.76,96.88,1676660,56.73,57.6,56.43,57.09,1676660,96.27,97.75,95.76,96.88,1676660,0.0322855620671284,0.0322855620671284,0.5699999999999932,0.0059
2007-01-08,WYNN,97.52,100.0,96.73,98.71,1809785,57.47,58.93,57.0,58.17,1809785,97.52,100.0,96.73,98.71,1809785,0.0517847629195524,0.0517847629195524,1.8299999999999983,0.0189
2007-01-09,WYNN,99.4,100.23,97.12,99.1,1373463,58.58,59.07,57.23,58.4,1373463,99.4,100.23,97.12,99.1,1373463,0.0559403303143313,0.0559403303143313,0.3900000000000005,0.004
2007-01-10,WYNN,98.59,102.93,96.7,102.45,2746591,58.1,60.66,56.99,60.37,2746591,98.59,102.93,96.7,102.45,2746591,0.091635588705381,0.091635588705381,3.3500000000000085,0.0338
2007-01-11,WYNN,102.21,104.49,99.61,103.92,2999892,60.23,61.58,58.7,61.24,2999892,102.21,104.49,99.61,103.92,2999892,0.1072988811933938,0.1072988811933938,1.4699999999999989,0.0143
2007-01-12,WYNN,103.92,105.0,102.52,104.49,1601146,61.24,61.88,60.42,61.58,1601146,103.92,105.0,102.52,104.49,1601146,0.1133724027703782,0.1133724027703782,0.5699999999999932,0.0055
2007-01-16,WYNN,104.1,107.94,104.1,107.75,2427273,61.35,63.61,61.35,63.5,2427273,104.1,107.94,104.1,107.75,2427273,0.148108684070325,0.148108684070325,3.260000000000005,0.0312
2007-01-17,WYNN,107.33,107.64,105.38,105.76,2034374,63.25,63.43,62.1,62.32,2034374,107.33,107.64,105.38,105.76,2034374,0.1269046350559404,0.1269046350559404,-1.9899999999999949,-0.0185
2007-01-18,WYNN,105.99,107.1,102.77,103.75,1695977,62.46,63.11,60.56,61.14,1695977,105.99,107.1,102.77,103.75,1695977,0.1054874800213106,0.1054874800213106,-2.010000000000005,-0.019
