Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume,Change_Over_Time,Market_Change_Over_Time,Change,Change_Percent
2006-12-29,WY,26.1384,26.3419,26.0829,26.1384,2356407.748319998,15.1656,15.2837,15.1334,15.1656,2356407.748319998,70.65,71.2,70.5,70.65,871800,0.0,0.0,0.0,0.0
2007-01-03,WY,29.06,29.82,29.06,29.67,2331400.0,40.8,41.86,40.79,41.65,2331400.0,71.01,72.86,71.0,72.5,2331400,0.1351115600036728,0.1351115600036728,3.531600000000001,0.1351
2007-01-04,WY,29.34,29.61,29.15,29.38,1960700.0,41.19,41.56,40.91,41.23,1960700.0,71.69,72.34,71.21,71.77,1960700,0.1240167722584396,0.1240167722584396,-0.2900000000000027,-0.0098
2007-01-05,WY,29.39,29.45,29.11,29.28,1506300.0,41.25,41.34,40.86,41.1,1506300.0,71.81,71.96,71.12,71.54,1506300,0.1201909833807731,0.1201909833807731,-0.0999999999999978,-0.0034
2007-01-08,WY,28.94,29.6,28.94,29.54,1117300.0,40.62,41.55,40.62,41.46,1117300.0,70.71,72.33,70.71,72.17,1117300,0.1301380344627061,0.1301380344627061,0.259999999999998,0.0089
2007-01-09,WY,29.57,29.61,29.08,29.39,1430600.0,41.51,41.56,40.81,41.25,1430600.0,72.25,72.34,71.04,71.8,1430600,0.1243993511462063,0.1243993511462063,-0.1499999999999985,-0.0051
2007-01-10,WY,29.22,29.65,28.97,29.21,1188200.0,41.02,41.62,40.66,41.0,1188200.0,71.4,72.45,70.78,71.37,1188200,0.1175129311664065,0.1175129311664065,-0.1799999999999997,-0.0061
2007-01-11,WY,29.26,29.97,29.17,29.65,1890900.0,41.08,42.07,40.95,41.62,1890900.0,71.5,73.23,71.28,72.45,1890900,0.1343464022281393,0.1343464022281393,0.4399999999999977,0.0151
2007-01-12,WY,29.59,29.99,29.58,29.88,1942700.0,41.54,42.09,41.52,41.94,1942700.0,72.3,73.26,72.27,73.0,1942700,0.1431457166467725,0.1431457166467725,0.2300000000000004,0.0078
2007-01-16,WY,29.78,29.87,29.54,29.84,1252300.0,41.79,41.93,41.46,41.88,1252300.0,72.75,72.98,72.16,72.9,1252300,0.1416154010957059,0.1416154010957059,-0.0399999999999991,-0.0013
2007-01-17,WY,29.65,29.75,29.12,29.52,1837300.0,41.62,41.75,40.88,41.44,1837300.0,72.45,72.68,71.15,72.13,1837300,0.1293728766871728,0.1293728766871728,-0.3200000000000003,-0.0107
2007-01-18,WY,29.42,29.73,29.28,29.47,1447000.0,41.3,41.73,41.1,41.37,1447000.0,71.88,72.64,71.54,72.01,1447000,0.1274599822483395,0.1274599822483395,-0.0500000000000007,-0.0017
2007-01-19,WY,30.05,30.73,29.88,30.39,3783600.0,42.19,43.13,41.94,42.66,3783600.0,73.43,75.08,73.0,74.25,3783600,0.1626572399228721,0.1626572399228721,0.9200000000000016,0.0312
2007-01-22,WY,30.25,30.48,29.99,30.03,1738800.0,42.46,42.79,42.09,42.16,1738800.0,73.9,74.48,73.27,73.38,1738800,0.1488843999632724,0.1488843999632724,-0.3599999999999994,-0.0118
2007-01-23,WY,30.26,30.74,30.21,30.56,2428000.0,42.48,43.15,42.4,42.9,2428000.0,73.94,75.11,73.81,74.67,2428000,0.1691610810149051,0.1691610810149051,0.5299999999999976,0.0176
2007-01-24,WY,30.56,30.78,30.41,30.69,3052400.0,42.9,43.2,42.68,43.07,3052400.0,74.67,75.2,74.29,74.97,3052400,0.1741346065558718,0.1741346065558718,0.1300000000000025,0.0043
2007-01-25,WY,30.62,30.8,30.51,30.61,1886600.0,42.98,43.23,42.82,42.96,1886600.0,74.82,75.25,74.53,74.78,1886600,0.1710739754537385,0.1710739754537385,-0.0800000000000018,-0.0026
2007-01-26,WY,30.66,30.84,30.45,30.76,1844800.0,43.03,43.28,42.74,43.17,1844800.0,74.9,75.34,74.39,75.15,1844800,0.1768126587702384,0.1768126587702384,0.1500000000000021,0.0049
2007-01-29,WY,30.76,31.33,30.67,30.83,3285200.0,43.17,43.98,43.05,43.27,3285200.0,75.15,76.55,74.93,75.32,3285200,0.1794907109846049,0.1794907109846049,0.0699999999999967,0.0023
2007-01-30,WY,30.82,30.94,30.56,30.63,2199900.0,43.27,43.43,42.9,42.99,2199900.0,75.31,75.6,74.67,74.83,2199900,0.1718391332292718,0.1718391332292718,-0.1999999999999993,-0.0065
2007-01-31,WY,30.47,30.79,30.38,30.7,1642300.0,43.12,43.57,42.99,43.44,1642300.0,74.45,75.23,74.22,75.0,1642300,0.1745171854436384,0.1745171854436384,0.0700000000000002,0.0023
2007-02-01,WY,30.82,31.05,30.55,30.93,1457300.0,43.61,43.93,43.24,43.77,1457300.0,75.3,75.85,74.65,75.57,1457300,0.1833164998622715,0.1833164998622715,0.2300000000000004,0.0075
2007-02-02,WY,31.43,31.7,31.02,31.32,2953100.0,44.47,44.86,43.9,44.32,2953100.0,76.78,77.45,75.8,76.52,2953100,0.1982370764851712,0.1982370764851712,0.3900000000000005,0.0126
2007-02-05,WY,31.63,32.07,31.57,32.02,4187100.0,44.77,45.38,44.68,45.31,4187100.0,77.29,78.35,77.14,78.22,4187100,0.2250175986288373,0.2250175986288373,0.7000000000000028,0.0223
2007-02-06,WY,31.93,32.32,31.93,32.32,3277900.0,45.18,45.74,45.18,45.74,3277900.0,78.0,78.97,78.0,78.97,3277900,0.2364949652618369,0.2364949652618369,0.2999999999999971,0.0094
2007-02-07,WY,32.25,32.5,32.04,32.44,2930100.0,45.64,45.99,45.33,45.91,2930100.0,78.8,79.41,78.27,79.26,2930100,0.2410859119150367,0.2410859119150367,0.1199999999999974,0.0037
