Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2013-12-09,AAL,22.63,24.04,22.16,23.24,43197268
2013-12-10,AAL,23.15,23.78,23.06,23.51,18660625
2013-12-11,AAL,24.04,25.7,23.97,24.56,38843371
2013-12-12,AAL,24.75,25.24,24.05,24.05,19981824
2013-12-13,AAL,24.33,24.85,24.11,24.78,12192421
2013-12-16,AAL,25.16,25.29,24.9,25.14,13190945
2013-12-17,AAL,25.01,25.12,24.52,24.66,11413199
2013-12-18,AAL,24.56,24.78,24.14,24.78,9994162
2013-12-19,AAL,24.65,25.03,24.4,24.68,6916497
2013-12-20,AAL,24.72,25.03,24.7,24.88,8530924
2013-12-23,AAL,24.84,25.03,24.61,24.73,5403084
2013-12-24,AAL,24.56,24.81,24.56,24.8,2652974
2013-12-26,AAL,24.68,24.9,24.54,24.69,4226639
2013-12-27,AAL,24.52,24.66,23.53,23.56,13227018
2013-12-30,AAL,23.5,23.86,23.29,23.41,8841369
2013-12-31,AAL,23.37,23.86,23.27,23.86,7168395
2014-01-02,AAL,23.69,24.39,23.68,23.96,8998943
2014-01-03,AAL,24.14,25.27,24.1,25.07,13836062
2014-01-06,AAL,25.15,25.7,25.13,25.54,11272273
2014-01-07,AAL,25.59,25.89,25.2,25.42,11288775
2014-01-08,AAL,24.91,26.15,24.9,26.1,15736891
2014-01-09,AAL,26.68,27.97,26.64,27.8,26056445
2014-01-10,AAL,27.45,28.18,27.16,27.73,12824160
2014-01-13,AAL,27.65,27.9,27.0,27.07,10591701
2014-01-14,AAL,27.16,27.44,27.13,27.28,10601529
2014-01-15,AAL,27.35,27.81,27.12,27.25,11192558
2014-01-16,AAL,27.14,27.77,27.12,27.72,7034698
2014-01-17,AAL,27.68,28.36,27.56,28.36,18304949
2014-01-21,AAL,28.84,29.1,28.53,28.97,10612821
2014-01-22,AAL,29.03,29.52,28.96,29.48,7583631
2014-01-23,AAL,28.96,29.72,28.93,29.62,11397447
2014-01-24,AAL,29.31,29.46,28.26,28.72,13699981
2014-01-27,AAL,28.72,29.17,27.09,28.51,16288488
2014-01-28,AAL,28.65,30.42,28.36,30.2,23966003
2014-01-29,AAL,30.46,31.56,30.33,31.16,22726800
2014-01-30,AAL,31.52,32.31,31.37,31.93,13677012
2014-01-31,AAL,31.32,32.2,31.18,31.7,12795698
2014-02-03,AAL,32.16,32.58,31.23,32.09,21743871
2014-02-04,AAL,32.17,32.48,31.73,32.17,11241908
2014-02-05,AAL,31.95,32.09,31.56,31.93,15471546
2014-02-06,AAL,31.85,32.99,31.84,32.75,13924507
2014-02-07,AAL,32.89,33.73,32.74,33.7,15411777
2014-02-10,AAL,34.11,34.15,33.43,33.62,11110235
2014-02-11,AAL,33.62,33.67,32.49,33.19,11990875
2014-02-12,AAL,32.96,33.07,32.46,32.78,9386780
2014-02-13,AAL,32.19,33.11,32.18,33.09,8412272
2014-02-14,AAL,32.93,33.23,32.33,32.51,7307286
2014-02-18,AAL,32.81,33.02,32.31,32.42,7090152
2014-02-19,AAL,32.36,33.15,32.23,32.68,7259501
2014-02-20,AAL,32.53,33.7,32.53,33.69,9289448
2014-02-21,AAL,33.8,34.44,33.78,34.17,7821334
2014-02-24,AAL,34.2,34.64,34.03,34.63,7022370
2014-02-25,AAL,34.61,35.1,34.49,34.96,8991389
2014-02-26,AAL,35.07,35.22,34.56,34.72,10516864
2014-02-27,AAL,34.84,34.91,34.33,34.54,5666647
2014-02-28,AAL,34.12,34.94,34.08,34.89,7991349
2014-03-03,AAL,34.15,34.39,33.37,34.11,9500368
2014-03-04,AAL,34.55,35.39,34.55,35.28,11742444
