Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2020-12-10,ABNB,146.0,165.0,141.25,144.71,70447537
2020-12-11,ABNB,146.55,151.5,135.1,139.25,26980830
2020-12-14,ABNB,135.0,135.3,125.16,130.0,16966089
2020-12-15,ABNB,126.69,127.6,121.5,124.8,10914432
2020-12-16,ABNB,125.83,142.0,124.91,137.99,20409551
2020-12-17,ABNB,143.0,152.45,142.67,147.05,15054725
2020-12-18,ABNB,150.45,159.0,150.3,157.3,15954235
2020-12-21,ABNB,155.31,172.0,145.11,163.02,17788120
2020-12-22,ABNB,170.0,174.97,161.05,163.19,9886633
2020-12-23,ABNB,162.81,168.25,155.5,158.01,5852486
2020-12-24,ABNB,159.16,162.79,154.11,154.84,3621360
2020-12-28,ABNB,158.6,163.64,147.52,149.0,6229179
2020-12-29,ABNB,150.0,151.65,143.12,150.0,5402266
2020-12-30,ABNB,151.34,152.81,145.6,148.43,3462445
2020-12-31,ABNB,146.9,147.89,144.51,146.8,2795813
2021-01-04,ABNB,150.99,151.0,137.0,139.15,6409884
2021-01-05,ABNB,138.28,149.0,137.25,148.3,5974246
2021-01-06,ABNB,145.75,148.35,141.11,142.77,4213936
2021-01-07,ABNB,146.37,154.42,145.26,151.27,4482769
2021-01-08,ABNB,153.45,155.54,147.25,149.77,4615625
2021-01-11,ABNB,147.99,150.5,144.02,148.13,2801867
2021-01-12,ABNB,148.08,163.88,143.61,160.8,8145892
2021-01-13,ABNB,160.81,178.62,159.35,169.99,12529711
2021-01-14,ABNB,175.54,187.42,174.98,180.5,9926539
2021-01-15,ABNB,184.58,186.0,164.86,169.27,8575682
2021-01-19,ABNB,173.0,178.6,166.6,173.69,4685415
2021-01-20,ABNB,176.01,176.31,161.0,161.83,8517416
2021-01-21,ABNB,164.99,183.47,155.33,180.4,17618431
2021-01-22,ABNB,178.09,185.31,175.19,181.87,7136811
2021-01-25,ABNB,186.05,192.47,170.03,177.53,7472859
2021-01-26,ABNB,180.0,193.0,177.3,192.74,6460904
2021-01-27,ABNB,187.64,216.0,185.5,201.25,11019787
2021-01-28,ABNB,202.6,212.84,187.05,187.37,7077661
2021-01-29,ABNB,190.71,193.5,179.31,183.63,4529815
2021-02-01,ABNB,187.48,188.82,179.74,180.44,3877389
2021-02-02,ABNB,183.22,186.48,177.11,179.17,4413624
2021-02-03,ABNB,181.98,190.9,180.0,185.72,4168965
2021-02-04,ABNB,187.07,195.99,186.19,195.8,3637039
2021-02-05,ABNB,197.0,197.25,190.25,195.31,2869659
