Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,ABT,16.2982,16.3617,16.198,16.2681,8480459.807073947
2007-01-03,ABT,32.6,33.04,32.55,32.7,5380900.0
2007-01-04,ABT,32.76,33.55,32.7,33.32,10167200.0
2007-01-05,ABT,33.32,33.38,32.9,33.32,7029000.0
2007-01-08,ABT,33.26,33.47,33.14,33.44,6215100.0
2007-01-09,ABT,33.49,33.83,33.38,33.73,8142000.0
2007-01-10,ABT,33.73,33.88,33.58,33.84,6707700.0
2007-01-11,ABT,33.88,34.24,33.69,33.82,6023500.0
2007-01-12,ABT,33.63,33.91,33.59,33.88,5368700.0
2007-01-16,ABT,33.92,34.17,33.84,33.99,5863900.0
2007-01-17,ABT,34.01,34.65,33.95,34.62,8082800.0
2007-01-18,ABT,35.43,35.54,34.9,35.45,13030500.0
2007-01-19,ABT,35.82,36.1,35.7,35.94,12161600.0
2007-01-22,ABT,35.73,35.9,35.58,35.81,7126800.0
2007-01-23,ABT,35.66,35.96,35.59,35.85,7779800.0
2007-01-24,ABT,35.85,36.17,35.51,35.96,7673700.0
2007-01-25,ABT,35.66,35.93,35.21,35.32,8674200.0
2007-01-26,ABT,35.39,35.43,34.89,35.29,6834200.0
2007-01-29,ABT,34.86,35.43,34.59,35.37,8482500.0
2007-01-30,ABT,35.43,35.74,35.41,35.72,7174800.0
2007-01-31,ABT,35.43,35.76,35.31,35.59,5878300.0
2007-02-01,ABT,35.26,35.58,35.08,35.51,5692300.0
2007-02-02,ABT,35.29,35.59,35.22,35.37,4635800.0
2007-02-05,ABT,35.19,35.36,35.04,35.26,3352400.0
2007-02-06,ABT,35.39,35.43,35.06,35.23,3417100.0
2007-02-07,ABT,35.26,35.35,35.04,35.23,3521200.0
2007-02-08,ABT,35.19,35.29,34.96,35.02,4828500.0
2007-02-09,ABT,35.16,35.35,35.02,35.1,3786600.0
2007-02-12,ABT,35.15,35.45,35.08,35.41,4323849.0
2007-02-13,ABT,35.35,35.45,35.27,35.4,3883193.0
2007-02-14,ABT,35.39,35.72,35.37,35.39,5082985.0
2007-02-15,ABT,35.31,35.52,34.98,35.46,4148300.0
2007-02-16,ABT,35.28,35.46,35.11,35.25,4041300.0
2007-02-20,ABT,35.25,35.37,35.11,35.31,4563600.0
2007-02-21,ABT,35.26,35.45,35.19,35.4,4322900.0
2007-02-22,ABT,35.4,36.06,35.36,36.01,6903700.0
2007-02-23,ABT,35.81,36.11,35.73,35.99,4987700.0
2007-02-26,ABT,36.03,36.71,35.92,36.58,7682938.0
2007-02-27,ABT,36.32,36.87,35.19,36.16,11930700.0
2007-02-28,ABT,35.98,36.98,35.76,36.68,11888200.0
2007-03-01,ABT,36.1,36.74,35.88,36.12,10022910.0
2007-03-02,ABT,35.95,36.03,35.31,35.6,7749400.0
2007-03-05,ABT,35.46,35.99,35.41,35.43,7386600.0
