Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,AXP,49.0513,49.2602,48.6737,48.746,2239500
2007-01-03,AXP,46.65,47.2,45.79,46.02,6143300
2007-01-04,AXP,45.93,46.18,45.59,45.69,5672900
2007-01-05,AXP,45.48,45.65,44.91,45.09,6818100
2007-01-08,AXP,45.01,45.57,44.49,45.51,5000600
2007-01-09,AXP,45.67,45.71,44.99,45.22,5064100
2007-01-10,AXP,45.17,45.27,44.77,45.19,4366800
2007-01-11,AXP,45.18,45.42,45.03,45.33,4204900
2007-01-12,AXP,45.25,45.3,44.8,45.0,5002900
2007-01-16,AXP,44.87,45.12,44.74,45.09,5354200
2007-01-17,AXP,45.11,45.37,44.99,45.16,4898000
2007-01-18,AXP,45.03,45.32,44.61,44.99,4606600
2007-01-19,AXP,45.16,45.16,44.26,44.29,8192600
2007-01-22,AXP,44.45,44.71,43.57,44.27,13233300
2007-01-23,AXP,44.23,44.34,43.58,43.87,6572200
2007-01-24,AXP,44.0,44.93,43.96,44.93,5497800
2007-01-25,AXP,44.82,44.93,43.99,44.05,5103700
2007-01-26,AXP,44.08,44.26,43.81,44.11,5477000
2007-01-29,AXP,44.03,44.19,43.84,43.95,4714500
2007-01-30,AXP,43.98,44.25,43.96,44.23,5177700
2007-01-31,AXP,44.24,44.57,44.03,44.39,6323900
2007-02-01,AXP,44.45,44.74,44.16,44.28,4115900
2007-02-02,AXP,44.45,44.61,44.23,44.35,5033400
2007-02-05,AXP,44.35,44.59,44.16,44.38,3220000
2007-02-06,AXP,44.53,44.61,43.91,44.27,4491800
2007-02-07,AXP,44.4,44.87,44.27,44.74,4487000
2007-02-08,AXP,44.74,44.74,44.27,44.6,2913600
2007-02-09,AXP,44.72,44.96,43.7,43.87,4704900
2007-02-12,AXP,43.99,43.99,42.86,43.46,12378681
2007-02-13,AXP,43.64,44.06,43.33,43.92,4979522
2007-02-14,AXP,43.92,45.03,43.73,44.75,7739374
2007-02-15,AXP,44.62,45.08,44.62,44.87,7609300
2007-02-16,AXP,44.99,45.1,44.64,45.0,4928100
2007-02-20,AXP,44.8,45.0,44.28,44.77,4483200
2007-02-21,AXP,44.42,44.84,44.42,44.63,2681100
2007-02-22,AXP,44.55,44.81,44.18,44.34,3855300
2007-02-23,AXP,44.23,44.45,44.05,44.24,3572200
2007-02-26,AXP,44.24,44.59,43.54,43.57,4242715
2007-02-27,AXP,43.46,43.49,41.56,42.39,11259700
2007-02-28,AXP,42.72,43.81,42.51,43.36,11590800
2007-03-01,AXP,42.85,43.46,42.05,43.12,8759784
2007-03-02,AXP,42.78,43.04,42.19,42.27,7281000
2007-03-05,AXP,42.27,42.68,41.86,41.86,6491800
2007-03-06,AXP,42.2,43.05,42.1,42.98,8311400
2007-03-07,AXP,42.98,42.91,42.19,42.59,5464100
2007-03-08,AXP,42.96,43.46,42.79,43.33,5424500
2007-03-09,AXP,43.52,43.73,43.12,43.39,3819800
2007-03-12,AXP,43.23,43.43,42.43,43.24,3702294
2007-03-13,AXP,42.93,43.16,41.72,41.75,7980226
2007-03-14,AXP,43.24,42.81,41.11,42.48,10665564
2007-03-15,AXP,42.48,42.88,42.32,42.78,8899200
2007-03-16,AXP,43.01,43.13,41.9,42.36,7967573
2007-03-19,AXP,42.36,42.93,42.4,42.73,6295000
2007-03-20,AXP,42.73,43.01,42.64,42.9,3857400
2007-03-21,AXP,42.33,44.03,42.44,43.84,7200015
2007-03-22,AXP,43.77,43.92,43.34,43.8,5546073
2007-03-23,AXP,43.8,44.16,43.67,43.79,3505600
2007-03-26,AXP,43.77,43.9,43.23,43.62,3708770
2007-03-27,AXP,43.42,43.5,42.99,43.03,5419500
2007-03-28,AXP,42.93,42.97,42.4,42.59,7592740
2007-03-29,AXP,43.2,43.22,42.58,43.05,4587975
2007-03-30,AXP,43.2,43.42,42.49,43.01,4139043
2007-04-02,AXP,43.01,43.23,42.2,42.59,6908060
2007-04-03,AXP,42.66,43.16,42.6,42.75,7565074
2007-04-04,AXP,43.05,43.18,42.8,43.05,3600167
2007-04-05,AXP,42.87,42.95,42.61,42.78,4643565
2007-04-09,AXP,42.83,43.16,42.56,43.09,3592481
2007-04-10,AXP,42.96,43.42,42.89,43.13,4464552
2007-04-11,AXP,43.06,43.42,42.8,42.85,4523239
2007-04-12,AXP,42.88,43.26,42.47,43.2,5294969
2007-04-13,AXP,43.58,43.96,43.28,43.85,7326000
2007-04-16,AXP,43.94,44.89,43.94,44.77,6472205
2007-04-17,AXP,44.77,44.72,44.24,44.52,5115700
2007-04-18,AXP,44.57,44.75,44.37,44.68,8385919
2007-04-19,AXP,44.72,45.18,44.26,45.07,7124373
2007-04-20,AXP,46.28,46.76,45.64,46.63,14274223
2007-04-23,AXP,47.02,47.2,46.41,46.75,7559336
2007-04-24,AXP,46.75,46.87,46.29,46.57,8817622
2007-04-25,AXP,46.71,47.78,46.27,47.64,10412293
2007-04-26,AXP,47.51,47.96,46.94,47.51,9451203
2007-04-27,AXP,47.26,47.78,47.18,47.51,5486866
2007-04-30,AXP,47.45,47.77,46.35,46.38,9399742
2007-05-01,AXP,46.39,46.91,46.18,46.88,10964650
2007-05-02,AXP,47.15,48.0,46.95,47.96,8619421
2007-05-03,AXP,48.0,48.52,47.78,48.52,8395143
2007-05-04,AXP,48.52,48.68,48.25,48.46,3754208
2007-05-07,AXP,48.46,48.55,48.13,48.37,2837200
2007-05-08,AXP,48.38,48.39,47.9,48.37,3190000
2007-05-09,AXP,48.38,48.51,48.03,48.38,3213400
2007-05-10,AXP,48.16,48.33,47.58,47.97,5553147
2007-05-11,AXP,47.97,48.26,47.63,48.14,3434320
2007-05-14,AXP,48.14,48.27,47.67,47.72,4400466
2007-05-15,AXP,47.9,48.55,47.72,48.18,5757193
2007-05-16,AXP,48.48,48.93,48.33,48.91,5614370
2007-05-17,AXP,48.86,48.97,48.47,48.59,3041240
2007-05-18,AXP,48.6,49.14,48.74,48.9,4855250
2007-05-21,AXP,48.9,49.27,48.82,49.13,4986460
2007-05-22,AXP,49.11,49.31,48.88,49.13,3237231
2007-05-23,AXP,49.1,49.43,48.69,48.92,4596678
2007-05-24,AXP,48.94,49.53,48.87,48.94,6676152
2007-05-25,AXP,48.94,49.05,48.58,48.65,3606650
2007-05-29,AXP,49.14,49.22,48.74,49.19,3269120
2007-05-30,AXP,49.2,49.69,48.77,49.69,5704501
2007-05-31,AXP,49.66,49.77,49.43,49.68,4768120
2007-06-01,AXP,49.68,49.78,49.44,49.75,5078813
2007-06-04,AXP,49.75,49.88,49.49,49.71,3748404
2007-06-05,AXP,49.69,49.78,49.36,49.53,5707738
2007-06-06,AXP,49.5,49.53,48.55,48.73,5384661
2007-06-07,AXP,48.62,48.93,47.87,47.96,6424863
2007-06-08,AXP,47.96,48.22,47.41,48.19,4290978
2007-06-11,AXP,48.35,48.48,47.72,48.21,4451030
2007-06-12,AXP,48.21,48.35,47.44,47.49,4649544
2007-06-13,AXP,47.48,48.31,47.54,48.28,4263925
2007-06-14,AXP,48.28,48.94,48.01,48.27,4570300
2007-06-15,AXP,48.75,48.85,48.39,48.75,7128287
2007-06-18,AXP,48.91,49.42,48.19,48.27,3807524
2007-06-19,AXP,48.27,48.45,48.0,48.28,4853100
2007-06-20,AXP,48.28,48.59,47.43,47.44,4035051
2007-06-21,AXP,47.44,48.05,46.41,47.9,6375839
2007-06-22,AXP,47.9,47.9,47.15,47.24,8427200
2007-06-25,AXP,47.55,47.95,46.9,47.25,5426175
2007-06-26,AXP,47.64,47.88,46.86,46.89,5585077
2007-06-27,AXP,46.89,47.11,46.31,47.04,4573455
2007-06-28,AXP,46.83,47.38,46.44,46.8,6978556
2007-06-29,AXP,47.13,47.22,46.15,46.77,6528539
2007-07-02,AXP,46.71,47.35,46.6,47.24,6016933
2007-07-03,AXP,47.26,48.0,47.2,47.84,2958300
2007-07-05,AXP,47.65,47.92,47.0,47.04,3458000
2007-07-06,AXP,46.77,47.36,46.66,47.14,3401520
2007-07-09,AXP,47.29,47.89,47.05,47.85,4884750
2007-07-10,AXP,47.85,47.89,46.17,46.21,9896163
2007-07-11,AXP,46.1,46.62,45.78,46.2,7928200
2007-07-12,AXP,46.39,48.58,46.2,48.54,9537100
2007-07-13,AXP,48.58,48.58,47.63,48.15,6013100
2007-07-16,AXP,47.92,48.07,47.41,47.42,4823957
2007-07-17,AXP,48.31,49.78,48.36,49.62,10397103
2007-07-18,AXP,49.2,50.02,49.07,49.85,9492952
