Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,AZO,116.41,117.27,115.42,115.56,339600
2007-01-03,AZO,115.94,120.05,115.94,118.61,1421500
2007-01-04,AZO,118.61,120.25,118.35,119.6,734800
2007-01-05,AZO,119.3,119.9,118.39,118.83,559300
2007-01-08,AZO,118.75,118.99,117.87,118.85,298300
2007-01-09,AZO,119.1,122.21,119.0,121.61,781200
2007-01-10,AZO,121.61,121.61,120.17,120.82,475900
2007-01-11,AZO,120.94,124.94,120.92,124.86,832700
2007-01-12,AZO,124.87,125.32,122.84,124.61,520900
2007-01-16,AZO,124.61,125.28,123.39,123.74,443600
2007-01-17,AZO,123.35,124.34,123.33,123.56,542200
2007-01-18,AZO,123.85,124.23,123.56,123.87,601000
2007-01-19,AZO,124.94,125.41,123.2,125.09,551300
2007-01-22,AZO,124.85,125.14,124.17,124.71,519700
2007-01-23,AZO,124.7,126.14,124.6,124.95,487100
2007-01-24,AZO,125.1,125.77,124.9,125.52,362900
2007-01-25,AZO,125.4,125.4,124.43,124.44,603800
2007-01-26,AZO,124.64,125.13,123.94,124.75,431700
2007-01-29,AZO,124.85,125.4,124.16,124.52,317700
2007-01-30,AZO,124.58,124.78,123.03,123.39,435500
2007-01-31,AZO,123.37,126.0,123.27,125.63,578600
2007-02-01,AZO,125.88,126.97,125.34,126.74,438600
2007-02-02,AZO,126.99,127.43,126.32,126.85,269900
2007-02-05,AZO,126.65,127.31,125.9,126.41,345000
2007-02-06,AZO,126.42,127.59,126.15,127.45,234600
2007-02-07,AZO,127.5,128.0,126.94,127.35,347600
2007-02-08,AZO,127.0,127.0,125.9,126.62,367000
2007-02-09,AZO,126.78,127.14,125.28,125.56,242200
2007-02-12,AZO,125.6,126.84,125.6,126.7,289948
2007-02-13,AZO,126.55,127.7,126.55,127.56,326486
2007-02-14,AZO,127.81,127.91,127.24,127.79,315831
2007-02-15,AZO,127.61,127.95,127.0,127.49,369200
2007-02-16,AZO,127.23,127.6,126.55,126.82,323800
2007-02-20,AZO,127.05,128.07,126.83,127.96,318400
2007-02-21,AZO,127.93,128.58,127.08,128.27,425800
2007-02-22,AZO,129.13,129.91,128.9,129.83,627200
2007-02-23,AZO,130.32,131.12,129.77,131.0,644800
2007-02-26,AZO,131.01,132.22,130.87,131.41,1612632
2007-02-27,AZO,129.0,129.0,123.17,124.0,1906000
2007-02-28,AZO,124.1,126.48,123.85,125.46,1360900
2007-03-01,AZO,124.6,125.39,123.05,124.8,973307
2007-03-02,AZO,124.8,124.94,122.37,122.53,743700
2007-03-05,AZO,122.03,123.0,121.52,121.57,691800
2007-03-06,AZO,121.57,123.9,121.76,123.7,673700
2007-03-07,AZO,123.71,125.95,123.4,125.67,787890
2007-03-08,AZO,126.15,126.94,125.85,126.31,512200
2007-03-09,AZO,127.5,127.9,126.57,127.28,489500
2007-03-12,AZO,127.29,127.69,126.06,127.34,297800
2007-03-13,AZO,126.8,127.21,125.5,125.58,616400
2007-03-14,AZO,125.58,125.76,122.17,124.32,739900
2007-03-15,AZO,124.26,125.33,124.25,125.06,566500
2007-03-16,AZO,125.06,125.14,124.0,124.6,507600
2007-03-19,AZO,125.13,126.0,124.82,125.01,612400
2007-03-20,AZO,125.01,126.55,124.93,126.47,360600
2007-03-21,AZO,126.72,127.5,126.56,127.41,687267
2007-03-22,AZO,127.41,128.6,127.36,128.1,373500
2007-03-23,AZO,128.2,129.49,127.69,129.06,365200
2007-03-26,AZO,129.06,129.18,127.9,129.02,305000
