Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,BMY,15.4773,15.5421,15.4301,15.5185,7995300
2007-01-03,BMY,14.22,14.44,14.21,14.31,11310000
2007-01-04,BMY,14.35,14.66,14.26,14.48,14771700
2007-01-05,BMY,14.48,14.5,14.13,14.2,8008000
2007-01-08,BMY,14.16,14.2,13.96,14.16,7905200
2007-01-09,BMY,14.23,14.27,14.11,14.22,7515400
2007-01-10,BMY,14.22,14.25,14.01,14.21,5725800
2007-01-11,BMY,14.21,14.41,14.09,14.4,8267700
2007-01-12,BMY,14.29,14.45,14.16,14.24,7610200
2007-01-16,BMY,14.24,14.41,14.17,14.41,7935300
2007-01-17,BMY,14.44,14.59,14.35,14.58,8495000
2007-01-18,BMY,14.42,14.65,14.33,14.47,10848300
2007-01-19,BMY,14.53,14.65,14.44,14.45,6868100
2007-01-22,BMY,14.51,14.55,14.27,14.37,6429100
2007-01-23,BMY,14.4,14.57,14.33,14.47,5426000
2007-01-24,BMY,14.44,14.64,14.37,14.64,6132500
2007-01-25,BMY,14.57,14.57,14.25,14.26,8049400
2007-01-26,BMY,14.22,14.29,14.08,14.22,7875700
2007-01-29,BMY,15.02,15.33,14.8,14.88,35128500
2007-01-30,BMY,14.92,15.23,14.92,15.21,16440900
2007-01-31,BMY,15.84,15.94,15.55,15.62,23929900
2007-02-01,BMY,15.68,15.91,15.59,15.62,20395000
2007-02-02,BMY,15.62,15.73,15.38,15.54,10047400
2007-02-05,BMY,15.48,15.62,15.42,15.59,8442900
2007-02-06,BMY,15.59,15.62,15.47,15.6,5852900
2007-02-07,BMY,15.57,15.73,15.53,15.66,10288000
2007-02-08,BMY,15.55,15.65,15.54,15.57,8456600
2007-02-09,BMY,15.62,15.63,15.47,15.47,6869200
2007-02-12,BMY,14.74,15.05,14.57,14.97,18885644
2007-02-13,BMY,14.76,14.97,14.75,14.97,8130903
2007-02-14,BMY,14.97,15.18,14.96,15.04,4989452
2007-02-15,BMY,15.02,15.12,14.9,15.07,5945200
2007-02-16,BMY,15.0,15.3,14.71,14.99,5404500
2007-02-20,BMY,14.96,15.06,14.84,14.88,6675100
2007-02-21,BMY,14.78,14.91,14.65,14.71,6486600
2007-02-22,BMY,14.67,14.72,14.63,14.7,7332900
2007-02-23,BMY,14.69,14.73,14.61,14.67,6536500
2007-02-26,BMY,14.69,14.83,14.62,14.75,5234700
2007-02-27,BMY,14.61,14.76,14.05,14.3,11420600
2007-02-28,BMY,14.3,14.37,14.09,14.31,11189000
2007-03-01,BMY,14.24,14.61,14.11,14.45,11603666
2007-03-02,BMY,14.45,14.48,14.18,14.33,7660100
2007-03-05,BMY,14.17,14.49,14.12,14.29,7274501
2007-03-06,BMY,14.29,14.65,14.32,14.65,9456100
2007-03-07,BMY,14.61,14.79,14.49,14.71,12805500
2007-03-08,BMY,14.77,14.82,14.67,14.73,6878000
2007-03-09,BMY,14.86,14.87,14.59,14.6,6013700
2007-03-12,BMY,14.6,14.86,14.54,14.84,8308000
2007-03-13,BMY,14.86,14.9,14.52,14.54,9374800
2007-03-14,BMY,14.84,14.67,14.38,14.66,10967400
2007-03-15,BMY,14.66,14.72,14.54,14.71,11287900
2007-03-16,BMY,14.71,14.72,14.33,14.55,15349968
2007-03-19,BMY,14.55,14.71,14.5,14.61,6752800
2007-03-20,BMY,14.61,14.9,14.55,14.73,8331359
2007-03-21,BMY,14.67,15.06,14.55,15.03,7754550
2007-03-22,BMY,15.03,15.18,14.5,15.08,8379928
2007-03-23,BMY,15.08,15.13,14.82,14.97,7405954
2007-03-26,BMY,14.89,15.02,14.78,14.98,6169464
2007-03-27,BMY,15.17,15.19,14.93,15.08,12306583
2007-03-28,BMY,15.0,15.13,14.91,14.98,7590340
2007-03-29,BMY,14.99,15.24,14.98,15.14,12482600
2007-03-30,BMY,15.14,15.2,14.92,15.06,6999267
2007-04-02,BMY,15.07,15.15,14.98,15.12,8365210
2007-04-03,BMY,15.22,15.29,14.99,15.09,10302350
2007-04-04,BMY,15.22,15.28,15.1,15.22,5134206
2007-04-05,BMY,15.22,15.29,15.14,15.25,4415400
2007-04-09,BMY,15.25,15.36,15.14,15.16,7785569
2007-04-10,BMY,15.07,15.26,15.05,15.23,7040304
2007-04-11,BMY,15.23,15.29,15.0,15.08,9414204
2007-04-12,BMY,15.16,15.16,14.99,15.1,8250697
2007-04-13,BMY,15.1,15.59,15.11,15.52,11719671
2007-04-16,BMY,15.52,15.69,15.48,15.6,12666819
2007-04-17,BMY,15.35,15.76,15.35,15.5,12517373
2007-04-18,BMY,15.42,15.57,15.31,15.49,7800541
2007-04-19,BMY,15.23,15.69,14.8,15.57,9034613
2007-04-20,BMY,15.57,15.78,15.53,15.71,9090852
2007-04-23,BMY,15.71,15.76,15.57,15.62,7520716
2007-04-24,BMY,15.65,15.79,15.54,15.77,9173509
2007-04-25,BMY,15.81,16.32,15.67,16.28,16179180
2007-04-26,BMY,16.47,16.61,15.55,16.02,17205652
2007-04-27,BMY,15.89,16.04,15.89,15.99,7379094
2007-04-30,BMY,16.09,16.23,15.81,15.82,13422287
2007-05-01,BMY,16.16,16.16,15.7,15.72,12050939
2007-05-02,BMY,15.64,15.88,15.67,15.73,16578799
2007-05-03,BMY,15.71,16.22,15.72,16.08,14752025
2007-05-04,BMY,16.11,16.47,16.08,16.45,16667533
2007-05-07,BMY,16.44,16.58,16.39,16.5,11323189
2007-05-08,BMY,16.44,16.58,16.4,16.56,9576078
2007-05-09,BMY,16.55,16.63,16.47,16.58,8073725
2007-05-10,BMY,16.52,16.54,16.36,16.37,7616587
2007-05-11,BMY,16.34,16.58,16.2,16.57,7105165
2007-05-14,BMY,16.57,16.71,16.43,16.49,7454905
2007-05-15,BMY,16.58,16.66,16.48,16.57,6376631
2007-05-16,BMY,16.58,16.68,16.43,16.48,8778200
2007-05-17,BMY,16.48,16.58,16.41,16.56,6327931
2007-05-18,BMY,16.56,16.7,16.46,16.69,10017900
2007-05-21,BMY,16.54,16.66,16.47,16.61,7053974
2007-05-22,BMY,16.52,16.62,16.32,16.56,7812647
2007-05-23,BMY,16.47,16.57,16.35,16.44,6847530
2007-05-24,BMY,16.47,16.55,16.43,16.46,9164000
2007-05-25,BMY,16.48,16.57,16.43,16.47,8800212
2007-05-29,BMY,16.36,16.54,16.17,16.49,10227885
2007-05-30,BMY,16.35,16.51,16.32,16.51,6793494
2007-05-31,BMY,16.07,16.68,16.07,16.61,9627500
2007-06-01,BMY,16.61,16.71,16.44,16.7,15206244
2007-06-04,BMY,16.75,16.74,16.58,16.68,8508744
2007-06-05,BMY,16.76,16.74,16.45,16.67,12271092
2007-06-06,BMY,16.67,16.7,16.46,16.53,9067927
2007-06-07,BMY,16.46,16.53,15.95,15.99,16401106
2007-06-08,BMY,15.99,16.11,15.85,16.04,11698810
2007-06-11,BMY,16.04,16.1,15.89,15.99,11226154
2007-06-12,BMY,16.0,16.0,15.67,15.72,12941655
2007-06-13,BMY,16.03,16.31,15.97,16.3,12933540
2007-06-14,BMY,16.3,16.47,16.01,16.35,8051985
2007-06-15,BMY,16.46,16.92,16.47,16.86,21650423
2007-06-18,BMY,16.88,16.89,16.61,16.61,8301297
2007-06-19,BMY,16.99,17.57,17.09,17.31,32479954
2007-06-20,BMY,17.31,17.46,17.09,17.11,14252898
2007-06-21,BMY,17.37,17.57,17.18,17.55,16107637
2007-06-22,BMY,17.55,17.51,17.13,17.21,14419700
2007-06-25,BMY,17.44,17.57,17.22,17.29,11582327
2007-06-26,BMY,17.29,17.63,17.21,17.37,10737887
2007-06-27,BMY,17.37,17.63,17.23,17.56,8804848
2007-06-28,BMY,17.62,17.67,17.32,17.33,9136938
2007-06-29,BMY,17.54,17.48,17.13,17.29,12019800
2007-07-02,BMY,17.43,17.45,17.23,17.45,15529140
2007-07-03,BMY,17.5,17.59,17.47,17.56,3655992
2007-07-05,BMY,17.58,17.76,17.43,17.64,6650773
2007-07-06,BMY,17.58,17.59,17.4,17.44,7163996
2007-07-09,BMY,17.61,17.52,17.28,17.33,18812355
2007-07-10,BMY,17.36,17.36,17.08,17.1,10515558
2007-07-11,BMY,17.1,17.5,17.07,17.48,11920600
2007-07-12,BMY,17.48,17.81,17.36,17.7,14945015
2007-07-13,BMY,17.69,17.82,17.63,17.72,6529650
