Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,BRO,11.8247,11.8413,11.5928,11.6798,775800
2007-01-03,BRO,11.64,11.73,11.47,11.59,599800
2007-01-04,BRO,11.56,11.57,11.45,11.54,431200
2007-01-05,BRO,11.51,11.6,11.45,11.53,450900
2007-01-08,BRO,11.53,11.54,11.38,11.49,481500
2007-01-09,BRO,11.46,11.48,11.39,11.45,485500
2007-01-10,BRO,11.41,11.48,11.33,11.42,307200
2007-01-11,BRO,11.45,11.52,11.34,11.51,413500
2007-01-12,BRO,11.51,11.57,11.5,11.56,230200
2007-01-16,BRO,11.57,11.68,11.53,11.59,524600
2007-01-17,BRO,11.55,11.58,11.49,11.53,338600
2007-01-18,BRO,11.53,11.57,11.49,11.5,447700
2007-01-19,BRO,11.46,11.61,11.43,11.59,379000
2007-01-22,BRO,11.57,11.59,11.31,11.34,858700
2007-01-23,BRO,11.32,11.43,11.29,11.38,474600
2007-01-24,BRO,11.39,11.5,11.36,11.5,353500
2007-01-25,BRO,11.5,11.52,11.4,11.44,595900
2007-01-26,BRO,11.45,11.51,11.42,11.47,315500
2007-01-29,BRO,11.43,11.53,11.43,11.49,568000
2007-01-30,BRO,11.52,11.55,11.49,11.54,237600
2007-01-31,BRO,11.5,11.65,11.49,11.62,428000
2007-02-01,BRO,11.63,11.8,11.63,11.76,658900
2007-02-02,BRO,11.75,11.8,11.67,11.79,434100
2007-02-05,BRO,11.78,11.85,11.76,11.8,469400
2007-02-06,BRO,11.8,11.84,11.75,11.83,408800
2007-02-07,BRO,11.86,11.93,11.82,11.91,332000
2007-02-08,BRO,11.91,11.93,11.82,11.89,286700
2007-02-09,BRO,11.9,11.91,11.76,11.82,366800
2007-02-12,BRO,11.84,11.86,11.63,11.69,451729
2007-02-13,BRO,11.69,11.73,11.52,11.59,631985
2007-02-14,BRO,11.59,11.7,11.57,11.69,673647
2007-02-15,BRO,11.72,11.79,11.64,11.79,510600
2007-02-16,BRO,11.77,11.81,11.74,11.77,414500
2007-02-20,BRO,11.74,11.75,11.6,11.69,489800
2007-02-21,BRO,11.67,11.68,11.6,11.63,281100
2007-02-22,BRO,11.66,11.73,11.6,11.65,272000
2007-02-23,BRO,11.62,11.63,11.49,11.62,313200
2007-02-26,BRO,11.7,11.83,11.69,11.8,557004
2007-02-27,BRO,11.72,11.75,11.53,11.56,569800
2007-02-28,BRO,11.59,11.61,11.47,11.58,506100
2007-03-01,BRO,11.46,11.55,11.31,11.48,545625
2007-03-02,BRO,11.44,11.49,11.32,11.36,553500
2007-03-05,BRO,11.31,11.56,11.28,11.47,817100
2007-03-06,BRO,11.51,11.62,11.47,11.6,742700
2007-03-07,BRO,11.59,11.59,11.41,11.45,492600
2007-03-08,BRO,11.5,11.56,11.44,11.51,398500
2007-03-09,BRO,11.57,11.58,11.47,11.5,598500
2007-03-12,BRO,11.51,11.54,11.44,11.53,340000
2007-03-13,BRO,11.48,11.5,11.28,11.3,468100
2007-03-14,BRO,11.28,11.62,11.11,11.33,545400
2007-03-15,BRO,11.3,11.46,11.28,11.42,525700
2007-03-16,BRO,11.41,11.62,11.33,11.36,560600
2007-03-19,BRO,11.36,11.51,11.34,11.41,658700
2007-03-20,BRO,11.41,11.53,11.39,11.49,589525
2007-03-21,BRO,11.48,11.53,11.35,11.48,455000
2007-03-22,BRO,11.48,11.55,11.36,11.41,588900
2007-03-23,BRO,11.42,11.45,11.24,11.3,904300
2007-03-26,BRO,11.34,11.38,11.23,11.31,472000
2007-03-27,BRO,11.27,11.28,11.16,11.18,367100
2007-03-28,BRO,11.16,11.22,10.98,11.14,477730
2007-03-29,BRO,11.18,11.19,10.98,11.11,792100
2007-03-30,BRO,11.1,11.16,11.0,11.12,512200
2007-04-02,BRO,11.14,11.14,10.8,10.96,980800
2007-04-03,BRO,10.98,11.2,10.98,11.18,826600
2007-04-04,BRO,11.18,11.26,11.06,11.14,668100
2007-04-05,BRO,11.14,11.22,11.09,11.18,357800
2007-04-09,BRO,11.17,11.21,11.16,11.16,385000
2007-04-10,BRO,11.17,11.22,11.14,11.16,252300
2007-04-11,BRO,11.14,11.16,11.01,11.11,725400
2007-04-12,BRO,11.1,11.15,11.09,11.12,359500
2007-04-13,BRO,11.12,11.16,11.04,11.11,377300
2007-04-16,BRO,11.11,11.7,11.28,11.59,934450
2007-04-17,BRO,11.59,11.69,11.53,11.55,565600
2007-04-18,BRO,11.51,11.71,11.51,11.66,502800
2007-04-19,BRO,11.57,11.64,11.52,11.58,362500
2007-04-20,BRO,11.67,11.72,11.59,11.71,520300
2007-04-23,BRO,11.65,11.76,11.51,11.56,516300
2007-04-24,BRO,10.88,11.07,10.56,10.76,2436600
2007-04-25,BRO,10.77,10.9,10.63,10.81,2265500
2007-04-26,BRO,10.81,10.84,10.69,10.79,1138000
2007-04-27,BRO,10.75,10.81,10.69,10.71,1069100
2007-04-30,BRO,10.69,10.74,10.56,10.59,992200
2007-05-01,BRO,10.59,10.59,10.37,10.57,888863
2007-05-02,BRO,10.53,10.91,10.47,10.86,1405875
2007-05-03,BRO,10.88,10.92,10.73,10.86,849900
2007-05-04,BRO,10.86,10.92,10.79,10.86,596800
2007-05-07,BRO,10.86,10.98,10.79,10.81,526300
2007-05-08,BRO,10.75,10.8,10.72,10.78,467200
2007-05-09,BRO,10.74,10.8,10.69,10.71,1149400
2007-05-10,BRO,10.7,10.7,10.6,10.68,640300
2007-05-11,BRO,10.74,10.74,10.6,10.68,570800
2007-05-14,BRO,10.7,10.7,10.59,10.63,752000
2007-05-15,BRO,10.57,10.62,10.48,10.52,909200
2007-05-16,BRO,10.53,10.59,10.47,10.52,541300
2007-05-17,BRO,10.52,10.58,10.37,10.55,792100
2007-05-18,BRO,10.55,10.61,10.51,10.55,282500
2007-05-21,BRO,10.54,10.61,10.53,10.61,480700
2007-05-22,BRO,10.59,10.63,10.5,10.61,658200
2007-05-23,BRO,10.63,10.66,10.56,10.61,585000
2007-05-24,BRO,10.57,10.63,10.54,10.62,704700
2007-05-25,BRO,10.57,10.65,10.56,10.57,289750
2007-05-29,BRO,10.59,10.63,10.53,10.56,501100
2007-05-30,BRO,10.53,10.63,10.52,10.63,967100
2007-05-31,BRO,10.85,10.85,10.63,10.74,542300
2007-06-01,BRO,10.74,10.75,10.62,10.7,645500
2007-06-04,BRO,10.8,10.72,10.6,10.71,639500
2007-06-05,BRO,10.66,10.72,10.63,10.7,342800
2007-06-06,BRO,10.7,10.73,10.66,10.7,575400
2007-06-07,BRO,10.7,10.68,10.57,10.57,778500
2007-06-08,BRO,10.57,10.64,10.54,10.59,624700
2007-06-11,BRO,10.59,10.7,10.57,10.7,837000
2007-06-12,BRO,10.66,10.73,10.64,10.64,933300
2007-06-13,BRO,10.67,10.72,10.58,10.63,737100
2007-06-14,BRO,10.6,10.66,10.57,10.6,350700
2007-06-15,BRO,10.63,10.7,10.54,10.55,632100
2007-06-18,BRO,10.59,10.69,10.55,10.64,402400
2007-06-19,BRO,10.61,10.7,10.61,10.66,354600
2007-06-20,BRO,10.66,10.69,10.59,10.61,552000
2007-06-21,BRO,10.61,10.72,10.59,10.68,463100
2007-06-22,BRO,10.66,10.7,10.6,10.65,779900
2007-06-25,BRO,10.65,10.71,10.61,10.68,565800
2007-06-26,BRO,10.72,10.72,10.66,10.66,802400
2007-06-27,BRO,10.61,10.71,10.59,10.67,697400
2007-06-28,BRO,10.66,10.71,10.57,10.57,573200
2007-06-29,BRO,10.59,10.65,10.32,10.36,858000
2007-07-02,BRO,10.36,10.42,10.28,10.4,667000
2007-07-03,BRO,10.39,10.43,10.33,10.38,189587
2007-07-05,BRO,10.39,10.41,10.33,10.35,506700
2007-07-06,BRO,10.38,10.51,10.35,10.51,438600
2007-07-09,BRO,10.51,10.51,10.4,10.42,724200
2007-07-10,BRO,10.36,10.37,10.25,10.25,447400
2007-07-11,BRO,10.25,10.28,10.16,10.28,587900
2007-07-12,BRO,10.33,10.45,10.29,10.45,474800
2007-07-13,BRO,10.43,10.48,10.38,10.47,278000
2007-07-16,BRO,10.42,10.42,10.31,10.33,488500
2007-07-17,BRO,10.33,10.35,10.26,10.26,419500
2007-07-18,BRO,10.22,10.33,10.16,10.33,601100
2007-07-19,BRO,10.33,10.42,10.26,10.39,684100
2007-07-20,BRO,10.37,10.4,10.26,10.33,764900
2007-07-23,BRO,10.38,10.5,10.34,10.42,648500
2007-07-24,BRO,10.61,10.92,10.51,10.68,1677300
2007-07-25,BRO,10.68,10.94,10.76,10.92,1197500
2007-07-26,BRO,10.92,10.92,10.59,10.8,1326510
2007-07-27,BRO,10.8,10.87,10.6,10.74,836600
2007-07-30,BRO,10.63,10.78,10.61,10.7,705100
2007-07-31,BRO,10.7,10.84,10.56,10.59,764900
2007-08-01,BRO,10.54,10.78,10.49,10.76,1126600
2007-08-02,BRO,10.75,10.8,10.62,10.77,978300
2007-08-03,BRO,10.77,10.75,10.43,10.43,760300
2007-08-06,BRO,10.5,11.04,10.45,11.04,796000
2007-08-07,BRO,11.04,11.46,10.85,11.38,1262600
2007-08-08,BRO,11.21,12.04,11.21,11.61,1496600
2007-08-09,BRO,11.61,11.62,11.2,11.47,1441100
2007-08-10,BRO,11.18,11.58,10.59,10.83,1887100
2007-08-13,BRO,10.83,10.96,10.68,10.89,804700
2007-08-14,BRO,10.85,11.1,10.63,10.64,525800
2007-08-15,BRO,10.64,11.07,10.59,10.73,671000
2007-08-16,BRO,10.73,10.9,10.33,10.74,881400
2007-08-17,BRO,11.02,11.14,10.68,10.84,693400
2007-08-20,BRO,10.84,11.07,10.81,10.98,450100
2007-08-21,BRO,10.98,11.09,10.77,11.02,562100
2007-08-22,BRO,11.16,11.37,11.09,11.28,622100
2007-08-23,BRO,11.28,11.36,10.82,10.87,672800
2007-08-24,BRO,10.83,10.93,10.7,10.93,428800
2007-08-27,BRO,10.84,11.07,10.77,11.0,419900
2007-08-28,BRO,10.95,11.01,10.83,10.83,337300
2007-08-29,BRO,10.89,11.1,10.82,11.1,357200
2007-08-30,BRO,11.1,11.21,11.01,11.09,441600
2007-08-31,BRO,11.22,11.22,11.08,11.12,405700
2007-09-04,BRO,11.12,11.26,11.07,11.19,492900
2007-09-05,BRO,11.19,11.22,10.93,11.18,295200
2007-09-06,BRO,11.18,11.19,11.0,11.14,227300
2007-09-07,BRO,11.04,11.19,10.85,10.89,496300
2007-09-10,BRO,10.89,11.01,10.79,10.9,261100
2007-09-11,BRO,10.9,11.16,10.9,11.12,394000
2007-09-12,BRO,11.0,11.31,10.95,10.97,287400
2007-09-13,BRO,11.05,11.1,10.81,11.02,273600
2007-09-14,BRO,11.02,11.08,10.9,11.05,194300
2007-09-17,BRO,11.03,11.09,10.99,11.01,348000
2007-09-18,BRO,11.09,11.24,10.93,11.22,240300
2007-09-19,BRO,11.23,11.25,11.02,11.02,568400
2007-09-20,BRO,10.95,10.97,10.85,10.88,265300
2007-09-21,BRO,10.97,11.01,10.81,10.81,602800
2007-09-24,BRO,10.81,10.97,10.68,10.85,916300
2007-09-25,BRO,10.79,10.83,10.74,10.78,547100
2007-09-26,BRO,10.78,10.96,10.76,10.91,527200
2007-09-27,BRO,10.97,11.07,10.97,10.99,463500
2007-09-28,BRO,11.02,11.02,10.86,10.87,428500
2007-10-01,BRO,10.87,10.87,10.66,10.7,890600
2007-10-02,BRO,10.68,10.82,10.67,10.74,526300
2007-10-03,BRO,10.71,10.88,10.7,10.76,486100
2007-10-04,BRO,10.8,10.93,10.8,10.84,529300
2007-10-05,BRO,10.9,11.01,10.82,10.9,398500
2007-10-08,BRO,10.87,11.47,10.87,10.99,414900
2007-10-09,BRO,10.99,11.14,10.97,11.14,529500
2007-10-10,BRO,11.12,11.22,11.05,11.09,417000
2007-10-11,BRO,11.17,11.33,11.13,11.22,488500
2007-10-12,BRO,11.26,11.38,11.23,11.34,372100
2007-10-15,BRO,11.31,11.45,11.22,11.41,629100
2007-10-16,BRO,11.43,11.45,11.24,11.24,481900
2007-10-17,BRO,11.35,11.38,11.11,11.2,302300
2007-10-18,BRO,11.1,11.15,10.93,11.0,422200
2007-10-19,BRO,10.97,11.04,10.76,10.78,531600
2007-10-22,BRO,10.91,10.91,10.56,10.81,582700
2007-10-23,BRO,10.82,10.82,10.03,10.26,1888600
2007-10-24,BRO,10.12,10.18,9.65,10.03,1706800
2007-10-25,BRO,10.02,10.19,9.92,10.03,765400
2007-10-26,BRO,10.12,10.45,10.12,10.41,846300
2007-10-29,BRO,10.4,10.45,10.24,10.35,593800
2007-10-30,BRO,10.27,10.36,10.12,10.32,454800
2007-10-31,BRO,10.34,10.52,10.25,10.41,651500
2007-11-01,BRO,10.28,10.37,10.13,10.28,567300
2007-11-02,BRO,10.3,10.3,10.16,10.24,698500
2007-11-05,BRO,10.09,10.19,10.01,10.09,500579
2007-11-06,BRO,10.1,10.28,10.07,10.24,395600
2007-11-07,BRO,10.12,10.18,9.93,9.94,558700
2007-11-08,BRO,9.99,10.08,9.9,10.03,850001
2007-11-09,BRO,9.94,10.14,9.89,9.91,1139817
2007-11-12,BRO,9.9,10.3,9.9,10.23,882900
2007-11-13,BRO,10.32,10.34,10.2,10.34,254435
2007-11-14,BRO,10.4,10.44,10.18,10.22,411800
2007-11-15,BRO,10.19,10.22,10.02,10.08,381700
2007-11-16,BRO,10.1,10.18,9.93,10.01,784600
2007-11-19,BRO,9.93,10.03,9.9,9.9,610211
2007-11-20,BRO,9.88,9.96,9.71,9.87,546601
2007-11-21,BRO,9.78,9.84,9.64,9.73,380350
2007-11-22,BRO,9.78,9.84,9.64,9.73,380350
2007-11-23,BRO,9.78,9.93,9.75,9.91,173400
2007-11-26,BRO,9.88,9.94,9.57,9.57,385002
2007-11-27,BRO,9.6,10.02,9.6,9.96,655200
2007-11-28,BRO,10.05,10.13,10.0,10.09,460100
2007-11-29,BRO,10.03,10.08,9.92,10.07,333400
2007-11-30,BRO,10.13,10.22,10.08,10.19,485500
2007-12-03,BRO,10.12,10.37,10.11,10.31,672900
2007-12-04,BRO,10.2,10.34,10.2,10.22,401300
2007-12-05,BRO,10.36,10.41,10.2,10.33,372600
2007-12-06,BRO,10.3,10.35,10.18,10.23,552000
2007-12-07,BRO,10.3,10.35,10.18,10.23,552000
2007-12-10,BRO,10.3,10.35,10.14,10.24,644100
2007-12-11,BRO,10.25,10.29,9.95,9.99,682160
2007-12-12,BRO,10.22,10.28,9.72,9.83,639900
2007-12-13,BRO,9.77,10.07,9.72,10.06,613701
2007-12-14,BRO,9.91,10.1,9.88,9.91,331900
2007-12-17,BRO,9.84,9.94,9.72,9.74,376150
2007-12-18,BRO,9.8,9.88,9.66,9.87,500000
2007-12-19,BRO,9.85,9.93,9.74,9.81,368400
2007-12-20,BRO,9.87,9.9,9.71,9.81,467001
2007-12-21,BRO,9.91,9.98,9.74,9.96,697426
2007-12-24,BRO,9.99,10.25,9.94,10.23,182800
2007-12-26,BRO,10.17,10.2,9.99,9.99,222700
2007-12-27,BRO,9.93,9.99,9.82,9.85,237958
2007-12-28,BRO,9.88,9.98,9.72,9.81,292408
2007-12-31,BRO,9.81,9.85,9.66,9.74,307401
2008-01-02,BRO,9.68,9.83,9.61,9.69,719076
2008-01-03,BRO,9.69,9.77,9.62,9.64,546430
2008-01-04,BRO,9.53,9.79,9.53,9.66,346604
2008-01-07,BRO,9.72,9.74,9.57,9.61,507300
2008-01-08,BRO,9.62,9.74,9.35,9.35,459900
2008-01-09,BRO,9.32,9.4,9.16,9.37,666700
2008-01-10,BRO,9.28,9.64,9.24,9.53,742700
2008-01-11,BRO,9.09,9.34,8.77,9.22,1348123
2008-01-14,BRO,9.26,9.37,9.2,9.29,474000
2008-01-15,BRO,9.21,9.22,8.98,9.08,541100
2008-01-16,BRO,9.02,9.33,9.02,9.2,365340
2008-01-17,BRO,9.2,9.26,9.11,9.14,497300
2008-01-18,BRO,9.19,9.2,8.85,8.91,676140
2008-01-22,BRO,8.53,9.06,8.53,8.88,627083
2008-01-23,BRO,8.93,9.14,8.72,9.09,717244
2008-01-24,BRO,9.16,9.16,8.83,9.02,716301
2008-01-25,BRO,9.02,9.11,8.85,8.91,535215
2008-01-28,BRO,8.91,9.28,8.87,9.27,688300
2008-01-29,BRO,9.31,9.41,9.18,9.31,433400
2008-01-30,BRO,9.2,9.45,9.18,9.2,536000
2008-01-31,BRO,9.09,9.38,9.08,9.33,489293
2008-02-01,BRO,9.32,9.61,9.28,9.61,503629
2008-02-04,BRO,9.66,9.75,9.6,9.65,487700
2008-02-05,BRO,9.56,9.66,9.39,9.4,418000
2008-02-06,BRO,9.46,9.49,9.25,9.29,419000
2008-02-07,BRO,9.26,9.43,9.21,9.4,512500
2008-02-08,BRO,9.37,9.49,9.34,9.38,452000
2008-02-11,BRO,7.84,8.22,7.78,7.9,4790902
2008-02-12,BRO,7.95,7.99,7.58,7.68,1717303
2008-02-13,BRO,7.73,7.79,7.67,7.71,1129600
2008-02-14,BRO,7.71,7.75,7.61,7.7,911800
2008-02-15,BRO,7.68,7.76,7.67,7.74,726500
2008-02-19,BRO,7.8,7.8,7.66,7.66,1047750
2008-02-20,BRO,7.66,7.73,7.56,7.69,1029153
2008-02-21,BRO,7.75,7.78,7.57,7.6,459388
2008-02-22,BRO,7.66,7.67,7.48,7.63,830350
2008-02-25,BRO,7.66,7.67,7.48,7.63,830350
2008-02-26,BRO,7.67,7.71,7.61,7.68,597159
2008-02-27,BRO,7.63,7.8,7.62,7.75,771395
2008-02-28,BRO,7.7,7.72,7.43,7.49,1157026
2008-02-29,BRO,7.43,7.49,7.34,7.41,861351
2008-03-03,BRO,7.4,7.5,7.34,7.44,828975
2008-03-04,BRO,7.38,7.45,7.33,7.4,739700
2008-03-05,BRO,7.39,7.5,7.31,7.34,668839
2008-03-06,BRO,7.34,7.34,7.25,7.25,827176
2008-03-07,BRO,7.2,7.31,7.14,7.21,795519
2008-03-10,BRO,7.24,7.29,7.12,7.21,825300
2008-03-11,BRO,7.34,7.46,7.19,7.34,1019100
2008-03-12,BRO,7.37,7.4,7.17,7.18,1128013
2008-03-13,BRO,7.09,7.31,7.07,7.26,824600
2008-03-14,BRO,7.31,7.36,7.07,7.14,754600
2008-03-17,BRO,7.07,7.26,7.06,7.18,710250
2008-03-18,BRO,7.26,7.38,7.17,7.38,964210
2008-03-19,BRO,7.44,7.48,7.33,7.33,566900
2008-03-20,BRO,7.32,7.46,7.3,7.45,528450
2008-03-24,BRO,7.45,7.64,7.44,7.46,400500
2008-03-25,BRO,7.46,7.73,7.41,7.68,642732
2008-03-26,BRO,7.63,7.64,7.51,7.51,379000
2008-03-27,BRO,7.51,7.54,7.34,7.35,421800
2008-03-28,BRO,7.37,7.41,7.19,7.22,441100
2008-03-31,BRO,7.22,7.34,7.14,7.22,616000
2008-04-01,BRO,7.26,7.36,6.91,7.29,1133681
2008-04-02,BRO,7.32,7.38,7.24,7.27,1056892
2008-04-03,BRO,7.26,7.36,7.22,7.36,519837
2008-04-04,BRO,7.34,7.37,7.23,7.29,688300
2008-04-07,BRO,7.32,7.4,7.3,7.36,405800
2008-04-08,BRO,7.36,7.37,7.11,7.15,514828
2008-04-09,BRO,7.16,7.17,7.07,7.07,413500
2008-04-10,BRO,7.05,7.15,7.02,7.07,472500
2008-04-11,BRO,6.99,7.08,6.98,6.98,356100
2008-04-14,BRO,6.97,6.99,6.92,6.92,536860
